,kew_id,tdwg3_codes,Accepted_Name,Accepted_ID,Accepted_Rank,Accepted_Species,Accepted_Species_ID
6326,77109599-1,"['CBD', 'THA']",Secamone lagenifera,77109599-1,Species,Secamone lagenifera,77109599-1
6327,77109618-1,['MLY'],Secamone lankawiensis,77109618-1,Species,Secamone lankawiensis,77109618-1
6328,968277-1,['MDG'],Secamone laxa,968277-1,Species,Secamone laxa,968277-1
6329,77109589-1,['BOR'],Secamone lenticellata,77109589-1,Species,Secamone lenticellata,77109589-1
6330,20003332-1,"['CMN', 'CAF', 'CON', 'GAB', 'ZAI']",Secamone letouzeana,20003332-1,Species,Secamone letouzeana,20003332-1
6331,101351-1,['MDG'],Secamone ligustrifolia,101351-1,Species,Secamone ligustrifolia,101351-1
6332,970187-1,['MDG'],Secamone ligustrifolia subsp. angustifolia,970187-1,Subspecies,Secamone ligustrifolia,101351-1
6333,77173538-1,['MDG'],Secamone ligustrifolia subsp. ligustrifolia,77173538-1,Subspecies,Secamone ligustrifolia,101351-1
6334,968271-1,['MDG'],Secamone linearifolia,968271-1,Species,Secamone linearifolia,968271-1
6335,320438-2,['MDG'],Secamone linearis,320438-2,Species,Secamone linearis,320438-2
6336,101353-1,"['BIS', 'JAW', 'QLD']",Secamone lineata,101353-1,Species,Secamone lineata,101353-1
6337,77109590-1,['BOR'],Secamone longituba,77109590-1,Species,Secamone longituba,77109590-1
6338,101356-1,"['BOR', 'CRL', 'JAW', 'PHI']",Secamone maritima,101356-1,Species,Secamone maritima,101356-1
6339,998044-1,['MDG'],Secamone marsupiata,998044-1,Species,Secamone marsupiata,998044-1
6340,101360-1,"['CHC', 'CHS']",Secamone minutiflora,101360-1,Species,Secamone minutiflora,101360-1
6341,101361-1,['MDG'],Secamone minutifolia,101361-1,Species,Secamone minutifolia,101361-1
6342,968284-1,['MDG'],Secamone nervosa,968284-1,Species,Secamone nervosa,968284-1
6343,101366-1,['MDG'],Secamone obovata,101366-1,Species,Secamone obovata,101366-1
6344,101368-1,['MDG'],Secamone oleifolia,101368-1,Species,Secamone oleifolia,101368-1
6345,101370-1,['MDG'],Secamone pachyphylla,101370-1,Species,Secamone pachyphylla,101370-1
6346,101371-1,"['ALD', 'COM', 'MDG']",Secamone pachystigma,101371-1,Species,Secamone pachystigma,101371-1
6347,77202562-1,['MDG'],Secamone parviflora,77202562-1,Species,Secamone parviflora,77202562-1
6348,1015949-1,['MDG'],Secamone pedicellaris,1015949-1,Species,Secamone pedicellaris,1015949-1
6349,77109602-1,['MLY'],Secamone penangiana,77109602-1,Species,Secamone penangiana,77109602-1
6350,101374-1,['MDG'],Secamone perrieri,101374-1,Species,Secamone perrieri,101374-1
6351,101377-1,['MDG'],Secamone pinnata,101377-1,Species,Secamone pinnata,101377-1
6352,77172730-1,['MDG'],Secamone pinnata subsp. pinnata,77172730-1,Subspecies,Secamone pinnata,101377-1
6353,969866-1,['MDG'],Secamone pinnata subsp. septentrionalis,969866-1,Subspecies,Secamone pinnata,101377-1
6354,101379-1,['MDG'],Secamone polyantha,101379-1,Species,Secamone polyantha,101379-1
6355,968276-1,['MDG'],Secamone pulchra,968276-1,Species,Secamone pulchra,968276-1
6356,969871-1,['MDG'],Secamone pulchra subsp. latifolia,969871-1,Subspecies,Secamone pulchra,968276-1
6357,77172696-1,['MDG'],Secamone pulchra subsp. pulchra,77172696-1,Subspecies,Secamone pulchra,968276-1
6358,101380-1,"['ANG', 'BUR', 'ETH', 'GHA', 'IVO', 'KEN', 'NAM', 'SOM', 'SUD', 'TAN', 'UGA', 'ZAM', 'ZAI']",Secamone punctulata,101380-1,Species,Secamone punctulata,101380-1
6359,20003328-1,"['BUR', 'CMN', 'CON', 'GGI', 'RWA', 'UGA', 'ZAI']",Secamone racemosa,20003328-1,Species,Secamone racemosa,20003328-1
6360,968259-1,['MDG'],Secamone reticulata,968259-1,Species,Secamone reticulata,968259-1
6361,101383-1,"['KEN', 'MOZ', 'TAN']",Secamone retusa,101383-1,Species,Secamone retusa,101383-1
6362,77109603-1,['JAW'],Secamone rhopalophora,77109603-1,Species,Secamone rhopalophora,77109603-1
6363,958317-1,['ROD'],Secamone rodriguesiana,958317-1,Species,Secamone rodriguesiana,958317-1
6364,20007419-1,['MDG'],Secamone rubra,20007419-1,Species,Secamone rubra,20007419-1
6365,320437-2,['MDG'],Secamone schatzii,320437-2,Species,Secamone schatzii,320437-2
6366,969174-1,['SEY'],Secamone schimperiana,969174-1,Species,Secamone schimperiana,969174-1
6367,101387-1,['MDG'],Secamone schinziana,101387-1,Species,Secamone schinziana,101387-1
6368,101388-1,"['BOT', 'ETH', 'KEN', 'NAT', 'MLW', 'MOZ', 'TVL', 'SUD', 'SWZ', 'TAN', 'UGA', 'ZIM']",Secamone schweinfurthii,101388-1,Species,Secamone schweinfurthii,101388-1
6369,77109604-1,['MLY'],Secamone scortechinii,77109604-1,Species,Secamone scortechinii,77109604-1
6370,77109605-1,"['CBD', 'THA']",Secamone siamensis,77109605-1,Species,Secamone siamensis,77109605-1
6371,101391-1,['SOC'],Secamone socotrana,101391-1,Species,Secamone socotrana,101391-1
6372,968273-1,['MDG'],Secamone sparsiflora,968273-1,Species,Secamone sparsiflora,968273-1
6373,77109606-1,"['LAO', 'THA', 'VIE']",Secamone spirei,77109606-1,Species,Secamone spirei,77109606-1
6374,101393-1,"['BUR', 'KEN', 'MLW', 'RWA', 'SUD', 'TAN', 'UGA']",Secamone stuhlmannii,101393-1,Species,Secamone stuhlmannii,101393-1
6375,77172923-1,"['BUR', 'KEN', 'RWA', 'SUD', 'TAN', 'UGA']",Secamone stuhlmannii subsp. stuhlmannii,77172923-1,Subspecies,Secamone stuhlmannii,101393-1
6376,77080285-1,['MLW'],Secamone stuhlmannii subsp. whytei,77080285-1,Subspecies,Secamone stuhlmannii,101393-1
6377,992097-1,['MDG'],Secamone sulfurea,992097-1,Species,Secamone sulfurea,992097-1
6378,1016447-1,['MDG'],Secamone sulfurea subsp. stylosa,1016447-1,Subspecies,Secamone sulfurea,992097-1
6379,77172670-1,['MDG'],Secamone sulfurea subsp. sulfurea,77172670-1,Subspecies,Secamone sulfurea,992097-1
6380,77109592-1,['SUM'],Secamone sumatrana,77109592-1,Species,Secamone sumatrana,77109592-1
6381,968281-1,['MDG'],Secamone supranervis,968281-1,Species,Secamone supranervis,968281-1
6382,101396-1,['MDG'],Secamone tenuifolia,101396-1,Species,Secamone tenuifolia,101396-1
6383,101397-1,['MDG'],Secamone thouarsii,101397-1,Species,Secamone thouarsii,101397-1
6384,101399-1,"['LSI', 'NWG', 'WAU']",Secamone timorensis,101399-1,Species,Secamone timorensis,101399-1
6385,101400-1,['MDG'],Secamone toxocarpoides,101400-1,Species,Secamone toxocarpoides,101400-1
6386,77202563-1,['MDG'],Secamone toxocarpoides var. incana,77202563-1,Variety,Secamone toxocarpoides,101400-1
6387,77214296-1,['MDG'],Secamone toxocarpoides var. toxocarpoides,77214296-1,Variety,Secamone toxocarpoides,101400-1
6388,77067030-1,['MDG'],Secamone trichostemon,77067030-1,Species,Secamone trichostemon,77067030-1
6389,968268-1,['MDG'],Secamone triflora,968268-1,Species,Secamone triflora,968268-1
6390,1016449-1,['MDG'],Secamone tsingycola,1016449-1,Species,Secamone tsingycola,1016449-1
6391,968266-1,['MDG'],Secamone tuberculata,968266-1,Species,Secamone tuberculata,968266-1
6392,968275-1,['MDG'],Secamone unciformis,968275-1,Species,Secamone unciformis,968275-1
6393,101401-1,['MDG'],Secamone uncinata,101401-1,Species,Secamone uncinata,101401-1
6394,101402-1,['MDG'],Secamone uniflora,101402-1,Species,Secamone uniflora,101402-1
6395,968282-1,['MDG'],Secamone urceolata,968282-1,Species,Secamone urceolata,968282-1
6396,60461971-2,['PHI'],Secamone urdanetensis,60461971-2,Species,Secamone urdanetensis,60461971-2
6397,968263-1,['MDG'],Secamone valvata,968263-1,Species,Secamone valvata,968263-1
6398,968279-1,['MDG'],Secamone varia,968279-1,Species,Secamone varia,968279-1
6399,969872-1,['MDG'],Secamone varia var. laxiflora,969872-1,Variety,Secamone varia,968279-1
6400,77172679-1,['MDG'],Secamone varia var. varia,77172679-1,Variety,Secamone varia,968279-1
6401,77077711-1,['SUL'],Secamone variicolor,77077711-1,Species,Secamone variicolor,77077711-1
6402,968280-1,['MDG'],Secamone venosa,968280-1,Species,Secamone venosa,968280-1
6403,915483-1,"['MAU', 'REU']",Secamone volubilis,915483-1,Species,Secamone volubilis,915483-1
6404,77071714-1,['MAU'],Secamone volubilis var. salicifolia,77071714-1,Variety,Secamone volubilis,915483-1
6405,77172900-1,['REU'],Secamone volubilis var. volubilis,77172900-1,Variety,Secamone volubilis,915483-1
6406,101410-1,['MDG'],Secamonopsis madagascariensis,101410-1,Species,Secamonopsis madagascariensis,101410-1
6407,989633-1,['MDG'],Secamonopsis microphylla,989633-1,Species,Secamonopsis microphylla,989633-1
6408,231536-2,"['BOL', 'BZN', 'BZE', 'BZL', 'BZC', 'CLM', 'ECU', 'FRG', 'GUY', 'PAR', 'PER', 'SUR', 'VEN']",Secondatia densiflora,231536-2,Species,Secondatia densiflora,231536-2
6409,231540-2,"['BZN', 'CLM']",Secondatia duckei,231540-2,Species,Secondatia duckei,231540-2
6410,330697-2,"['BZN', 'BZE', 'BZL']",Secondatia floribunda,330697-2,Species,Secondatia floribunda,330697-2
6411,231544-2,['JAM'],Secondatia macnabii,231544-2,Species,Secondatia macnabii,231544-2
6412,330700-2,"['BZN', 'CLM']",Secondatia schlimiana,330700-2,Species,Secondatia schlimiana,330700-2
6413,81783-1,"['CHC', 'CHS']",Sindechites henryi,81783-1,Species,Sindechites henryi,81783-1
6414,101416-1,['NAT'],Sisyranthus anceps,101416-1,Species,Sisyranthus anceps,101416-1
6415,101417-1,"['CPP', 'NAT']",Sisyranthus barbatus,101417-1,Species,Sisyranthus barbatus,101417-1
6416,101418-1,"['CPP', 'NAT']",Sisyranthus compactus,101418-1,Species,Sisyranthus compactus,101418-1
6417,101419-1,['NAT'],Sisyranthus fanniniae,101419-1,Species,Sisyranthus fanniniae,101419-1
6418,101420-1,['NAT'],Sisyranthus franksiae,101420-1,Species,Sisyranthus franksiae,101420-1
6419,77176685-1,"['NAT', 'TVL', 'SWZ']",Sisyranthus huttoniae,77176685-1,Species,Sisyranthus huttoniae,77176685-1
6420,101421-1,"['CPP', 'OFS', 'NAT', 'LES', 'MOZ', 'TVL', 'SWZ', 'ZIM']",Sisyranthus imberbis,101421-1,Species,Sisyranthus imberbis,101421-1
6421,101422-1,['CPP'],Sisyranthus macer,101422-1,Species,Sisyranthus macer,101422-1
6422,101423-1,"['OFS', 'NAT', 'LES', 'TVL', 'SWZ']",Sisyranthus randii,101423-1,Species,Sisyranthus randii,101423-1
6423,101424-1,['ZIM'],Sisyranthus rhodesicus,101424-1,Species,Sisyranthus rhodesicus,101424-1
6424,101426-1,['NAT'],Sisyranthus saundersiae,101426-1,Species,Sisyranthus saundersiae,101426-1
6425,77209398-1,['TVL'],Sisyranthus sekhukhuniensis,77209398-1,Species,Sisyranthus sekhukhuniensis,77209398-1
6426,101428-1,"['CPP', 'NAT']",Sisyranthus trichostomus,101428-1,Species,Sisyranthus trichostomus,101428-1
6427,101429-1,"['CPP', 'NAT', 'SWZ']",Sisyranthus virgatus,101429-1,Species,Sisyranthus virgatus,101429-1
6428,77209397-1,['NAT'],Sisyranthus vryheidensis,77209397-1,Species,Sisyranthus vryheidensis,77209397-1
6429,81785-1,"['CLC', 'CLN']",Skytanthus acutus,81785-1,Species,Skytanthus acutus,81785-1
6430,81786-1,"['BZE', 'BZL']",Skytanthus hancorniifolius,81786-1,Species,Skytanthus hancorniifolius,81786-1
6431,81788-1,"['BZE', 'BZL']",Skytanthus martianus,81788-1,Species,Skytanthus martianus,81788-1
6432,20008734-1,['SOC'],Socotrella dolichocnema,20008734-1,Species,Socotrella dolichocnema,20008734-1
6433,101435-1,"['ALG', 'CHA', 'EGY', 'LBY', 'MLI', 'NGR', 'PAL', 'SAU', 'SIN', 'SUD']",Solenostemma oleifolium,101435-1,Species,Solenostemma oleifolium,101435-1
6434,81791-1,"['BOR', 'CBD', 'LAO', 'MLY', 'THA', 'VIE']",Spirolobium cambodianum,81791-1,Species,Spirolobium cambodianum,81791-1
6435,285479-2,['VEN'],Spongiosperma cataractarum,285479-2,Species,Spongiosperma cataractarum,285479-2
6436,285480-2,"['BZN', 'BZE']",Spongiosperma grandiflorum,285480-2,Species,Spongiosperma grandiflorum,285480-2
6437,285481-2,['BZN'],Spongiosperma longilobum,285481-2,Species,Spongiosperma longilobum,285481-2
6438,945265-1,"['BZN', 'CLM', 'VEN']",Spongiosperma macrophyllum,945265-1,Species,Spongiosperma macrophyllum,945265-1
6439,285483-2,['VEN'],Spongiosperma oleifolium,285483-2,Species,Spongiosperma oleifolium,285483-2
6440,285484-2,"['CLM', 'VEN']",Spongiosperma riparium,285484-2,Species,Spongiosperma riparium,285484-2
6441,911486-1,['TVL'],× Staparesia meintjesii,911486-1,Species,× Staparesia meintjesii,911486-1
6442,101453-1,['CPP'],Stapelia acuminata,101453-1,Species,Stapelia acuminata,101453-1
6443,101468-1,['CPP'],Stapelia arenosa,101468-1,Species,Stapelia arenosa,101468-1
6444,101472-1,['CPP'],Stapelia asterias,101472-1,Species,Stapelia asterias,101472-1
6445,101508-1,['CPP'],Stapelia cedrimontana,101508-1,Species,Stapelia cedrimontana,101508-1
6446,101518-1,['TVL'],Stapelia clavicorona,101518-1,Species,Stapelia clavicorona,101518-1
6447,101527-1,['CPP'],Stapelia concinna,101527-1,Species,Stapelia concinna,101527-1
6448,101561-1,['CPP'],Stapelia divaricata,101561-1,Species,Stapelia divaricata,101561-1
6449,101569-1,['CPP'],Stapelia engleriana,101569-1,Species,Stapelia engleriana,101569-1
6450,101572-1,['CPP'],Stapelia erectiflora,101572-1,Species,Stapelia erectiflora,101572-1
6451,101581-1,"['CPP', 'NAM']",Stapelia flavopurpurea,101581-1,Species,Stapelia flavopurpurea,101581-1
6452,101593-1,"['BOT', 'MOZ', 'TVL', 'ZIM']",Stapelia gettliffei,101593-1,Species,Stapelia gettliffei,101593-1
6453,101594-1,"['BOT', 'NAT', 'MLW', 'MOZ', 'TVL', 'SWZ', 'ZAM', 'ZIM', 'HAW', 'IND', 'KEN', 'TAN']",Stapelia gigantea,101594-1,Species,Stapelia gigantea,101594-1
6454,101599-1,['CPP'],Stapelia glanduliflora,101599-1,Species,Stapelia glanduliflora,101599-1
6455,101605-1,"['CPP', 'OFS', 'LES', 'TVL', 'IND']",Stapelia grandiflora,101605-1,Species,Stapelia grandiflora,101605-1
6456,77078177-1,['CPP'],Stapelia grandiflora var. conformis,77078177-1,Variety,Stapelia grandiflora,101605-1
6457,77173289-1,"['CPP', 'OFS', 'LES', 'TVL', 'IND']",Stapelia grandiflora var. grandiflora,77173289-1,Variety,Stapelia grandiflora,101605-1
6458,101613-1,"['CPP', 'NAM']",Stapelia hirsuta,101613-1,Species,Stapelia hirsuta,101613-1
6459,77078176-1,"['CPP', 'NAM']",Stapelia hirsuta var. gariepensis,77078176-1,Variety,Stapelia hirsuta,101613-1
6460,77172797-1,['CPP'],Stapelia hirsuta var. hirsuta,77172797-1,Variety,Stapelia hirsuta,101613-1
6461,77190059-1,['CPP'],Stapelia hirsuta var. praetermissa,77190059-1,Variety,Stapelia hirsuta,101613-1
6462,77078173-1,['CPP'],Stapelia hirsuta var. tsomoensis,77078173-1,Variety,Stapelia hirsuta,101613-1
6463,77078175-1,['CPP'],Stapelia hirsuta var. vetula,77078175-1,Variety,Stapelia hirsuta,101613-1
6464,101637-1,"['BOT', 'MOZ', 'NAM', 'TVL', 'ZIM']",Stapelia kwebensis,101637-1,Species,Stapelia kwebensis,101637-1
6465,101642-1,"['NAT', 'TVL', 'SWZ']",Stapelia leendertziae,101642-1,Species,Stapelia leendertziae,101642-1
6466,101672-1,['TVL'],Stapelia × meintjiesii,101672-1,Species,Stapelia × meintjiesii,101672-1
6467,905325-1,['CPP'],Stapelia obducta,905325-1,Species,Stapelia obducta,905325-1
6468,101705-1,"['CPP', 'OFS']",Stapelia olivacea,101705-1,Species,Stapelia olivacea,101705-1
6469,101714-1,['CPP'],Stapelia paniculata,101714-1,Species,Stapelia paniculata,101714-1
6470,77078172-1,['CPP'],Stapelia paniculata subsp. kougabergensis,77078172-1,Subspecies,Stapelia paniculata,101714-1
6471,77172723-1,['CPP'],Stapelia paniculata subsp. paniculata,77172723-1,Subspecies,Stapelia paniculata,101714-1
6472,77078171-1,['CPP'],Stapelia paniculata subsp. scitula,77078171-1,Subspecies,Stapelia paniculata,101714-1
6473,101722-1,['ANG'],Stapelia parvula,101722-1,Species,Stapelia parvula,101722-1
6474,101727-1,['NAM'],Stapelia pearsonii,101727-1,Species,Stapelia pearsonii,101727-1
6475,101734-1,['CPP'],Stapelia pillansii,101734-1,Species,Stapelia pillansii,101734-1
6476,101766-1,['NAM'],Stapelia remota,101766-1,Species,Stapelia remota,101766-1
6477,101775-1,['CPP'],Stapelia rubiginosa,101775-1,Species,Stapelia rubiginosa,101775-1
6478,101776-1,['CPP'],Stapelia rufa,101776-1,Species,Stapelia rufa,101776-1
6479,101787-1,"['ANG', 'NAM']",Stapelia schinzii,101787-1,Species,Stapelia schinzii,101787-1
6480,60436789-2,"['ANG', 'NAM']",Stapelia schinzii var. angolensis,60436789-2,Variety,Stapelia schinzii,101787-1
6481,924568-1,['NAM'],Stapelia schinzii var. bergeriana,924568-1,Variety,Stapelia schinzii,101787-1
6482,77173250-1,['NAM'],Stapelia schinzii var. schinzii,77173250-1,Variety,Stapelia schinzii,101787-1
6483,101793-1,"['CPP', 'NAM']",Stapelia similis,101793-1,Species,Stapelia similis,101793-1
6484,101806-1,['CPP'],Stapelia surrecta,101806-1,Species,Stapelia surrecta,101806-1
6485,101829-1,"['NAT', 'MOZ', 'SWZ']",Stapelia unicornis,101829-1,Species,Stapelia unicornis,101829-1
6486,101840-1,['CPP'],Stapelia villetiae,101840-1,Species,Stapelia villetiae,101840-1
6487,101849-1,['MDG'],Stapelianthus arenarius,101849-1,Species,Stapelianthus arenarius,101849-1
6488,101852-1,['MDG'],Stapelianthus decaryi,101852-1,Species,Stapelianthus decaryi,101852-1
6489,101854-1,['MDG'],Stapelianthus insignis,101854-1,Species,Stapelianthus insignis,101854-1
6490,101855-1,['MDG'],Stapelianthus keraudreniae,101855-1,Species,Stapelianthus keraudreniae,101855-1
6491,101857-1,['MDG'],Stapelianthus madagascariensis,101857-1,Species,Stapelianthus madagascariensis,101857-1
6492,101858-1,['MDG'],Stapelianthus montagnacii,101858-1,Species,Stapelianthus montagnacii,101858-1
6493,101859-1,['MDG'],Stapelianthus pilosus,101859-1,Species,Stapelianthus pilosus,101859-1
6494,909711-1,['CPP'],Stapeliopsis breviloba,909711-1,Species,Stapeliopsis breviloba,909711-1
6495,909712-1,['CPP'],Stapeliopsis exasperata,909712-1,Species,Stapeliopsis exasperata,909712-1
6496,20010943-1,['CPP'],Stapeliopsis khamiesbergensis,20010943-1,Species,Stapeliopsis khamiesbergensis,20010943-1
6497,101863-1,"['CPP', 'NAM']",Stapeliopsis neronis,101863-1,Species,Stapeliopsis neronis,101863-1
6498,909713-1,['CPP'],Stapeliopsis pillansii,909713-1,Species,Stapeliopsis pillansii,909713-1
6499,909714-1,['CPP'],Stapeliopsis saxatilis,909714-1,Species,Stapeliopsis saxatilis,909714-1
6500,20010944-1,['CPP'],Stapeliopsis stayneri,20010944-1,Species,Stapeliopsis stayneri,20010944-1
6501,101864-1,"['CPP', 'NAM']",Stapeliopsis urniflora,101864-1,Species,Stapeliopsis urniflora,101864-1
6502,77151927-1,['CPP'],× Stapvalia oskopensis,77151927-1,Species,× Stapvalia oskopensis,77151927-1
6503,101865-1,"['ETH', 'SUD', 'TAN', 'UGA']",Stathmostelma angustatum,101865-1,Species,Stathmostelma angustatum,101865-1
6504,77173281-1,['ETH'],Stathmostelma angustatum subsp. angustatum,77173281-1,Subspecies,Stathmostelma angustatum,101865-1
6505,1004201-1,"['SUD', 'TAN', 'UGA']",Stathmostelma angustatum subsp. vomeriforme,1004201-1,Subspecies,Stathmostelma angustatum,101865-1
6506,1004202-1,"['ETH', 'KEN', 'TAN']",Stathmostelma diversifolium,1004202-1,Species,Stathmostelma diversifolium,1004202-1
6507,101868-1,"['ANG', 'BOT', 'MLW', 'TAN', 'ZAM', 'ZIM']",Stathmostelma fornicatum,101868-1,Species,Stathmostelma fornicatum,101868-1
6508,77173335-1,"['ANG', 'BOT', 'MLW', 'ZAM', 'ZIM']",Stathmostelma fornicatum subsp. fornicatum,77173335-1,Subspecies,Stathmostelma fornicatum,101868-1
6509,1004199-1,['TAN'],Stathmostelma fornicatum subsp. tridentatum,1004199-1,Subspecies,Stathmostelma fornicatum,101868-1
6510,101870-1,"['KEN', 'MLW', 'TAN', 'ZAM']",Stathmostelma gigantiflorum,101870-1,Species,Stathmostelma gigantiflorum,101870-1
6511,101872-1,['ANG'],Stathmostelma incarnatum,101872-1,Species,Stathmostelma incarnatum,101872-1
6512,1004203-1,['ZAI'],Stathmostelma katangense,1004203-1,Species,Stathmostelma katangense,1004203-1
6513,101880-1,"['KEN', 'MLW', 'MOZ', 'TAN', 'ZAM', 'ZAI', 'ZIM']",Stathmostelma pauciflorum,101880-1,Species,Stathmostelma pauciflorum,101880-1
6514,101881-1,"['CMN', 'ETH', 'KEN', 'MOZ', 'RWA', 'SUD', 'TAN', 'UGA', 'ZAI']",Stathmostelma pedunculatum,101881-1,Species,Stathmostelma pedunculatum,101881-1
6515,101883-1,['TAN'],Stathmostelma propinquum,101883-1,Species,Stathmostelma propinquum,101883-1
6516,101885-1,"['KEN', 'SUD', 'TAN', 'UGA']",Stathmostelma rhacodes,101885-1,Species,Stathmostelma rhacodes,101885-1
6517,101886-1,"['MLW', 'TAN', 'ZAM', 'ZAI', 'ZIM']",Stathmostelma spectabile,101886-1,Species,Stathmostelma spectabile,101886-1
6518,1004198-1,"['TAN', 'ZAM', 'ZAI']",Stathmostelma spectabile subsp. frommii,1004198-1,Subspecies,Stathmostelma spectabile,101886-1
6519,77172898-1,"['MLW', 'TAN', 'ZAM', 'ZIM']",Stathmostelma spectabile subsp. spectabile,77172898-1,Subspecies,Stathmostelma spectabile,101886-1
6520,77120696-1,['TAN'],Stathmostelma stipitatum,77120696-1,Species,Stathmostelma stipitatum,77120696-1
6521,101890-1,"['ANG', 'ETH', 'GAB', 'SUD', 'TAN', 'UGA', 'ZAM', 'ZAI']",Stathmostelma welwitschii,101890-1,Species,Stathmostelma welwitschii,101890-1
6522,1004200-1,"['SUD', 'TAN', 'UGA', 'ZAI']",Stathmostelma welwitschii var. bagshawei,1004200-1,Variety,Stathmostelma welwitschii,101890-1
6523,77172668-1,"['ANG', 'ETH', 'GAB', 'TAN', 'ZAM', 'ZAI']",Stathmostelma welwitschii var. welwitschii,77172668-1,Variety,Stathmostelma welwitschii,101890-1
6524,101891-1,['ZAI'],Stathmostelma wildemanianum,101891-1,Species,Stathmostelma wildemanianum,101891-1
6525,244334-2,['MXS'],Stelmagonum hahnianum,244334-2,Species,Stelmagonum hahnianum,244334-2
6526,101902-1,"['BOT', 'CPP', 'OFS', 'NAM', 'TVL', 'ZAM', 'ZIM']",Stenostelma capense,101902-1,Species,Stenostelma capense,101902-1
6527,101904-1,"['CPP', 'OFS', 'NAT', 'LES', 'MOZ', 'TVL', 'SWZ']",Stenostelma corniculatum,101904-1,Species,Stenostelma corniculatum,101904-1
6528,77187224-1,"['CPP', 'OFS', 'TVL']",Stenostelma eustegioides,77187224-1,Species,Stenostelma eustegioides,77187224-1
6529,77187226-1,['TVL'],Stenostelma ligulatum,77187226-1,Species,Stenostelma ligulatum,77187226-1
6530,77187225-1,"['OFS', 'NAT', 'TVL']",Stenostelma periglossoides,77187225-1,Species,Stenostelma periglossoides,77187225-1
6531,77187227-1,['NAT'],Stenostelma urceolatum,77187227-1,Species,Stenostelma urceolatum,77187227-1
6532,81833-1,['MDG'],Stephanostegia capuronii,81833-1,Species,Stephanostegia capuronii,81833-1
6533,81834-1,['MDG'],Stephanostegia hildebrandtii,81834-1,Species,Stephanostegia hildebrandtii,81834-1
6534,81838-1,['TAN'],Stephanostema stenocarpum,81838-1,Species,Stephanostema stenocarpum,81838-1
6535,101908-1,['MDG'],Stephanotis acuminata,101908-1,Species,Stephanotis acuminata,101908-1
6536,77204413-1,"['MDG', 'BAN', 'CUB', 'DOM', 'HAI', 'IND', 'LEE', 'MYA', 'PUE', 'TRT']",Stephanotis floribunda,77204413-1,Species,Stephanotis floribunda,77204413-1
6537,101912-1,['MDG'],Stephanotis grandiflora,101912-1,Species,Stephanotis grandiflora,101912-1
6538,101923-1,['MDG'],Stephanotis thouarsii,101923-1,Species,Stephanotis thouarsii,101923-1
6539,101926-1,['NAM'],Stigmatorhynchus hereroensis,101926-1,Species,Stigmatorhynchus hereroensis,101926-1
6540,101928-1,['TAN'],Stigmatorhynchus umbellifer,101928-1,Species,Stigmatorhynchus umbellifer,101928-1
6541,81843-1,"['BOL', 'BZE', 'BZL', 'BZC']",Stipecoma peltigera,81843-1,Species,Stipecoma peltigera,81843-1
6542,102026-1,"['BOT', 'CON', 'NAT', 'MLW', 'MOZ', 'TVL', 'SWZ', 'ZAM', 'ZIM']",Stomatostemma monteiroae,102026-1,Species,Stomatostemma monteiroae,102026-1
6543,936880-1,['MOZ'],Stomatostemma pendulina,936880-1,Species,Stomatostemma pendulina,936880-1
6544,246425-2,['JAM'],Strempeliopsis arborea,246425-2,Species,Strempeliopsis arborea,246425-2
6545,81849-1,['CUB'],Strempeliopsis strempelioides,81849-1,Species,Strempeliopsis strempelioides,81849-1
6546,102034-1,['PHI'],Streptocaulon cumingii,102034-1,Species,Streptocaulon cumingii,102034-1
6547,102040-1,"['CBD', 'CHC', 'CHS', 'LAO', 'MLY', 'MYA', 'THA', 'VIE']",Streptocaulon juventas,102040-1,Species,Streptocaulon juventas,102040-1
6548,102041-1,"['CBD', 'IND', 'LAO', 'THA', 'VIE']",Streptocaulon kleinii,102041-1,Species,Streptocaulon kleinii,102041-1
6549,102045-1,"['ASS', 'BAN', 'EHM', 'IND']",Streptocaulon sylvestre,102045-1,Species,Streptocaulon sylvestre,102045-1
6550,102048-1,"['CBD', 'MLY', 'PHI', 'THA', 'VIE']",Streptocaulon wallichii,102048-1,Species,Streptocaulon wallichii,102048-1
6551,77124832-1,"['CHH', 'THA', 'VIE']",Streptoechites chinensis,77124832-1,Species,Streptoechites chinensis,77124832-1
6552,81853-1,"['ANG', 'CAB', 'NAM', 'ZAI']",Strophanthus amboensis,81853-1,Species,Strophanthus amboensis,81853-1
6553,81857-1,['ZAI'],Strophanthus arnoldianus,81857-1,Species,Strophanthus arnoldianus,81857-1
6554,81860-1,"['CMN', 'GAB', 'GHA', 'GUI', 'IVO', 'LBR', 'NGA']",Strophanthus barteri,81860-1,Species,Strophanthus barteri,81860-1
6555,81861-1,"['RWA', 'UGA', 'ZAI']",Strophanthus bequaertii,81861-1,Species,Strophanthus bequaertii,81861-1
6556,81862-1,['MDG'],Strophanthus boivinii,81862-1,Species,Strophanthus boivinii,81862-1
6557,81865-1,"['CAB', 'CMN', 'CON', 'GAB', 'GGI', 'NGA', 'ZAI']",Strophanthus bullenianus,81865-1,Species,Strophanthus bullenianus,81865-1
6558,81867-1,"['AND', 'BOR', 'CBD', 'CHS', 'JAW', 'LAO', 'LSI', 'MLY', 'MOL', 'MYA', 'NWG', 'NCB', 'PHI', 'SUL', 'SUM', 'THA', 'VIE', 'TAI']",Strophanthus caudatus,81867-1,Species,Strophanthus caudatus,81867-1
