Information ,Genus,Species,Cardenolides/Steroids?,Description,Ref.,Notes,,,,,,,,,,,,,,,,,,,,Native range:,,,,,,History of antimalarial use?
,Hoya,verticillata var. verticillata,Yes,Steroids,107,"Species listed as Hoya parasitica (synonym), 107",,,,,,,,,,,,,,,,,,,,Indian Subcontinent to S. China and W. & Central Malesia,,,,,,
NRIF (77 spp.),Huernia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (12 spp.),Hunteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Hylaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Hypolobus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (28 spp.),Ibatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Ichnocarpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ischnolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Isonema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Ixodonerium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/13),Jasminanthes,mucronata (Blanco) W.D.Stevens & P.T.Li,Yes,"Steroids and steroidal esters of anthranilic and nicotinic acid (aerial parts, roots, stems)","181, 182, 183, 184","Steroidal esters alkaloids (aerial parts, roots, stems), 181, 182, 183, 184, species listed as Stephanotis japonica (synonym), 181, Stephanotis lutchuensis var. japonica (synonym?), 182, and Stephanotis mucronata (synonym), 183, 183",,,,,,,,,,,,,,,,,,,,"S. China, S. Central & S. Japan to Taiwan",,,,,,
NRIF (25 spp.),Jobinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Kamettia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Kanahia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Kerbera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/15),Kibatalia,laurifolia (Ridl.) Woodson,Yes,One steroid (leaves),109,"Steroidal alkaloids (leaves) co-occur in this species, 109",,,,,,,,,,,,,,,,,,,,Indo-China to NW. Peninsula Malaysia,,,,,,
NRIF (24 spp.),Kopsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (11 spp.),Lachnostoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (24 spp.),Lacmellea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (63 spp.),Landolphia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Larryleachia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Laubertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Lavrania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Laxoplumeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Lepinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Lepiniopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (3/6),Leptadenia,lanceolata (Poir.) Goyder,Yes,"Steroids, steroid glycosides, steroidal esters of nicotinic acid (bark)",111,"Steroid ester alkaloids (bark), 111, species listed as Leptadenia hastata (synonym), 111",,,,,,,,,,,,,,,,,,,,W. Tropical Africa to Egypt and Tanzania,,,,,,Yes
,Leptadenia,pyrotechnica (Forssk.) Decne.,Yes,"Steroid glycosides, steroidal esters of nicotinic acid (whole plant)",110,"Steroid ester alkaloids (whole plant), 110",,,,,,,,,,,,,,,,,,,,Sahara to Iran and NW. India,,,,,,
,Leptadenia,reticulata (Retz.) Wight & Arn.,Yes,"Steroids, steroid glycosides (aerial parts)",112,,,,,,,,,,,,,,,,,,,,,Indian Subcontinent to Indo-China,,,,,,
NRIF (4 spp.),Leuconotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Lygisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Maclaudia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Macoubea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (15 spp.),Macropharynx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (16 spp.),Macroscepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Mahawoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (31 spp.),Malouetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (3/179),Mandevilla,illustris (Vell.) Woodson,Yes,steroid derivatives and their glycosides (rhizomes),"115, 116",,,,,,,,,,,,,,,,,,,,,E. Bolivia to Brazil and Paraguay,,,,,,
,Mandevilla,pentlandiana (DC.) Woodson,Yes,"cardenolide glycosides, steroid glycoside derivatives (roots)","113, 114",,,,,,,,,,,,,,,,,,,,,Peru to N. Argentina,,,,,,
,Mandevilla,pohliana (Stadelm.) A.H.Gentry,Yes,steroid derivatives and their glycosides (rhizomes),"117, 118","Species listed as Mandevilla velutina (synonym), 117, 118",,,,,,,,,,,,,,,,,,,,Brazil to NW. Argentina and Bolivia,,,,,,
NRIF (2 spp.),Manothrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Margaretta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (15/296),Marsdenia,cundurango Rchb. f.,Yes,"Steroids, steroid glycosides (bark)",119,,,,,,,,,,,,,,,,,,,,,Colombia to Peru,,,,,,
,Marsdenia,flavescens A.Cunn. ex Hook.,Yes,Steroids (whole plant?),128,,,,,,,,,,,,,,,,,,,,,SE. Queensland to E. Victoria,,,,,,
,Marsdenia,formosana Masam.,Yes,Steroid glycosides (whole plant?),136,,,,,,,,,,,,,,,,,,,,,"S. Nansei-shoto to Taiwan, China (Yunnan)",,,,,,
,Marsdenia ,gazensis S.Moore,Yes,"Cardenolides, cardenolide glycosides (roots, wood)","87, 88","Species listed as Gongronema gazense, 87, 88",,,,,,,,,,,,,,,,,,,,E. Zimbabwe to Mozambique,,,,,,
,Marsdenia,hainanensis Tsiang,Yes,"Steroidal esters of nicotinic acid (stems, twigs)",135,"Steroid ester alkaloids (stems, twigs), 135",,,,,,,,,,,,,,,,,,,,"China (Hunan), Hainan, Vietnam",,,,,,
,Marsdenia,incisa P.T. Li & Y.H. Li,Yes,Steroid glycosides,125,,,,,,,,,,,,,,,,,,,,,"China (S. Yunnan, Guangxi ?)",,,,,,
,Marsdenia,koi Tsiang,Yes,Steroid glycosides,129,,,,,,,,,,,,,,,,,,,,,S. China to Indo-China,,,,,,
,Marsdenia ,latifolia (Benth.) K.Schum.,Yes,Steroid glycosides (leaves),90,"Species listed as Gongronema latifolium (synonym), 90",,,,,,,,,,,,,,,,,,,,W. Tropical Africa to W. Tanzania and Zambia,,,,,,Yes
,Marsdenia,oreophila W.W. Sm.,Yes,Steroid glycosides,"130, 132",,,,,,,,,,,,,,,,,,,,,"Tibet to China (Sichuan, Yunnan)",,,,,,
,Marsdenia,rostrata R. Br.,Yes,Steroidal esters of nicotinic acid (whole plant?),127,"Steroid ester alkaloids (whole plant), 127",,,,,,,,,,,,,,,,,,,,"E. Queensland to E. Vicotria, Lord Howe Island",,,,,,
,Marsdenia,roylei Wight,Yes,"Steroids, steroid glycosides (stems)",120,,,,,,,,,,,,,,,,,,,,,NE. Pakistan to Myanmar,,,,,,
,Marsdenia,tenacissima (Roxb.) Moon,Yes,"Steroids, steroid glycosides (stems (canes))","121, 122, 123, 124",Many more refs available,,,,,,,,,,,,,,,,,,,,Indian Subcontinent to China (Yunnan) and Indo-China,,,,,,
,Marsdenia,taylorii Schltr. & Rendle,Yes,"Steroids, steroid glycosides (whole plant?)",89,"Species listed as Gongronema taylorii (synonym), 89",,,,,,,,,,,,,,,,,,,,SE. Kenya to E. Tanzania,,,,,,
,Marsdenia,tinctoria R. Br.,Yes,Steroidal esters of nicotinic acid (stems),134,"Steroid ester alkaloids (stems), 134, and other alkaloids (whole plant) co-occur in this species, 255 ",,,,,,,,,,,,,,,,,,,,Tropical & Subtropical Asia,,,,,,
,Marsdenia,tomentosa C. Morren & Decne.,Yes,"Steroids, steroid glycosides, steroidal esters of nicotinic acid (leaves, stems (caules))","126, 131","Steroid ester alkaloids (leaves, stems (caules)), 126, 131",,,,,,,,,,,,,,,,,,,,Temp. E. Asia,,,,,,
NRIF (8 spp.),Mascarenhasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (268 spp.),Matelea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (24 spp.),Melodinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Mesechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (100 spp.),Metastelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (13 spp.),Micrechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (11 spp.),Microloma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Microplumeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (22 spp.),Minaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Miraglossum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Molongum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Mondia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/5),Monolluma,quadrangula (Forssk.) Plowes,Yes,Steroid glycosides (aerial parts),241,"Species listed as Caralluma quandrangula (synonym), 241",,,,,,,,,,,,,,,,,,,,Arabian Peninsula,,,,,,
NRIF (2 spp.),Monsanima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Morilloa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Mortoniella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Motandra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Mucoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Myriopteron,extensum (Wight) K.Schum.,Yes,"Cardenolide glycosides, steroid glycosides (pericarps, roots, whole plant)","137, 138, 139",,,,,,,,,,,,,,,,,,,,,"NE. India to S. China and Indo-China, Java",,,,,,
NRIF (1 sp.),Nautonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Neobracea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Neocouma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Neoschumannia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Nephradenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (1/1),Nerium,oleander L.,Yes,"Cardenolides, cardenolide glycosides, steroids (leaves, root bark, stems, twigs, wood?)","5, 140, 141, 142, 143, 144","Species listed as Nerium odorum (synonym), 5, 144",,,,,,,,,,,,,,,,,,,,Medit. to Myanmar,,,,,,Yes
NRIF (1 sp.),Notechidnopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (44 spp.),Ochrosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (21 spp.),Odontadenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Oistonema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Oncinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Oncinotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ophionella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (60 spp.),Orbea,variegata (L.) Haw. ,Yes,Steroid glycosides (aerial parts),"180, 224","Species listed as Stapelia variegata (synonym), 180, 224",,,,,,,,,,,,,,,,,,,,SW. & S. Cape Prov.,,,,,,
NRIF (3 spp.),Oreosparte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Orinoquia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Orthanthera,viminea Wight,Yes,"Steroids, steroid glycosides (twigs)","145, 146","Genus listed as Orthenthera, 145, 146 ",,,,,,,,,,,,,,,,,,,,W. & Central Himalaya to India,,,,,,
NRIF (6 spp.),Orthopichonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (38 spp.),Orthosia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (135 spp.),Oxypetalum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/2),Oxystelma,esculentum (L. f.) Sm.,Yes,"Cardenolide glycosides, steroid glycosides (leaves, roots)","147, 148, 149",,,,,,,,,,,,,,,,,,,,,"Egypt to NE. Tanzania, SW. Yemen, Sinai to S. China and W. Malesia, N. Australia",,,,,,
spp. listed (3/39),Pachycarpus,distinctus (N. E. Br) Bullock,Yes,"Cardenolides, cardenolide glycosides (roots)",150,,,,,,,,,,,,,,,,,,,,,S. Tanzania,,,,,,
,Pachycarpus,lineolatus (Decne.) Bullock,Yes,Steroids (roots),152,,,,,,,,,,,,,,,,,,,,,Tropical Africa to N. Namibia,,,,,,
,Pachycarpus,schinzianus (Schltr.) N. E. Br.,Yes,"Cardenolides, cardenolide glycosides (roots, seeds)",151,,,,,,,,,,,,,,,,,,,,,Northern Prov. to KwaZulu-Natal,,,,,,
NRIF (22 spp.),Pachypodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Pacouria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Papuahoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Papuechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Parahancornia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Parapodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (1/1),Parepigynum,funingense Tsiang et P. T. Li,Yes,"Cardenolides, cardenolide glycosides, cardanolides, cardanolide glycosides (roots)","153, 154, 155, 156",,,,,,,,,,,,,,,,,,,,,"China (Guizhou, SW. Yunnan) to N. Vietnam",,,,,,
NRIF (85 spp.),Parsonsia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Pattalias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Pectinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Pentacyphus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/2),Pentalinon,andrieuxii (Müll. Arg.) B. F. Hansen & Wunderlin,Yes,"Steroids, one steroid glycoside (roots)",157,,,,,,,,,,,,,,,,,,,,,Central Mexico to Nicaragua,,,,,,
,Pentalinon,luteum (L.) B.F.Hansen & Wunderlin,Yes,Cardenolide glycosides (leaves),158,"species listed as Urechites lutea, probably Urechites luteum (synonym), 158",,,,,,,,,,,,,,,,,,,,S. Florida to Caribbean,,,,,,
NRIF (4 spp.),Pentasacme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Pentatropis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/23),Pentopetia,androsaemifolia Decne.,Yes,"One cardenolide, one cardenolide glycoside",159,,,,,,,,,,,,,,,,,,,,,"Comoros, Assumption, Madagascar",,,,,,
NRIF (9 spp.),Peplonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (2+/2),Pergularia,daemia (Forssk.) Chiov.,Yes,"Cardenolides, cardenolide glycoside (resin?)",160,,,,,,,,,,,,,,,,,,,,,"Tropical & S. Africa, Sinai to Arabian Peninsula, Iran to W. Indo-China",,,,,,Yes
,Pergularia,daemia subsp. daemia,Yes,"Cardenolides, cardenolide glycoside (resin?)",160,"accepted subspecies, listed as Pergularia extensa (synonym), 160",,,,,,,,,,,,,,,,,,,,"Tropical & S. Africa, Sinai to Arabian Peninsula, Iran to W. Indo-China",,,,,,
,Pergularia,tomentosa L.,Yes,"Cardenolides, cardenolide glycosides (roots)","161, 162",,,,,,,,,,,,,,,,,,,,,Sahara to India (Gujarat),,,,,,
NRIF (3 spp.),Periglossum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (5/17),Periploca,calophylla (Wight) Falc.,Yes,"Steroids, steroid glycosides (twigs)","169, 170",,,,,,,,,,,,,,,,,,,,,Indian Subcontinent to S. China,,,,,,
,Periploca,"chrysantha D.S. Yao, X.D. Chen & J.W. Ren",Yes,Steroid glycosides (root bark),172,,,,,,,,,,,,,,,,,,,,,China (Gansu),,,,,,
,Periploca,forrestii Schltr.,Yes,"Cardenolide glycosides, steroid glycosides (roots)",164,,,,,,,,,,,,,,,,,,,,,Himalaya to Qinghai and S. China,,,,,,
,Periploca,graeca L.,Yes,Steroid glycosides (branches),171,,,,,,,,,,,,,,,,,,,,,SE. Europe to N. Iran,,,,,,
,Periploca,sepium Bunge,Yes,"Cardenolides, cardenolide glycosides, steroids, steroid glycosides (root bark, whole plant)","164, 165, 166, 167, 168",many more refs available,,,,,,,,,,,,,,,,,,,,Russian Far East to China,,,,,,
NRIF (1 sp.),Peruviasclepias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Pervillaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (10 spp.),Petalostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Petchia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (7 spp.),Phaeostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Pherotrichis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (42 spp.),Philibertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (10 spp.),Phyllanthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (9 spp.),Piaranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Picralima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Pinochia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Plectaneia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Pleiocarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Pleioceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/19),Plumeria,obtusa L.,Yes,"Cardenolides, steroids (leaves, stem bark)",173,,,,,,,,,,,,,,,,,,,,,"Florida Keys, Caribbean, SE. Mexico to Guatemala",,,,,,
NRIF (5 spp.),Polystemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/3),Pottsia,laxiflora,Yes,One steroid (roots),174,,,,,,,,,,,,,,,,,,,,,Assam to S. China and Lesser Sunda Islands (Bali),,,,,,
spp. listed (5/65),Prestonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Pruskortizia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Pseudolachnostoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Pseudolithos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Pteralyxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Ptycanthera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Pycnobotrya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Pycnorhachis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (20 spp.),Quaqua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (36 spp.),Raphionacme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (74 spp.),Rauvolfia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Rhabdadenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Rhazya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Rhigospira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Rhyssolobium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (17 spp.),Rhytidocaulon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Rhytidostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Richtersveldia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (10 spp.),Riocreuxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Riparoampelos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Rojasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Rotundanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (56 spp.),Ruehssia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Saba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Sacleuxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (20 spp.),Sarcolobus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Sarcorrhiza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Schistonema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (26 spp.),Schizoglossum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Schizostephanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Schizozygia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Schlechterella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Schubertia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (28 spp.),Scyphostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (139 spp.),Secamone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Secamonopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (5 spp.),Secondatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Sindechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (15 spp.),Sisyranthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (3 spp.),Skytanthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Socotrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All spp. listed (1/1),Solenostemma,oleifolium (Nectoux) Bullock & E. A. Bruce ex Maire,Yes,"Steroids, steroid glycosides and derivatives (aerial parts, hairy seeds, leaves, pericarps)","175, 176, 177, 178, 179","species listed as solenostemma argel (synonym), 175, 176, 177, 178, 179 many more refs available",,,,,,,,,,,,,,,,,,,,Sahara to NW. Saudi Arabia,,,,,,
NRIF (1 sp.),Spirolobium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Spongiosperma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (2/31),Stapelia,gigantea N.E.Br.,Yes,Steroid glycosides (seeds),226,,,,,,,,,,,,,,,,,,,,,S. Tropical & S. Africa,,,,,,
,Stapelia,grandiflora Masson,Yes,Steroids (whole plant),225,,,,,,,,,,,,,,,,,,,,,S. Africa,,,,,,
NRIF (7 spp.),Stapelianthus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (8 spp.),Stapeliopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (14 spp.),Stathmostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Stelmagonum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (6 spp.),Stenostelma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Stephanostegia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Stephanostema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (4 spp.),Stephanotis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Stigmatorhynchus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (1 sp.),Stipecoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Stomatostemma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRIF (2 spp.),Strempeliopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (1/5),Streptocaulon,juventas (Lour.) Merr.,Yes,"Cardenolide glycosides, steroids (roots)","185, 186, 187, 188, 189, 190","Species also listed as Streptocaulon griffithii (synonym), 188, 190, and Streptocaulon tomentosum (synonym), 189",,,,,,,,,,,,,,,,,,,,S. China to Peninsula Malaysia,,,,,,Yes
NRIF (1 sp.),Streptoechites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spp. listed (12/39),Strophanthus,boivinii Baill.,Yes,"Cardenloide glycosides (bark, roots, wood)",191,"Species also listed as Roupellina boivinii (synonym), 191",,,,,,,,,,,,,,,,,,,,Madagascar,,,,,,
,Strophanthus,divaricatus (Lour.) Hook. & Arn.,Yes,Cardenolide glycosides (seeds),203,,,,,,,,,,,,,,,,,,,,,S. China to N. Vietnam,,,,,,
,Strophanthus,eminii Asch. ex Pax,Yes,Cardenolide glycosides (seeds),201,,,,,,,,,,,,,,,,,,,,,Tanzania to N. Zambia,,,,,,Yes
,Strophanthus,gracilis K.Schum. & Pax,Yes,"Cardenloide glycosides (bark, roots, wood)",192,,,,,,,,,,,,,,,,,,,,,Nigeria to Gabon,,,,,,
,Strophanthus,gratus (Wall. & Hook.) Baill.,Yes,Cardenolide glycosides (seeds),"193, 194, 199",,,,,,,,,,,,,,,,,,,,,W. & W. Central Tropical Africa,,,,,,
,Strophanthus,kombe Oliv.,Yes,Cardenolide glycosides (seeds),197,,,,,,,,,,,,,,,,,,,,,Kenya to S. Africa,,,,,,
,Strophanthus,ledienii Stein,Yes,Cardenolide glycosides (seeds),200,,,,,,,,,,,,,,,,,,,,,"W. DR Congo, NW. Angola",,,,,,
,Strophanthus,nicholsonii Holmes,Yes,Cardenolide glycosides (seeds),198,,,,,,,,,,,,,,,,,,,,,S. Tropical Africa,,,,,,
