Genera,spines (present (y) or absent(x),"latex (white, clear, red, orange, yellow)",corolla overlap (left (l) or right(r)),"predominant habit (shrub (sh), subshrub (subsh), liana (li), tree(tr), succ (sc), herb (hb)",Comment,Ref
Mitracarpus,,,,,,
Mitragyna,,,,tree,,
Mondia,x,w,r,liana,,
Monolluma,x,c,r,succulent,,
Morinda,,,,,,
Motandra,x,w,r,liana,,
Mussaenda,,,,shrub/liana,,
Mycetia,,,,subshrub/shrub,,
Myrmeconauclea,,,,shrub,,
Nauclea,,,,tree,,
Neanotis,,,,subshrub/liana,,
Neolamarckia,,,,tree,,
Neonauclea,,,,tree,,
Notopleura,,,,,,
Ochreinauclea,,,,shrub,,
Ochrosia,x,w,l,tree,,
Oldenlandia,,,,subshrub,,
Ophiorrhiza,,,,subshrub,,
Otiophora,,,,subshrub,,
Pachypodium,y,c,r,succulent/herb/tree,,
Paederia,,,,liana,,
Pagamea,,,,,,
Palicourea,,,,shrub/tree/subshrub,,
Parahancornia,x,w,l,tree/shrub,,
Pavetta,,,,shrub/tree,,
Pentagonia,,,,shrub/tree,,
Pentalinon,x,w,r,liana,,
Pentanisia,,,,subshrub,,
Pentas,y,,,,,
Pergularia,x,w,r,liana,,
Periploca,x,w,r,shrub/liana,,
Pervillaea,,,,liana,,
Picralima,x,w,l,tree,,
Pittoniotis,,,,,,
Pleiocarpa,x,w,l,tree,,
Plocama,,,,,,
Plumeria,x,?,l,tree,,
Pogonopus,,,,shrub/tree,,
Posoqueria,,,,shrub/tree,,
Pottsia,,,,liana,,
Prismatomeris,,,,,,
Psychotria,x,,,shrub/tree/subshrub,,
Psydrax,y,,,shrub/tree,,
Pyrostria,y,,,shrub,,
Randia,,,,shrub/tree/liana,,
Raritebe,,,,shrub,,
Rauvolfia,x,w,l,tree,,
Remijia,,,,shrub/tree,,
Rennellia,,,,,,
Rhodopentas,,,,,,
Rogiera,,,,shrub,,
Ronabea,,,,,,
Rondeletia,,,,shrub,,
Rosenbergiodendron,,,,shrub/liana,,
Rothmannia,,,,shrub/tree,,
Rubia,y,,,,,
Rudgea,,,,shrub/tree/subshrub,,
Rustia,,,,shrub/tree,,
Rytigynia,y,,,shrub/tree,,
Sabicea,,,,shrub/liana/subshrub,,
Saprosma,,,,shrub,,
Schizocalyx,,,,shrub/tree,,
Schizozygia,x,w,l,shrub,,
Schradera,,,,tree/liana,,
Schumanniophyton,,,,tree,,
Secamone,x,w,r,liana,,
Simira,,,,shrub/tree,,
Sinoadina,,,,shrub,,
Solenandra,,,,shrub/tree,,
Sommera,,,,shrub,,
Spermacoce,,,,shrub/subshrub/liana,,
Stenostomum,,,,tree,,
Streptocaulon,x,w,r,liana,,
Strophanthus,x,r/y/w,r,shrub/liana,,
Tabernaemontana,x,w,l,tree,,
Tamilnadia,,,,tree,,
Tarenna,y,,,shrub/tree,,
Timonius,,,,shrub,,
Tinadendron,,,,tree,,
Tocoyena,,,,shrub/subshrub/tree,,
Uncaria,,,,liana,,
Urophyllum,,,,shrub,,
Vallaris,x,w,r,liana,,
Vallesia,x,w,l,shrub,,
Vangueria,y,,,,,
Vincetoxicum,x,c,r,liana,,
Voacanga,x,w,l,tree,,
Warszewiczia,,,,,,
Wendlandia,,,,shrub/tree,,
Wittmackanthus,,,,shrub,,
Wrightia,x,w,l,tree,,
Xysmalobium,x,w,r,herb,,
