,Latin or scientific name,Common name,Rating,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
174,Calluna vulgaris,Scotch heather,4,Calluna vulgaris,Calluna vulgaris,327305-1,327305-1,Species,CPCS
175,Calocedrus decurrens,Incense cedar,1,Calocedrus decurrens,Calocedrus decurrens,42548-2,42548-2,Species,CPCS
176,Calophyllum inophyllum,"Laurel, Indian (seed kernel)",3,Calophyllum inophyllum,Calophyllum inophyllum,427190-1,427190-1,Species,CPCS
177,Calophyllum inophyllum,Laurelwood (seed kernel),3,Calophyllum inophyllum,Calophyllum inophyllum,427190-1,427190-1,Species,CPCS
178,Calotropis gigantea,Crown plant,4,Calotropis gigantea,Calotropis gigantea,95173-1,95173-1,Species,CPCS
179,Calotropis procera,"Jasmine, French",4,Calotropis procera,Calotropis procera,1004515-2,1004515-2,Species,CPCS
180,Caltha palustris,Cowslip,13,Caltha palustris,Caltha palustris,42867-2,42867-2,Species,CPCS
181,Caltha palustris,Marsh marigold,13,Caltha palustris,Caltha palustris,42867-2,42867-2,Species,CPCS
182,Calycanthus spp,Calycanthus (seeds),4,Calycanthus,,,331448-2,Genus,CPCS
183,Calycanthus spp,Carolina allspice (seeds),4,Calycanthus,,,331448-2,Genus,CPCS
184,Calycanthus spp,Strawberry shrub (seeds),4,Calycanthus,,,331448-2,Genus,CPCS
185,Campsis radicans,Trumpet vine,1,Campsis radicans,Campsis radicans,30332621-2,30332621-2,Species,CPCS
186,Cannabis sativa,Locoweed,4,Cannabis sativa,Cannabis sativa,306087-2,306087-2,Species,CPCS
187,Cantharanthus roseus,"Periwinkle, Madagascar",4,,,,,,CPCS
188,Cantharanthus roseus,"Periwinkle, rose",4,,,,,,CPCS
189,Cantharanthus roseus,Rose periwinkle,4,,,,,,CPCS
190,Cantharanthus roseus,Vinca rosea,4,,,,,,CPCS
191,Capsicum spp,Cayenne pepper,13,Capsicum,,,30006872-2,Genus,CPCS
192,Capsicum spp,Cherry pepper,13,Capsicum,,,30006872-2,Genus,CPCS
193,Capsicum spp,Chili pepper,13,Capsicum,,,30006872-2,Genus,CPCS
194,Capsicum spp,Habanero pepper,13,Capsicum,,,30006872-2,Genus,CPCS
195,Capsicum spp,Jalapeno peppers,13,Capsicum,,,30006872-2,Genus,CPCS
196,Capsicum spp,Ornamental pepper,13,Capsicum,,,30006872-2,Genus,CPCS
197,Capsicum spp,"Pepper, bell",13,Capsicum,,,30006872-2,Genus,CPCS
198,Capsicum spp,"Pepper, sweet",13,Capsicum,,,30006872-2,Genus,CPCS
199,Capsicum spp,"Pepper, tobasco",13,Capsicum,,,30006872-2,Genus,CPCS
200,Capsicum spp,Peppers,13,Capsicum,,,30006872-2,Genus,CPCS
201,Capsicum spp,Pimento,13,Capsicum,,,30006872-2,Genus,CPCS
202,Carya illinonensis,Pecan (pollen and nut oil),1,,,,,,CPCS
