,wiki_Snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
272,Rauwolfia sp.,fr_wiki,Citharexylum,,,330592-2,Genus
273,Rhamnus frangula (ou Frangula alnus),fr_wiki,Frangula alnus,Frangula alnus,717344-1,717344-1,Species
274,Rheum sp.,fr_wiki,,,,,
275,Rhododendron sp.,fr_wiki,Rhododendron,,,327085-2,Genus
276,Robinia pseudoacacia,fr_wiki:hu_wiki,Robinia pseudoacacia,Robinia pseudoacacia,30034699-2,30034699-2,Species
277,Rosa canina,fr_wiki,Rosa canina,Rosa canina,731955-1,731955-1,Species
278,Ruscus aculeatus,fr_wiki,Ruscus aculeatus,Ruscus aculeatus,540443-1,540443-1,Species
279,Ruta graveolens,fr_wiki:hu_wiki,Ruta graveolens,Ruta graveolens,775099-1,775099-1,Species
280,Sambucus ebulus,fr_wiki:hu_wiki,Sambucus ebulus,Sambucus ebulus,149315-1,149315-1,Species
281,Sambucus nigra,fr_wiki,Sambucus nigra,Sambucus nigra,30122169-2,30122169-2,Species
282,Sambucus racemosa,fr_wiki,Sambucus racemosa,Sambucus racemosa,30056767-2,30056767-2,Species
283,Saponaria officinalis,fr_wiki,Saponaria officinalis,Saponaria officinalis,156627-1,156627-1,Species
284,Senecio inaequidens,fr_wiki,Senecio inaequidens,Senecio inaequidens,245637-1,245637-1,Species
285,Senecio jacobaea,fr_wiki,Jacobaea maritima subsp. maritima,Jacobaea maritima,77075194-1,77180722-1,Subspecies
286,Senecio vulgaris,fr_wiki,Senecio vulgaris,Senecio vulgaris,248251-1,248251-1,Species
287,Skimmia japonica,fr_wiki,Skimmia japonica,Skimmia japonica,775237-1,775237-1,Species
288,Solanum villosum,fr_wiki,Solanum villosum,Solanum villosum,285344-2,285344-2,Species
289,Sorbus aucuparia,fr_wiki,Sorbus aucuparia,Sorbus aucuparia,741641-1,741641-1,Species
290,Sorghum bicolor,fr_wiki,Sorghum bicolor,Sorghum bicolor,422090-1,422090-1,Species
291,Spartium junceum,fr_wiki,Spartium junceum,Spartium junceum,519057-1,519057-1,Species
292,Streptopus amplexifolius,fr_wiki,Streptopus amplexifolius,Streptopus amplexifolius,1160363-2,1160363-2,Species
293,Strophanthus sp.,fr_wiki,Strophanthus,,,2582-1,Genus
294,Strophanthus kombe,fr_wiki,Strophanthus kombe,Strophanthus kombe,81909-1,81909-1,Species
295,Symphoricarpos albus,fr_wiki,Symphoricarpos albus,Symphoricarpos albus,149485-1,149485-1,Species
296,Taxus cuspidata,fr_wiki,Taxus cuspidata,Taxus cuspidata,324379-2,324379-2,Species
297,Teucrium chamaedrys,fr_wiki,Teucrium chamaedrys,Teucrium chamaedrys,460310-1,460310-1,Species
298,Thuja occidentalis,fr_wiki:hu_wiki,Thuja occidentalis,Thuja occidentalis,263956-1,263956-1,Species
299,Toxicodendron radicans,fr_wiki,Toxicodendron radicans,Toxicodendron radicans,255769-2,255769-2,Species
300,Trichosanthes kirilowii,fr_wiki,Trichosanthes kirilowii,Trichosanthes kirilowii,294222-1,294222-1,Species
301,Tulipa sp.,fr_wiki,Tulipa,,,24874-1,Genus
302,Urginea maritima,fr_wiki,Drimia maritima,Drimia maritima,534538-1,534538-1,Species
303,Viburnum lantana,fr_wiki,Viburnum lantana,Viburnum lantana,326265-2,326265-2,Species
304,Viburnum opulus,fr_wiki,Viburnum opulus,Viburnum opulus,326268-2,326268-2,Species
305,Viburnum rhytidophyllum,fr_wiki,Viburnum rhytidophyllum,Viburnum rhytidophyllum,149902-1,149902-1,Species
306,Viburnum tinus,fr_wiki,Viburnum tinus,Viburnum tinus,326271-2,326271-2,Species
307,Vinca minor,fr_wiki,Vinca minor,Vinca minor,82701-1,82701-1,Species
308,Viscum album,fr_wiki:hu_wiki,Viscum album,Viscum album,300881-2,300881-2,Species
309,Cascabela thevetia (Thevetia peruviana ),hr_wiki,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species
310,Heracleum spp.,hr_wiki,Heracleum,,,30054087-2,Genus
311,Tanacetum vulgare,hr_wiki,Tanacetum vulgare,Tanacetum vulgare,252568-1,252568-1,Species
312,Senecio sp.,hu_wiki,Senecio,,,325904-2,Genus
313,Phytolacca americana,hu_wiki,Phytolacca americana,Phytolacca americana,323290-2,323290-2,Species
314,Aloe vera,hu_wiki,Aloe vera,Aloe vera,530017-1,530017-1,Species
315,Secale cornutum,hu_wiki,,,,,
316,Maianthenum bifolium,hu_wiki,,,,,
317,Berberis sp.,hu_wiki,Berberis,,,328526-2,Genus
318,Juniperus communis,hu_wiki,Juniperus communis,Juniperus communis,30088655-2,30088655-2,Species
319,Caragana arborescens,hu_wiki,Caragana arborescens,Caragana arborescens,483792-1,483792-1,Species
320,Dieffenbachia picta,hu_wiki,Dieffenbachia seguine,Dieffenbachia seguine,86911-1,86911-1,Species
321,Tagetes sp.,hu_wiki,Tagetes,,,325872-2,Genus
322,Cyclamen purpurascens,hu_wiki,Cyclamen purpurascens,Cyclamen purpurascens,700772-1,700772-1,Species
323,Lupinus-fajok,hu_wiki,Lupinus,,,60436956-2,Genus
324,Primula obconia,hu_wiki,,,,,
325,Loranthus europaeus,hu_wiki,Loranthus europaeus,Loranthus europaeus,549404-1,549404-1,Species
326,Euphorbia cyparissias,hu_wiki,Euphorbia cyparissias,Euphorbia cyparissias,346205-1,346205-1,Species
327,"Narcissus pseudonarcissus, N. poëticus",hu_wiki,Narcissus pseudonarcissus,Narcissus pseudonarcissus,66177-1,66177-1,Species
328,Digitalis lanata,hu_wiki,Digitalis lanata,Digitalis lanata,802028-1,802028-1,Species
329,Symphoricarpos rivularis,hu_wiki,Symphoricarpos albus var. laevigatus,Symphoricarpos albus,149485-1,247030-2,Variety
330,Asarum europaeum,hu_wiki,Asarum europaeum,Asarum europaeum,302682-2,302682-2,Species
331,Euonymus europaea,hu_wiki,Euonymus europaeus,Euonymus europaeus,160876-1,160876-1,Species
332,Lobelia erinus,hu_wiki,Lobelia erinus,Lobelia erinus,143240-1,143240-1,Species
333,Clivia minuta,hu_wiki,,,,,
334,Frangula alnus,hu_wiki,Frangula alnus,Frangula alnus,717344-1,717344-1,Species
335,Lonicera sp.,hu_wiki,Lonicera,,,30006074-2,Genus
336,Cotoneaster horisontalis,hu_wiki,,,,,
337,Amygdalus communis,hu_wiki,Prunus davidiana var. davidiana,Prunus davidiana,729634-1,77231023-1,Variety
338,Datura sp.,hu_wiki,Datura,,,30002853-2,Genus
339,Heracleum sphondylium,hu_wiki,Heracleum sphondylium,Heracleum sphondylium,843179-1,843179-1,Species
340,Vincetoxicum hirudinaria,hu_wiki,,,,,
341,Lactuca virosa,hu_wiki,Lactuca virosa,Lactuca virosa,329493-2,329493-2,Species
342,Oenanthe aquatica,hu_wiki,Oenanthe aquatica,Oenanthe aquatica,845226-1,845226-1,Species
343,Urtica dioica,hu_wiki,Urtica dioica,Urtica dioica,260630-2,260630-2,Species
344,Corydalis cava,hu_wiki,Corydalis cava,Corydalis cava,672129-1,672129-1,Species
345,Hypericum perforatum,hu_wiki,Hypericum perforatum,Hypericum perforatum,433719-1,433719-1,Species
346,Angelica archangelica,hu_wiki,Angelica archangelica,Angelica archangelica,837560-1,837560-1,Species
347,Pastinaca sativa,hu_wiki,Pastinaca sativa,Pastinaca sativa,845768-1,845768-1,Species
348,Ambrus precatorius,hu_wiki,,,,,
349,Tamus cxommunis,hu_wiki,,,,,
350,Helleborus purpurascens,hu_wiki,Helleborus purpurascens,Helleborus purpurascens,711362-1,711362-1,Species
351,Colutea arborescens,hu_wiki,Colutea arborescens,Colutea arborescens,486805-1,486805-1,Species
352,Colocynthis vulgaris,hu_wiki,Citrullus colocynthis,Citrullus colocynthis,291930-1,291930-1,Species
353,Aconitum sp.,hu_wiki,Aconitum,,,326013-2,Genus
354,Delphinium consolida,hu_wiki,Delphinium consolida,Delphinium consolida,306669-2,306669-2,Species
355,Rhus sp.,hu_wiki,Rhus,,,30005665-2,Genus
356,Pyracantha coccinea,hu_wiki,Pyracantha coccinea,Pyracantha coccinea,730611-1,730611-1,Species
