,Accepted_Name,acc_name,AnimalFood,EnvironmentalUses,Fuels,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses,Totals,speciesname,ipniid,wcsid,azid,match_name,tax_status,Accepted_ID,acc_wcsid,acc_azid,Accepted_Rank,Accepted_Species,Accepted_Species_ID,Source
188,Vachellia karroo,Vachellia karroo (Hayne) Banfi & Galasso,1,1,1,1,1,1,1,1,1,10,Acacia karroo,470646-1,,612641.0,Acacia karroo Hayne,Synonym,77087189-1,,609116.0,Species,Vachellia karroo,77087189-1,Useful Plants Data
193,Senegalia laeta,Senegalia laeta (R.Br. ex Benth.) Seigler & Ebinger,1,1,1,1,0,1,1,1,0,8,Acacia laeta,60451307-2,,612682.0,Acacia laeta R.Br. ex Benth.,Synonym,60451308-2,,897311.0,Species,Senegalia laeta,60451308-2,Useful Plants Data
199,Vachellia leucophloea,"Vachellia leucophloea (Roxb.) Maslin, Seigler & Ebinger",1,1,1,1,0,1,1,1,1,9,Acacia leucophloea,470752-1,,612788.0,Acacia leucophloea (Roxb.) Willd.,Synonym,77132539-1,,999193.0,Species,Vachellia leucophloea,77132539-1,Useful Plants Data
213,Acacia melanoxylon,Acacia melanoxylon R.Br.,1,1,1,1,0,1,1,1,0,7,Acacia melanoxylon,470873-1,,612971.0,Acacia melanoxylon R.Br.,Accepted,470873-1,,612971.0,Species,Acacia melanoxylon,470873-1,Useful Plants Data
219,Acacia murrayana,Acacia murrayana F.Muell. ex Benth.,1,1,1,1,1,0,0,1,0,6,Acacia murrayana,470953-1,,613089.0,Acacia murrayana F.Muell. ex Benth.,Accepted,470953-1,,613089.0,Species,Acacia murrayana,470953-1,Useful Plants Data
226,Vachellia oerfota,Vachellia oerfota (Forssk.) Kyal. & Boatwr.,1,1,1,0,1,1,1,1,0,7,Acacia oerfota,60468365-2,,613200.0,Acacia oerfota (Forssk.) Schweinf.,Synonym,77131761-1,,999340.0,Species,Vachellia oerfota,77131761-1,Useful Plants Data
235,Senegalia pennata,Senegalia pennata (L.) Maslin,0,1,0,1,0,1,1,1,0,6,Senegalia pennata,77125575-1,,998337.0,Senegalia pennata (L.) Maslin,Accepted,77125575-1,,998337.0,Species,Senegalia pennata,77125575-1,Useful Plants Data
237,Acacia penninervis,Acacia penninervis Sieber ex DC.,0,1,0,0,0,1,0,1,0,3,Acacia penninervis,471112-1,,613328.0,Acacia penninervis Sieber ex DC.,Accepted,471112-1,,613328.0,Species,Acacia penninervis,471112-1,Useful Plants Data
246,Senegalia polyacantha,Senegalia polyacantha (Willd.) Seigler & Ebinger,1,1,1,1,1,1,1,1,0,8,Acacia polyacantha,60451311-2,,613424.0,Acacia polyacantha Willd.,Synonym,60451312-2,,897316.0,Species,Senegalia polyacantha,60451312-2,Useful Plants Data
250,Senegalia pruinescens,"Senegalia pruinescens (Kurz) Maslin, Seigler & Ebinger",0,0,0,0,0,0,1,1,0,2,Acacia pruinescens,471223-1,,613488.0,Acacia pruinescens Kurz,Synonym,77132525-1,,998411.0,Species,Senegalia pruinescens,77132525-1,Useful Plants Data
260,Acacia retinodes,Acacia retinodes Schltdl.,0,1,0,1,0,1,0,1,0,4,Acacia retinodes,471313-1,,613616.0,Acacia retinodes Schltdl.,Accepted,471313-1,,613616.0,Species,Acacia retinodes,471313-1,Useful Plants Data
266,Acacia salicina,Acacia salicina Lindl.,1,1,1,1,0,1,0,1,0,6,Acacia salicina,471382-1,,613715.0,Acacia salicina Lindl.,Accepted,471382-1,,613715.0,Species,Acacia salicina,471382-1,Useful Plants Data
268,Senegalia senegal,Senegalia senegal (L.) Britton,1,1,1,1,1,1,1,1,1,10,Acacia senegal,471439-1,,613788.0,Acacia senegal (L.) Willd.,Synonym,518304-1,,590817.0,Species,Senegalia senegal,518304-1,Useful Plants Data
269,Vachellia seyal,Vachellia seyal (Delile) P.J.H.Hurter,1,1,1,1,1,1,1,1,1,10,Acacia seyal,471463-1,,613830.0,Acacia seyal Delile,Synonym,77089276-1,,609118.0,Species,Vachellia seyal,77089276-1,Useful Plants Data
286,Vachellia tomentosa,"Vachellia tomentosa (Rottler) Maslin, Seigler & Ebinger",1,0,1,0,0,1,1,1,0,5,Acacia tomentosa,471656-1,,614096.0,Acacia tomentosa (Rottler) Willd.,Synonym,77132544-1,,999197.0,Species,Vachellia tomentosa,77132544-1,Useful Plants Data
359,Acalypha ornata,Acalypha ornata Hochst. ex A.Rich.,1,1,1,1,0,1,1,1,1,8,Acalypha ornata,337657-1,957.0,,Acalypha ornata Hochst. ex A.Rich.,Accepted,337657-1,957.0,,Species,Acalypha ornata,337657-1,Useful Plants Data
373,Acalypha wilkesiana,Acalypha wilkesiana Müll.Arg.,0,1,0,1,0,0,1,1,0,4,Acalypha wilkesiana,337939-1,1384.0,,Acalypha wilkesiana Müll.Arg.,Accepted,337939-1,1384.0,,Species,Acalypha wilkesiana,337939-1,Useful Plants Data
381,Acanthocladus brasiliensis,Acanthocladus brasiliensis (A.St.-Hil. & Moq.) Klotzsch ex Hassk.,0,0,0,0,0,0,0,1,0,1,Acanthocladus brasiliensis,1651-2,,614524.0,Acanthocladus brasiliensis (A.St.-Hil. & Moq.) Klotzsch ex Hassk.,Accepted,1651-2,,614524.0,Species,Acanthocladus brasiliensis,1651-2,Useful Plants Data
395,Citrullus naudinianus,Citrullus naudinianus (Sond.) Hook.f.,1,0,0,1,0,1,1,1,0,6,Acanthosicyos naudinianus,291171-1,,615176.0,Acanthosicyos naudinianus (Sond.) C.Jeffrey,Synonym,291939-1,,723930.0,Species,Citrullus naudinianus,291939-1,Useful Plants Data
405,Acanthus ilicifolius,Acanthus ilicifolius L.,1,0,0,0,1,1,1,1,1,6,Acanthus ilicifolius,44873-1,,615257.0,Acanthus ilicifolius L.,Accepted,44873-1,,615257.0,Species,Acanthus ilicifolius,44873-1,Useful Plants Data
444,Acer rubrum,Acer rubrum L.,0,1,0,0,0,1,1,1,0,4,Acer rubrum,1867-2,,616329.0,Acer rubrum L.,Accepted,1867-2,,616329.0,Species,Acer rubrum,1867-2,Useful Plants Data
476,Achillea millefolium,Achillea millefolium L.,1,1,0,1,0,1,1,1,1,8,Achillea millefolium,2294-2,,908230.0,Achillea millefolium L.,Accepted,2294-2,,908230.0,Species,Achillea millefolium,2294-2,Useful Plants Data
482,Achillea tenuifolia,Achillea tenuifolia Lam.,1,0,0,0,0,0,1,1,0,3,Achillea tenuifolia,174314-1,,1110192.0,Achillea tenuifolia Lam.,Accepted,174314-1,,1110192.0,Species,Achillea tenuifolia,174314-1,Useful Plants Data
490,Achnatherum brandisii,Achnatherum brandisii (Mez) Z.L.Wu,0,0,0,0,0,0,1,1,0,2,Achnatherum brandisii,989033-1,387252.0,,Achnatherum brandisii (Mez) Z.L.Wu,Accepted,989033-1,387252.0,,Species,Achnatherum brandisii,989033-1,Useful Plants Data
492,Achnatherum sibiricum,Achnatherum sibiricum (L.) Keng ex Tzvelev,0,0,0,0,0,0,1,1,0,2,Achnatherum sibiricum,77061725-1,387154.0,,Achnatherum sibiricum (L.) Keng ex Tzvelev,Accepted,77061725-1,387154.0,,Species,Achnatherum sibiricum,77061725-1,Useful Plants Data
512,Acidoton urens,Acidoton urens Sw.,0,0,0,0,0,1,0,1,0,2,Acidoton urens,337987-1,1949.0,,Acidoton urens Sw.,Accepted,337987-1,1949.0,,Species,Acidoton urens,337987-1,Useful Plants Data
521,Acmella caulirhiza,Acmella caulirhiza Delile,1,0,0,1,0,1,1,1,0,6,Acmella caulirhiza,174533-1,,1123713.0,Acmella caulirhiza Delile,Accepted,174533-1,,1123713.0,Species,Acmella caulirhiza,174533-1,Useful Plants Data
526,Acmella paniculata,Acmella paniculata (Wall. ex DC.) R.K.Jansen,0,0,0,1,0,0,1,1,0,3,Acmella paniculata,914780-1,,1123804.0,Acmella paniculata (Wall. ex DC.) R.K.Jansen,Accepted,914780-1,,1123804.0,Species,Acmella paniculata,914780-1,Useful Plants Data
535,Acokanthera laevigata,Acokanthera laevigata Kupicha,0,0,1,0,0,1,1,1,0,4,Acokanthera laevigata,899079-1,2160.0,,Acokanthera laevigata Kupicha,Accepted,899079-1,2160.0,,Species,Acokanthera laevigata,899079-1,Useful Plants Data
536,Acokanthera oppositifolia,Acokanthera oppositifolia (Lam.) Codd,0,1,0,1,0,1,1,1,0,6,Acokanthera oppositifolia,76349-1,2165.0,,Acokanthera oppositifolia (Lam.) Codd,Accepted,76349-1,2165.0,,Species,Acokanthera oppositifolia,76349-1,Useful Plants Data
537,Acokanthera rotundata,Acokanthera rotundata (Codd) Kupicha,0,0,0,0,0,0,0,1,0,1,Acokanthera rotundata,909903-1,2169.0,,Acokanthera rotundata (Codd) Kupicha,Accepted,909903-1,2169.0,,Species,Acokanthera rotundata,909903-1,Useful Plants Data
538,Acokanthera schimperi,Acokanthera schimperi (A.DC.) Schweinf.,0,1,1,1,0,1,1,1,0,7,Acokanthera schimperi,60447729-2,2171.0,,Acokanthera schimperi (A.DC.) Benth. & Hook.f. ex Schweinf.,Accepted,60447729-2,2171.0,,Species,Acokanthera schimperi,60447729-2,Useful Plants Data
564,Aconitum lethale,Aconitum lethale Griff.,0,0,0,0,0,0,1,1,0,2,Aconitum lethale,707528-1,,618976.0,Aconitum lethale Griff.,Accepted,707528-1,,618976.0,Species,Aconitum lethale,707528-1,Useful Plants Data
567,Aconitum maximum,Aconitum maximum Pall. ex DC.,0,0,0,0,0,0,1,1,0,2,Aconitum maximum,707574-1,,619058.0,Aconitum maximum Pall. ex DC.,Accepted,707574-1,,619058.0,Species,Aconitum maximum,707574-1,Useful Plants Data
571,Aconitum napellus,Aconitum napellus L.,0,1,0,0,0,1,1,1,0,4,Aconitum napellus,707615-1,,619110.0,Aconitum napellus L.,Accepted,707615-1,,619110.0,Species,Aconitum napellus,707615-1,Useful Plants Data
580,Aconitum reclinatum,Aconitum reclinatum A.Gray,0,0,0,0,0,0,1,1,0,2,Aconitum reclinatum,707756-1,,619428.0,Aconitum reclinatum A.Gray,Accepted,707756-1,,619428.0,Species,Aconitum reclinatum,707756-1,Useful Plants Data
592,Acorus calamus,Acorus calamus L.,0,1,0,1,1,1,1,1,1,8,Acorus calamus,84009-1,2304.0,,Acorus calamus L.,Accepted,84009-1,2304.0,,Species,Acorus calamus,84009-1,Useful Plants Data
614,Acridocarpus plagiopterus,Acridocarpus plagiopterus Guill. & Perr.,0,0,0,0,0,0,1,1,1,3,Acridocarpus plagiopterus,555360-1,,620003.0,Acridocarpus plagiopterus Guill. & Perr.,Accepted,555360-1,,620003.0,Species,Acridocarpus plagiopterus,555360-1,Useful Plants Data
638,Acronychia pedunculata,Acronychia pedunculata (L.) Miq.,0,0,1,1,0,1,1,1,0,5,Acronychia odorata,770711-1,,620307.0,Acronychia odorata (Lour.) Baill. ex Crevost & Lemari,Synonym,770718-1,,620314.0,Species,Acronychia pedunculata,770718-1,Useful Plants Data
647,Acrotome inflata,Acrotome inflata Benth.,0,0,0,1,0,0,1,1,1,4,Acrotome inflata,444370-1,2670.0,,Acrotome inflata Benth.,Accepted,444370-1,2670.0,,Species,Acrotome inflata,444370-1,Useful Plants Data
657,Actaea pachypoda,Actaea pachypoda Elliott,0,1,0,0,0,0,1,1,0,3,Actaea pachypoda,330907-2,,620557.0,Actaea pachypoda Elliott,Accepted,330907-2,,620557.0,Species,Actaea pachypoda,330907-2,Useful Plants Data
659,Actaea rubra,Actaea rubra (Aiton) Willd.,0,1,0,0,0,0,1,1,0,3,Actaea rubra,1082557-2,,620570.0,Actaea rubra (Aiton) Willd.,Accepted,1082557-2,,620570.0,Species,Actaea rubra,1082557-2,Useful Plants Data
661,Actaea spicata,Actaea spicata L.,0,0,0,0,0,0,1,1,0,2,Actaea spicata,303913-2,,620577.0,Actaea spicata L.,Accepted,303913-2,,620577.0,Species,Actaea spicata,303913-2,Useful Plants Data
701,Actiniopteris radiata,Actiniopteris radiata (Sw.) Link,0,0,0,0,0,1,1,1,0,3,Actiniopteris radiata,17008200-1,,1144257.0,Actiniopteris radiata (Sw.) Link,Accepted,17008200-1,,1144257.0,Species,Actiniopteris radiata,17008200-1,Useful Plants Data
726,Actinodaphne procera,Actinodaphne procera Nees,0,0,0,0,0,1,0,1,0,2,Actinodaphne procera,462314-1,,620956.0,Actinodaphne procera Nees,Accepted,462314-1,,620956.0,Species,Actinodaphne procera,462314-1,Useful Plants Data
738,Adansonia digitata,Adansonia digitata L.,1,1,1,1,1,1,1,1,1,10,Adansonia digitata,558628-1,,621135.0,Adansonia digitata L.,Accepted,558628-1,,621135.0,Species,Adansonia digitata,558628-1,Useful Plants Data
753,Adenanthera pavonina,Adenanthera pavonina L.,1,1,1,1,1,1,1,1,1,10,Adenanthera pavonina,317691-2,,621330.0,Adenanthera pavonina L.,Accepted,317691-2,,621330.0,Species,Adenanthera pavonina,317691-2,Useful Plants Data
758,Adenia cissampeloides,Adenia cissampeloides (Planch. ex Hook.) Harms,0,1,0,1,0,1,1,1,0,6,Adenia cissampeloides,674060-1,,621441.0,Adenia cissampeloides (Planch. ex Hook.) Harms,Accepted,674060-1,,621441.0,Species,Adenia cissampeloides,674060-1,Useful Plants Data
762,Adenia digitata,Adenia digitata (Harv.) Engl.,0,1,0,1,0,0,1,1,0,4,Adenia digitata,674071-1,,621451.0,Adenia digitata (Harv.) Engl.,Accepted,674071-1,,621451.0,Species,Adenia digitata,674071-1,Useful Plants Data
764,Adenia ellenbeckii,Adenia ellenbeckii Harms,0,1,0,1,0,0,1,1,0,4,Adenia ellenbeckii,674077-1,,621457.0,Adenia ellenbeckii Harms,Accepted,674077-1,,621457.0,Species,Adenia ellenbeckii,674077-1,Useful Plants Data
769,Adenia gracilis,Adenia gracilis Harms,0,0,0,0,0,0,1,1,1,3,Adenia gracilis,674088-1,,621476.0,Adenia gracilis Harms,Accepted,674088-1,,621476.0,Species,Adenia gracilis,674088-1,Useful Plants Data
770,Adenia gummifera,Adenia gummifera (Harv.) Harms,0,0,0,1,0,0,1,1,0,3,Adenia gummifera,674091-1,,621480.0,Adenia gummifera (Harv.) Harms,Accepted,674091-1,,621480.0,Species,Adenia gummifera,674091-1,Useful Plants Data
772,Adenia heterophylla,Adenia heterophylla (Blume) Koord.,0,0,0,1,0,1,1,1,0,4,Adenia heterophylla,674098-1,,621486.0,Adenia heterophylla (Blume) Koord.,Accepted,674098-1,,621486.0,Species,Adenia heterophylla,674098-1,Useful Plants Data
773,Adenia hondala,Adenia hondala (Gaertn.) W.J.de Wilde,0,0,0,0,0,0,1,1,0,2,Adenia hondala,674099-1,,621492.0,Adenia hondala (Gaertn.) W.J.de Wilde,Accepted,674099-1,,621492.0,Species,Adenia hondala,674099-1,Useful Plants Data
777,Adenia lobata,Adenia lobata (Jacq.) Engl.,0,1,0,1,1,1,1,1,1,8,Adenia lobata,674115-1,,621511.0,Adenia lobata (Jacq.) Engl.,Accepted,674115-1,,621511.0,Species,Adenia lobata,674115-1,Useful Plants Data
778,Adenia macrophylla,Adenia macrophylla (Blume) Koord.,0,0,0,0,0,1,1,1,0,3,Adenia macrophylla,674122-1,,621522.0,Adenia macrophylla (Blume) Koord.,Accepted,674122-1,,621522.0,Species,Adenia macrophylla,674122-1,Useful Plants Data
785,Adenia rumicifolia,Adenia rumicifolia Engl. & Harms,0,0,0,0,0,1,1,1,0,3,Adenia rumicifolia,674169-1,,621584.0,Adenia rumicifolia Engl. & Harms,Accepted,674169-1,,621584.0,Species,Adenia rumicifolia,674169-1,Useful Plants Data
792,Adenia volkensii,Adenia volkensii Harms,0,1,0,1,0,0,1,1,0,4,Adenia volkensii,674203-1,,621619.0,Adenia volkensii Harms,Accepted,674203-1,,621619.0,Species,Adenia volkensii,674203-1,Useful Plants Data
795,Adenium boehmianum,Adenium boehmianum Schinz,1,1,0,1,0,0,1,1,1,6,Adenium boehmianum,76360-1,3021.0,,Adenium boehmianum Schinz,Accepted,76360-1,3021.0,,Species,Adenium boehmianum,76360-1,Useful Plants Data
796,Adenium multiflorum,Adenium multiflorum Klotzsch,1,1,0,1,0,0,1,1,0,5,Adenium multiflorum,76366-1,3027.0,,Adenium multiflorum Klotzsch,Accepted,76366-1,3027.0,,Species,Adenium multiflorum,76366-1,Useful Plants Data
797,Adenium obesum,Adenium obesum (Forssk.) Roem. & Schult.,1,1,1,1,0,1,1,1,1,8,Adenium obesum,76369-1,3030.0,,Adenium obesum Roem. & Schult.,Accepted,76369-1,3030.0,,Species,Adenium obesum,76369-1,Useful Plants Data
798,Adenium oleifolium,Adenium oleifolium Stapf,1,1,0,1,0,0,1,1,0,5,Adenium oleifolium,76370-1,3038.0,,Adenium oleifolium Stapf,Accepted,76370-1,3038.0,,Species,Adenium oleifolium,76370-1,Useful Plants Data
891,Adonis aestivalis,Adonis aestivalis L.,0,0,0,0,0,0,1,1,0,2,Adonis aestivalis,708056-1,,623039.0,Adonis aestivalis L.,Accepted,708056-1,,623039.0,Species,Adonis aestivalis,708056-1,Useful Plants Data
893,Adonis annua,Adonis annua L.,0,1,0,0,0,0,1,1,0,3,Adonis annua,708062-1,,623065.0,Adonis annua L.,Accepted,708062-1,,623065.0,Species,Adonis annua,708062-1,Useful Plants Data
897,Adonis microcarpa,Adonis microcarpa DC.,0,0,0,0,0,0,1,1,0,2,Adonis microcarpa,708126-1,,623169.0,Adonis microcarpa DC.,Accepted,708126-1,,623169.0,Species,Adonis microcarpa,708126-1,Useful Plants Data
899,Adonis vernalis,Adonis vernalis L.,0,1,0,0,0,1,1,1,0,4,Adonis vernalis,305359-2,,623208.0,Adonis vernalis L.,Accepted,305359-2,,623208.0,Species,Adonis vernalis,305359-2,Useful Plants Data
918,Aegiceras corniculatum,Aegiceras corniculatum (L.) Blanco,0,1,1,1,1,1,1,1,1,8,Aegiceras corniculatum,586618-1,,623413.0,Aegiceras corniculatum (L.) Blanco,Accepted,586618-1,,623413.0,Species,Aegiceras corniculatum,586618-1,Useful Plants Data
948,Aegle marmelos,Aegle marmelos (L.) Corrêa,1,1,0,1,0,1,1,1,1,8,Aegle marmelos,770819-1,,623456.0,Aegle marmelos (L.) Corrêa,Accepted,770819-1,,623456.0,Species,Aegle marmelos,770819-1,Useful Plants Data
955,Aeollanthus suaveolens,Aeollanthus suaveolens Mart. ex Spreng.,0,1,0,1,0,1,1,1,1,6,Aeollanthus suaveolens,60475111-2,3757.0,,Aeollanthus suaveolens Mart. ex Spreng.,Accepted,60475111-2,3757.0,,Species,Aeollanthus suaveolens,60475111-2,Useful Plants Data
977,Aerva javanica,Aerva javanica (Burm.f.) Juss. ex Schult.,1,1,1,1,0,1,1,1,1,9,Aerva javanica,59030-1,,623685.0,Aerva javanica (Burm.f.) Juss. ex Schult.,Accepted,59030-1,,623685.0,Species,Aerva javanica,59030-1,Useful Plants Data
1006,Aeschynomene indica,Aeschynomene indica L.,1,1,1,0,0,1,1,1,0,6,Aeschynomene indica,472784-1,,624200.0,Aeschynomene indica L.,Accepted,472784-1,,624200.0,Species,Aeschynomene indica,472784-1,Useful Plants Data
1024,Aesculus californica,Aesculus californica (Spach) Nutt.,0,0,0,0,0,1,1,1,0,3,Aesculus californica,781583-1,,624481.0,Aesculus californica (Spach) Nutt.,Accepted,781583-1,,624481.0,Species,Aesculus californica,781583-1,Useful Plants Data
1026,Aesculus flava,Aesculus flava Sol.,0,0,0,0,0,1,1,1,0,3,Aesculus flava,271789-2,,624500.0,Aesculus flava Sol.,Accepted,271789-2,,624500.0,Species,Aesculus flava,271789-2,Useful Plants Data
1027,Aesculus glabra,Aesculus glabra Willd.,0,1,0,0,0,1,1,1,0,4,Aesculus glabra,30124420-2,,624506.0,Aesculus glabra Willd.,Accepted,30124420-2,,624506.0,Species,Aesculus glabra,30124420-2,Useful Plants Data
1028,Aesculus hippocastanum,Aesculus hippocastanum L.,0,1,0,0,0,1,1,1,0,4,Aesculus hippocastanum,781594-1,,624517.0,Aesculus hippocastanum L.,Accepted,781594-1,,624517.0,Species,Aesculus hippocastanum,781594-1,Useful Plants Data
1030,Aesculus parryi,Aesculus parryi A.Gray,0,0,0,0,0,1,0,1,0,2,Aesculus parryi,781617-1,,624565.0,Aesculus parryi A.Gray,Accepted,781617-1,,624565.0,Species,Aesculus parryi,781617-1,Useful Plants Data
1032,Aesculus pavia,Aesculus pavia L.,0,1,0,0,0,1,1,1,0,4,Aesculus pavia,781619-1,,624568.0,Aesculus pavia L.,Accepted,781619-1,,624568.0,Species,Aesculus pavia,781619-1,Useful Plants Data
1035,Aethusa cynapium,Aethusa cynapium L.,0,0,0,0,0,0,1,1,0,2,Aethusa cynapium,837341-1,,624785.0,Aethusa cynapium L.,Accepted,837341-1,,624785.0,Species,Aethusa cynapium,837341-1,Useful Plants Data
