,Safe plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
78,Bougainvillea spectabilis Willd. var. glabra (Choisy) Hook. ,Bougainvillea glabra,Bougainvillea glabra,35444-2,35444-2,Species,CliniTox
79,Brachychiton rupestris (T. Mitch. ex Lindl.) K. Schum. ,Brachychiton rupestris,Brachychiton rupestris,822270-1,822270-1,Species,CliniTox
80,Brauneria angustifolia (DC.) A. Heller ,Echinacea angustifolia,Echinacea angustifolia,87143-2,87143-2,Species,CliniTox
81,Brauneria purpurea (L.) Britton ,Echinacea purpurea,Echinacea purpurea,1174497-2,1174497-2,Species,CliniTox
82,Bromelia ananas L. ,Ananas comosus var. comosus,Ananas comosus,12322-2,77172865-1,Variety,CliniTox
83,Bromelia comosa L. ,Ananas comosus,Ananas comosus,12322-2,12322-2,Species,CliniTox
84,Calathea crocata E. Morren & Joriss. ,Goeppertia crocata,Goeppertia crocata,60459270-2,60459270-2,Species,CliniTox
85,Calceolaria herbeohybrida Voss ,,,,,,CliniTox
86,Calendula arvensis L. ,Calendula arvensis,Calendula arvensis,187819-1,187819-1,Species,CliniTox
87,Calendula officinalis L. ,Calendula officinalis,Calendula officinalis,187894-1,187894-1,Species,CliniTox
88,Callianthe picta ,Callianthe picta,Callianthe picta,77130215-1,77130215-1,Species,CliniTox
89,Callianthe striata (Dicks. ex Lindl.) Donnell ,Callianthe striata,Callianthe striata,77130224-1,77130224-1,Species,CliniTox
90,Callistephus chinensis (L.) Nees ,Callistephus chinensis,Callistephus chinensis,188023-1,188023-1,Species,CliniTox
91,Camellia japonica L. ,Camellia japonica,Camellia japonica,828524-1,828524-1,Species,CliniTox
92,Camellia sinensis (L.) Kuntze ,Camellia sinensis,Camellia sinensis,828548-1,828548-1,Species,CliniTox
93,Campanula isophylla Moretti ,Campanula isophylla,Campanula isophylla,140487-1,140487-1,Species,CliniTox
94,Cardiospermum corindum L. ,Cardiospermum corindum,Cardiospermum corindum,782195-1,782195-1,Species,CliniTox
95,Cardiospermum halicacabum L. ,Cardiospermum halicacabum,Cardiospermum halicacabum,782206-1,782206-1,Species,CliniTox
96,Carum carvi L. ,Carum carvi,Carum carvi,839677-1,839677-1,Species,CliniTox
97,Celosia argentea L. ,Celosia argentea,Celosia argentea,316350-2,316350-2,Species,CliniTox
98,Centaurium erythraea Rafn ,Centaurium erythraea,Centaurium erythraea,326619-2,326619-2,Species,CliniTox
99,Ceratostigma plumbaginoides Bunge ,Ceratostigma plumbaginoides,Ceratostigma plumbaginoides,686555-1,686555-1,Species,CliniTox
100,Ceratostigma willmottianum Stapf ,Ceratostigma willmottianum,Ceratostigma willmottianum,686560-1,686560-1,Species,CliniTox
101,Ceropegia linearis E. Mey. subsp. woodii (Schltr.) H. Huber ,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CliniTox
102,Ceropegia woodii Schltr. ,Ceropegia woodii,Ceropegia woodii,95848-1,95848-1,Species,CliniTox
103,Cetraria islandica (L.) Ach. ,,,,,,CliniTox
104,Chaerefolium sylvestre Sch. & Th. ,Anthriscus sylvestris,Anthriscus sylvestris,837969-1,837969-1,Species,CliniTox
105,Chaerophyllum aureum L. ,Chaerophyllum aureum,Chaerophyllum aureum,840142-1,840142-1,Species,CliniTox
106,Chaerophyllum sylvestre L. ,Anthriscus sylvestris,Anthriscus sylvestris,837969-1,837969-1,Species,CliniTox
107,Chamaedorea elegans Mart. ,Chamaedorea elegans,Chamaedorea elegans,54865-2,54865-2,Species,CliniTox
108,Chamomilla recutita (L.) Rauschert ,Matricaria chamomilla,Matricaria chamomilla,154715-2,154715-2,Species,CliniTox
109,Chlorophytum capense auct. ,Chlorophytum capense,Chlorophytum capense,532792-1,532792-1,Species,CliniTox
110,Chlorophytum comosum (Thunb.) Jacques ,Chlorophytum comosum,Chlorophytum comosum,532810-1,532810-1,Species,CliniTox
111,Chlorophytum orchidastrum Lindl. ,Chlorophytum orchidastrum,Chlorophytum orchidastrum,533000-1,533000-1,Species,CliniTox
112,Chlorophytum seretii De Wild. ,Chlorophytum orchidastrum,Chlorophytum orchidastrum,533000-1,533000-1,Species,CliniTox
113,Chlorophytum sparsiflorum Baker ,Chlorophytum sparsiflorum,Chlorophytum sparsiflorum,533073-1,533073-1,Species,CliniTox
114,Chrysanthemum indicum L. ,Chrysanthemum indicum,Chrysanthemum indicum,193510-1,193510-1,Species,CliniTox
115,Chrysanthemum morifolium Ramat. ,Chrysanthemum × morifolium,Chrysanthemum × morifolium,77111328-1,77111328-1,Species,CliniTox
116,Chrysanthemum x grandiflorum hort. ,,,,,,CliniTox
117,Cimicifuga racemosa (L.) Nutt. ,Actaea racemosa,Actaea racemosa,316204-2,316204-2,Species,CliniTox
118,Cinnamomum ceylanicum Nees ,,,,,,CliniTox
119,Cinnamomum verum J. Presl ,Cinnamomum verum,Cinnamomum verum,463752-1,463752-1,Species,CliniTox
120,Citrus aurantium L. var. sinensis L. ,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,CliniTox
121,Citrus macracantha Hassk. ,,,,,,CliniTox
122,Citrus sinensis (L.) Osbeck ,Citrus × aurantium,Citrus × aurantium,59600-2,59600-2,Species,CliniTox
123,Clerodendrum thomsoniae Balf. ,Clerodendrum thomsoniae,Clerodendrum thomsoniae,862437-1,862437-1,Species,CliniTox
124,Cleyera japonica Thunb. ,Cleyera japonica,Cleyera japonica,828636-1,828636-1,Species,CliniTox
125,Cocos nucifera L. ,Cocos nucifera,Cocos nucifera,666160-1,666160-1,Species,CliniTox
126,Coleus blumei Benth. ,Coleus scutellarioides,Coleus scutellarioides,446165-1,446165-1,Species,CliniTox
127,Columnea x banksii Lynch ,,,,,,CliniTox
128,Cordyline australis (G. Forst.) Endl. ,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CliniTox
129,Coriandrum sativum L. ,Coriandrum sativum,Coriandrum sativum,840760-1,840760-1,Species,CliniTox
130,Corylus avellana L. ,Corylus avellana,Corylus avellana,295446-1,295446-1,Species,CliniTox
131,Crassula argentea Thunb. ,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,CliniTox
132,Crassula ovata (Mill.) Druce ,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,CliniTox
133,Crassula portulacea Lam. ,Crassula ovata,Crassula ovata,273350-1,273350-1,Species,CliniTox
134,Crataegus laevigata (Poir.) DC. ,Crataegus laevigata,Crataegus laevigata,723644-1,723644-1,Species,CliniTox
135,Crataegus monogyna Jacq. ,Crataegus monogyna,Crataegus monogyna,723820-1,723820-1,Species,CliniTox
136,Crataegus oxycantha auct. non L. ,,,,,,CliniTox
137,Crossandra infundibuliformis (L.) Nees ,Crossandra infundibuliformis,Crossandra infundibuliformis,47014-1,47014-1,Species,CliniTox
138,Curcuma domestica Val. ,Curcuma longa,Curcuma longa,796451-1,796451-1,Species,CliniTox
139,Curcuma longa L. ,Curcuma longa,Curcuma longa,796451-1,796451-1,Species,CliniTox
140,Curcuma xanthorrhiza Roxb. ,,,,,,CliniTox
141,Curcuma zanthorrhiza D. Dietr. ,Curcuma zanthorrhiza,Curcuma zanthorrhiza,796485-1,796485-1,Species,CliniTox
142,Curcuma zanthorrhiza Roxb. ,Curcuma zanthorrhiza,Curcuma zanthorrhiza,796485-1,796485-1,Species,CliniTox
143,Cynara cardunculus L. ,Cynara cardunculus,Cynara cardunculus,200876-1,200876-1,Species,CliniTox
144,Cynara scolymus L. ,Cynara cardunculus subsp. cardunculus,Cynara cardunculus,200876-1,77180272-1,Subspecies,CliniTox
145,Cyperus alternifolius L. ,Cyperus alternifolius,Cyperus alternifolius,303729-1,303729-1,Species,CliniTox
146,Cypripedium calceolus L. ,Cypripedium calceolus,Cypripedium calceolus,320700-2,320700-2,Species,CliniTox
147,Cypripedium reginae Walter ,Cypripedium reginae,Cypripedium reginae,75385-2,75385-2,Species,CliniTox
148,Cyrtomium fortunei J.Sm. ,Cyrtomium fortunei,Cyrtomium fortunei,17075980-1,17075980-1,Species,CliniTox
149,Cystopteris fragilis (L.) Bernh. ,Cystopteris fragilis,Cystopteris fragilis,30013429-2,30013429-2,Species,CliniTox
150,Delabechea rupestris T. Mitch. ex Lindl. ,Brachychiton rupestris,Brachychiton rupestris,822270-1,822270-1,Species,CliniTox
151,Dendranthema indicum (L.) Des Moul. ,Chrysanthemum indicum,Chrysanthemum indicum,193510-1,193510-1,Species,CliniTox
152,Dendranthema x grandiflorum (Ramat.) Kitam. ,Chrysanthemum × morifolium,Chrysanthemum × morifolium,77111328-1,77111328-1,Species,CliniTox
153,Dendranthema x morifolium (Ramat.) Tzvelev ,Chrysanthemum × morifolium,Chrysanthemum × morifolium,77111328-1,77111328-1,Species,CliniTox
154,Dizygotheca elegantissima (hort. Veitch ex Mast.) R. Vig. & Guillaumin ,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,CliniTox
155,Dracaena australis G. Forst. ,Cordyline australis,Cordyline australis,533544-1,533544-1,Species,CliniTox
156,Echeveria glauca (Baker) E. Morren ,Echeveria secunda,Echeveria secunda,274039-1,274039-1,Species,CliniTox
157,Echeveria secunda Booth ex Lindl. ,Echeveria secunda,Echeveria secunda,274039-1,274039-1,Species,CliniTox
158,Echinacea angustifolia DC. ,Echinacea angustifolia,Echinacea angustifolia,87143-2,87143-2,Species,CliniTox
159,Echinacea pallida var. angustifolia (DC.) Cronq. ,Echinacea angustifolia,Echinacea angustifolia,87143-2,87143-2,Species,CliniTox
160,Echinacea pallida (Nutt.) Nutt. ,Echinacea pallida,Echinacea pallida,202374-1,202374-1,Species,CliniTox
161,Echinacea purpurea (L.) Moench ,Echinacea purpurea,Echinacea purpurea,1174497-2,1174497-2,Species,CliniTox
162,Eleutherococcus senticosus (Rupr. & Maxim.) Maxim. ,Eleutherococcus senticosus,Eleutherococcus senticosus,90431-1,90431-1,Species,CliniTox
163,Epiphyllum truncatum Haw. ,Schlumbergera truncata,Schlumbergera truncata,229597-2,229597-2,Species,CliniTox
164,Epiphyllum x buckleyi T. Moore ,Schlumbergera × buckleyi,Schlumbergera × buckleyi,138459-1,138459-1,Species,CliniTox
165,Episcia lilacina Hanst. ,Episcia lilacina,Episcia lilacina,380794-1,380794-1,Species,CliniTox
166,Erythrorhipsalis campos-portoana (Loefgr.) Volgin. ,Rhipsalis campos-portoana,Rhipsalis campos-portoana,219256-2,219256-2,Species,CliniTox
167,Eucalyptus globulus Labill. ,Eucalyptus globulus,Eucalyptus globulus,592965-1,592965-1,Species,CliniTox
168,Eupatorium rebaudianum Bertoni ,Stevia rebaudiana,Stevia rebaudiana,245468-2,245468-2,Species,CliniTox
169,Eurya japonica Thunb. ,Eurya japonica,Eurya japonica,828738-1,828738-1,Species,CliniTox
170,Exacum affine Balf. f. ,Exacum affine,Exacum affine,367449-1,367449-1,Species,CliniTox
171,Filipendula ulmaria (L.) Maxim. ,Filipendula ulmaria,Filipendula ulmaria,724943-1,724943-1,Species,CliniTox
172,Fittonia albivenis (Lindl. ex Veitch) Brummitt ,Fittonia albivenis,Fittonia albivenis,105033-2,105033-2,Species,CliniTox
173,Fittonia argyroneura Coem. ,Fittonia albivenis,Fittonia albivenis,105033-2,105033-2,Species,CliniTox
174,Fittonia verschaffeltii (Lem.) Van Houtte ,Fittonia albivenis,Fittonia albivenis,105033-2,105033-2,Species,CliniTox
175,Fittonia verschaffeltii (Lem.) Van Houtte var. argyroneura (Coem.) Regel ,Fittonia albivenis,Fittonia albivenis,105033-2,105033-2,Species,CliniTox
176,Foeniculum officinale All. ,Foeniculum vulgare,Foeniculum vulgare,842680-1,842680-1,Species,CliniTox
177,Foeniculum vulgare Mill. ,Foeniculum vulgare,Foeniculum vulgare,842680-1,842680-1,Species,CliniTox
178,Gazania rigens (L.) Gaertn. ,Gazania rigens,Gazania rigens,208720-1,208720-1,Species,CliniTox
179,Gazania splendens hort. ex Hend. & A.A. Hend. ,,,,,,CliniTox
180,Gentiana lutea L. ,Gentiana lutea,Gentiana lutea,368453-1,368453-1,Species,CliniTox
181,Geranium grandiflorum Andrews ,Geranium himalayense,Geranium himalayense,373138-1,373138-1,Species,CliniTox
182,Geranium peltatum L. ,Pelargonium peltatum,Pelargonium peltatum,376728-1,376728-1,Species,CliniTox
183,Geranium sidaefolium Thunb. ,Pelargonium sidoides,Pelargonium sidoides,377008-1,377008-1,Species,CliniTox
184,Geranium zonale L. ,Pelargonium zonale,Pelargonium zonale,377229-1,377229-1,Species,CliniTox
185,Gesneria cardinalis Lehmann ,Sinningia cardinalis,Sinningia cardinalis,236686-2,236686-2,Species,CliniTox
186,Gloxinia speciosa hort. Lodd. ex Ker Gawl. ,,,,,,CliniTox
187,Glycyrrhiza glabra L. ,Glycyrrhiza glabra,Glycyrrhiza glabra,496941-1,496941-1,Species,CliniTox
188,Gomesa flexuosa (hort. Lodd.) M. W. Chase & N. H. Williams ,Gomesa flexuosa,Gomesa flexuosa,77102526-1,77102526-1,Species,CliniTox
189,Gomozia granadensis Mutis ex L.f. ,Nertera granadensis,Nertera granadensis,757486-1,757486-1,Species,CliniTox
190,Granadilla incarnata Medik. ,Passiflora incarnata,Passiflora incarnata,675096-1,675096-1,Species,CliniTox
191,Grevillea banksii R.Br. ,Grevillea banksii,Grevillea banksii,703712-1,703712-1,Species,CliniTox
192,Grevillea robusta A. Cunn. ex R.Br. ,Grevillea robusta,Grevillea robusta,50798-3,50798-3,Species,CliniTox
193,Grevillea rosmarinifolia A. Cunn. ,Grevillea rosmarinifolia,Grevillea rosmarinifolia,704027-1,704027-1,Species,CliniTox
194,Hamamelis macrophylla Pursh ,Hamamelis virginiana var. virginiana,Hamamelis virginiana,430697-1,77231028-1,Variety,CliniTox
195,Hamamelis virginiana L. ,Hamamelis virginiana,Hamamelis virginiana,430697-1,430697-1,Species,CliniTox
196,Harpagophytum procumbens DC. ,Harpagophytum procumbens,Harpagophytum procumbens,675824-1,675824-1,Species,CliniTox
197,Hatiora x graeseri Barthlott ex D.R. Hunt ,Rhipsalidopsis × graeseri,Rhipsalidopsis × graeseri,969704-1,969704-1,Species,CliniTox
198,Hebe andersonii (Lindl. & Paxton) Cockayne ,Veronica × andersonii,Veronica × andersonii,811614-1,811614-1,Species,CliniTox
199,Hedera senticosa Rupr. & Maxim. ,Eleutherococcus senticosus,Eleutherococcus senticosus,90431-1,90431-1,Species,CliniTox
200,Helianthus pauciflorus Nutt. ,Helianthus pauciflorus,Helianthus pauciflorus,329249-2,329249-2,Species,CliniTox
201,Helianthus tuberosus L. ,Helianthus tuberosus,Helianthus tuberosus,329252-2,329252-2,Species,CliniTox
202,Helxine soleirolii Req. ,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,856545-1,Species,CliniTox
203,Hibiscus rosa-sinensis L. ,Hibiscus rosa-sinensis,Hibiscus rosa-sinensis,560756-1,560756-1,Species,CliniTox
204,Howea forsteriana (C. Moore & F. Muell.) Becc. ,Howea forsteriana,Howea forsteriana,667434-1,667434-1,Species,CliniTox
205,Impatiens walleriana Hook.f. ,Impatiens walleriana,Impatiens walleriana,374419-1,374419-1,Species,CliniTox
206,Ixora bandhuca Roxb. ,Ixora coccinea var. coccinea,Ixora coccinea,753844-1,77169515-1,Variety,CliniTox
207,Ixora coccinea L. ,Ixora coccinea,Ixora coccinea,753844-1,753844-1,Species,CliniTox
208,Ixora fraseri hort. ex Gentil ,,,,,,CliniTox
209,Ixora incarnata (Blume) DC. ,Ixora coccinea var. coccinea,Ixora coccinea,753844-1,77169515-1,Variety,CliniTox
210,Ixora lutea Hutch. ,Ixora coccinea var. coccinea,Ixora coccinea,753844-1,77169515-1,Variety,CliniTox
211,Jasminum fruticans L. ,Chrysojasminum fruticans,Chrysojasminum fruticans,77144221-1,77144221-1,Species,CliniTox
212,Jasminum nudiflorum Lindl. ,Jasminum nudiflorum,Jasminum nudiflorum,609662-1,609662-1,Species,CliniTox
213,Jasminum officinale L. ,Jasminum officinale,Jasminum officinale,609672-1,609672-1,Species,CliniTox
214,Jasminum sieboldianum Blume ,Jasminum nudiflorum f. nudiflorum,Jasminum nudiflorum,609662-1,77172364-1,Form,CliniTox
215,Juncus effusus L. ,Juncus effusus,Juncus effusus,442917-1,442917-1,Species,CliniTox
216,Justicia brandegeeana Wassh. & L.B.Sm. ,Justicia brandegeeana,Justicia brandegeeana,289220-2,289220-2,Species,CliniTox
217,Lamium album L. ,Lamium album,Lamium album,448792-1,448792-1,Species,CliniTox
218,Lamium maculatum (L.) L. ,Lamium maculatum,Lamium maculatum,448886-1,448886-1,Species,CliniTox
219,Larix decidua Mill. ,Larix decidua,Larix decidua,262420-1,262420-1,Species,CliniTox
220,Larix europaea DC. ,Larix decidua var. decidua,Larix decidua,262420-1,77169613-1,Variety,CliniTox
221,Larix kaempferi (Lamb.) Carriere ,Larix kaempferi,Larix kaempferi,60457419-2,60457419-2,Species,CliniTox
222,Larix leptolepis (Siebold & Zucc.) Gordon ,Larix kaempferi,Larix kaempferi,60457419-2,60457419-2,Species,CliniTox
223,Lathyrus linifolius (Reichard) Bässler ,Lathyrus linifolius,Lathyrus linifolius,501820-1,501820-1,Species,CliniTox
224,Lathyrus montanus Bernh. ,Lathyrus linifolius,Lathyrus linifolius,501820-1,501820-1,Species,CliniTox
225,Lathyrus pratensis L. ,Lathyrus pratensis,Lathyrus pratensis,501954-1,501954-1,Species,CliniTox
226,Lathyrus vernus (L.) Bernh. s.l. ,Lathyrus vernus,Lathyrus vernus,502084-1,502084-1,Species,CliniTox
227,Lathyrus vernus subsp. flaccidus Arcang. ,Lathyrus vernus,Lathyrus vernus,502084-1,502084-1,Species,CliniTox
228,Lathyrus vernus subsp. gracilis (Gaudin) Arcang. ,Lathyrus vernus,Lathyrus vernus,502084-1,502084-1,Species,CliniTox
229,Leonurus cardiaca L. ,Leonurus cardiaca,Leonurus cardiaca,449168-1,449168-1,Species,CliniTox
230,Lichen islandicus L. ,,,,,,CliniTox
231,Linaria vulgaris Mill. ,Linaria vulgaris,Linaria vulgaris,325777-2,325777-2,Species,CliniTox
232,Lippia triphylla Kuntze ,Aloysia citrodora,Aloysia citrodora,1015994-1,1015994-1,Species,CliniTox
233,Lotus corniculatus L. ,Lotus corniculatus,Lotus corniculatus,30179739-2,30179739-2,Species,CliniTox
234,Lycaste aromatica (Graham ex Hook.) Lindl. ,Lycaste aromatica,Lycaste aromatica,641859-1,641859-1,Species,CliniTox
235,Lycopodium helveticum L. ,Selaginella helvetica,Selaginella helvetica,60454892-2,60454892-2,Species,CliniTox
236,Lycopodium lepidophyllum Hook. & Grev. ,Selaginella lepidophylla,Selaginella lepidophylla,60452854-2,60452854-2,Species,CliniTox
237,Lycopus aquaticus Moench ,Lycopus europaeus,Lycopus europaeus,449641-1,449641-1,Species,CliniTox
238,Lycopus europaeus L.s.l. ,Lycopus europaeus,Lycopus europaeus,449641-1,449641-1,Species,CliniTox
239,Lytocaryum insigne (hort. ex Drude) Toledo ,Syagrus insignis,Syagrus insignis,246948-2,246948-2,Species,CliniTox
