,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
64,P65,Consolida ajacis (L.) Schur,Garten-Rittersporn,Rocket larkspur,Consolida,Ranunculaceae,Southern Europe and Western Asia,10,alien,Ornamental garden plant,Jun.-Aug.,"Whole plant, highest concentrations in seed",very strong toxic,very strong toxic,,yes,,Delphinium ajacis,Delphinium ajacis,77254-2,77254-2,Species,TPPT
65,P66,Consolida regalis Gray,Acker-Rittersporn,Forking larkspur,Consolida,Ranunculaceae,Southern Europe,12,domestic,Weed and ruderal plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",very strong toxic,very strong toxic,,,,Delphinium consolida,Delphinium consolida,306669-2,306669-2,Species,TPPT
66,P67,Anemone ranunculoides L.,Gelbes Windroeschen,Yellow anemone,Anemone,Ranunculaceae,Europe,26,domestic,Forest plant,Apr.,Aerial part (or whole plant),toxic,strong toxic,,,,Anemonoides ranunculoides,Anemonoides ranunculoides,13541-2,13541-2,Species,TPPT
67,P68,Anemone nemorosa L.,Busch-Windroeschen,Wood anemone,Anemone,Ranunculaceae,Europe,52,domestic,Forest plant,Mar.-May,Aerial part (or whole plant),toxic,toxic,,,,Anemonoides nemorosa,Anemonoides nemorosa,13537-2,13537-2,Species,TPPT
68,P69,Anemone baldensis L.,Monte Baldo Windroeschen,Monte Baldo anemone,Anemone,Ranunculaceae,Central and Southern Europe,6,domestic,Mountain plant,Jul.-Aug.,Aerial part (or whole plant),weak toxic,toxic,,,,Anemonoides baldensis,Anemonoides baldensis,77068335-1,77068335-1,Species,TPPT
69,P70,Anemone narcissiflora L.,Narzissen-Windroeschen,Narcissus anemone,Anemone,Ranunculaceae,"Europe, Asia and North America",40,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),weak toxic,toxic,,,,Anemonastrum narcissiflorum,Anemonastrum narcissiflorum,13387-2,13387-2,Species,TPPT
70,P71,Hepatica nobilis Schreb.,Leberbluemchen,Lever leaf,Hepatica,Ranunculaceae,Europe,45,domestic,Forest plant,Mar.-May,Aerial part (or whole plant),toxic,,,,,Hepatica nobilis,Hepatica nobilis,711404-1,711404-1,Species,TPPT
71,P72,Pulsatilla alpina (L.) Delarbre s.l. (P. alpina (L.) Delarbre s.str. and P. alpina subsp. apiifolia (Scop.) Nyman),Alpen-Anemone,Alpine pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,60,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),toxic,,,,,Pulsatilla alpina,Pulsatilla alpina,20009462-1,20009462-1,Species,TPPT
72,P73,Pulsatilla vernalis (L.) Mill.,Fruehlings-Anemone,Spring pasqueflower,Pulsatilla,Ranunculaceae,Europe,42,domestic,Mountain plant,Apr.-Jul.,Aerial part (or whole plant),toxic,,,,,Pulsatilla vernalis,Pulsatilla vernalis,712075-1,712075-1,Species,TPPT
73,P74,Pulsatilla vulgaris Mill.,Gemeine Kuhschelle,Common pasqueflower,Pulsatilla,Ranunculaceae,Europe,4,domestic,Xerophyte,Mar.-Apr.,Aerial part (or whole plant),toxic,,,,,Pulsatilla vulgaris,Pulsatilla vulgaris,712079-1,712079-1,Species,TPPT
74,P75,Pulsatilla halleri (All.) Willd. ,Hallers Anemone,Haller's pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,0.8,domestic,Mountain plant,May-Jul.,Aerial part (or whole plant),toxic,,,,,Pulsatilla halleri,Pulsatilla halleri,711980-1,711980-1,Species,TPPT
75,P76,Pulsatilla x bolzanensis Murr,Bozen-Anemone,,Pulsatilla,Ranunculaceae,Europe,0.3,domestic,Mountain plant,Apr.-May,Aerial part (or whole plant),toxic,,,,,Pulsatilla × bolzanensis,Pulsatilla × bolzanensis,60474205-2,60474205-2,Species,TPPT
76,P77,Pulsatilla montana (Hoppe) Rchb.,Berg-Anemone,Mountain pasqueflower,Pulsatilla,Ranunculaceae,Southern and Central Europe,5,domestic,Xerophyte,Mar.-May,Aerial part (or whole plant),toxic,,,,,Pulsatilla montana,Pulsatilla montana,712012-1,712012-1,Species,TPPT
77,P78,Clematis vitalba L.,Gemeine Waldrebe,Traveller's joy,Clematis,Ranunculaceae,Europe,53,domestic,Forest plant,Jul.-Aug.,Whole plant,toxic,toxic,,,,Clematis vitalba,Clematis vitalba,319145-2,319145-2,Species,TPPT
78,P79,Clematis recta L.,Aufrechte Waldrebe,Ground clematis,Clematis,Ranunculaceae,Eastern Europe,3,domestic,Xerophyte,May-Jul.,Whole plant,toxic,toxic,,,,Clematis recta,Clematis recta,710023-1,710023-1,Species,TPPT
79,P80,Clematis alpina (L.) Mill.,Alpen-Waldrebe,Alpine clematis,Clematis,Ranunculaceae,Southern and Central Europe,7,domestic,Mountain plant,May-Jul.,Whole plant,toxic,toxic,,,,Clematis alpina,Clematis alpina,709469-1,709469-1,Species,TPPT
80,P81,Clematis tangutica (Maxim.) Korsh.,Mongolische Waldrebe,Gold clematis,Clematis,Ranunculaceae,Eastern Asia,rarely introduced,alien,Mountain plant,May-Jul.,Whole plant,toxic,toxic,,yes,,Clematis tangutica,Clematis tangutica,710111-1,710111-1,Species,TPPT
81,P82,Adonis vernalis L.,Fruehlings-Adonis,Spring pheasant's eye,Adonis,Ranunculaceae,Eastern Europe and Western Asia,1,domestic,Xerophyte,Apr.-May,Whole plant,strong toxic,strong toxic,,,,Adonis vernalis,Adonis vernalis,305359-2,305359-2,Species,TPPT
82,P83,Adonis annua L. ,Herbst-Blusttroepfchen,Pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,1,domestic,Weed and ruderal plant,Jun.-Jul.,Whole plant,strong toxic,strong toxic,,,,Adonis annua,Adonis annua,708062-1,708062-1,Species,TPPT
83,P84,Adonis flammea Jacq.,Feuerrotes Blutstroepfchen,Flame pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,2,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,,Adonis flammea,Adonis flammea,708101-1,708101-1,Species,TPPT
84,P85,Adonis aestivalis L.,Sommer-Blutstroepfchen,Summer pheasant's eye,Adonis,Ranunculaceae,Southern Europe and Western Asia,5,domestic,Weed and ruderal plant,May-Jul.,Whole plant,strong toxic,strong toxic,,,,Adonis aestivalis,Adonis aestivalis,708056-1,708056-1,Species,TPPT
85,P86,"Ranunculus nemorosus aggr. (R. polyanthemophyllus W. Koch & H. E. Hess, R. tuberosus Lapeyr. and R. serpens Schrank)",Hain-Hahnenfuss,,Ranunculus,Ranunculaceae,Europe,72,domestic,Forest plant,May-Jul.,Whole plant,toxic,,,,,Ranunculus tuberosus,Ranunculus tuberosus,714035-1,714035-1,Species,TPPT
