,Plant_number,TPPT_Snippet,German_plant_name,English_plant_name,Plant_genus,Plant_family,Global_spatial_distribution,Swiss_frequency,Swiss_appearance,Vegetation_type,Blooming_period,Toxic_plant_part,Human_toxicity,Animal_toxicity,Invasive_foreign,Garden_plant,Agricultural_plant,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
187,P188,Cydonia oblonga Mill.,Quittenbaum,Quince,Cydonia,Rosaceae,Western Asia,agriculture,domestic,Agricultural plant,May,Whole plant,weak toxic,,,,yes,Cydonia oblonga,Cydonia oblonga,724549-1,724549-1,Species,TPPT
188,P189,Malus sylvestris (L.) Mill.,Holz-Apfelbaum,European crab apple,Malus,Rosaceae,Europe and Western Asia,20,domestic,Forest plant,May,Seed,weak toxic,,,,,Malus sylvestris,Malus sylvestris,726415-1,726415-1,Species,TPPT
189,P190,Malus domestica Borkh.,Kultur-Apfelbaum,Apple tree,Malus,Rosaceae,Europe and Western Asia,agriculture,domestic,Agricultural plant,May,Seed,weak toxic,,,,yes,Malus domestica,Malus domestica,726282-1,726282-1,Species,TPPT
190,P191,Sorbus aucuparia L.,Vogelbeerbaum,Rowan,Sorbus,Rosaceae,Europe and Siberia,80,domestic,Forest plant,May-Jun.,Seed,weak toxic,weak toxic,,,,Sorbus aucuparia,Sorbus aucuparia,741641-1,741641-1,Species,TPPT
191,P192,Cotoneaster integerrimus Medik.,Kahle Steinmispel,Common cotoneaster,Cotoneaster,Rosaceae,Europe and Western Asia,61,domestic,Forest plant,Apr.-May,Whole plant,weak toxic,,,,,Cotoneaster integerrimus,Cotoneaster integerrimus,722536-1,722536-1,Species,TPPT
192,P193,Cotoneaster tomentosus Lindl.,Filzige Steinmispel,Woolly cotoneaster,Cotoneaster,Rosaceae,Europe,37,domestic,Forest plant,May-Jul.,Whole plant,weak toxic,,,,,Cotoneaster tomentosus,Cotoneaster tomentosus,722713-1,722713-1,Species,TPPT
193,P194,Prunus armeniaca L.,Aprikosenbaum,Apricot tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Mar.-Apr.,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus armeniaca,Prunus armeniaca,729463-1,729463-1,Species,TPPT
194,P195,Prunus dulcis (Mill.) D. A. Webb,Mandelbaum,Almond tree,Prunus,Rosaceae,Asia,agriculture,alien,Agricultural plant,Mar.,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus amygdalus,Prunus amygdalus,60439867-2,60439867-2,Species,TPPT
195,P196,Prunus persica (L.) Batsch,Pfirsichbaum,Peach tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Mar.-Apr.,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus persica,Prunus persica,1212858-2,1212858-2,Species,TPPT
196,P197,Prunus insititia L.,Pflaumenbaum,Damson plum tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus insititia,Prunus insititia,210801-2,210801-2,Species,TPPT
197,P198,Prunus domestica L.,Zweitschgenbaum,Plum tree,Prunus,Rosaceae,Asia,agriculture,domestic,Agricultural plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus domestica,Prunus domestica,30221374-2,30221374-2,Species,TPPT
198,P199,Prunus avium L.,Suesskirsche,Sweet cherry tree,Prunus,Rosaceae,Europe and Western Asia,agriculture,domestic,Agricultural plant,Apr.-May,"Fruit, leaf, seed",weak toxic,,,,yes,Prunus avium,Prunus avium,30093848-2,30093848-2,Species,TPPT
199,P200,Prunus serotina Ehrh.,Herbst-Traubenkirsche,Black cherry tree,Prunus,Rosaceae,North America,2,alien,Ornamental garden plant,May-Jun.,"Fruit, leaf, seed",toxic,,yes,yes,,Prunus serotina,Prunus serotina,730262-1,730262-1,Species,TPPT
200,P201,Prunus laurocerasus L.,Kirschlorbeer,Common laurel,Prunus,Rosaceae,Southern Europe and Western Asia,14,alien,Ornamental garden plant,Apr.-May,"Fruit, leaf, seed",toxic,strong toxic,yes,yes,,Prunus laurocerasus,Prunus laurocerasus,324745-2,324745-2,Species,TPPT
201,P202,Prunus padus L.,Traubenkirsche,Bird cherry,Prunus,Rosaceae,Europe and Asie,40,domestic,Forest plant,Apr.-Jun.,"Fruit, leaf, seed",weak toxic,,,,,Prunus padus,Prunus padus,730076-1,730076-1,Species,TPPT
202,P203,Prunus mahaleb L.,Felsenkirsche,Mahaleb cherr,Prunus,Rosaceae,Mediterranean and Western Asia,18,domestic,Forest plant,Apr.-May,"Fruit, leaf, seed",weak toxic,,,,,Prunus mahaleb,Prunus mahaleb,729931-1,729931-1,Species,TPPT
203,P204,Prunus spinosa L.,Schwarzdorn,Blackthorn,Prunus,Rosaceae,Europe and Western Asia,56,domestic,Forest plant,Apr.,"Fruit, leaf, seed",weak toxic,,,,,Prunus spinosa,Prunus spinosa,730297-1,730297-1,Species,TPPT
204,P205,Amelanchier ovalis Medik.,Gewoehnliche Felsenbirne,Snowy mespilus,Amelanchier,Rosaceae,Europe and Western Asia,20,domestic,Mountain plant,Apr.-May,Whole plant ,weak toxic,,,,,Amelanchier ovalis,Amelanchier ovalis,721244-1,721244-1,Species,TPPT
205,P206,Amelanchier lamarckii F. G. Schroed.,Kupfer-Felsenbirne,Juneberry,Amelanchier,Rosaceae,North America,rarely introduced,alien,Ornamental garden plant,Apr.-May,Whole plant,weak toxic,,,,,Amelanchier × lamarckii,Amelanchier × lamarckii,721221-1,721221-1,Species,TPPT
206,P207,Eriobotrya japonica (Thunb.) Lindl.,Japanische Wollmispel,,Eriobotrya,Rosaceae,Asia,rarely introduced,alien,Forest plant,,"Leaf, seed",weak toxic,,,,,Rhaphiolepis bibas,Rhaphiolepis bibas,77209608-1,77209608-1,Species,TPPT
207,P208,Rhamnus saxarilis Jacq.,Felsen-Kreuzdorn,Rock buckthorn,Rhamnus,Rhamnaceae,Southern Europe,2,domestic,Mountain plant,Apr.-May,"Bark, fruit",toxic,,,,,Rhamnus,,,30006159-2,Genus,TPPT
208,P209,Rhamnus cathartica L.,Purgier-Kreuzdorn,Common buckthorn,Rhamnus,Rhamnaceae,Europe and Asia,53,domestic,Forest plant,May,"Bark, fruit",toxic,,,,,Rhamnus cathartica,Rhamnus cathartica,718256-1,718256-1,Species,TPPT
209,P210,Rhamnus alpina L.,Alpen-Kreuzdorn,Alpine buckthorn,Rhamnus,Rhamnaceae,Southern and Central Europe,24,domestic,Mountain plant,May-Jun.,"Bark, fruit",toxic,,,,,Rhamnus alpina,Rhamnus alpina,324982-2,324982-2,Species,TPPT
210,P211,Rhamnus pumila Turra,Zwerg-Kreuzdorn,Dwarf buckthorn,Rhamnus,Rhamnaceae,Southern and Central Europe,43,domestic,Mountain plant,Jun.-Jul.,"Bark, fruit",toxic,,,,,Rhamnus pumila,Rhamnus pumila,718594-1,718594-1,Species,TPPT
211,P212,Frangula alnus Mill.,Faulbaum,Alder buckthorn,Frangula,Rhamnaceae,Europe and Siberia,51,domestic,Forest plant,May-Jun.,"Bark, fruit, leaf",toxic,strong toxic,,,,Frangula alnus,Frangula alnus,717344-1,717344-1,Species,TPPT
212,P213,Acacia dealbata Link,Falsche Mimose,Silver wattle,Acacia,Fabaceae,Australia,occasionally introduced ,alien,Ornamental garden plant,Feb.-Mar.,"Bark, leaf, seed",strong toxic,,yes,yes,,Acacia dealbata,Acacia dealbata,470130-1,470130-1,Species,TPPT
213,P214,Laburnum anagyroides Medik.,Gemeiner Goldregen,Common laburnum,Laburnum,Fabaceae,Southern and Central Europe,11,domestic,Forest plant,May-Jun.,Whole plant,very strong toxic,very strong toxic,,,,Laburnum anagyroides,Laburnum anagyroides,501428-1,501428-1,Species,TPPT
214,P215,Laburnum alpinum (Mill.) Bercht. & J. Presl,Alpen-Goldregen,Alpine laburnum,Laburnum,Fabaceae,Southern and Central Europe,11,domestic,Forest plant,May-Jul.,Whole plant,very strong toxic,,,,,Laburnum alpinum,Laburnum alpinum,501425-1,501425-1,Species,TPPT
215,P216,Cytisus scoparius (L.) Link,Besenginster,Scotch broom,Cytisus,Fabaceae,Western Europe,11,domestic,Forest plant,May-Jun.,Whole plant,toxic,toxic,,,,Cytisus scoparius,Cytisus scoparius,489963-1,489963-1,Species,TPPT
216,P217,Cytisus nigricans L.,Schwarzwerdender Geissklee,Black broom,Cytisus,Fabaceae,Eastern Europe,7,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,toxic,,,,Cytisus nigricans,Cytisus nigricans,489855-1,489855-1,Species,TPPT
217,P218,Chamaecytisus hirsutus (L.) Link,Behaarter Zwerggingster,Hairy broom,Chamaecytisus,Fabaceae,Southern Europe and Western Asia,2,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,,Chamaecytisus hirsutus,Chamaecytisus hirsutus,485961-1,485961-1,Species,TPPT
218,P219,Chamaecytisus supinus (L.) Link,Niedriger Zwerggingster,Small broom,Chamaecytisus,Fabaceae,Europe and Western Asia,1.5,domestic,Forest plant,Apr.-Jun.,Whole plant,toxic,,,,,Chamaecytisus supinus,Chamaecytisus supinus,485988-1,485988-1,Species,TPPT
219,P220,Spartium junceum L.,Binsenginster,Rush broom,Spartium,Fabaceae,Mediterranean,rarely introduced,alien,Ornamental garden plant,May-Sep.,Whole plant,strong toxic,,,yes,,Spartium junceum,Spartium junceum,519057-1,519057-1,Species,TPPT
220,P221,Genista tinctoria L.,Faerber-Ginster,Dyer's greenweed,Genista,Fabaceae,Southern Europe and Western Asia,27,domestic,Xerophyte,Jun.-Aug.,Aerial part (or whole plant),strong toxic,strong toxic,,,,Genista tinctoria,Genista tinctoria,496408-1,496408-1,Species,TPPT
221,P222,Genista germanica L.,Deutscher Ginster,Cat-whin,Genista,Fabaceae,Europe,17,domestic,Xerophyte,May-Jun.,Whole plant,toxic,toxic,,,,Genista germanica,Genista germanica,496060-1,496060-1,Species,TPPT
222,P223,Genista pilosa L.,Behaarter Ginster,,Genista,Fabaceae,Western Europe,3,domestic,Forest plant,Apr.-Jun.,Aerial part (or whole plant),toxic,,,,,Genista pilosa,Genista pilosa,496255-1,496255-1,Species,TPPT
223,P224,Genista radiata (L.) Scop.,Kugel-Ginster,,Genista,Fabaceae,Central Europe,0.7,domestic,Xerophyte,May-Jul.,Aerial part (or whole plant),toxic,,,,,Genista radiata,Genista radiata,496291-1,496291-1,Species,TPPT
224,P225,Genista sagittalis L.,Fluegel-Ginster,Winged broom,Genista,Fabaceae,Southern Europe,21,domestic,Xerophyte,May-Jul.,Aerial part (or whole plant),toxic,weak toxic,,,,Genista sagittalis,Genista sagittalis,496318-1,496318-1,Species,TPPT
225,P226,Ulex europaeus L.,Europaeischer Stechginster,Gorse,Ulex,Fabaceae,Western Europe,1.5,alien,Forest plant,Apr.-May,Fruit,strong toxic,,,,,Ulex europaeus,Ulex europaeus,524298-1,524298-1,Species,TPPT
226,P227,Lupinus angustifolius L.,Schmalblaettrige Lupine,Narrow-leafed lupin,Lupinus,Fabaceae,Mediterranean,rarely introduced,alien,Weed and ruderal plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,,Lupinus angustifolius,Lupinus angustifolius,504124-1,504124-1,Species,TPPT
227,P228,Lupinus albus L.,Weisse Lupine,White lupin,Lupinus,Fabaceae,Mediterranean,rarely introduced,domestic,Ornamental garden plant,May-Jul.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,,Lupinus albus,Lupinus albus,504069-1,504069-1,Species,TPPT
228,P229,Lupinus luteus L.,Gelbe Lupine,European yellow lupin,Lupinus,Fabaceae,Mediterranean,0,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",toxic,toxic,,yes,,Lupinus luteus,Lupinus luteus,504707-1,504707-1,Species,TPPT
229,P230,Lupinus polyphyllus Lindl.,Vielblaettrige Lupine,Larg-leafed lupin,Lupinus,Fabaceae,North America,7,alien,Ornamental garden plant,Jun.-Sep.,"Whole plant, highest concentrations in seed",strong toxic,strong toxic,yes,yes,,Lupinus polyphyllus,Lupinus polyphyllus,504939-1,504939-1,Species,TPPT
230,P231,Robinia pseudoacacia L.,Robinie,False acacia,Robinia,Fabaceae,North America,42,alien,Ornamental garden plant,May-Jun.,"Whole plant, highest concentrations in bark, fruit",strong toxic,strong toxic,yes,yes,,Robinia pseudoacacia,Robinia pseudoacacia,30034699-2,30034699-2,Species,TPPT
231,P232,Wisteria sinensis (Sims) Sweet,Glycine (Blauregen),Chineses wisteria,Wisteria,Fabaceae,Asia,rarely introduced,domestic,Ornamental garden plant,Apr.-May,Whole plant,toxic,toxic,,yes,,Wisteria sinensis,Wisteria sinensis,60459148-2,60459148-2,Species,TPPT
232,P233,Wisteria floribunda (Willd.) DC.,Japanische Wisteria,Japanese wisteria,Wisteria,Fabaceae,Japan,0,alien,Ornamental garden plant,Mar.-May,Whole plant,toxic,toxic,,yes,,Wisteria floribunda,Wisteria floribunda,525791-1,525791-1,Species,TPPT
233,P234,Galega officinalis L.,Geisskraut,Goat's rue,Galega,Fabaceae,Mediterranean,occasionally introduced ,alien,Meadow plant,Jun.-Jul.,Whole plant,toxic,toxic,yes,yes,,Galega officinalis,Galega officinalis,495681-1,495681-1,Species,TPPT
234,P235,Colutea arborescens L.,Blasenstrauch,Bladder senna,Colutea,Fabaceae,Southern Europe,7,domestic,Forest plant,May,"Leaf, seed",toxic,,,,,Colutea arborescens,Colutea arborescens,486805-1,486805-1,Species,TPPT
236,P237,Phaseolus vulgaris L.,Garten-Bohne,Common bean,Phaseolus,Fabaceae,Southern and Central Europe,agriculture,domestic,Agricultural plant,Jul.-Aug.,"Fruit, seed",strong toxic,strong toxic,,,yes,Phaseolus vulgaris,Phaseolus vulgaris,514191-1,514191-1,Species,TPPT
237,P238,Phaseolus coccineus L.,Feuer-Bohne,Runner bean,Phaseolus,Fabaceae,Southern and Central Europe,agriculture,domestic,Agricultural plant,Jul.-Aug.,"Fruit, seed",strong toxic,strong toxic,,,yes,Phaseolus coccineus,Phaseolus coccineus,513754-1,513754-1,Species,TPPT
238,P239,Glycine max (L.) Merr.,Sojabohne,Soybean,Glycine,Fabaceae,Asia,agriculture,domestic,Agricultural plant,Jul.-Aug.,Seed (or whole plant),strong toxic,strong toxic,,,yes,Glycine max,Glycine max,60450240-2,60450240-2,Species,TPPT
239,P240,Vicia faba L.,Ackerbohne,Broad bean,Vicia,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,Jun.-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),"strong toxic (cow, pig)",,,yes,Vicia faba,Vicia faba,524737-1,524737-1,Species,TPPT
240,P241,"Vicia cracca L. s.l. (V. cracca L. s.l., V. cracca subsp. incana (Gouan) Rouy and V. cracca subsp. tenuifolia (Roth) Bonnier & Layens)",Vogel-Wicke,Tufted vetch,Vicia,Fabaceae,Europe and Asia,65,domestic,Weed and ruderal plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia tenuifolia,Vicia tenuifolia,525193-1,525193-1,Species,TPPT
241,P242,Vicia pisiformis L.,Erbsen-Wicke,,Vicia,Fabaceae,Eastern Europe,1,domestic,Meadow plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia pisiformis,Vicia pisiformis,525053-1,525053-1,Species,TPPT
242,P243,Vicia dumetorum L. ,Hecken-Wicke,,Vicia,Fabaceae,Central Europe,21,domestic,Meadow plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia dumetorum,Vicia dumetorum,524709-1,524709-1,Species,TPPT
243,P244,Vicia hirsuta (L.) Gray,Rauhaarige Wicke,Hairy vetch,Vicia,Fabaceae,Europe and Asia,39,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia hirsuta,Vicia hirsuta,524810-1,524810-1,Species,TPPT
244,P245,Vicia lathyroides L.,Platterbsen-Wicke,Spring vetch,Vicia,Fabaceae,Mediterranean,2,domestic,Xerophyte,Apr.-May,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia lathyroides,Vicia lathyroides,524865-1,524865-1,Species,TPPT
245,P246,Vicia lutea L.,Gelbe Wicke,Yellow vetch,Vicia,Fabaceae,Mediterranea,5,alien,Weed and ruderal plant,May,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia lutea,Vicia lutea,524905-1,524905-1,Species,TPPT
246,P247,Vicia onobrychioides L.,Esparsetten-Wicke,,Vicia,Fabaceae,Mediterranean,4,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia onobrychioides,Vicia onobrychioides,525000-1,525000-1,Species,TPPT
247,P248,"Vicia sativa L. s.l. (V. sativa L. s.str., V. sativa subsp. cordata (Hoppe) Batt. and V. sativa subsp. nigra (L.) Ehrh.)",Futter-Wicke,Common vetch,Vicia,Fabaceae,Mediterranean,45,alien,Weed and ruderal plant,May-Oct.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia sativa subsp. nigra,Vicia sativa,525117-1,60467411-2,Subspecies,TPPT
248,P249,Vicia sepium L.,Zaun-Wicke,Bush vetch,Vicia,Fabaceae,Europe and Siberia,72,domestic,Meadow plant,Apr.-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia sepium,Vicia sepium,525130-1,525130-1,Species,TPPT
249,P250,Vicia sylvativa L.,Wald-Wicke,Wood vetch,Vicia,Fabaceae,Europe and Siberia,31,domestic,Forest plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia,,,330034-2,Genus,TPPT
250,P251,Vicia tetrasperma (L.) Schreb.,Viersamige Wicke,Smooth vetch,Vicia,Fabaceae,Europe and Asia,24,domestic,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia tetrasperma,Vicia tetrasperma,60016556-3,60016556-3,Species,TPPT
251,P252,Vicia villosa Roth,Zottige Wicke,Fodder vetch,Vicia,Fabaceae,Mediterranean,10,domestic,Weed and ruderal plant,Jun.-Aug.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia villosa,Vicia villosa,525259-1,525259-1,Species,TPPT
252,P253,Vicia parviflora Cav.,Zarte Wicke,,Vicia,Fabaceae,Mediterranean,1.5,domestic,Weed and ruderal plant,Jun.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia parviflora,Vicia parviflora,525019-1,525019-1,Species,TPPT
253,P254,Vicia pannonica Crantz,Ungarische Wicke,Hungarian vetch,Vicia,Fabaceae,Mediterranean,5,alien,Weed and ruderal plant,May-Jul.,"Fruit, pollen, seed (or whole plant)",toxic (unknown strength),,,,,Vicia pannonica,Vicia pannonica,525015-1,525015-1,Species,TPPT
254,P255,Lens culinaris Medik.,Linse,Lentil,Lens,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,Jun.-Jul.,Young herb,weak toxic,,,,yes,Vicia lens,Vicia lens,524872-1,524872-1,Species,TPPT
255,P256,Lathyrus tuberosus L.,Knollige Platterbse,Tuberous pea,Lathyrus,Fabaceae,Europe and Asia,11,domestic,Weed and ruderal plant,Jun.-Jul.,Seed,weak toxic,toxic,,,,Lathyrus tuberosus,Lathyrus tuberosus,502065-1,502065-1,Species,TPPT
256,P257,Lathyrus sylvestris L.,Wald-Platterbse,Flat pea,Lathyrus,Fabaceae,Europe,45,domestic,Forest plant,Jul.-Aug.,Seed,weak toxic,toxic,,,,Lathyrus sylvestris,Lathyrus sylvestris,502035-1,502035-1,Species,TPPT
257,P258,Lathyrus latifolius L.,Breitblaettrige Platterbse,Perennial pea,Lathyrus,Fabaceae,Southern Europe,20,alien,Ornamental garden plant,Jun.-Aug.,Seed,weak toxic,toxic,,yes,,Lathyrus latifolius,Lathyrus latifolius,501802-1,501802-1,Species,TPPT
258,P259,Lathyrus cicera L.,Kicher-Platterbse,Red pea,Lathyrus,Fabaceae,Mediterranean,0.2,domestic,Weed and ruderal plant,May,Seed,weak toxic,very strong toxic,,,,Lathyrus cicera,Lathyrus cicera,501638-1,501638-1,Species,TPPT
259,P260,Lathyrus sativus L.,Saat-Platterbse,White pea,Lathyrus,Fabaceae,Western Asia,agriculture,alien,Agricultural plant,Jun.-Jul.,Seed,weak toxic,toxic,,,yes,Lathyrus sativus,Lathyrus sativus,501990-1,501990-1,Species,TPPT
260,P261,Lathyrus odoratus L.,Duftende Platterbse,Sweet pea,Lathyrus,Fabaceae,Southern Europe,0,alien,Ornamental garden plant,Jun.-Sep.,Seed,weak toxic,toxic,,yes,,Lathyrus odoratus,Lathyrus odoratus,501909-1,501909-1,Species,TPPT
261,P262,Pisum sativum L. s.str.,Garten-Erbse,Pea,Pisum,Fabaceae,Mediterranean,agriculture,domestic,Agricultural plant,May-Aug.,Young herb,weak toxic,,,,yes,Lathyrus oleraceus,Lathyrus oleraceus,501912-1,501912-1,Species,TPPT
262,P263,Melilotus altissimus Thuill.,Hoher Honigklee,Tall yellow sweetclover,Melilotus,Fabaceae,Europe and Asia,32,domestic,Weed and ruderal plant,Jun.-Aug.,Aerial part (or whole plant),weak toxic,,,,,Melilotus altissimus,Melilotus altissimus,506901-1,506901-1,Species,TPPT
263,P264,Melilotus officinalis Lam.,Echter Honigklee,Yellow sweetclover,Melilotus,Fabaceae,Europe and Asia,51,domestic,Weed and ruderal plant,Jun.-Oct.,Aerial part (or whole plant),weak toxic,strong toxic,,,,Melilotus officinalis,Melilotus officinalis,30429323-2,30429323-2,Species,TPPT
264,P265,Melilotus albus Medik.,Weisser Honigklee,Honey clover,Melilotus,Fabaceae,Europe and Asia,55,domestic,Weed and ruderal plant,Jun.-Aug.,Aerial part (or whole plant),weak toxic,strong toxic,,,,Melilotus albus,Melilotus albus,156656-2,156656-2,Species,TPPT
265,P266,Securigera varia (L.) Lassen,Bunte Kronwicke,Crown-vetch                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Securigera,Fabaceae,Europe and Western Asia,32,domestic,Xerophyte,Jun.-Aug.,"Whole plant, highest concentrations in seed",toxic,toxic,,,,Coronilla varia,Coronilla varia,487281-1,487281-1,Species,TPPT
266,P267,Coronilla coronata L.,Berg-Kronwicke,,Coronilla,Fabaceae,Southern and Central Europe,6,domestic,Forest plant,Jun.,Whole plant,toxic,,,,,Coronilla coronata,Coronilla coronata,487189-1,487189-1,Species,TPPT
267,P268,Coronilla minima L.,Kleine Kronwicke,,Coronilla,Fabaceae,Mediterranean,0.7,domestic,Forest plant,Jun.-Jul.,Whole plant,toxic,,,,,Coronilla minima,Coronilla minima,487228-1,487228-1,Species,TPPT
268,P269,Coronilla vaginalis Lam.,Scheiden-Kronwicke,,Coronilla,Fabaceae,Southern and Central Europe,32,domestic,Mountain plant,May-Jul.,Whole plant,toxic,,,,,Coronilla vaginalis,Coronilla vaginalis,487277-1,487277-1,Species,TPPT
269,P270,Gleditsia triacanthos L. ,Gleditschie,Honey locust tree,Gleditsia,Fabaceae,North America,occasionally introduced ,domestic,Ornamental garden plant,May,Leaf,toxic,,,yes,,Gleditsia triacanthos,Gleditsia triacanthos,110723-2,110723-2,Species,TPPT
271,P272,Caragana arborescens Lam.,Erbsenstrauch,Pea-tree,Caragana,Fabaceae,Siberia,0,domestic,Ornamental garden plant,May-Jun.,Seed (or whole plant),weak toxic,,,yes,,Caragana arborescens,Caragana arborescens,483792-1,483792-1,Species,TPPT
272,P273,Sophora japonica L.,Japanischer Schnurstrauch,Chinese pagoda-tree,Sophora,Fabaceae,Eastern Asia,0,alien,Ornamental garden plant,Aug.-Sep.,Fruit (or whole plant),strong toxic,,,yes,,Styphnolobium japonicum,Styphnolobium japonicum,1119529-2,1119529-2,Species,TPPT
273,P274,Erythrina crista-galli L.,Korallenstrauch,Cockspur coral tree,Erythrina,Fabaceae,South America,0,alien,Ornamental garden plant,Aug.-Sep.,"Whole plant, highest concentration in seed",strong toxic,,,yes,,Erythrina crista-galli,Erythrina crista-galli,494400-1,494400-1,Species,TPPT
276,P277,Oxytropis campestris (L.) DC.,Alpen-Spitzkiel,Field locoweed,Oxytropis,Fabaceae,Alps,39,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,,Oxytropis campestris,Oxytropis campestris,179551-2,179551-2,Species,TPPT
277,P278,Oxytropis fetida (Vill.) DC.,Druesiger Spitzkiel,,Oxytropis,Fabaceae,Alps,1,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,,Oxytropis fetida,Oxytropis fetida,511462-1,511462-1,Species,TPPT
278,P279,Oxytropis halleri W. D. J. Koch,Hallers Spitzkiel,Purple locoweed,Oxytropis,Fabaceae,Central and Southern Europe,10,domestic,Mountain plant,Apr.-Jul.,Whole plant,toxic (unknown strength),,,,,Oxytropis halleri,Oxytropis halleri,511514-1,511514-1,Species,TPPT
279,P280,Oxytropis helvetica Scheele,Schweizer Spitzkiel,,Oxytropis,Fabaceae,Alps,2,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,,Oxytropis helvetica,Oxytropis helvetica,60468330-2,60468330-2,Species,TPPT
280,P281,Oxytropis lapponica (Wahlenb.) J. Gay,Lapplaender Spitzkiel,,Oxytropis,Fabaceae,Europe and Asia,13,domestic,Mountain plant,Jul.-Aug.,Whole plant,toxic (unknown strength),,,,,Oxytropis lapponica,Oxytropis lapponica,511615-1,511615-1,Species,TPPT
281,P282,Oxytropis pilosa (L.) DC.,Zottiger Spitzkiel,,Oxytropis,Fabaceae,Eastern Europe and Western Asia,6,domestic,Xerophyte,May-Jul.,Whole plant,toxic (unknown strength),,,,,Oxytropis pilosa,Oxytropis pilosa,511774-1,511774-1,Species,TPPT
282,P283,Euonymus europaeus L.,Gemeines Pfaffenhuetchen,European spindle,Euonymus,Celastraceae,Europe,47,domestic,Forest plant,Jun.-Jul.,"Whole plant, highest concentrations in fruit",strong toxic,strong toxic,,,,Euonymus europaeus,Euonymus europaeus,160876-1,160876-1,Species,TPPT
283,P284,Euonymus japonicus Thunb.,Japanisches Pfaffenhuetchen,Japanese spindle,Euonymus,Celastraceae,Japan,occasionally introduced ,alien,Ornamental garden plant,May-Aug.,Whole plant,strong toxic,strong toxic,,yes,,Euonymus japonicus,Euonymus japonicus,160944-1,160944-1,Species,TPPT
284,P285,Euonymus latifolius (L.) Mill.,Breitblaettriges Pfaffenhuettchen,Broadleaf spindle,Euonymus,Celastraceae,Southern and Central Europe,12,domestic,Forest plant,May-Jun.,Whole plant,strong toxic,strong toxic,,,,Euonymus latifolius,Euonymus latifolius,160962-1,160962-1,Species,TPPT
293,P294,Mercurialis perennis L.,Wald-Bingelkraut,Dog's mercury,Mercurialis,Euphorbiaceae,Europe and Western Asia,50,domestic,Forest plant,Mar.-Apr.,Whole plant,toxic,strong toxic,,,,Mercurialis perennis,Mercurialis perennis,352211-1,352211-1,Species,TPPT
294,P295,Mercurialis ovata Sternb. & Hoppe,Eiblaettriges Bingelkraut,,Mercurialis,Euphorbiaceae,South-eastern Europe and Western Asia,0.2,domestic,Forest plant,Jun.,Whole plant,toxic,,,,,Mercurialis ovata,Mercurialis ovata,352207-1,352207-1,Species,TPPT
295,P296,Mercurialis annua L.,Einjaehriges Bingelkraut,Annal mercury,Mercurialis,Euphorbiaceae,Europe and Western Asia,20,domestic,Weed and ruderal plant,May-Oct.,Whole plant,toxic,,,,,Mercurialis annua,Mercurialis annua,352179-1,352179-1,Species,TPPT
