,Latin name provided,latinNameNoAuthor,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
7692,Cortinarius balteatus,Cortinarius balteatus,LITTOX,,,,,
7693,Cortinarius betuletorum,Cortinarius betuletorum,LITTOX,,,,,
7694,Cortinarius bolaris,Cortinarius bolaris,LITTOX,,,,,
7695,Cortinarius brunneofulvus,Cortinarius brunneofulvus,LITTOX,,,,,
7696,Cortinarius brunneo-fulvus,Cortinarius brunneo-fulvus,LITTOX,,,,,
7697,Cortinarius bulliardi,Cortinarius bulliardi,LITTOX,,,,,
7698,Cortinarius bulliardii,Cortinarius bulliardii,LITTOX,,,,,
7699,Cortinarius caerulescens,Cortinarius caerulescens,LITTOX,,,,,
7700,Cortinarius calisteus,Cortinarius calisteus,LITTOX,,,,,
7701,Cortinarius callisteus,Cortinarius callisteus,LITTOX,,,,,
7702,Cortinarius camphoratus,Cortinarius camphoratus,LITTOX,,,,,
7703,Cortinarius catarracticus,Cortinarius catarracticus,LITTOX,,,,,
7704,Cortinarius cinnabarinus,Cortinarius cinnabarinus,LITTOX,,,,,
7705,Cortinarius cinnamomeofulvus,Cortinarius cinnamomeofulvus,LITTOX,,,,,
7706,Cortinarius cinnamomeus,Cortinarius cinnamomeus,LITTOX,,,,,
7707,Cortinarius citrinus,Cortinarius citrinus,LITTOX,,,,,
7708,Cortinarius collinitus,Cortinarius collinitus,LITTOX,,,,,
7709,Cortinarius collinitus var. trivialis,Cortinarius collinitus var. trivialis,LITTOX,,,,,
7710,Cortinarius concinnus,Cortinarius concinnus,LITTOX,,,,,
7711,Cortinarius conformis,Cortinarius conformis,LITTOX,,,,,
7712,Cortinarius cotoneus,Cortinarius cotoneus,LITTOX,,,,,
7713,Cortinarius croceifolius,Cortinarius croceifolius,LITTOX,,,,,
7714,Cortinarius croceofolius,Cortinarius croceofolius,LITTOX,,,,,
7715,Cortinarius crocolitus,Cortinarius crocolitus,LITTOX,,,,,
7716,Cortinarius cumatilis,Cortinarius cumatilis,LITTOX,,,,,
7717,Cortinarius decipiens,Cortinarius decipiens,LITTOX,,,,,
7718,Cortinarius duracinus,Cortinarius duracinus,LITTOX,,,,,
7719,Cortinarius eartoxicus,Cortinarius eartoxicus,LITTOX,,,,,
7720,Cortinarius elatior,Cortinarius elatior,LITTOX,,,,,
7721,Cortinarius elegantior,Cortinarius elegantior,LITTOX,,,,,
7722,Cortinarius erythrocephalus,Cortinarius erythrocephalus,LITTOX,,,,,
7723,Cortinarius fluorescens,Cortinarius fluorescens,LITTOX,,,,,
7724,Cortinarius fulvaureus,Cortinarius fulvaureus,LITTOX,,,,,
7725,Cortinarius gentilis,Cortinarius gentilis,LITTOX,,,,,
7726,Cortinarius glandicolor,Cortinarius glandicolor,LITTOX,,,,,
7727,Cortinarius glaucescens,Cortinarius glaucescens,LITTOX,,,,,
7728,Cortinarius groupe Cinnamomei,Cortinarius groupe Cinnamomei,LITTOX,,,,,
7729,Cortinarius groupe Orellani,Cortinarius groupe Orellani,LITTOX,,,,,
7730,Cortinarius groupe Sanguinei,Cortinarius groupe Sanguinei,LITTOX,,,,,
7731,Cortinarius haematochelis,Cortinarius haematochelis,LITTOX,,,,,
7732,Cortinarius henrici,Cortinarius henrici,LITTOX,,,,,
7733,Cortinarius henricii,Cortinarius henricii,LITTOX,,,,,
7734,Cortinarius hinnuleus,Cortinarius hinnuleus,LITTOX,,,,,
7735,Cortinarius infractus,Cortinarius infractus,LITTOX,,,,,
7736,Cortinarius iodes,Cortinarius iodes,LITTOX,,,,,
7737,Cortinarius lepidopus,Cortinarius lepidopus,LITTOX,,,,,
7738,Cortinarius limonius,Cortinarius limonius,LITTOX,,,,,
7739,Cortinarius majusculus,Cortinarius majusculus,LITTOX,,,,,
7740,Cortinarius malicorius,Cortinarius malicorius,LITTOX,,,,,
7741,Cortinarius mucifluus,Cortinarius mucifluus,LITTOX,,,,,
7742,Cortinarius mucosus,Cortinarius mucosus,LITTOX,,,,,
7743,Cortinarius nothosaniosus,Cortinarius nothosaniosus,LITTOX,,,,,
7744,Cortinarius odorifer,Cortinarius odorifer,LITTOX,,,,,
7745,Cortinarius orellanoides,Cortinarius orellanoides,LITTOX,,,,,
7746,Cortinarius orellanus,Cortinarius orellanus,LITTOX,,,,,
7747,Cortinarius orellanusta,Cortinarius orellanusta,LITTOX,,,,,
7748,Cortinarius phoeniceus,Cortinarius phoeniceus,LITTOX,,,,,
7749,Cortinarius pholideus,Cortinarius pholideus,LITTOX,,,,,
7750,Cortinarius pinicola,Cortinarius pinicola,LITTOX,,,,,
7751,Cortinarius praestans,Cortinarius praestans,LITTOX,,,,,
7752,Cortinarius prasinus,Cortinarius prasinus,LITTOX,,,,,
7753,Cortinarius pseudobolaris,Cortinarius pseudobolaris,LITTOX,,,,,
7754,Cortinarius pseudocolus,Cortinarius pseudocolus,LITTOX,,,,,
7755,Cortinarius pseudosalor,Cortinarius pseudosalor,LITTOX,,,,,
7756,Cortinarius pseudosolar,Cortinarius pseudosolar,LITTOX,,,,,
7757,Cortinarius pseudosulphureus,Cortinarius pseudosulphureus,LITTOX,,,,,
7758,Cortinarius puniceus,Cortinarius puniceus,LITTOX,,,,,
7759,Cortinarius purpurascens,Cortinarius purpurascens,LITTOX,,,,,
7760,Cortinarius rainierensis,Cortinarius rainierensis,LITTOX,,,,,
7761,Cortinarius rapaceus,Cortinarius rapaceus,LITTOX,,,,,
7762,Cortinarius raphanoides,Cortinarius raphanoides,LITTOX,,,,,
7763,Cortinarius rubellus,Cortinarius rubellus,LITTOX,,,,,
7764,Cortinarius rubicundulus,Cortinarius rubicundulus,LITTOX,,,,,
7765,Cortinarius rubicundus,Cortinarius rubicundus,LITTOX,,,,,
7766,Cortinarius rubrobasalis,Cortinarius rubrobasalis,LITTOX,,,,,
7767,Cortinarius russeoides,Cortinarius russeoides,LITTOX,,,,,
7768,Cortinarius rutilans,Cortinarius rutilans,LITTOX,,,,,
7769,Cortinarius sanguineus,Cortinarius sanguineus,LITTOX,,,,,
7770,Cortinarius saniosus,Cortinarius saniosus,LITTOX,,,,,
7771,Cortinarius sect. Limonei,Cortinarius sect. Limonei,LITTOX,,,,,
7772,Cortinarius sect. Orellani,Cortinarius sect. Orellani,LITTOX,,,,,
7773,Cortinarius semisanguineus,Cortinarius semisanguineus,LITTOX,,,,,
7774,Cortinarius sp.,Cortinarius sp.,LITTOX,,,,,
7775,Cortinarius speciosissimus,Cortinarius speciosissimus,LITTOX,,,,,
7776,Cortinarius speciosus,Cortinarius speciosus,LITTOX,,,,,
7777,Cortinarius spilomeus,Cortinarius spilomeus,LITTOX,,,,,
7778,Cortinarius splendens,Cortinarius splendens,LITTOX,,,,,
7779,Cortinarius spp.,Cortinarius spp.,LITTOX,,,,,
7780,Cortinarius subargentatus,Cortinarius subargentatus,LITTOX,,,,,
7781,Cortinarius subgen. Cortinarius,Cortinarius subgen. Cortinarius,LITTOX,,,,,
7782,Cortinarius subgen. Dermocybe,Cortinarius subgen. Dermocybe,LITTOX,,,,,
7783,Cortinarius subgen. Hydrocybe,Cortinarius subgen. Hydrocybe,LITTOX,,,,,
7784,Cortinarius subgen. Leprocybe,Cortinarius subgen. Leprocybe,LITTOX,,,,,
7785,Cortinarius subgen. Myxacium,Cortinarius subgen. Myxacium,LITTOX,,,,,
7786,Cortinarius subgen. Phlegmacium,Cortinarius subgen. Phlegmacium,LITTOX,,,,,
7787,Cortinarius subgen. Serieocybe,Cortinarius subgen. Serieocybe,LITTOX,,,,,
7788,Cortinarius subgen. Telamonia,Cortinarius subgen. Telamonia,LITTOX,,,,,
7789,Cortinarius subpurpurascens,Cortinarius subpurpurascens,LITTOX,,,,,
7790,Cortinarius tabularis,Cortinarius tabularis,LITTOX,,,,,
7791,Cortinarius tofaceus,Cortinarius tofaceus,LITTOX,,,,,
7792,Cortinarius tophaceoides,Cortinarius tophaceoides,LITTOX,,,,,
7793,Cortinarius tophaceus,Cortinarius tophaceus,LITTOX,,,,,
7794,Cortinarius torvus,Cortinarius torvus,LITTOX,,,,,
7795,Cortinarius traganus,Cortinarius traganus,LITTOX,,,,,
7796,Cortinarius trivialis,Cortinarius trivialis,LITTOX,,,,,
7797,Cortinarius turmalis,Cortinarius turmalis,LITTOX,,,,,
7798,Cortinarius valgus,Cortinarius valgus,LITTOX,,,,,
7799,Cortinarius variecolor,Cortinarius variecolor,LITTOX,,,,,
7800,Cortinarius varius,Cortinarius varius,LITTOX,,,,,
7801,Cortinarius venenosus,Cortinarius venenosus,LITTOX,,,,,
7802,Cortinarius venetus,Cortinarius venetus,LITTOX,,,,,
7803,Cortinarius vibritalis,Cortinarius vibritalis,LITTOX,,,,,
7804,Cortinarius violaceus,Cortinarius violaceus,LITTOX,,,,,
7805,Cortinarius vitellinus,Cortinarius vitellinus,LITTOX,,,,,
7806,Cortinatius,Cortinatius,LITTOX,,,,,
7807,Cortinellus edodes,Cortinellus edodes,LITTOX,,,,,
7808,Cortinellus shiitake,Cortinellus shiitake,LITTOX,,,,,
7809,Corton tiglium,Corton tiglium,LITTOX,,,,,
7810,Cortusa,Cortusa,LITTOX,Primula,,,30005261-2,Genus
7811,Cortusa matthioli,Cortusa matthioli,LITTOX,Primula matthioli,Primula matthioli,702251-1,702251-1,Species
7812,Corydalis,Corydalis,LITTOX,Corydalis,,,331519-2,Genus
7813,Corydalis aurea,Corydalis aurea,LITTOX,Corydalis aurea,Corydalis aurea,66345-2,66345-2,Species
7814,Corydalis aureus,Corydalis aureus,LITTOX,Corydalis aurea,Corydalis aurea,66345-2,66345-2,Species
7815,Corydalis bulbosa,Corydalis bulbosa,LITTOX,Corydalis solida subsp. solida,Corydalis solida,60454743-2,77229663-1,Subspecies
7816,Corydalis caseana,Corydalis caseana,LITTOX,Corydalis caseana,Corydalis caseana,66361-2,66361-2,Species
7817,Corydalis cava,Corydalis cava,LITTOX,Corydalis cava,Corydalis cava,672129-1,672129-1,Species
7818,Corydalis cava ssp. cava,Corydalis cava ssp. cava,LITTOX,Corydalis cava,Corydalis cava,672129-1,672129-1,Species
7819,Corydalis claviculata,Corydalis claviculata,LITTOX,Ceratocapnos claviculata,Ceratocapnos claviculata,913782-1,913782-1,Species
7820,Corydalis curvisiliqua,Corydalis curvisiliqua,LITTOX,Corydalis curvisiliqua,Corydalis curvisiliqua,66373-2,66373-2,Species
7821,Corydalis flavula,Corydalis flavula,LITTOX,Corydalis flavula,Corydalis flavula,672228-1,672228-1,Species
7822,Corydalis formosa,Corydalis formosa,LITTOX,Dicentra formosa subsp. formosa,Dicentra formosa,30038428-2,77229392-1,Subspecies
7823,Corydalis gigantea,Corydalis gigantea,LITTOX,Corydalis gigantea,Corydalis gigantea,672243-1,672243-1,Species
7824,Corydalis incisa,Corydalis incisa,LITTOX,Corydalis incisa,Corydalis incisa,672291-1,672291-1,Species
7825,Corydalis lutea,Corydalis lutea,LITTOX,Pseudofumaria lutea,Pseudofumaria lutea,673928-1,673928-1,Species
7826,Corydalis micrantha,Corydalis micrantha,LITTOX,Corydalis micrantha,Corydalis micrantha,66396-2,66396-2,Species
7827,Corydalis montana,Corydalis montana,LITTOX,Corydalis aurea subsp. occidentalis,Corydalis aurea,66345-2,66352-2,Subspecies
7828,Corydalis ochroleuca,Corydalis ochroleuca,LITTOX,Pseudofumaria alba subsp. acaulis,Pseudofumaria alba,943202-1,952821-1,Subspecies
7829,Corydalis ochrolutea,Corydalis ochrolutea,LITTOX,,,,,
7830,Corydalis ophiocarpa,Corydalis ophiocarpa,LITTOX,Corydalis ophiocarpa,Corydalis ophiocarpa,672396-1,672396-1,Species
7831,Corydalis pallida,Corydalis pallida,LITTOX,Corydalis pallida,Corydalis pallida,672411-1,672411-1,Species
7832,Corydalis rosea,Corydalis rosea,LITTOX,Corydalis punicea,Corydalis punicea,1009982-1,1009982-1,Species
7833,Corydalis scouleri,Corydalis scouleri,LITTOX,Corydalis scouleri,Corydalis scouleri,672494-1,672494-1,Species
7834,Corydalis sempervirens,Corydalis sempervirens,LITTOX,Capnoides sempervirens,Capnoides sempervirens,671943-1,671943-1,Species
7835,Corydalis solida,Corydalis solida,LITTOX,Corydalis solida,Corydalis solida,60454743-2,60454743-2,Species
7836,Corydalis solida (bulbosa),Corydalis solida (bulbosa),LITTOX,Corydalis solida,Corydalis solida,60454743-2,60454743-2,Species
7837,Corydalis speciosa,Corydalis speciosa,LITTOX,Corydalis speciosa,Corydalis speciosa,672511-1,672511-1,Species
7838,Corydalis thalictrifolia,Corydalis thalictrifolia,LITTOX,Corydalis cornuta,Corydalis cornuta,672155-1,672155-1,Species
7839,Corydalis tuberosa,Corydalis tuberosa,LITTOX,Corydalis cava subsp. cava,Corydalis cava,672129-1,77229296-1,Subspecies
7840,Corydothymus,Corydothymus,LITTOX,Thymbra,,,30041525-2,Genus
7841,Corylaceae,Corylaceae,LITTOX,,,,,
7842,Corylus,Corylus,LITTOX,Corylus,,,13489-1,Genus
7843,Corylus as 'hazel',Corylus as 'hazel',LITTOX,,,,,
7844,Corylus avelana as 'hazel',Corylus avelana as 'hazel',LITTOX,,,,,
7845,Corylus avellana,Corylus avellana,LITTOX,Corylus avellana,Corylus avellana,295446-1,295446-1,Species
7846,Corylus avellana as 'hazel nut',Corylus avellana as 'hazel nut',LITTOX,Corylus avellana,Corylus avellana,295446-1,295446-1,Species
7847,Corylus avellana as 'hazelnut',Corylus avellana as 'hazelnut',LITTOX,Corylus avellana,Corylus avellana,295446-1,295446-1,Species
7848,Corylus colurna,Corylus colurna,LITTOX,Corylus colurna,Corylus colurna,295453-1,295453-1,Species
7849,Corynanthe,Corynanthe,LITTOX,Corynanthe,,,34406-1,Genus
7850,Corynanthe johimbe,Corynanthe johimbe,LITTOX,Corynanthe johimbe,Corynanthe johimbe,747599-1,747599-1,Species
7851,Corynanthe johimbe as 'yohimbe',,LITTOX,Corynanthe johimbe,Corynanthe johimbe,747599-1,747599-1,Species
7852,Corynanthe johimbe as 'yohimbine',,LITTOX,Corynanthe johimbe,Corynanthe johimbe,747599-1,747599-1,Species
7853,Corynanthe mayumbensis,Corynanthe mayumbensis,LITTOX,Corynanthe mayumbensis,Corynanthe mayumbensis,747602-1,747602-1,Species
7854,Corynanthe pachycera,Corynanthe pachycera,LITTOX,,,,,
7855,Corynanthe yohimbe,Corynanthe yohimbe,LITTOX,Corynanthe johimbe,Corynanthe johimbe,747599-1,747599-1,Species
7856,Corynanthe yohimbi,Corynanthe yohimbi,LITTOX,,,,,
7857,Corynebacterium,Corynebacterium,LITTOX,,,,,
7858,Corynebacterium cystitidis,Corynebacterium cystitidis,LITTOX,,,,,
7859,Corynebacterium parvum,Corynebacterium parvum,LITTOX,,,,,
7860,Corynebacterium pilosum,Corynebacterium pilosum,LITTOX,,,,,
7861,Corynebacterium rathayi,Corynebacterium rathayi,LITTOX,,,,,
7862,Corynebacterium ratthayi,Corynebacterium ratthayi,LITTOX,,,,,
7863,Corynebacterium renale,Corynebacterium renale,LITTOX,,,,,
7864,Corynebacterium sepedonicum,Corynebacterium sepedonicum,LITTOX,,,,,
7865,Corynocarpaceae,Corynocarpaceae,LITTOX,,,,,
7866,Corynocarpus,Corynocarpus,LITTOX,Corynocarpus,,,1777-1,Genus
7867,Corynocarpus cribbianus,Corynocarpus cribbianus,LITTOX,Corynocarpus cribbianus,Corynocarpus cribbianus,272099-1,272099-1,Species
7868,Corynocarpus dissimilis,Corynocarpus dissimilis,LITTOX,Corynocarpus dissimilis,Corynocarpus dissimilis,69492-1,69492-1,Species
7869,Corynocarpus laevigata,Corynocarpus laevigata,LITTOX,Corynocarpus laevigatus,Corynocarpus laevigatus,272100-1,272100-1,Species
7870,Corynocarpus laevigatus,Corynocarpus laevigatus,LITTOX,Corynocarpus laevigatus,Corynocarpus laevigatus,272100-1,272100-1,Species
7871,Corynocarpus similis,Corynocarpus similis,LITTOX,Corynocarpus similis,Corynocarpus similis,69494-1,69494-1,Species
7872,Corynostylis,Corynostylis,LITTOX,Calyptrion,,,30179831-2,Genus
7873,Corypha,Corypha,LITTOX,Corypha,,,328318-2,Genus
7874,Corypha elata,Corypha elata,LITTOX,Corypha utan,Corypha utan,666349-1,666349-1,Species
7875,Corypha talliera,Corypha talliera,LITTOX,Corypha taliera,Corypha taliera,1009125-1,1009125-1,Species
7876,Corypha umbraculifera,Corypha umbraculifera,LITTOX,Corypha umbraculifera,Corypha umbraculifera,666347-1,666347-1,Species
7877,Coryphantha,Coryphantha,LITTOX,Coryphantha,,,1099659-2,Genus
7878,Coryphantha acromeris,Coryphantha acromeris,LITTOX,,,,,
7879,Coryphantha calipensis,Coryphantha calipensis,LITTOX,Coryphantha pallida subsp. calipensis,Coryphantha pallida,66592-2,1017967-1,Subspecies
7880,Coryphantha compacta,Coryphantha compacta,LITTOX,Coryphantha compacta,Coryphantha compacta,131223-1,131223-1,Species
7881,Coryphantha cornifera var. echinus,Coryphantha cornifera var. echinus,LITTOX,Coryphantha echinus,Coryphantha echinus,131245-1,131245-1,Species
7882,Coryphantha macromeris,Coryphantha macromeris,LITTOX,Coryphantha macromeris,Coryphantha macromeris,1180797-2,1180797-2,Species
7883,Coryphantha macromeris var. runyonii,Coryphantha macromeris var. runyonii,LITTOX,Coryphantha macromeris subsp. runyonii,Coryphantha macromeris,1180797-2,1005835-1,Subspecies
7884,Coryphantha palmerii,Coryphantha palmerii,LITTOX,Coryphantha delicata,Coryphantha delicata,66536-2,66536-2,Species
7885,Coryphantha ramillosa,Coryphantha ramillosa,LITTOX,Coryphantha ramillosa,Coryphantha ramillosa,66614-2,66614-2,Species
7886,Corytholoma allagophyllum,Corytholoma allagophyllum,LITTOX,Sinningia allagophylla,Sinningia allagophylla,236681-2,236681-2,Species
7887,Corytholoma sceptrum,Corytholoma sceptrum,LITTOX,Sinningia sceptrum,Sinningia sceptrum,237104-2,237104-2,Species
7888,Coscinium fenestratum,Coscinium fenestratum,LITTOX,Coscinium fenestratum,Coscinium fenestratum,580661-1,580661-1,Species
7889,Cosmibuena,Cosmibuena,LITTOX,Cosmibuena,,,331521-2,Genus
7890,Cosmos,Cosmos,LITTOX,Cosmos,,,8410-1,Genus
7891,Cosmos bipinnatus,Cosmos bipinnatus,LITTOX,Cosmos bipinnatus,Cosmos bipinnatus,198320-1,198320-1,Species
7892,Cossypium herbaceum,Cossypium herbaceum,LITTOX,,,,,
7893,Costaceae,Costaceae,LITTOX,Galipea,,,30023921-2,Genus
7894,Costus,Costus,LITTOX,Costus,,,329965-2,Genus
7895,Costus speciosus,Costus speciosus,LITTOX,Hellenia speciosa,Hellenia speciosa,60469691-2,60469691-2,Species
7896,Costus spicatus,Costus spicatus,LITTOX,Costus spicatus,Costus spicatus,329964-2,329964-2,Species
7897,Cotinus,Cotinus,LITTOX,Cotinus,,,30173577-2,Genus
7898,Cotinus coggygria,Cotinus coggygria,LITTOX,Cotinus coggygria,Cotinus coggygria,69498-1,69498-1,Species
7899,Cotoeaster,Cotoeaster,LITTOX,,,,,
7900,Cotoneaster,Cotoneaster,LITTOX,Cotoneaster,,,30040667-2,Genus
7901,"Cotoneaster ""Hybridus Pendulus""","Cotoneaster ""Hybridus Pendulus""",LITTOX,Cotoneaster,,,30040667-2,Genus
7902,"Cotoneaster ""Nan Shan""","Cotoneaster ""Nan Shan""",LITTOX,Cotoneaster,,,30040667-2,Genus
7903,Cotoneaster acuminatus,Cotoneaster acuminatus,LITTOX,Cotoneaster acuminatus,Cotoneaster acuminatus,722392-1,722392-1,Species
7904,Cotoneaster acutifolius,Cotoneaster acutifolius,LITTOX,Cotoneaster acutifolius,Cotoneaster acutifolius,722393-1,722393-1,Species
7905,Cotoneaster adpressa,Cotoneaster adpressa,LITTOX,Cotoneaster adpressus,Cotoneaster adpressus,722395-1,722395-1,Species
7906,Cotoneaster adpressus,Cotoneaster adpressus,LITTOX,Cotoneaster adpressus,Cotoneaster adpressus,722395-1,722395-1,Species
7907,Cotoneaster apiculata,Cotoneaster apiculata,LITTOX,Cotoneaster apiculatus,Cotoneaster apiculatus,722413-1,722413-1,Species
7908,Cotoneaster apiculatus,Cotoneaster apiculatus,LITTOX,Cotoneaster apiculatus,Cotoneaster apiculatus,722413-1,722413-1,Species
7909,Cotoneaster bullata,Cotoneaster bullata,LITTOX,Cotoneaster bullatus,Cotoneaster bullatus,722433-1,722433-1,Species
7910,Cotoneaster bullatus,Cotoneaster bullatus,LITTOX,Cotoneaster bullatus,Cotoneaster bullatus,722433-1,722433-1,Species
7911,Cotoneaster buxifolius,Cotoneaster buxifolius,LITTOX,Cotoneaster buxifolius,Cotoneaster buxifolius,722437-1,722437-1,Species
7912,Cotoneaster congesta,Cotoneaster congesta,LITTOX,Cotoneaster congestus,Cotoneaster congestus,722452-1,722452-1,Species
7913,Cotoneaster congestus,Cotoneaster congestus,LITTOX,Cotoneaster congestus,Cotoneaster congestus,722452-1,722452-1,Species
7914,Cotoneaster dammeri,Cotoneaster dammeri,LITTOX,Cotoneaster dammeri,Cotoneaster dammeri,722466-1,722466-1,Species
7915,Cotoneaster dielsiana,Cotoneaster dielsiana,LITTOX,Cotoneaster dielsianus,Cotoneaster dielsianus,722471-1,722471-1,Species
7916,Cotoneaster dielsianus,Cotoneaster dielsianus,LITTOX,Cotoneaster dielsianus,Cotoneaster dielsianus,722471-1,722471-1,Species
7917,Cotoneaster divaricata,Cotoneaster divaricata,LITTOX,Cotoneaster divaricatus,Cotoneaster divaricatus,722476-1,722476-1,Species
7918,Cotoneaster divaricatus,Cotoneaster divaricatus,LITTOX,Cotoneaster divaricatus,Cotoneaster divaricatus,722476-1,722476-1,Species
7919,Cotoneaster franchetii,Cotoneaster franchetii,LITTOX,Cotoneaster franchetii,Cotoneaster franchetii,722494-1,722494-1,Species
7920,Cotoneaster glaucophylla,Cotoneaster glaucophylla,LITTOX,Cotoneaster glaucophyllus,Cotoneaster glaucophyllus,722503-1,722503-1,Species
7921,Cotoneaster glaucophyllus,Cotoneaster glaucophyllus,LITTOX,Cotoneaster glaucophyllus,Cotoneaster glaucophyllus,722503-1,722503-1,Species
7922,Cotoneaster horizontalis,Cotoneaster horizontalis,LITTOX,Cotoneaster horizontalis,Cotoneaster horizontalis,722522-1,722522-1,Species
7923,Cotoneaster hybrida,Cotoneaster hybrida,LITTOX,,,,,
7924,Cotoneaster hybridus,Cotoneaster hybridus,LITTOX,,,,,
7925,Cotoneaster insignis,Cotoneaster insignis,LITTOX,Cotoneaster insignis,Cotoneaster insignis,722534-1,722534-1,Species
7926,Cotoneaster integerrima,Cotoneaster integerrima,LITTOX,Cotoneaster integerrimus,Cotoneaster integerrimus,722536-1,722536-1,Species
7927,Cotoneaster integerrimus,Cotoneaster integerrimus,LITTOX,Cotoneaster integerrimus,Cotoneaster integerrimus,722536-1,722536-1,Species
7928,Cotoneaster intergerrima,Cotoneaster intergerrima,LITTOX,,,,,
7929,Cotoneaster lucida,Cotoneaster lucida,LITTOX,Cotoneaster acutifolius,Cotoneaster acutifolius,722393-1,722393-1,Species
7930,Cotoneaster lucidus,Cotoneaster lucidus,LITTOX,Cotoneaster acutifolius,Cotoneaster acutifolius,722393-1,722393-1,Species
7931,Cotoneaster microphylla,Cotoneaster microphylla,LITTOX,Cotoneaster microphyllus,Cotoneaster microphyllus,722578-1,722578-1,Species
7932,Cotoneaster microphyllus,Cotoneaster microphyllus,LITTOX,Cotoneaster microphyllus,Cotoneaster microphyllus,722578-1,722578-1,Species
7933,Cotoneaster microphyllus var. melanotrichus,Cotoneaster microphyllus var. melanotrichus,LITTOX,Cotoneaster microphyllus,Cotoneaster microphyllus,722578-1,722578-1,Species
7934,Cotoneaster multiflora,Cotoneaster multiflora,LITTOX,Cotoneaster multiflorus,Cotoneaster multiflorus,722592-1,722592-1,Species
7935,Cotoneaster multiflorus,Cotoneaster multiflorus,LITTOX,Cotoneaster multiflorus,Cotoneaster multiflorus,722592-1,722592-1,Species
7936,Cotoneaster niger,Cotoneaster niger,LITTOX,Cotoneaster niger,Cotoneaster niger,977848-1,977848-1,Species
7937,Cotoneaster nitens,Cotoneaster nitens,LITTOX,Cotoneaster nitens,Cotoneaster nitens,722603-1,722603-1,Species
7938,Cotoneaster pannosa,Cotoneaster pannosa,LITTOX,Cotoneaster pannosus,Cotoneaster pannosus,722623-1,722623-1,Species
7939,Cotoneaster pannosus,Cotoneaster pannosus,LITTOX,Cotoneaster pannosus,Cotoneaster pannosus,722623-1,722623-1,Species
7940,Cotoneaster praecox,Cotoneaster praecox,LITTOX,,,,,
7941,Cotoneaster pyracantha,Cotoneaster pyracantha,LITTOX,Pyracantha coccinea,Pyracantha coccinea,730611-1,730611-1,Species
7942,Cotoneaster racemiflora,Cotoneaster racemiflora,LITTOX,Cotoneaster racemiflorus,Cotoneaster racemiflorus,77120298-1,77120298-1,Species
7943,Cotoneaster racemiflora soongarica,Cotoneaster racemiflora soongarica,LITTOX,,,,,
7944,Cotoneaster racemiflorus,Cotoneaster racemiflorus,LITTOX,Cotoneaster racemiflorus,Cotoneaster racemiflorus,77120298-1,77120298-1,Species
7945,Cotoneaster rosea,Cotoneaster rosea,LITTOX,Cotoneaster roseus,Cotoneaster roseus,722662-1,722662-1,Species
7946,Cotoneaster roseus,Cotoneaster roseus,LITTOX,Cotoneaster roseus,Cotoneaster roseus,722662-1,722662-1,Species
7947,Cotoneaster salicifolius,Cotoneaster salicifolius,LITTOX,Cotoneaster salicifolius,Cotoneaster salicifolius,722667-1,722667-1,Species
7948,Cotoneaster salicifolius var. floccosus,Cotoneaster salicifolius var. floccosus,LITTOX,Cotoneaster floccosus,Cotoneaster floccosus,722488-1,722488-1,Species
7949,Cotoneaster salicifolius var. repens,Cotoneaster salicifolius var. repens,LITTOX,Cotoneaster salicifolius,Cotoneaster salicifolius,722667-1,722667-1,Species
7950,Cotoneaster simonsii,Cotoneaster simonsii,LITTOX,Cotoneaster simonsii,Cotoneaster simonsii,722682-1,722682-1,Species
7951,Cotoneaster sternianus,Cotoneaster sternianus,LITTOX,Cotoneaster sternianus,Cotoneaster sternianus,722692-1,722692-1,Species
7952,Cotoneaster x cornubia,Cotoneaster x cornubia,LITTOX,,,,,
7953,Cotoneaster x watereri,Cotoneaster x watereri,LITTOX,,,,,
7954,Cotoneaster x watererii,Cotoneaster x watererii,LITTOX,,,,,
7955,Cotoneaster zabeli,Cotoneaster zabeli,LITTOX,Cotoneaster zabelii,Cotoneaster zabelii,722739-1,722739-1,Species
7956,Cotoneaster zabelii,Cotoneaster zabelii,LITTOX,Cotoneaster zabelii,Cotoneaster zabelii,722739-1,722739-1,Species
7957,Cotula,Cotula,LITTOX,Cotula,,,30017050-2,Genus
7958,Cotula anthemoides,Cotula anthemoides,LITTOX,Cotula anthemoides,Cotula anthemoides,198423-1,198423-1,Species
7959,Cotula aurea,Cotula aurea,LITTOX,Tripleurospermum decipiens,Tripleurospermum decipiens,256488-1,256488-1,Species
7960,Cotula australis,Cotula australis,LITTOX,Cotula australis,Cotula australis,198427-1,198427-1,Species
7961,Cotula coronopifolia,Cotula coronopifolia,LITTOX,Cotula coronopifolia,Cotula coronopifolia,198443-1,198443-1,Species
7962,Cotula turbinata,Cotula turbinata,LITTOX,Cotula turbinata,Cotula turbinata,198595-1,198595-1,Species
7963,Cotula villosa,Cotula villosa,LITTOX,Cotula villosa,Cotula villosa,198600-1,198600-1,Species
7964,Cotyledon,Cotyledon,LITTOX,Cotyledon,,,30005010-2,Genus
7965,Cotyledon cacalioides,Cotyledon cacalioides,LITTOX,Tylecodon wallichii subsp. ecklonianus,Tylecodon wallichii,276933-1,878957-1,Subspecies
7966,Cotyledon campanulata,Cotyledon campanulata,LITTOX,Cotyledon campanulata,Cotyledon campanulata,272581-1,272581-1,Species
