,Toxic plants: Scientific name,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
246,Andromeda floribunda Pursh ,Pieris floribunda,Pieris floribunda,331653-1,331653-1,Species,CliniTox
247,Andromeda japonica Thbunb. L. ,Micromelum compressum var. compressum,Micromelum compressum,774379-1,77226526-1,Variety,CliniTox
248,Arum italicum Mill. ,Arum italicum,Arum italicum,86047-1,86047-1,Species,CliniTox
249,Arum maculatum L. ,Arum maculatum,Arum maculatum,86067-1,86067-1,Species,CliniTox
250,Azalea pontica L. ,Rhododendron luteum,Rhododendron luteum,332817-1,332817-1,Species,CliniTox
251,Brassica napus L. ,Brassica napus,Brassica napus,279419-1,279419-1,Species,CliniTox
252,Brunfelisa grandiflora D. Don ,,,,,,CliniTox
253,Brunfelisa latiflora (Pohl) Benth. ,,,,,,CliniTox
254,Brunfelsia calycina Benth. ,Brunfelsia pauciflora,Brunfelsia pauciflora,814676-1,814676-1,Species,CliniTox
255,Brunfelsia hopeana (Hobok.) Benth. ,Brunfelsia uniflora,Brunfelsia uniflora,814696-1,814696-1,Species,CliniTox
256,Brunfelsia mutabilis (Jacques) A. Vilm. ,,,,,,CliniTox
257,Brunfelsia pauciflora (Cham. & Schltdl.) Benth. ,Brunfelsia pauciflora,Brunfelsia pauciflora,814676-1,814676-1,Species,CliniTox
258,Brunfelsia uniflora (Pohl) D. Don ,Brunfelsia uniflora,Brunfelsia uniflora,814696-1,814696-1,Species,CliniTox
259,Buxus sempervirens L. ,Buxus sempervirens,Buxus sempervirens,340317-1,340317-1,Species,CliniTox
260,Caladium zamiaefolium hort. Lodd. ,,,,,,CliniTox
261,Capsicum annuum L. ,Capsicum annuum,Capsicum annuum,316944-2,316944-2,Species,CliniTox
262,Capsicum cordiforme Mill. ,Capsicum annuum,Capsicum annuum,316944-2,316944-2,Species,CliniTox
263,Chelidonium majus L. ,Chelidonium majus,Chelidonium majus,303589-2,303589-2,Species,CliniTox
264,Convallaria majalis L. ,Convallaria majalis,Convallaria majalis,533487-1,533487-1,Species,CliniTox
265,Cynoglossum officinale L. ,Cynoglossum officinale,Cynoglossum officinale,115233-1,115233-1,Species,CliniTox
266,Dieffenbachia seguine (Jacq.) Schott ,Dieffenbachia seguine,Dieffenbachia seguine,86911-1,86911-1,Species,CliniTox
267,Duranta erecta L. ,Duranta erecta,Duranta erecta,330606-2,330606-2,Species,CliniTox
268,Duranta plumieri Jacq. ,Duranta erecta,Duranta erecta,330606-2,330606-2,Species,CliniTox
269,Duranta repens L. ,Duranta erecta,Duranta erecta,330606-2,330606-2,Species,CliniTox
270,Equisetum palustre L. ,Equisetum palustre,Equisetum palustre,30039890-2,30039890-2,Species,CliniTox
271,Euonymus europaeus L. ,Euonymus europaeus,Euonymus europaeus,160876-1,160876-1,Species,CliniTox
272,Euonymus japonicus Thunb. ,Euonymus japonicus,Euonymus japonicus,160944-1,160944-1,Species,CliniTox
273,Euphorbia cyparissias L. ,Euphorbia cyparissias,Euphorbia cyparissias,346205-1,346205-1,Species,CliniTox
274,Euphorbia esula L. ,Euphorbia esula,Euphorbia esula,346448-1,346448-1,Species,CliniTox
275,Euphorbia helioscopia L. ,Euphorbia helioscopia,Euphorbia helioscopia,346754-1,346754-1,Species,CliniTox
276,Euphorbia lathyris L. ,Euphorbia lathyris,Euphorbia lathyris,347072-1,347072-1,Species,CliniTox
277,Euphorbia marginata Pursh ,Euphorbia marginata,Euphorbia marginata,101724-2,101724-2,Species,CliniTox
278,Euphorbia palustris L. ,Euphorbia palustris,Euphorbia palustris,347635-1,347635-1,Species,CliniTox
279,Euphorbia peplus L. ,Euphorbia peplus,Euphorbia peplus,347724-1,347724-1,Species,CliniTox
280,Euphorbia pulcherrima Willd. ex Klotzsch ,Euphorbia pulcherrima,Euphorbia pulcherrima,30176564-2,30176564-2,Species,CliniTox
281,Fagopyrum esculentum Moench ,Fagopyrum esculentum,Fagopyrum esculentum,694526-1,694526-1,Species,CliniTox
282,Franciscea hopeana Hook. ,Brunfelsia uniflora,Brunfelsia uniflora,814696-1,814696-1,Species,CliniTox
283,Franciscea latifolia Pohl ,Brunfelsia latifolia,Brunfelsia latifolia,814652-1,814652-1,Species,CliniTox
284,Franciscea mutabilis Jacques ,,,,,,CliniTox
285,Franciscea uniflora Pohl ,Brunfelsia uniflora,Brunfelsia uniflora,814696-1,814696-1,Species,CliniTox
286,Frangula alnus Mill. ,Frangula alnus,Frangula alnus,717344-1,717344-1,Species,CliniTox
287,Genista tinctoria L. ,Genista tinctoria,Genista tinctoria,496408-1,496408-1,Species,CliniTox
288,Gloriosa abyssinica A. Rich. ,Gloriosa simplex,Gloriosa simplex,535948-1,535948-1,Species,CliniTox
289,Gloriosa speciosa (Hochst.) Engl. ,Gloriosa simplex,Gloriosa simplex,535948-1,535948-1,Species,CliniTox
290,Gloriosa superba L. ,Gloriosa superba,Gloriosa superba,535953-1,535953-1,Species,CliniTox
291,Gloriosa virescens Lindl. ,Gloriosa simplex,Gloriosa simplex,535948-1,535948-1,Species,CliniTox
292,Glycine max (L.) Merr. ,Glycine max,Glycine max,60450240-2,60450240-2,Species,CliniTox
293,Glycine soja (L.) Merr. ,Glycine max subsp. soja,Glycine max,60450240-2,920989-1,Subspecies,CliniTox
294,Haemanthus amarylloides Jacq. ,Haemanthus amarylloides,Haemanthus amarylloides,64684-1,64684-1,Species,CliniTox
295,Heliotropium arborescens L. ,Heliotropium arborescens,Heliotropium arborescens,116670-1,116670-1,Species,CliniTox
296,Heliotropium europaeum L. ,Heliotropium europaeum,Heliotropium europaeum,116833-1,116833-1,Species,CliniTox
297,Heliotropium peruvianum L. ,Heliotropium arborescens,Heliotropium arborescens,116670-1,116670-1,Species,CliniTox
298,Helleborus foetidus L. ,Helleborus foetidus,Helleborus foetidus,711317-1,711317-1,Species,CliniTox
299,Hippeastrum vittatum (L'Her.) Herb. ,Hippeastrum vittatum,Hippeastrum vittatum,65185-1,65185-1,Species,CliniTox
300,Hippocastanum aesculus Cav. ,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,CliniTox
301,Hippocastanum vulgare Gaertn. ,Aesculus hippocastanum,Aesculus hippocastanum,781594-1,781594-1,Species,CliniTox
302,Inocybe erubescens A. Blytt ,,,,,,CliniTox
303,Inocybe fastigiata (Schaeff.) Quél. ,,,,,,CliniTox
304,Inocybe patouillardii Bres. ,,,,,,CliniTox
305,Inocybe rimosa (Bull.) P. Kumm. ,,,,,,CliniTox
306,Kalmia angustifolia L. ,Kalmia angustifolia,Kalmia angustifolia,133210-2,133210-2,Species,CliniTox
307,Kalmia intermedia Lange ,,,,,,CliniTox
308,Kalmia latifolia L. ,Kalmia latifolia,Kalmia latifolia,279164-2,279164-2,Species,CliniTox
309,Leucothoe catesbaei auct. ,Leucothoe axillaris,Leucothoe axillaris,331004-1,331004-1,Species,CliniTox
310,Leucothoe fontanesiana (Steud.) Sleumer ,Leucothoe fontanesiana,Leucothoe fontanesiana,139255-2,139255-2,Species,CliniTox
311,Leucothoe walteri N. C. Melvin ,Agarista populifolia,Agarista populifolia,6283-2,6283-2,Species,CliniTox
312,Lupinus polyphyllus Lindl. ,Lupinus polyphyllus,Lupinus polyphyllus,504939-1,504939-1,Species,CliniTox
313,Mercurialis perennis L. ,Mercurialis perennis,Mercurialis perennis,352211-1,352211-1,Species,CliniTox
314,Oenanthe aquatica (L.) Poir. ,Oenanthe aquatica,Oenanthe aquatica,845226-1,845226-1,Species,CliniTox
315,Oenanthe fistulosa L. ,Oenanthe fistulosa,Oenanthe fistulosa,845277-1,845277-1,Species,CliniTox
316,Oenanthe lachanalii C.C. Gmel. ,,,,,,CliniTox
317,Oenanthe phellandrium Lam. ,Oenanthe sarmentosa,Oenanthe sarmentosa,845373-1,845373-1,Species,CliniTox
318,Papaver somniferum L. ,Papaver somniferum,Papaver somniferum,673724-1,673724-1,Species,CliniTox
319,Pericallis x hybrida (Scheidw.) B. Nord. ,Pericallis × hybrida,Pericallis × hybrida,1164364-2,1164364-2,Species,CliniTox
320,Phaseolus vulgaris L. ,Phaseolus vulgaris,Phaseolus vulgaris,514191-1,514191-1,Species,CliniTox
321,Pieris floribunda (Pursh) Benth. & Hook. f. ,Pieris floribunda,Pieris floribunda,331653-1,331653-1,Species,CliniTox
322,Pieris japonica (Thunb.) D. Don ex G. Don ,Pieris japonica,Pieris japonica,331662-1,331662-1,Species,CliniTox
323,Pieris taiwanensis Hayata ,Pieris japonica var. japonica,Pieris japonica,331662-1,77224320-1,Variety,CliniTox
324,Polygonum fagopyrum L. ,Fagopyrum esculentum,Fagopyrum esculentum,694526-1,694526-1,Species,CliniTox
325,Portuna floribunda (Pursh) Nutt. ,Pieris floribunda,Pieris floribunda,331653-1,331653-1,Species,CliniTox
326,Prunus laurocerasus L. ,Prunus laurocerasus,Prunus laurocerasus,324745-2,324745-2,Species,CliniTox
327,Prunus lusitanica L. ,Prunus lusitanica,Prunus lusitanica,324746-2,324746-2,Species,CliniTox
328,Ranunculus sceleratus L. ,Ranunculus sceleratus,Ranunculus sceleratus,713776-1,713776-1,Species,CliniTox
329,Rhamnus frangula L. ,Frangula alnus,Frangula alnus,717344-1,717344-1,Species,CliniTox
330,Rhododendron catawbiense Michx. ,Rhododendron catawbiense,Rhododendron catawbiense,332124-1,332124-1,Species,CliniTox
331,Rhododendron flavum G. Don ,Rhododendron luteum,Rhododendron luteum,332817-1,332817-1,Species,CliniTox
332,Rhododendron luteum Sweet ,Rhododendron luteum,Rhododendron luteum,332817-1,332817-1,Species,CliniTox
333,Rhododendron simsii Planch. ,Rhododendron simsii,Rhododendron simsii,333359-1,333359-1,Species,CliniTox
334,Robinia pseudoacacia L. ,Robinia pseudoacacia,Robinia pseudoacacia,30034699-2,30034699-2,Species,CliniTox
335,Solanum dulcamara L. ,Solanum dulcamara,Solanum dulcamara,285213-2,285213-2,Species,CliniTox
336,Solanum melongena L. ,Solanum melongena,Solanum melongena,820053-1,820053-1,Species,CliniTox
337,Solanum nigrum L. ,Solanum nigrum,Solanum nigrum,30048260-2,30048260-2,Species,CliniTox
338,Solanum tuberosum L. ,Solanum tuberosum,Solanum tuberosum,821337-1,821337-1,Species,CliniTox
339,Tradescantia albiflora Kunth ,Tradescantia fluminensis,Tradescantia fluminensis,30090792-2,30090792-2,Species,CliniTox
340,Tradescantia fluminensis Vell. ,Tradescantia fluminensis,Tradescantia fluminensis,30090792-2,30090792-2,Species,CliniTox
341,Zamioculcas zamiifolia (hort. Lodd.) Engl. ,Zamioculcas zamiifolia,Zamioculcas zamiifolia,89402-1,89402-1,Species,CliniTox
342,Aconitum carmichaelii Debeaux ,Aconitum carmichaeli,Aconitum carmichaeli,707241-1,707241-1,Species,CliniTox
343,Aconitum lycoctonum L.s.l. ,Aconitum lycoctonum,Aconitum lycoctonum,707564-1,707564-1,Species,CliniTox
344,Aconitum napellus aggr. ,Aconitum napellus,Aconitum napellus,707615-1,707615-1,Species,CliniTox
345,Aconitum variegatum L.s.l. ,Aconitum variegatum,Aconitum variegatum,707931-1,707931-1,Species,CliniTox
346,Aconitum vulparia aggr. ,Aconitum vulparia,Aconitum vulparia,707955-1,707955-1,Species,CliniTox
347,Agaricus autumnalis Peck ,,,,,,CliniTox
348,Agaricus marginatus Batsch ,,,,,,CliniTox
349,Agaricus unicolor Vahl ,,,,,,CliniTox
350,Amanita phalloides (Vaill. ex Fr.) Link ,,,,,,CliniTox
351,Amanita virosa (Fr.) Bertillon ,,,,,,CliniTox
352,Anticlea elegans (Pursh) Rydb. ,Anticlea elegans,Anticlea elegans,15844-2,15844-2,Species,CliniTox
353,Atropa bella-donna L. ,Atropa bella-donna,Atropa bella-donna,814358-1,814358-1,Species,CliniTox
354,Brugmansia suaveolens Humb. & Bonpl. ex Willd. ,Brugmansia suaveolens,Brugmansia suaveolens,77109576-1,77109576-1,Species,CliniTox
355,Brugmansia versicolor Lagerh. ,Brugmansia versicolor,Brugmansia versicolor,37444-2,37444-2,Species,CliniTox
356,Bryonia alba L. ,Bryonia alba,Bryonia alba,291541-1,291541-1,Species,CliniTox
357,Bryonia cretica L. subsp. dioica (Jacq.) Tutin ,Bryonia cretica,Bryonia cretica,291575-1,291575-1,Species,CliniTox
358,Bryonia dioica Jacq. ,Bryonia cretica subsp. dioica,Bryonia cretica,291575-1,77200692-1,Subspecies,CliniTox
359,Cicuta virosa L. ,Cicuta virosa,Cicuta virosa,840414-1,840414-1,Species,CliniTox
360,Colchicum autumnale L. ,Colchicum autumnale,Colchicum autumnale,533232-1,533232-1,Species,CliniTox
361,Conium maculatum L. ,Conium maculatum,Conium maculatum,840668-1,840668-1,Species,CliniTox
362,Cortinarius orellanus Fries ,,,,,,CliniTox
363,Cortinarius rubellus Cooke ,,,,,,CliniTox
364,Cyanobacteria Stanier ,,,,,,CliniTox
365,Cyanophyceae Sachs ,,,,,,CliniTox
366,Cyanophyta Steinecke ,,,,,,CliniTox
367,Cytisus laburnum L. ,Laburnum anagyroides,Laburnum anagyroides,501428-1,501428-1,Species,CliniTox
368,Daphne mezereum L. ,Daphne mezereum,Daphne mezereum,831294-1,831294-1,Species,CliniTox
369,Datura gardneri Hook. ,Brugmansia suaveolens,Brugmansia suaveolens,77109576-1,77109576-1,Species,CliniTox
370,Datura stramonium L. ,Datura stramonium,Datura stramonium,314738-2,314738-2,Species,CliniTox
371,Datura suaveolens Willd. ,Brugmansia suaveolens,Brugmansia suaveolens,77109576-1,77109576-1,Species,CliniTox
372,Delphinium elatum L. ,Delphinium elatum,Delphinium elatum,710585-1,710585-1,Species,CliniTox
373,Delphinium staphisagria L. ,Delphinium staphisagria,Delphinium staphisagria,711034-1,711034-1,Species,CliniTox
374,Digitalis ambigua Murray ,Digitalis grandiflora,Digitalis grandiflora,60453625-2,60453625-2,Species,CliniTox
375,Digitalis grandiflora Mill. ,Digitalis grandiflora,Digitalis grandiflora,60453625-2,60453625-2,Species,CliniTox
376,Digitalis lanata Ehrh. ,Digitalis lanata,Digitalis lanata,802028-1,802028-1,Species,CliniTox
377,Digitalis lutea L. ,Digitalis lutea,Digitalis lutea,802039-1,802039-1,Species,CliniTox
378,Digitalis purpurea L. ,Digitalis purpurea,Digitalis purpurea,802077-1,802077-1,Species,CliniTox
379,Galerina autumnalis (Peck) A.H.Sm. & Singer ,,,,,,CliniTox
380,Galerina marginata (Batsch) Kühner ,,,,,,CliniTox
381,Galerina oregonensis A.H.Sm. ,,,,,,CliniTox
382,Galerina unicolor (Vahl) Singer ,,,,,,CliniTox
383,Galerina venenata (Vahl) Singer ,,,,,,CliniTox
384,Gyromitra esculenta (Pers. ex Pers.) Fr. ,,,,,,CliniTox
385,Helleborus niger L. ,Helleborus niger,Helleborus niger,711348-1,711348-1,Species,CliniTox
386,Helleborus viridis L. ,Helleborus viridis,Helleborus viridis,711386-1,711386-1,Species,CliniTox
387,Helvella esculenta Pers. ,,,,,,CliniTox
388,Hyoscyamus niger L. ,Hyoscyamus niger,Hyoscyamus niger,815932-1,815932-1,Species,CliniTox
389,Hyoscyamus scopolia ,Scopolia carniolica,Scopolia carniolica,817996-1,817996-1,Species,CliniTox
390,Jacobaea aquatica (Hill) G. Gaertn. et al. ,Jacobaea aquatica,Jacobaea aquatica,226583-1,226583-1,Species,CliniTox
391,"Jacobaea erucifolia (L.) P.Gaertn., B.Mey. & Scherb. ",Jacobaea erucifolia,Jacobaea erucifolia,226598-1,226598-1,Species,CliniTox
392,Jacobaea maritima (L.) Pelser & Meijden ,Jacobaea maritima,Jacobaea maritima,77075194-1,77075194-1,Species,CliniTox
393,Jacobaea vulgaris L. ,Senecio vulgaris,Senecio vulgaris,248251-1,248251-1,Species,CliniTox
394,Juniperus sabina L. ,Juniperus sabina,Juniperus sabina,30166980-2,30166980-2,Species,CliniTox
395,Laburnum anagyroides Medik. ,Laburnum anagyroides,Laburnum anagyroides,501428-1,501428-1,Species,CliniTox
396,Lathyrus cicera L. ,Lathyrus cicera,Lathyrus cicera,501638-1,501638-1,Species,CliniTox
397,Linum usitatissimum L. ,Linum usitatissimum,Linum usitatissimum,544772-1,544772-1,Species,CliniTox
398,Myxophyceae Wallroth ,,,,,,CliniTox
399,Nerium oleander L. ,Nerium oleander,Nerium oleander,80460-1,80460-1,Species,CliniTox
400,Nicotiana tabacum L. ,Nicotiana tabacum,Nicotiana tabacum,817077-1,817077-1,Species,CliniTox
401,Oxyphotobacteria Gibbons & Murray ,,,,,,CliniTox
402,Pholiota discolor Peck ,,,,,,CliniTox
403,Pholiota marginata (Batsch) Quél. ,,,,,,CliniTox
404,Phycochromaceae Rabenhorst ,,,,,,CliniTox
405,Physomitra esculenta (Pers.) Boud. ,,,,,,CliniTox
406,Platycladus orientalis (L.) Franco ,Platycladus orientalis,Platycladus orientalis,677124-1,677124-1,Species,CliniTox
407,Pteridium aquilinum (L.) Kuhn ,Pteridium aquilinum,Pteridium aquilinum,17210060-1,17210060-1,Species,CliniTox
408,Pteris aquilina L. ,Pteridium aquilinum,Pteridium aquilinum,17210060-1,17210060-1,Species,CliniTox
409,Ricinus communis L. ,Ricinus communis,Ricinus communis,355498-1,355498-1,Species,CliniTox
410,Sandersonia aurantiaca Hook. ,Sandersonia aurantiaca,Sandersonia aurantiaca,540483-1,540483-1,Species,CliniTox
411,Schizophyceae Cohn ,,,,,,CliniTox
412,Scopolia carniolica Jacq. ,Scopolia carniolica,Scopolia carniolica,817996-1,817996-1,Species,CliniTox
413,Senecio alpinus (L.) Scop. ,Jacobaea alpina,Jacobaea alpina,226580-1,226580-1,Species,CliniTox
414,Senecio aquaticus Hill ,Jacobaea aquatica,Jacobaea aquatica,226583-1,226583-1,Species,CliniTox
415,Senecio bicolor (Willd.) Tod. ,Jacobaea maritima subsp. bicolor,Jacobaea maritima,77075194-1,77075578-1,Subspecies,CliniTox
416,Senecio bicolor (Willd.) Tod. subsp. cineraria (DC.) Chater ,Jacobaea maritima,Jacobaea maritima,77075194-1,77075194-1,Species,CliniTox
417,Senecio cineraria DC. ,Jacobaea maritima,Jacobaea maritima,77075194-1,77075194-1,Species,CliniTox
418,Senecio cordatus W.D.J.Koch ,Jacobaea alpina subsp. alpina,Jacobaea alpina,226580-1,77180767-1,Subspecies,CliniTox
419,Senecio cordifolius Clairv. ,Jacobaea subalpina,Jacobaea subalpina,77073763-1,77073763-1,Species,CliniTox
420,Senecio erucifolius L. ,Jacobaea erucifolia,Jacobaea erucifolia,226598-1,226598-1,Species,CliniTox
421,Senecio harveianus auct. ,Senecio harveyanus,Senecio harveyanus,245439-1,245439-1,Species,CliniTox
422,Senecio inaequidens DC. ,Senecio inaequidens,Senecio inaequidens,245637-1,245637-1,Species,CliniTox
423,Senecio jacobaea L. ,Jacobaea vulgaris,Jacobaea vulgaris,226649-1,226649-1,Species,CliniTox
424,Senecio paludosus L. ,Jacobaea paludosa,Jacobaea paludosa,226621-1,226621-1,Species,CliniTox
425,Senecio reclinatus auct. ,Senecio chrysocoma,Senecio chrysocoma,244484-1,244484-1,Species,CliniTox
426,Senecio vulgaris L. ,Senecio vulgaris,Senecio vulgaris,248251-1,248251-1,Species,CliniTox
427,Taxus baccata L. ,Taxus baccata,Taxus baccata,306036-2,306036-2,Species,CliniTox
428,Thevetia neriifolia Juss. ex A. DC. ,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,CliniTox
429,Thevetia peruviana (Pers.) K. Schum. ,Cascabela thevetia,Cascabela thevetia,47927-2,47927-2,Species,CliniTox
430,Thuja occidentalis L. ,Thuja occidentalis,Thuja occidentalis,263956-1,263956-1,Species,CliniTox
431,Thuja orientalis L. ,Platycladus orientalis,Platycladus orientalis,677124-1,677124-1,Species,CliniTox
432,Veratrum album L.s.l. ,Veratrum album,Veratrum album,30192264-2,30192264-2,Species,CliniTox
433,Zigadenus elegans Pursh ,Anticlea elegans,Anticlea elegans,15844-2,15844-2,Species,CliniTox
434,Brugmansia mollis ,Brugmansia × candida,Brugmansia × candida,814597-1,814597-1,Species,CliniTox
435,Datura versicolor ,Brugmansia versicolor,Brugmansia versicolor,37444-2,37444-2,Species,CliniTox
