,Common name,UCANR_Snippet,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank,Source
50,Dahlia,Dahlia hybrids,Dahlia,,,325940-2,Genus,UCANR
51,False aralia,Dizygotheca elegantissima,Plerandra elegantissima,Plerandra elegantissima,77131172-1,77131172-1,Species,UCANR
52,Corn plant; Dracaena; Dragon tree,Dracaena spp.,Dracaena,,,30010732-2,Genus,UCANR
53,Echeveria; Hen and chicks,Echeveria spp.,Echeveria,,,30004414-2,Genus,UCANR
54,Purple coneflower,Echinacea spp.,Echinacea,,,30035795-2,Genus,UCANR
55,Globe thistle,Echinops exaltatus,Echinops exaltatus,Echinops exaltatus,202484-1,202484-1,Species,UCANR
56,Epidendrum orchid,Epidendrum spp.,Epidendrum,,,326435-2,Genus,UCANR
57,Flame violet,Episcia cupreata,Episcia cupreata,Episcia cupreata,380772-1,380772-1,Species,UCANR
58,Escallonia,Escallonia spp.,Escallonia,,,37033-1,Genus,UCANR
59,California poppy,Eschscholzia californica,Eschscholzia californica,Eschscholzia californica,30043364-2,30043364-2,Species,UCANR
60,Exacum; Persian violet,Exacum affine,Exacum affine,Exacum affine,367449-1,367449-1,Species,UCANR
61,Japanese aralia,Fatsia japonica,Fatsia japonica,Fatsia japonica,90496-1,90496-1,Species,UCANR
62,Blue daisy; Blue marguerite,Felicia amelloides,Felicia amelloides,Felicia amelloides,207656-1,207656-1,Species,UCANR
63,Fittonia; Mosaic plant; Nerve plant,Fittonia spp.,Fittonia,,,331611-2,Genus,UCANR
64,Freesia,Freesia spp.,Freesia,,,331198-2,Genus,UCANR
65,Fuchsia,Fuchsia spp.,Fuchsia,,,30000052-2,Genus,UCANR
66,Gardenia,Gardenia jasminoides,Gardenia jasminoides,Gardenia jasminoides,751073-1,751073-1,Species,UCANR
67,Gerbera; Transvaal daisy,Gerbera jamesonii,Gerbera jamesonii,Gerbera jamesonii,208893-1,208893-1,Species,UCANR
68,Honey locust,Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos,110723-2,110723-2,Species,UCANR
69,Purple velvet plant,Gynura aurantiaca,Gynura aurantiaca,Gynura aurantiaca,211219-1,211219-1,Species,UCANR
70,Sunflower,Helianthus annuus,Helianthus annuus,Helianthus annuus,119003-2,119003-2,Species,UCANR
71,Daylily,Hemerocallis spp.,Hemerocallis,,,24324-1,Genus,UCANR
72,Coral bells; Heuchera,Heuchera sanguinea,Heuchera sanguinea,Heuchera sanguinea,791403-1,791403-1,Species,UCANR
73,Hibiscus; Rose of Sharon,Hibiscus spp.,Hibiscus,,,328182-2,Genus,UCANR
74,Hosta; Plantain lily,Hosta spp.,Hosta,,,331214-2,Genus,UCANR
75,Paradise palm; Sentry palm,Howea spp.,Howea,,,31276-1,Genus,UCANR
76,Pink polka-dot plant,Hypoestes spp.,Hypoestes,,,659-1,Genus,UCANR
77,Balsam; Impatiens; Touch-me-not,Impatiens spp.,Impatiens,,,325983-2,Genus,UCANR
78,Red-hot poker; Torch lily,Kniphofia uvaria,Kniphofia uvaria,Kniphofia uvaria,537112-1,537112-1,Species,UCANR
79,Crape myrtle,Lagerstroemia indica,Lagerstroemia indica,Lagerstroemia indica,553576-1,553576-1,Species,UCANR
80,Ice plant,Lampranthus spp.,Lampranthus,,,326333-2,Genus,UCANR
81,English lavender,Lavandula angustifolia,Lavandula angustifolia,Lavandula angustifolia,449008-1,449008-1,Species,UCANR
82,Easter lily,Lilium longiflorum,Lilium longiflorum,Lilium longiflorum,537642-1,537642-1,Species,UCANR
83,Sea lavender; Statice,Limonium spp.,Limonium,,,331722-2,Genus,UCANR
84,Liquidambar; Sweet gum,Liquidambar spp.,Liquidambar,,,30008300-2,Genus,UCANR
85,Liriope,Liriope muscari,Liriope muscari,Liriope muscari,537868-1,537868-1,Species,UCANR
