,genus,Habit,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
428,Kamettia,li,Kamettia,,,2387-1,Genus
429,Kanahia,subsh,Kanahia,,,3453-1,Genus
430,Kanapia,hb/subsh,Kanapia,,,77165499-1,Genus
431,Keetia,sh/li,Keetia,,,326034-2,Genus
432,Kelloggia,hb,Kelloggia,,,34784-1,Genus
433,Kerianthera,tr/sh,Kerianthera,,,893461-1,Genus
434,Khasiaclunea,sh,Khasiaclunea,,,34786-1,Genus
435,Kibatalia,tr/sh,Kibatalia,,,2390-1,Genus
436,Klossia,subsh,Klossia,,,34788-1,Genus
437,Knoxia,subsh,Knoxia,,,327859-2,Genus
438,Kochummenia,sh/subsh/tr,Kochummenia,,,893380-1,Genus
439,Kohautia,subsh,Kohautia,,,331685-2,Genus
440,Kopsia,tr,Kopsia,,,328837-2,Genus
441,Kraussia,sh/subsh/tr,Kraussia,,,34794-1,Genus
442,Kupeantha,sh/subsh,Kupeantha,,,60476503-2,Genus
443,Kutchubaea,tr/sh,Kutchubaea,,,30043141-2,Genus
444,Lachnostoma,li,Lachnostoma,,,3460-1,Genus
445,Lacmellea,tr/sh,Lacmellea,,,30059164-2,Genus
446,Ladenbergia,tr,Ladenbergia,,,34802-1,Genus
447,Lamprothamnus,sh/subsh/tr,Lamprothamnus,,,34805-1,Genus
448,Landiopsis,tr/sh,Landiopsis,,,1002198-1,Genus
449,Landolphia,li,Landolphia,,,331696-2,Genus
450,Larryleachia,sc,Larryleachia,,,995318-1,Genus
451,Larsenaikia,sh/subsh,Larsenaikia,,,972408-1,Genus
452,Lasianthus,sh/subsh,Lasianthus,,,331701-2,Genus
453,Lathraeocarpa,subsh,Lathraeocarpa,,,34811-1,Genus
454,Laubertia,li,Laubertia,,,2403-1,Genus
455,Lavrania,sc,Lavrania,,,924962-1,Genus
456,Laxoplumeria,tr/sh,Laxoplumeria,,,294718-2,Genus
457,Lecananthus,li,Lecananthus,,,34818-1,Genus
458,Lelya,subsh,Lelya,,,77126884-1,Genus
459,Lemyrea,tr/sh,Lemyrea,,,1156627-2,Genus
460,Lepinia,tr/sh,Lepinia,,,2406-1,Genus
461,Lepiniopsis,sh/subsh,Lepiniopsis,,,2407-1,Genus
462,Leptactina,sh/subsh/tr,Leptactina,,,34827-1,Genus
463,Leptadenia,li,Leptadenia,,,3469-1,Genus
464,Leptodermis,sh/subsh,Leptodermis,,,34830-1,Genus
465,Leptomischus,hb,Leptomischus,,,34831-1,Genus
466,Leptopetalum,subsh/sh,Leptopetalum,,,34832-1,Genus
467,Leptoscela,hb,Leptoscela,,,34834-1,Genus
468,Leptostigma,subsh,Leptostigma,,,34836-1,Genus
469,Lerchea,sh,Lerchea,,,331710-2,Genus
470,Leucocodon,li,Leucocodon,,,34841-1,Genus
471,Leucolophus,sh/subsh,Leucolophus,,,34842-1,Genus
472,Leuconotis,li,Leuconotis,,,2410-1,Genus
473,Limnosipanea,hb,Limnosipanea,,,34844-1,Genus
474,Luculia,sh/subsh/tr,Luculia,,,34855-1,Genus
475,Lucya,hb,Lucya,,,331734-2,Genus
476,Lygisma,li,Lygisma,,,3479-1,Genus
477,Macbrideina,tr/sh,Macbrideina,,,295623-2,Genus
478,Machaonia,sh/subsh,Machaonia,,,34864-1,Genus
479,Macoubea,tr/sh,Macoubea,,,2415-1,Genus
480,Macrocnemum,tr/sh,Macrocnemum,,,34867-1,Genus
481,Macropharynx,li,Macropharynx,,,295631-2,Genus
482,Macroscepis,li,Macroscepis,,,3485-1,Genus
483,Macrosphyra,hb/subsh,Macrosphyra,,,34870-1,Genus
484,Maguireocharis,sh/subsh/tr,Maguireocharis,,,296784-2,Genus
485,Maguireothamnus,sh/subsh,Maguireothamnus,,,296794-2,Genus
486,Malanea,li/sh/subsh,Malanea,,,34873-1,Genus
487,Malouetia,tr/sh,Malouetia,,,2420-1,Genus
488,Mandevilla,li,Mandevilla,,,328998-2,Genus
489,Manettia,li/subsh,Manettia,,,331752-2,Genus
490,Manostachya,subsh,Manostachya,,,34878-1,Genus
491,Manothrix,li,Manothrix,,,2424-1,Genus
492,Mantalania,tr/sh,Mantalania,,,34879-1,Genus
493,Margaretta,hb,Margaretta,,,3493-1,Genus
494,Marsdenia,sh/li,Marsdenia,,,331758-2,Genus
495,Martensianthus,hb,Martensianthus,,,77111063-1,Genus
496,Mascarenhasia,sh/subsh/tr,Mascarenhasia,,,2425-1,Genus
497,Maschalodesme,sh/subsh,Maschalodesme,,,34891-1,Genus
498,Massularia,sh/subsh/tr,Massularia,,,34892-1,Genus
499,Mastixiodendron,tr/sh,Mastixiodendron,,,12091-1,Genus
500,Matelea,li,Matelea,,,30001048-2,Genus
501,Mazaea,sh/subsh,Mazaea,,,34899-1,Genus
502,Melanopsidium,sh/subsh/tr,Melanopsidium,,,34905-1,Genus
503,Melanoxerus,sh/subsh/tr,Melanoxerus,,,77142432-1,Genus
504,Melodinus,li,Melodinus,,,2428-1,Genus
505,Mericarpaea,hb,Mericarpaea,,,34910-1,Genus
506,Merumea,sh/subsh,Merumea,,,297513-2,Genus
507,Mesechites,li,Mesechites,,,328983-2,Genus
508,Metastelma,li,Metastelma,,,30384004-2,Genus
509,Mexotis,hb,Mexotis,,,77103406-1,Genus
510,Meyna,sh/tr,Meyna,,,34918-1,Genus
511,Micrasepalum,subsh,Micrasepalum,,,297550-2,Genus
512,Micrechites,li,Micrechites,,,2435-1,Genus
513,Microloma,subsh/sh,Microloma,,,3510-1,Genus
514,Microphysa,hb,Microphysa,,,34921-1,Genus
515,Microplumeria,sh/subsh/tr,Microplumeria,,,297566-2,Genus
516,Minaria,subsh,Minaria,,,77074582-1,Genus
517,Miraglossum,hb,Miraglossum,,,893392-1,Genus
518,Mitchella,subsh,Mitchella,,,34924-1,Genus
519,Mitracarpus,subsh,Mitracarpus,,,30004750-2,Genus
520,Mitragyna,tr,Mitragyna,,,327864-2,Genus
521,Mitrasacmopsis,hb,Mitrasacmopsis,,,25094-1,Genus
522,Mitriostigma,sh/subsh,Mitriostigma,,,34932-1,Genus
523,Molongum,tr/sh,Molongum,,,2439-1,Genus
524,Molopanthera,tr/sh,Molopanthera,,,34934-1,Genus
525,Mondia,li,Mondia,,,3516-1,Genus
526,Monolluma,sc,Monolluma,,,986816-1,Genus
527,Monosalpinx,sh/subsh,Monosalpinx,,,34936-1,Genus
528,Monsanima,li/subsh,Monsanima,,,77132633-1,Genus
529,Morelia,sh/subsh/tr,Morelia,,,34939-1,Genus
530,Morilloa,li/subsh,Morilloa,,,77147475-1,Genus
531,Morinda,sh/subsh/tr,Morinda,,,34941-1,Genus
532,Morindopsis,sh/subsh,Morindopsis,,,34942-1,Genus
533,Mortoniella,tr/sh,Mortoniella,,,295062-2,Genus
534,Motandra,li,Motandra,,,2442-1,Genus
535,Motleyia,tr/sh,Motleyia,,,925024-1,Genus
536,Motleyothamnus,subsh/sh,Motleyothamnus,,,77187935-1,Genus
537,Mouretia,subsh,Mouretia,,,34943-1,Genus
538,Mucoa,tr/sh,Mucoa,,,925109-1,Genus
539,Multidentia,sh/subsh/tr,Multidentia,,,34944-1,Genus
540,Mussaenda,sh/li,Mussaenda,,,327866-2,Genus
541,Mussaendopsis,tr/sh,Mussaendopsis,,,34947-1,Genus
542,Mycetia,subsh/sh,Mycetia,,,34949-1,Genus
543,Myriopteron,li,Myriopteron,,,3521-1,Genus
544,Myrmecodia,hb/subsh,Myrmecodia,,,34952-1,Genus
545,Myrmeconauclea,sh,Myrmeconauclea,,,327868-2,Genus
546,Myrmephytum,subsh,Myrmephytum,,,327869-2,Genus
547,Nargedia,sh/subsh/tr,Nargedia,,,34963-1,Genus
548,Nauclea,tr,Nauclea,,,327870-2,Genus
549,Neanotis,subsh/li,Neanotis,,,34968-1,Genus
550,Neblinathamnus,subsh/sh,Neblinathamnus,,,295039-2,Genus
551,Nematostylis,subsh/sh,Nematostylis,,,34972-1,Genus
552,Nenax,subsh,Nenax,,,34974-1,Genus
553,Neobertiera,subsh/sh,Neobertiera,,,295313-2,Genus
554,Neoblakea,sh/subsh,Neoblakea,,,295309-2,Genus
555,Neobracea,sh/subsh/tr,Neobracea,,,325408-2,Genus
556,Neocouma,tr/sh,Neocouma,,,295333-2,Genus
557,Neohymenopogon,sh/subsh,Neohymenopogon,,,893518-1,Genus
558,Neolamarckia,tr,Neolamarckia,,,893396-1,Genus
559,Neomussaenda,sh/subsh,Neomussaenda,,,980452-1,Genus
560,Neonauclea,tr,Neonauclea,,,327872-2,Genus
561,Neoschumannia,li,Neoschumannia,,,3527-1,Genus
562,Nephradenia,li,Nephradenia,,,30056552-2,Genus
563,Nerium,sh/subsh/tr,Nerium,,,30305280-2,Genus
564,Nernstia,sh/subsh,Nernstia,,,295302-2,Genus
565,Nertera,subsh,Nertera,,,331802-2,Genus
566,Nesohedyotis,sh/subsh,Nesohedyotis,,,34994-1,Genus
567,Neurocalyx,hb/subsh,Neurocalyx,,,34996-1,Genus
568,Nichallea,sh/subsh,Nichallea,,,34998-1,Genus
569,Nodocarpaea,subsh,Nodocarpaea,,,35000-1,Genus
570,Normandia,sh/subsh/tr,Normandia,,,35003-1,Genus
571,Nostolachma,sh/subsh,Nostolachma,,,35004-1,Genus
572,Notechidnopsis,sc,Notechidnopsis,,,893471-1,Genus
573,Notopleura,subsh/sh,Notopleura,,,35007-1,Genus
574,Ochreinauclea,sh,Ochreinauclea,,,35011-1,Genus
575,Ochrosia,tr,Ochrosia,,,2461-1,Genus
576,Octotropis,sh/subsh/tr,Octotropis,,,35015-1,Genus
577,Odontadenia,li,Odontadenia,,,2465-1,Genus
578,Oldenlandia,subsh,Oldenlandia,,,30014644-2,Genus
579,Oldenlandiopsis,subsh,Oldenlandiopsis,,,925301-1,Genus
580,Oligocodon,li/sh/subsh,Oligocodon,,,35019-1,Genus
581,Omiltemia,sh/subsh,Omiltemia,,,35022-1,Genus
582,Oncinema,li,Oncinema,,,3542-1,Genus
583,Oncinotis,li,Oncinotis,,,2469-1,Genus
584,Opercularia,hb,Opercularia,,,35023-1,Genus
585,Ophionella,sc,Ophionella,,,893082-1,Genus
586,Ophiorrhiza,subsh,Ophiorrhiza,,,30280723-2,Genus
587,Orbea,sc,Orbea,,,3544-1,Genus
588,Orbelia,sc,× Orbelia,,,893008-1,Genus
589,Oreopolus,subsh,Oreopolus,,,35028-1,Genus
590,Oreosparte,li/hb/subsh,Oreosparte,,,3547-1,Genus
591,Orthanthera,subsh,Orthanthera,,,3548-1,Genus
592,Orthopichonia,li,Orthopichonia,,,2476-1,Genus
593,Orthosia,li/subsh,Orthosia,,,30027037-2,Genus
594,Osa,tr/sh,Osa,,,35031-1,Genus
595,Otiophora,subsh,Otiophora,,,35032-1,Genus
596,Otomeria,subsh,Otomeria,,,35035-1,Genus
597,Ottoschmidtia,sh/subsh,Ottoschmidtia,,,296872-2,Genus
598,Oxyanthus,sh/subsh/tr,Oxyanthus,,,35041-1,Genus
599,Oxyceros,li,Oxyceros,,,327874-2,Genus
600,Oxypetalum,hb,Oxypetalum,,,331823-2,Genus
601,Oxystelma,li/subsh,Oxystelma,,,30086246-2,Genus
602,Pachycarpus,hb,Pachycarpus,,,3560-1,Genus
603,Pachypodium,sc/hb/tr,Pachypodium,,,30028643-2,Genus
604,Pachystylus,sh/subsh/tr,Pachystylus,,,35046-1,Genus
605,Pacouria,li,Pacouria,,,2481-1,Genus
606,Paederia,li,Paederia,,,35047-1,Genus
607,Pagamea,tr/sh,Pagamea,,,25107-1,Genus
608,Pagameopsis,sh/subsh,Pagameopsis,,,296881-2,Genus
609,Palicourea,sh/tr/subsh,Palicourea,,,30000890-2,Genus
610,Papuechites,li,Papuechites,,,2487-1,Genus
611,Paracarphalea,sh/subsh/tr,Paracarphalea,,,77155726-1,Genus
612,Paracephaelis,sh/subsh,Paracephaelis,,,35059-1,Genus
613,Parachimarrhis,tr/sh,Parachimarrhis,,,296935-2,Genus
614,Paracorynanthe,tr/sh,Paracorynanthe,,,35062-1,Genus
615,Paragenipa,sh/subsh/tr,Paragenipa,,,35064-1,Genus
616,Parahancornia,tr/sh,Parahancornia,,,2490-1,Genus
617,Paraknoxia,hb,Paraknoxia,,,35066-1,Genus
618,Paralasianthus,sh/subsh,Paralasianthus,,,77145947-1,Genus
619,Parapentas,subsh,Parapentas,,,35067-1,Genus
620,Parepigynum,li,Parepigynum,,,2498-1,Genus
621,Parsonsia,li,Parsonsia,,,331830-2,Genus
622,Patima,sh/subsh,Patima,,,35071-1,Genus
623,Pattalias,hb/subsh,Pattalias,,,296829-2,Genus
624,Pauridiantha,sh/subsh/tr,Pauridiantha,,,35073-1,Genus
625,Pavetta,sh/tr,Pavetta,,,327877-2,Genus
626,Payera,sh/subsh/tr,Payera,,,331833-2,Genus
627,Pectinaria,sc,Pectinaria,,,331834-2,Genus
628,Pentacyphus,li,Pentacyphus,,,295216-2,Genus
629,Pentagonia,sh/tr,Pentagonia,,,35086-1,Genus
630,Pentalinon,li,Pentalinon,,,2502-1,Genus
631,Pentaloncha,subsh,Pentaloncha,,,35087-1,Genus
632,Pentanisia,subsh,Pentanisia,,,35088-1,Genus
633,Pentanopsis,sh/subsh,Pentanopsis,,,35089-1,Genus
634,Pentas,subsh/sh,Pentas,,,35090-1,Genus
635,Pentasachme,hb,Pentasacme,,,3578-1,Genus
636,Pentatropis,li/subsh,Pentatropis,,,80546-3,Genus
637,Pentodon,hb/subsh,Pentodon,,,35091-1,Genus
638,Pentopetia,subsh,Pentopetia,,,3582-1,Genus
639,Peplonia,li/subsh,Peplonia,,,3584-1,Genus
640,Peponidium,tr/sh,Peponidium,,,35092-1,Genus
641,Perakanthus,sh/subsh/tr,Perakanthus,,,35093-1,Genus
642,Perama,hb,Perama,,,35095-1,Genus
643,Pergularia,li,Pergularia,,,3585-1,Genus
644,Periglossum,hb,Periglossum,,,3587-1,Genus
645,Periploca,sh/li,Periploca,,,3588-1,Genus
646,Pervillaea,li,Pervillaea,,,3590-1,Genus
647,Petalostelma,li,Petalostelma,,,3592-1,Genus
648,Petchia,sh/subsh/tr,Petchia,,,2508-1,Genus
649,Petitiocodon,sh/subsh/tr,Petitiocodon,,,925124-1,Genus
650,Phaeostemma,li,Phaeostemma,,,3595-1,Genus
651,Phellocalyx,sh/subsh/tr,Phellocalyx,,,35106-1,Genus
652,Pherotrichis,hb,Pherotrichis,,,30242827-2,Genus
653,Phialanthus,tr/sh,Phialanthus,,,35107-1,Genus
654,Phialiphora,subsh,Phialiphora,,,77109496-1,Genus
655,Philibertia,li/subsh,Philibertia,,,3599-1,Genus
656,Phuopsis,subsh,Phuopsis,,,35110-1,Genus
657,Phyllanthera,li,Phyllanthera,,,3600-1,Genus
658,Phyllis,subsh/sh,Phyllis,,,35113-1,Genus
659,Phyllocrater,subsh,Phyllocrater,,,35114-1,Genus
660,Phyllomelia,sh/subsh/tr,Phyllomelia,,,35115-1,Genus
661,Phyllopentas,sh/subsh,Phyllopentas,,,77086228-1,Genus
662,Phylohydrax,subsh,Phylohydrax,,,925007-1,Genus
663,Piaranthus,sc,Piaranthus,,,3603-1,Genus
664,Picardaea,sh/subsh/tr,Picardaea,,,295229-2,Genus
665,Picralima,tr,Picralima,,,2513-1,Genus
666,Pimentelia,sh/subsh/tr,Pimentelia,,,35119-1,Genus
667,Pinarophyllon,hb,Pinarophyllon,,,289383-2,Genus
668,Pinckneya,sh/subsh/tr,Pinckneya,,,35122-1,Genus
669,Pinochia,li,Pinochia,,,77084114-1,Genus
670,Pitardella,sh/subsh/tr,Pitardella,,,20012643-1,Genus
671,Pittoniotis,sh/subsh/tr,Pittoniotis,,,35127-1,Genus
672,Placocarpa,sh/subsh,Placocarpa,,,35128-1,Genus
673,Planaltina,subsh/sh,Planaltina,,,77113910-1,Genus
674,Platycarpum,tr/sh,Platycarpum,,,35136-1,Genus
675,Plectaneia,li,Plectaneia,,,2515-1,Genus
676,Plectroniella,sh/subsh/tr,Plectroniella,,,35139-1,Genus
677,Pleiocarpa,tr,Pleiocarpa,,,2516-1,Genus
678,Pleioceras,hb/subsh,Pleioceras,,,2517-1,Genus
679,Pleiocoryne,sh/subsh,Pleiocoryne,,,893568-1,Genus
680,Plocama,subsh,Plocama,,,35148-1,Genus
681,Plocaniophyllon,sh/subsh,Plocaniophyllon,,,289414-2,Genus
682,Plumeria,tr,Plumeria,,,30001863-2,Genus
683,Pogonopus,sh/tr,Pogonopus,,,35155-1,Genus
684,Polysphaeria,sh/subsh/tr,Polysphaeria,,,35164-1,Genus
685,Polystemma,li/subsh,Polystemma,,,30266778-2,Genus
686,Polyura,subsh,Polyura,,,35165-1,Genus
687,Pomax,hb/subsh,Pomax,,,35169-1,Genus
688,Porterandia,tr/sh,Porterandia,,,35172-1,Genus
689,Portlandia,sh/subsh/tr,Portlandia,,,329811-2,Genus
690,Posoqueria,sh/tr,Posoqueria,,,35176-1,Genus
691,Pottsia,li,Pottsia,,,2528-1,Genus
692,Pouchetia,sh/subsh/tr,Pouchetia,,,35180-1,Genus
693,Praravinia,tr/sh,Praravinia,,,35182-1,Genus
694,Prestonia,li,Prestonia,,,329000-2,Genus
695,Preussiodora,sh/subsh,Preussiodora,,,35185-1,Genus
696,Prismatomeris,sh/subsh/tr,Prismatomeris,,,327883-2,Genus
697,Pruskortizia,li,Pruskortizia,,,60473388-2,Genus
698,Pseudaidia,sh/subsh,Pseudaidia,,,925012-1,Genus
699,Pseudocoptosperma,sh/subsh,Pseudocoptosperma,,,77178886-1,Genus
700,Pseudogalium,hb,Pseudogalium,,,77194055-1,Genus
701,Pseudolachnostoma,hb/subsh,Pseudolachnostoma,,,77129406-1,Genus
702,Pseudolithos,sc,Pseudolithos,,,326033-2,Genus
703,Pseudomantalania,tr/sh,Pseudomantalania,,,35200-1,Genus
704,Pseudomiltemia,sh/subsh/tr,Pseudomiltemia,,,60435720-2,Genus
705,Pseudomussaenda,sh/subsh,Pseudomussaenda,,,35201-1,Genus
706,Pseudonesohedyotis,subsh/sh,Pseudonesohedyotis,,,35202-1,Genus
707,Pseudopyxis,hb/subsh,Pseudopyxis,,,35204-1,Genus
708,Psychotria,sh/tr/subsh,Psychotria,,,326020-2,Genus
709,Psydrax,sh/tr,Psydrax,,,35218-1,Genus
710,Psyllocarpus,subsh,Psyllocarpus,,,35219-1,Genus
711,Pteralyxia,tr/sh,Pteralyxia,,,2534-1,Genus
712,Pteridocalyx,sh/subsh,Pteridocalyx,,,295499-2,Genus
713,Ptycanthera,li/sh/subsh,Ptycanthera,,,3634-1,Genus
714,Pubistylus,sh/subsh/tr,Pubistylus,,,35226-1,Genus
715,Puffia,subsh,Puffia,,,77159275-1,Genus
716,Pycnobotrya,li,Pycnobotrya,,,2538-1,Genus
717,Pycnorhachis,li,Pycnorhachis,,,3639-1,Genus
718,Pygmaeothamnus,subsh,Pygmaeothamnus,,,35228-1,Genus
719,Pyrostria,sh,Pyrostria,,,35231-1,Genus
720,Quaqua,sc,Quaqua,,,3641-1,Genus
721,Rachicallis,sh/subsh,Rachicallis,,,35235-1,Genus
722,Ramonadoxa,hb/subsh/tr/sh,Ramonadoxa,,,77187961-1,Genus
723,Ramosmania,sh/subsh,Ramosmania,,,893224-1,Genus
724,Randia,sh/tr/li,Randia,,,30000647-2,Genus
725,Raphionacme,hb,Raphionacme,,,3644-1,Genus
726,Raritebe,sh,Raritebe,,,295610-2,Genus
727,Rauvolfia,tr,Rauvolfia,,,328992-2,Genus
728,Razafimandimbisonia,tr/sh,Razafimandimbisonia,,,77101368-1,Genus
729,Remijia,sh/tr,Remijia,,,35243-1,Genus
730,Rennellia,sh/subsh/tr,Rennellia,,,35244-1,Genus
731,Retiniphyllum,sh/subsh/tr,Retiniphyllum,,,35246-1,Genus
732,Rhabdadenia,li,Rhabdadenia,,,328984-2,Genus
733,Rhadinopus,sh/subsh/tr,Rhadinopus,,,35250-1,Genus
734,Rhaphidura,sh/subsh,Rhaphidura,,,35251-1,Genus
735,Rhazya,subsh,Rhazya,,,2547-1,Genus
736,Rhigospira,tr/sh,Rhigospira,,,2548-1,Genus
737,Rhipidantha,sh/subsh/tr,Pauridiantha,,,35073-1,Genus
738,Rhodopentas,sh/subsh,Rhodopentas,,,77086242-1,Genus
739,Rhyssolobium,subsh,Rhyssolobium,,,3656-1,Genus
740,Rhytidocaulon,sc,Rhytidocaulon,,,331908-2,Genus
741,Rhytidostemma,li,Rhytidostemma,,,77129431-1,Genus
742,Richardia,hb,Richardia,,,35260-1,Genus
743,Richtersveldia,sc,Richtersveldia,,,20009969-1,Genus
744,Ridsdalea,tr/sh,Ridsdalea,,,77160521-1,Genus
745,Riocreuxia,li/sh/subsh,Riocreuxia,,,3659-1,Genus
746,Riodocea,tr/sh,Riodocea,,,1007277-1,Genus
747,Robbrechtia,tr/sh,Robbrechtia,,,326326-2,Genus
748,Robynsia,sh/subsh/tr,Robynsia,,,331914-2,Genus
749,Rogiera,sh,Rogiera,,,30058569-2,Genus
750,Rojasia,li/subsh,Rojasia,,,296324-2,Genus
751,Ronabea,subsh/sh,Ronabea,,,35267-1,Genus
752,Rondeletia,sh,Rondeletia,,,329798-2,Genus
753,Rosenbergiodendron,sh/li,Rosenbergiodendron,,,296286-2,Genus
754,Rothmannia,sh/tr,Rothmannia,,,327884-2,Genus
755,Rovaeanthus,hb/subsh,Rovaeanthus,,,60435737-2,Genus
756,Rubia,hb,Rubia,,,35277-1,Genus
757,Rubovietnamia,sh/subsh,Rubovietnamia,,,1004952-1,Genus
758,Rudgea,sh/tr/subsh,Rudgea,,,330786-2,Genus
759,Ruehssia,li,Ruehssia,,,3664-1,Genus
760,Rustia,sh/tr,Rustia,,,35280-1,Genus
761,Rutidea,li/sh/subsh,Rutidea,,,35281-1,Genus
762,Rytigynia,sh/tr,Rytigynia,,,35283-1,Genus
763,Saba,li,Saba,,,2560-1,Genus
764,Sabicea,sh/li/subsh,Sabicea,,,30011202-2,Genus
765,Sacleuxia,sh/subsh,Sacleuxia,,,3667-1,Genus
766,Sacosperma,li/sh/subsh,Sacosperma,,,35286-1,Genus
767,Saldinia,sh/subsh,Saldinia,,,35290-1,Genus
768,Salzmannia,tr/sh,Salzmannia,,,35292-1,Genus
769,Saprosma,sh,Saprosma,,,35295-1,Genus
770,Sarcolobus,li,Sarcolobus,,,3671-1,Genus
771,Sarcorrhiza,li/hb/subsh,Sarcorrhiza,,,3673-1,Genus
772,Schismatoclada,sh/subsh/tr,Schismatoclada,,,35309-1,Genus
773,Schistonema,li,Schistonema,,,295677-2,Genus
774,Schizenterospermum,sh/subsh,Schizenterospermum,,,35311-1,Genus
775,Schizocalyx,sh/tr,Schizocalyx,,,331938-2,Genus
776,Schizocolea,sh/subsh/tr,Schizocolea,,,35313-1,Genus
777,Schizoglossum,hb,Schizoglossum,,,3680-1,Genus
778,Schizomussaenda,sh/subsh/tr,Schizomussaenda,,,35314-1,Genus
779,Schizostephanus,hb/subsh/sh,Schizostephanus,,,3683-1,Genus
780,Schizozygia,sh,Schizozygia,,,2563-1,Genus
781,Schlechterella,li/hb,Schlechterella,,,30105942-2,Genus
782,Schmidtottia,sh/subsh,Schmidtottia,,,30002570-2,Genus
783,Schradera,tr/li,Schradera,,,327888-2,Genus
784,Schubertia,li,Schubertia,,,331943-2,Genus
785,Schumanniophyton,tr,Schumanniophyton,,,35323-1,Genus
786,Schwendenera,subsh,Schwendenera,,,295686-2,Genus
787,Scleromitrion,hb,Scleromitrion,,,60445140-2,Genus
788,Scolosanthus,sh/subsh,Scolosanthus,,,35330-1,Genus
789,Scyphiphora,sh/subsh/tr,Scyphiphora,,,327890-2,Genus
790,Scyphostachys,sh/subsh/tr,Scyphostachys,,,35333-1,Genus
791,Scyphostelma,hb/subsh,Scyphostelma,,,295477-2,Genus
792,Secamone,li,Secamone,,,30167675-2,Genus
793,Secondatia,li,Secondatia,,,329003-2,Genus
794,Sericanthe,sh/subsh/tr,Sericanthe,,,35336-1,Genus
795,Serissa,subsh/sh,Serissa,,,35337-1,Genus
796,Seychellea,sh/subsh,Seychellea,,,77203853-1,Genus
797,Shaferocharis,sh/subsh,Shaferocharis,,,298108-2,Genus
798,Sherardia,hb,Sherardia,,,35341-1,Genus
799,Sherbournia,li,Sherbournia,,,35342-1,Genus
800,Siemensia,sh/subsh,Siemensia,,,296660-2,Genus
801,Simira,sh/tr,Simira,,,30018402-2,Genus
802,Sindechites,li,Sindechites,,,2568-1,Genus
803,Singaporandia,sh/subsh/tr,Singaporandia,,,77160553-1,Genus
804,Sinoadina,sh,Sinoadina,,,35354-1,Genus
805,Sipanea,subsh,Sipanea,,,35355-1,Genus
806,Sipaneopsis,subsh,Sipaneopsis,,,296664-2,Genus
807,Siphonandrium,li/sh/subsh,Siphonandrium,,,35360-1,Genus
808,Sisyranthus,hb,Sisyranthus,,,3697-1,Genus
809,Skytanthus,sh/subsh,Skytanthus,,,2570-1,Genus
810,Socotrella,sc,Socotrella,,,20008733-1,Genus
811,Solenandra,sh/tr,Solenandra,,,35363-1,Genus
812,Solenostemma,sh/subsh,Solenostemma,,,3701-1,Genus
813,Sommera,sh,Sommera,,,35365-1,Genus
814,Spermacoce,sh/subsh/li,Spermacoce,,,326325-2,Genus
815,Spermadictyon,sh/subsh,Spermadictyon,,,35371-1,Genus
816,Sphinctanthus,sh/subsh/tr,Sphinctanthus,,,35373-1,Genus
817,Spirolobium,sh/subsh,Spirolobium,,,331979-2,Genus
818,Spongiosperma,sh/subsh/tr,Spongiosperma,,,925320-1,Genus
819,Squamellaria,hb/subsh,Squamellaria,,,35379-1,Genus
820,Stachyarrhena,tr/sh,Stachyarrhena,,,35380-1,Genus
821,Staelia,subsh,Staelia,,,30051118-2,Genus
822,Staparesia,sc,× Staparesia,,,893240-1,Genus
823,Stapelia,sc,Stapelia,,,331981-2,Genus
824,Stapelianthus,sc,Stapelianthus,,,3713-1,Genus
825,Stapeliopsis,sc,Stapeliopsis,,,3714-1,Genus
826,Stapvalia,sc,× Stapvalia,,,77151926-1,Genus
827,Stathmostelma,hb,Stathmostelma,,,3717-1,Genus
828,Steenisia,subsh,Steenisia,,,35386-1,Genus
829,Stelmagonum,li/subsh,Stelmagonum,,,296618-2,Genus
830,Stenaria,hb,Stenaria,,,20001881-1,Genus
831,Stenosepala,sh/subsh/tr,Stenosepala,,,1018382-1,Genus
832,Stenostelma,hb,Stenostelma,,,3725-1,Genus
833,Stenostomum,tr,Stenostomum,,,35392-1,Genus
834,Stenotis,subsh,Stenotis,,,30395888-2,Genus
835,Stephanococcus,li,Stephanococcus,,,35394-1,Genus
836,Stephanostegia,tr/sh,Stephanostegia,,,2577-1,Genus
837,Stephanostema,sh/subsh,Stephanostema,,,2578-1,Genus
838,Stephanotis,li,Stephanotis,,,30089192-2,Genus
839,Stevensia,sh/subsh,Stevensia,,,30139760-2,Genus
840,Steyermarkia,hb/subsh,Steyermarkia,,,296546-2,Genus
841,Stichianthus,sh/subsh,Stichianthus,,,35399-1,Genus
842,Stigmatorhynchus,subsh/sh,Stigmatorhynchus,,,3729-1,Genus
843,Stilpnophyllum,tr/sh,Stilpnophyllum,,,35403-1,Genus
844,Stipecoma,li,Stipecoma,,,2579-1,Genus
845,Stipularia,subsh/sh,Stipularia,,,35404-1,Genus
846,Stomatostemma,li/hb,Stomatostemma,,,3732-1,Genus
847,Streblosa,subsh,Streblosa,,,327891-2,Genus
848,Strempeliopsis,sh/subsh,Strempeliopsis,,,2580-1,Genus
849,Streptocaulon,li,Streptocaulon,,,3733-1,Genus
850,Streptoechites,li,Streptoechites,,,77124831-1,Genus
851,Strophanthus,sh/li,Strophanthus,,,2582-1,Genus
852,Strumpfia,subsh/sh,Strumpfia,,,35412-1,Genus
