,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
10,1004202-1,Stathmostelma diversifolium,Stathmostelma diversifolium,1004202-1,Species," <b>Appearance</b>:  the ground, <b>Inflorescence</b>: , <b>Leaf</b>:  or truncate, minutely <em>pubescent</em> with short, minutely <em>pubescent</em> with short white hairs, minutely <em>pubescent</em>., minutely pubescent with short, minutely pubescent with short white <em>hairs</em>, stiff <em>hairs</em> on both upper, stiff hairs on both upper",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1004202-1)']
11,1004713-1,Marsdenia obscura,Marsdenia obscura,1004713-1,Species," <b>Appearance</b>: A small erect shrub, softly <em>hairy</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1004713-1)']
12,1004715-1,Marsdenia faulknerae,Marsdenia faulknerae,1004715-1,Species," <b>Appearance</b>: Young shoots densely <em>pubescent</em>, <b>Inflorescence</b>: , <b>Leaf</b>: Leaves with petiole 1.5–6 cm long, densely <em>pubescent</em>, densely <em>pubescent</em>., irregularly-branched, older wood with thick corky",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1004715-1)']
13,1004792-1,Fockea angustifolia,Fockea angustifolia,1004792-1,Species," <b>Appearance</b>: Stems often reddish, <b>Leaf</b>: Leaves opposite, minutely <em>pubescent</em>, minutely <em>pubescent</em> 3–6 × 0.5–1 mm, petiole 1–3 mm long",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1004792-1)']
14,1004867-1,Ceropegia inornata,Ceropegia inornata,1004867-1,Species," <b>Appearance</b>: Stems mostly sparsely branched, <b>Leaf</b>:  cordate, apex acuminate, apiculate, glabrous or <em>hairy</em>, glabrous or whitish <em>pubescent</em>, wiry",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1004867-1)']
15,100792-1,Raphionacme grandiflora,Raphionacme grandiflora,100792-1,Species," <b>Appearance</b>: , <b>Leaf</b>: , <b>Leaf</b>:  and glabrous with veins pubescent or velutinous or <em>hairy</em> all over, <em>pubescent</em> or velutinous and often densely dotted, beneath pale green, sparsely to densely <em>pubescent</em> or velutinous",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100792-1)']
16,100805-1,Raphionacme michelii,Raphionacme michelii,100805-1,Species," 1–2 cm long, 4–6, <b>Appearance</b>:  lateral, <b>Inflorescence</b>:  to <em>pubescent</em>., <b>Leaf</b>: , papillose, puberulent to <em>pubescent</em> base, puberulent to <em>pubescent</em>; blade very narrowly obovate to obovate",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100805-1)']
17,100814-1,Raphionacme splendens,Raphionacme splendens,100814-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>: , <b>Leaf</b>:  <em>pubescent</em> or scabrous; midrib prominent, puberulous to <em>pubescent</em>., secondary veins looping, sparsely scabrous or <em>pubescent</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100814-1)']
18,100850-1,Riocreuxia aberrans,Riocreuxia aberrans,100850-1,Species," <b>Appearance</b>: /brownish-translucent multicellular <em>hairs</em>; internodes 40 - 70(- 125, <b>Appearance</b>: A sparsely <em>hairy</em>, <b>Leaf</b>: , <em>pubescent</em> within and along rims of adaxial channel, erect or ascending, leafy, terete, tufted herb",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100850-1)']
19,100853-1,Riocreuxia chrysochroma,Riocreuxia chrysochroma,100853-1,Species," <b>Appearance</b>:  long brownish-translucent <em>hairs</em>, <b>Appearance</b>: Climber 1–3 m high, <b>Appearance</b>: Stem twining, <b>Inflorescence</b>: ; peduncle ± 0.5 mm diameter, <b>Leaf</b>: , <em>hairy</em>, <em>pubescent</em> all, <em>pubescent</em> all around but more so in adaxial channel, <em>pubescent</em> all round, branched, branched into 2, leafy., stout in older parts, terete",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100853-1)']
20,100854-1,Riocreuxia flanaganii,Riocreuxia flanaganii,100854-1,Species," 1 m or more high, 1.5 - 3, <b>Appearance</b>:  mm diam., <b>Appearance</b>: -translucent multicellular <em>hairs</em>; internodes 15 - 110 mm long, <b>Appearance</b>: A sparsely <em>hairy</em>, <b>Inflorescence</b>: -flowered; pedicels 2 - 6 mm, <b>Leaf</b>: , <em>pubescent</em> all round or only along rims of adaxial channel, c. 0.3 mm diam., leafy climber, sparsely <em>pubescent</em>, terete, uni- or bifariously <em>pubescent</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100854-1)']
21,100857-1,Riocreuxia picta,Riocreuxia picta,100857-1,Species," <b>Leaf</b>: , <em>pubescent</em> along rims of adaxial channel; lamina (23 -)60, terete",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100857-1)']
22,100858-1,Riocreuxia polyantha,Riocreuxia polyantha,100858-1,Species," 1 - 3 m or more high, 1–3 m or more high, <b>Appearance</b>:  long) whitish-translucent multicellular <em>hairs</em>; internodes 40, <b>Appearance</b>: A sparsely <em>hairy</em>, <b>Leaf</b>:  with a distinct ring of simple, <b>Leaf</b>: ) mm long, <b>Leaf</b>: Leafy climber, <em>pubescent</em> all around; lamina 30 - 90(-135) x, leafy climber, sparsely <em>hairy</em>; stem, terete, ± 0.6 mm long whitish-translucent <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100858-1)']
23,100860-1,Riocreuxia splendida,Riocreuxia splendida,100860-1,Species," <b>Appearance</b>: . 1 mm long) brownish-translucent multicellular <em>hairs</em>, <b>Appearance</b>: Climber, <b>Inflorescence</b>: Peduncle 1 - 1.5 mm diam., <b>Leaf</b>:  lobes; densely <em>pubescent</em> on both surfaces becoming velvety, <em>hairy</em>, densely <em>pubescent</em> all round, leafy to 2 m or more high.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100860-1)']
24,100861-1,Riocreuxia torulosa,Riocreuxia torulosa,100861-1,Species," 1.5 - 3(- 5) mm diam., <b>Appearance</b>:  long, <b>Appearance</b>: ) whitish-translucent multicellular <em>hairs</em>; internodes 11 - 60 mm, <b>Appearance</b>: A mostly <em>hairy</em>, <b>Inflorescence</b>: , <b>Leaf</b>: , <em>pubescent</em> all around; lamina 30 - 90(- 157) x 17 - 60, abaxially mostly <em>pubescent</em>, leafy climber to 3 m or more high, mostly <em>pubescent</em> all round, rarely glabrous; peduncle 1 - 2 mm diam, terete",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100861-1)']
25,100862-1,Riocreuxia woodii,Riocreuxia woodii,100862-1,Species," 1 m or more high, <b>Appearance</b>:  of simple <em>hairs</em>; internodes 40 - 110 mm long, <b>Appearance</b>: A sparsely <em>hairy</em>, <b>Leaf</b>: , <em>pubescent</em> all around but more so in adaxial channel, c. 2 mm diam, leafy climber, terete",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100862-1)']
26,100911-1,Ruehssia macrophylla,Ruehssia macrophylla,100911-1,Species," <b>Appearance</b>: Lianas; stems glabrescent, <b>Leaf</b>:  <em>pubescent</em>; lamina 6.4 – 22 × 5.6 – 18.4 cm, <em>pubescent</em> when young, base cuneate, elliptic",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100911-1)']
27,100916-1,Sacleuxia newii,Sacleuxia newii,100916-1,Species," <b>Leaf</b>: ; young leaves <em>pubescent</em>, mature leaves papery to herbaceous",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100916-1)']
28,100918-1,Sacleuxia tuberosa,Sacleuxia tuberosa,100918-1,Species," <b>Inflorescence</b>: Inflorescences terminal and axillary, <em>pubescent</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100918-1)']
29,100944-1,Sarcorrhiza epiphytica,Sarcorrhiza epiphytica,100944-1,Species," <b>Inflorescence</b>: , <b>Leaf</b>: , glabrous, puberulous or <em>pubescent</em>., puberulous or <em>pubescent</em>; blade oblong-elliptic to oblong",,['POWO pages(/taxon/urn:lsid:ipni.org:names:100944-1)']
30,1009501-1,Ceropegia keniensis,Ceropegia keniensis,1009501-1,Species," <b>Appearance</b>: , <b>Leaf</b>: -translucent <em>hairs</em> on midrib underneath and margins, glabrous or with fine whitishtranslucent <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1009501-1)']
31,101267-1,Schizostephanus alatus,Schizostephanus alatus,101267-1,Species," <b>Inflorescence</b>: , subglabrous or minutely <em>pubescent</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101267-1)']
32,1012916-1,Leptactina platyphylla,Leptactina platyphylla,1012916-1,Species," <b>Appearance</b>: . tall; young stems densely to rather sparsely <em>pubescent</em>, <b>Inflorescence</b>: ; peduncle 0–1.2(–2) cm. long, <b>Leaf</b>:  for short <em>hairs</em> on the venation to rather sparsely pubescent above, <b>Leaf</b>:  for short hairs on the venation to rather sparsely <em>pubescent</em> above, <b>Leaf</b>: ; petiole 0.3–1.7 cm. long, <em>hairy</em> like the stems, with longer hairs, ± densely <em>pubescent</em>; pedicels 0.2–1.4",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1012916-1)']
33,101296-1,Secamone africana,Secamone africana,101296-1,Species," <b>Appearance</b>: , the inflorescence covered with spreading reddish <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101296-1)']
34,101298-1,Secamone alpini,Secamone alpini,101298-1,Species," <b>Leaf</b>:  or subcuneate, young leaves with scattered <em>hairs</em> on both surfaces",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101298-1)']
35,101342-1,Secamone gracilis,Secamone gracilis,101342-1,Species," <b>Appearance</b>: Slender climber, glabrous except for a few red <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101342-1)']
36,101380-1,Secamone punctulata,Secamone punctulata,101380-1,Species, <b>Appearance</b>:  to densely covered with spreading red <em>hairs</em>,,['POWO pages(/taxon/urn:lsid:ipni.org:names:101380-1)']
37,101383-1,Secamone retusa,Secamone retusa,101383-1,Species, <b>Appearance</b>:  at the joints of the inflorescence and a few scattered <em>hairs</em>,,['POWO pages(/taxon/urn:lsid:ipni.org:names:101383-1)']
38,101388-1,Secamone schweinfurthii,Secamone schweinfurthii,101388-1,Species," 1–8(–15) mm long., <b>Appearance</b>: Young shoots puberulent, <b>Inflorescence</b>: Peduncles <em>pubescent</em>, the <em>hairs</em> white or red",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101388-1)']
39,101393-1,Secamone stuhlmannii,Secamone stuhlmannii,101393-1,Species," <b>Appearance</b>:  <em>hairs</em> which are particularly dense on the inflorescence, <b>Appearance</b>: Woody climber, the whole plant <em>pubescent</em> with spreading, young",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101393-1)']
40,1014987-1,Ceropegia verticillata,Ceropegia verticillata,1014987-1,Species," <b>Appearance</b>:  to purplish with curved whitish-translucent <em>hairs</em>, <b>Appearance</b>: Herbaceous twiner to 2 m high, <em>pubescent</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1014987-1)']
41,1015429-1,Ceropegia kituloensis,Ceropegia kituloensis,1015429-1,Species," <b>Leaf</b>: , <b>Leaf</b>:  interpetiolar, <em>pubescent</em> above, green, of minute tufts of <em>hairs</em>; lamina narrowly ovatelanceolate, ± glabrous or sparsely <em>pubescent</em> beneath",,['POWO pages(/taxon/urn:lsid:ipni.org:names:1015429-1)']
42,101865-1,Stathmostelma angustatum,Stathmostelma angustatum,101865-1,Species," <b>Appearance</b>:  the ground, <b>Inflorescence</b>: Bracts filiform, <em>pubescent</em>., minutely <em>pubescent</em> with short white hairs, minutely pubescent with short white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101865-1)']
43,101868-1,Stathmostelma fornicatum,Stathmostelma fornicatum,101868-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>:  <em>pubescent</em> with short, <b>Leaf</b>:  pubescent with short, glabrous or minutely <em>pubescent</em> with short white hairs, glabrous or minutely pubescent with short white <em>hairs</em>, stiff <em>hairs</em> particularly on the margins, stiff hairs particularly on the margins",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101868-1)']
44,101870-1,Stathmostelma gigantiflorum,Stathmostelma gigantiflorum,101870-1,Species," <b>Appearance</b>:  the ground, <b>Inflorescence</b>:  <em>pubescent</em>., minutely <em>pubescent</em> with short white hairs, minutely pubescent with short white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101870-1)']
45,101880-1,Stathmostelma pauciflorum,Stathmostelma pauciflorum,101880-1,Species," 0.2–1 m long, <b>Appearance</b>:  with short white <em>hairs</em>, <b>Appearance</b>: Stems erect, <b>Inflorescence</b>: Bracts filiform, <b>Leaf</b>: , <b>Leaf</b>:  white <em>hairs</em> particularly on margins and midrib below, <em>pubescent</em>, caducous., cuneate or occasionally truncate, generally unbranched, sparsely <em>pubescent</em> with stiff",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101880-1)']
46,101881-1,Stathmostelma pedunculatum,Stathmostelma pedunculatum,101881-1,Species," <b>Appearance</b>:  or occasionally branched below, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>:  or rounded, minutely <em>pubescent</em> with short, minutely <em>pubescent</em> with short white hairs, minutely pubescent with short, minutely pubescent with short white <em>hairs</em>, stiff <em>hairs</em> on both upper, stiff hairs on both upper",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101881-1)']
47,101883-1,Stathmostelma propinquum,Stathmostelma propinquum,101883-1,Species," <b>Appearance</b>:  densely <em>pubescent</em> with white hairs, <b>Appearance</b>:  densely pubescent with white <em>hairs</em>, corolla green and corona lobes",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101883-1)']
48,101885-1,Stathmostelma rhacodes,Stathmostelma rhacodes,101885-1,Species," <b>Appearance</b>:  or occasionally branched below, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>:  <em>pubescent</em> with short, <b>Leaf</b>:  pubescent with short, minutely <em>pubescent</em> with short white hairs, minutely pubescent with short white <em>hairs</em>, stiff <em>hairs</em> on both upper and lower surfaces, stiff hairs on both upper and lower surfaces",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101885-1)']
49,101886-1,Stathmostelma spectabile,Stathmostelma spectabile,101886-1,Species," <b>Appearance</b>:  <em>pubescent</em> with short white hairs. Leaves with petiole 5–20(–30) mm, <b>Appearance</b>:  pubescent with short white <em>hairs</em>. Leaves with petiole 5–20(–30) mm",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101886-1)']
50,101890-1,Stathmostelma welwitschii,Stathmostelma welwitschii,101890-1,Species," <b>Appearance</b>:  below, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>: , minutely <em>pubescent</em> with short, minutely <em>pubescent</em> with short white hairs, minutely pubescent with short, minutely pubescent with short white <em>hairs</em>, stiff <em>hairs</em> on both upper and lower, stiff hairs on both upper and lower",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101890-1)']
51,101928-1,Stigmatorhynchus umbellifer,Stigmatorhynchus umbellifer,101928-1,Species," 2.5–8(–11, <b>Appearance</b>:  <em>pubescent</em>, <b>Inflorescence</b>:  clusters of flowers, <b>Leaf</b>: , densely <em>pubescent</em>., densely <em>pubescent</em>; lamina broadly ovate to rhomboid, older stems glabrous and somewhat lenticellate",,['POWO pages(/taxon/urn:lsid:ipni.org:names:101928-1)']
52,102154-1,Telosma africana,Telosma africana,102154-1,Species," <b>Inflorescence</b>: , <b>Leaf</b>: Leaves with petiole 1.5–5 cm long, minutely <em>pubescent</em>, minutely <em>pubescent</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:102154-1)']
53,102699-1,Vincetoxicum caffrum,Vincetoxicum caffrum,102699-1,Species," <b>Appearance</b>: Stems minutely but densely <em>pubescent</em>, <b>Inflorescence</b>: , <b>Leaf</b>: Leaves herbaceous; petiole 1–8 mm long, densely <em>pubescent</em>, sparsely to densely <em>pubescent</em>.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:102699-1)']
54,102784-1,Vincetoxicum fruticulosum,Vincetoxicum fruticulosum,102784-1,Species," <b>Appearance</b>:  m, <b>Leaf</b>: Leaves with petiole 2–5(–8) mm long, minutely <em>pubescent</em>, older stems, young stems greygreen and minutely <em>pubescent</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:102784-1)']
55,102802-1,Vincetoxicum heterophyllum,Vincetoxicum heterophyllum,102802-1,Species," 3–6 × 1.5–3.5 cm, <b>Appearance</b>:  to densely <em>pubescent</em>, <b>Inflorescence</b>: , <b>Leaf</b>: , <em>pubescent</em>; lamina ovate to oblong, apex acute, glabrous or <em>pubescent</em>, rarely subglabrous, slender.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:102802-1)']
56,103004-1,Vincetoxicum sylvaticum,Vincetoxicum sylvaticum,103004-1,Species," <b>Appearance</b>:  <em>pubescent</em> when young, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>: Leaves not succulent; petiole 1–3 cm long, <em>pubescent</em>, becoming glabrescent",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103004-1)']
57,103103-1,Xysmalobium fraternum,Xysmalobium fraternum,103103-1,Species," 30–55 cm tall, <b>Appearance</b>:  curled <em>hairs</em>, <b>Appearance</b>: Stems usually single, <b>Leaf</b>: , <em>pubescent</em> with short, glabrescent, young leaves with scattered rusty <em>hairs</em> below or on both",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103103-1)']
58,103114-1,Xysmalobium heudelotianum,Xysmalobium heudelotianum,103114-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>: –6 mm long, <b>Leaf</b>: , <b>Leaf</b>:  raised, <em>pubescent</em> at least on the margin., <em>pubescent</em> with short curled hairs, pubescent with short curled <em>hairs</em>, remainder of lamina glabrous or with scattered reddish <em>hairs</em> below, reticulate, with a glabrous or <em>pubescent</em> marginal vein",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103114-1)']
59,103118-1,Xysmalobium kaessneri,Xysmalobium kaessneri,103118-1,Species," 40–70 cm tall, <b>Appearance</b>:  with short curled <em>hairs</em>, <b>Appearance</b>: Stems usually single, <b>Inflorescence</b>:  <em>pubescent</em>, <b>Leaf</b>:  present, densely <em>pubescent</em>, with white <em>hairs</em> mainly on the midrib and major veins",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103118-1)']
60,103130-1,Xysmalobium patulum,Xysmalobium patulum,103130-1,Species," 2–4 mm long, <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>: Stems one or two, <b>Inflorescence</b>: Bracts linear, <b>Leaf</b>:  <em>hairs</em> on the marginal vein, <em>pubescent</em> with short curled, <em>pubescent</em>., acute, ± 35 cm tall",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103130-1)']
61,103147-1,Xysmalobium stocksii,Xysmalobium stocksii,103147-1,Species," 20–50 cm, 3–8 mm long, <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>: Stems one or two, <b>Inflorescence</b>: Bracts often deciduous, <em>pubescent</em>, <em>pubescent</em> with short curled, linear",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103147-1)']
62,103155-1,Xysmalobium undulatum,Xysmalobium undulatum,103155-1,Species," <b>Appearance</b>:  to densely <em>pubescent</em> with spreading white hairs, <b>Appearance</b>:  to densely pubescent with spreading white <em>hairs</em>, <b>Inflorescence</b>:  <em>pubescent</em>., <b>Leaf</b>:  vein, particularly, the base of the stem, with sparse to dense spreading white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:103155-1)']
63,109024-2,Geophila repens,Geophila repens,109024-2,Species," <b>Appearance</b>:  <em>pubescent</em>, <b>Leaf</b>:  at the base, glabrous above, glabrous or <em>pubescent</em> beneath; petiole, rooting at the nodes; leafy and flowering shoots reaching",,['POWO pages(/taxon/urn:lsid:ipni.org:names:109024-2)']
64,179299-2,Oxypetalum cordifolium,Oxypetalum cordifolium,179299-2,Species," <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>: Stems subglabrous or <em>pubescent</em> with short spreading white, <b>Inflorescence</b>:  cm long, <b>Leaf</b>: Leaves with petiole 1 - 4(- 6) cm long, <em>pubescent</em>; lamina, densely <em>pubescent</em>; bracts 1 - 3 mm long, linear",,['POWO pages(/taxon/urn:lsid:ipni.org:names:179299-2)']
65,20001153-1,Pavetta chapmanii,Pavetta chapmanii,20001153-1,Species," <b>Appearance</b>:  appressed <em>pubescent</em>; older branches covered with light to mid-brown, <b>Inflorescence</b>: , <b>Leaf</b>:  above, <b>Leaf</b>:  as a few <em>hairs</em> in the nerve axils; bacterial nodules dot-like, <em>pubescent</em>; secondary and tertiary branches present or suppressed, sparsely <em>pubescent</em> and densely <em>pubescent</em> on nerves",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20001153-1)']
66,20001155-1,Pavetta gurueensis,Pavetta gurueensis,20001155-1,Species," <b>Inflorescence</b>: , <b>Inflorescence</b>:  or very sparsely <em>pubescent</em> outside, <b>Leaf</b>: , glabrous above and sparsely <em>pubescent</em> below; lateral nerves in 10, glabrous or with a few <em>hairs</em>; bracts up to 5, pedicels 1–3 mm long, with silky hairs inside.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20001155-1)']
67,20001157-1,Pavetta vanwykiana,Pavetta vanwykiana,20001157-1,Species," <b>Appearance</b>:  with nodes crowded close together, <b>Inflorescence</b>:  mm long, <b>Leaf</b>:  <em>hairs</em> on nerves beneath, <b>Leaf</b>:  above, <em>pubescent</em> when young, <em>pubescent</em>; secondary and occasionally tertiary, covered, often somewhat bullate; lateral nerves, sparsely <em>pubescent</em> to <em>pubescent</em> with denser spreading",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20001157-1)']
68,20003226-1,Gomphocarpus kaessneri,Gomphocarpus kaessneri,20003226-1,Species," <b>Appearance</b>: -<em>pubescent</em> above, <b>Inflorescence</b>: Peduncles 1–2(–3) cm long, <b>Leaf</b>: , <em>pubescent</em>., coriaceous, subglabrous to sparsely <em>pubescent</em> with soft white hairs, subglabrous to sparsely pubescent with soft white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20003226-1)']
69,20003228-1,Gomphocarpus swynnertonii,Gomphocarpus swynnertonii,20003228-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>:  the subtending leaf, <em>pubescent</em>., or indumentum, with a dense indumentum of spreading white <em>hairs</em>",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20003228-1)']
70,20003229-1,Gomphocarpus munonquensis,Gomphocarpus munonquensis,20003229-1,Species," <b>Appearance</b>:  indumentum of spreading white <em>hairs</em>, <b>Inflorescence</b>: Peduncles 1.5–5 cm long, <b>Leaf</b>: , <em>pubescent</em>., midrib with spreading white <em>hairs</em>, remainder of lamina glabrous.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:20003229-1)']
