,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,Compiled_Sources
467,78181-1,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,Species,,['MPNS']
468,747858-1,Crossopteryx febrifuga,Crossopteryx febrifuga,747858-1,Species,,"['MPNS', 'Manual']"
469,747959-1,Cruciata laevipes,Cruciata laevipes,747959-1,Species,,['MPNS']
470,77211013-1,Crusea simplex,Crusea simplex,77211013-1,Species,,['MPNS']
471,95915-1,Cryptolepis buchananii,Cryptolepis buchananii,95915-1,Species,,['MPNS']
472,77158571-1,Cryptolepis calophylla,Cryptolepis calophylla,77158571-1,Species,,['MPNS']
473,95917-1,Cryptolepis capensis,Cryptolepis capensis,95917-1,Species,,['MPNS']
474,95920-1,Cryptolepis decidua,Cryptolepis decidua,95920-1,Species,,['MPNS']
475,20003286-1,Cryptolepis eburnea,Cryptolepis eburnea,20003286-1,Species,,['MPNS']
476,95929-1,Cryptolepis grandiflora,Cryptolepis grandiflora,95929-1,Species,,['MPNS']
477,77158572-1,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,Species,,"['MPNS', 'Manual']"
478,95943-1,Cryptolepis oblongifolia,Cryptolepis oblongifolia,95943-1,Species,,['MPNS']
479,95951-1,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,Species,,"['MPNS', 'Manual']"
480,95952-1,Cryptolepis sinensis,Cryptolepis sinensis,95952-1,Species,,['MPNS']
481,95962-1,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,Species,,['MPNS']
482,95963-1,Cryptostegia madagascariensis,Cryptostegia madagascariensis,95963-1,Species,,['MPNS']
483,748056-1,Cuviera acutiflora,Cuviera acutiflora,748056-1,Species,,['MPNS']
484,748070-1,Cuviera longiflora,Cuviera longiflora,748070-1,Species,,['MPNS']
485,95981-1,Cynanchum acidum,Cynanchum acidum,95981-1,Species,,['MPNS']
486,95989-1,Cynanchum acutum,Cynanchum acutum,95989-1,Species,,['MPNS']
487,77189771-1,Cynanchum acutum subsp. sibiricum,Cynanchum acutum,95989-1,Subspecies,,['MPNS']
488,95995-1,Cynanchum africanum,Cynanchum africanum,95995-1,Species,,['MPNS']
489,77158550-1,Cynanchum annularium,Cynanchum annularium,77158550-1,Species,,['MPNS']
490,96067-1,Cynanchum boudieri,Cynanchum boudieri,96067-1,Species,,['MPNS']
491,96068-1,Cynanchum boveanum,Cynanchum boveanum,96068-1,Species,,['MPNS']
492,77158551-1,Cynanchum boveanum subsp. nubicum,Cynanchum boveanum,96068-1,Subspecies,,['MPNS']
493,96079-1,Cynanchum bungei,Cynanchum bungei,96079-1,Species,,['MPNS']
494,96083-1,Cynanchum callialatum,Cynanchum callialatum,96083-1,Species,,['MPNS']
495,96106-1,Cynanchum chinense,Cynanchum chinense,96106-1,Species,,['MPNS']
496,96123-1,Cynanchum corymbosum,Cynanchum corymbosum,96123-1,Species,,['MPNS']
497,96145-1,Cynanchum decipiens,Cynanchum decipiens,96145-1,Species,,['MPNS']
498,96174-1,Cynanchum ellipticum,Cynanchum ellipticum,96174-1,Species,,['MPNS']
499,77158552-1,Cynanchum ethiopicum,Cynanchum ethiopicum,77158552-1,Species,,['MPNS']
500,962431-1,Cynanchum gerrardi,Cynanchum gerrardi,962431-1,Species,,['MPNS']
501,77158555-1,Cynanchum graphistemmatoides,Cynanchum graphistemmatoides,77158555-1,Species,,['MPNS']
502,77158556-1,Cynanchum hemsleyanum,Cynanchum hemsleyanum,77158556-1,Species,,['MPNS']
503,96255-1,Cynanchum heydei,Cynanchum heydei,96255-1,Species,,['MPNS']
504,77158558-1,Cynanchum insipidum,Cynanchum insipidum,77158558-1,Species,,['MPNS']
505,96387-1,Cynanchum maximoviczii,Cynanchum maximoviczii,96387-1,Species,,['MPNS']
506,74165-2,Cynanchum montevidense,Cynanchum montevidense,74165-2,Species,,['MPNS']
507,96449-1,Cynanchum obtusifolium,Cynanchum obtusifolium,96449-1,Species,,['MPNS']
508,96453-1,Cynanchum officinale,Cynanchum officinale,96453-1,Species,,['MPNS']
509,96457-1,Cynanchum orangeanum,Cynanchum orangeanum,96457-1,Species,,['MPNS']
510,96460-1,Cynanchum otophyllum,Cynanchum otophyllum,96460-1,Species,,['MPNS']
511,96461-1,Cynanchum ovalifolium,Cynanchum ovalifolium,96461-1,Species,,['MPNS']
512,77158564-1,Cynanchum rostellatum,Cynanchum rostellatum,77158564-1,Species,,['MPNS']
513,77120425-1,Cynanchum sarcomedium,Cynanchum sarcomedium,77120425-1,Species,,['MPNS']
514,96593-1,Cynanchum somaliense,Cynanchum somaliense,96593-1,Species,,['MPNS']
515,96650-1,Cynanchum tunicatum,Cynanchum tunicatum,96650-1,Species,,['MPNS']
516,77120427-1,Cynanchum viminale,Cynanchum viminale,77120427-1,Species,,['MPNS']
517,77120428-1,Cynanchum viminale subsp. australe,Cynanchum viminale,77120427-1,Subspecies,,['MPNS']
518,77120429-1,Cynanchum viminale subsp. brunonianum,Cynanchum viminale,77120427-1,Subspecies,,['MPNS']
519,77095648-1,Cynanchum viminale subsp. odontolepis,Cynanchum viminale,77120427-1,Subspecies,,['MPNS']
520,77120431-1,Cynanchum viminale subsp. stocksii,Cynanchum viminale,77120427-1,Subspecies,,['MPNS']
521,96692-1,Cynanchum wallichii,Cynanchum wallichii,96692-1,Species,,['MPNS']
522,96697-1,Cynanchum wilfordii,Cynanchum wilfordii,96697-1,Species,,['MPNS']
523,748105-1,Damnacanthus giganteus,Damnacanthus giganteus,748105-1,Species,,['MPNS']
524,748107-1,Damnacanthus indicus,Damnacanthus indicus,748107-1,Species,,['MPNS']
525,748144-1,Danais fragrans,Danais fragrans,748144-1,Species,,"['MPNS', 'Manual']"
526,77147274-1,Debia ovatifolia,Debia ovatifolia,77147274-1,Species,,['MPNS']
527,998076-1,Decalepis arayalpathra,Decalepis arayalpathra,998076-1,Species,,['MPNS']
528,96807-1,Decalepis hamiltonii,Decalepis hamiltonii,96807-1,Species,,['MPNS']
529,77158677-1,Decalepis khasiana,Decalepis khasiana,77158677-1,Species,,['MPNS']
530,20003287-1,Decalepis salicifolia,Decalepis salicifolia,20003287-1,Species,,['MPNS']
531,912373-1,Deccania pubescens,Deccania pubescens,912373-1,Species,,['MPNS']
532,922044-1,Deccania pubescens var. candolleana,Deccania pubescens,912373-1,Variety,,['MPNS']
533,748287-1,Dentella repens,Dentella repens,748287-1,Species,,['MPNS']
534,20009961-1,Desmidorchis arabica,Desmidorchis arabica,20009961-1,Species,,['MPNS']
535,96815-1,Desmidorchis aucheriana,Desmidorchis aucheriana,96815-1,Species,,['MPNS']
536,986779-1,Desmidorchis penicillata,Desmidorchis penicillata,986779-1,Species,,['MPNS']
537,96827-1,Desmidorchis retrospiciens,Desmidorchis retrospiciens,96827-1,Species,,['MPNS']
538,986780-1,Desmidorchis somalica,Desmidorchis somalica,986780-1,Species,,['MPNS']
539,986781-1,Desmidorchis speciosa,Desmidorchis speciosa,986781-1,Species,,['MPNS']
540,78220-1,Dictyophleba leonensis,Dictyophleba leonensis,78220-1,Species,,['MPNS']
541,78221-1,Dictyophleba lucida,Dictyophleba lucida,78221-1,Species,,['MPNS']
542,748339-1,Didymaea mexicana,Didymaea mexicana,748339-1,Species,,['MPNS']
543,748346-1,Didymosalpinx abbeokutae,Didymosalpinx abbeokutae,748346-1,Species,,['MPNS']
544,77147275-1,Dimetia ampliflora,Dimetia ampliflora,77147275-1,Species,,['MPNS']
545,77147276-1,Dimetia capitellata,Dimetia capitellata,77147276-1,Species,,['MPNS']
546,77212575-1,Dimetia hedyotidea,Dimetia hedyotidea,77212575-1,Species,,['MPNS']
547,77127922-1,Dimetia scandens,Dimetia scandens,77127922-1,Species,,['MPNS']
548,748449-1,Diodia rubricosa,Diodia rubricosa,748449-1,Species,,['MPNS']
549,80624-2,Dioicodendron dioicum,Dioicodendron dioicum,80624-2,Species,,"['MPNS', 'Manual']"
550,78310-1,Diplorhynchus condylocarpon,Diplorhynchus condylocarpon,78310-1,Species,,"['MPNS', 'Manual']"
551,748497-1,Diplospora dubia,Diplospora dubia,748497-1,Species,,['MPNS']
552,748498-1,Diplospora erythrospora,Diplospora erythrospora,748498-1,Species,,['MPNS']
553,78319-1,Dischidanthus urceolatus,Dischidanthus urceolatus,78319-1,Species,,['MPNS']
554,96884-1,Dischidia acuminata,Dischidia acuminata,96884-1,Species,,['MPNS']
555,96898-1,Dischidia australis,Dischidia australis,96898-1,Species,,['MPNS']
556,96902-1,Dischidia bengalensis,Dischidia bengalensis,96902-1,Species,,['MPNS']
557,96908-1,Dischidia chinensis,Dischidia chinensis,96908-1,Species,,['MPNS']
558,96914-1,Dischidia collyris,Dischidia collyris,96914-1,Species,,['MPNS']
559,96955-1,Dischidia imbricata,Dischidia imbricata,96955-1,Species,,['MPNS']
560,96981-1,Dischidia major,Dischidia major,96981-1,Species,,['MPNS']
561,96997-1,Dischidia nummularia,Dischidia nummularia,96997-1,Species,,['MPNS']
562,97013-1,Dischidia platyphylla,Dischidia platyphylla,97013-1,Species,,['MPNS']
563,97017-1,Dischidia puberula,Dischidia puberula,97017-1,Species,,['MPNS']
564,97025-1,Dischidia purpurea,Dischidia purpurea,97025-1,Species,,['MPNS']
565,97064-1,Dischidia tonkinensis,Dischidia tonkinensis,97064-1,Species,,['MPNS']
566,60474364-2,Dischidia vidalii,Dischidia vidalii,60474364-2,Species,,['MPNS']
567,962659-1,Discospermum abnorme,Discospermum abnorme,962659-1,Species,,['MPNS']
568,748560-1,Discospermum javanicum,Discospermum javanicum,748560-1,Species,,['MPNS']
569,748565-1,Discospermum sphaerocarpum,Discospermum sphaerocarpum,748565-1,Species,,['MPNS']
570,748568-1,Diyaminauclea zeylanica,Diyaminauclea zeylanica,748568-1,Species,,['MPNS']
571,748585-1,Dolicholobium oblongifolium,Dolicholobium oblongifolium,748585-1,Species,,['MPNS']
572,77086220-1,Dolichopentas decora,Dolichopentas decora,77086220-1,Species,,['MPNS']
573,77086225-1,Dolichopentas longiflora,Dolichopentas longiflora,77086225-1,Species,,"['MPNS', 'Manual']"
574,97222-1,Dolichopetalum kwangsiense,Dolichopetalum kwangsiense,97222-1,Species,,['MPNS']
575,97241-1,Dregea sinensis,Dregea sinensis,97241-1,Species,,['MPNS']
576,874569-1,Dregea sinensis var. corrugata,Dregea sinensis,97241-1,Variety,,['MPNS']
577,77172876-1,Dregea sinensis var. sinensis,Dregea sinensis,97241-1,Variety,,['MPNS']
578,97245-1,Dregea yunnanensis,Dregea yunnanensis,97245-1,Species,,['MPNS']
579,748660-1,Duroia eriopila,Duroia eriopila,748660-1,Species,,['MPNS']
580,86133-2,Duroia genipoides,Duroia genipoides,86133-2,Species,,['MPNS']
581,86137-2,Duroia kotchubioides,Duroia kotchubioides,86137-2,Species,,['MPNS']
582,86152-2,Duroia petiolaris,Duroia petiolaris,86152-2,Species,,['MPNS']
583,60467403-2,Duroia saccifera,Duroia saccifera,60467403-2,Species,,['MPNS']
584,97271-1,Duvalia polita,Duvalia polita,97271-1,Species,,['MPNS']
585,78323-1,Dyera costulata,Dyera costulata,78323-1,Species,,['MPNS']
586,78326-1,Dyera polyphylla,Dyera polyphylla,78326-1,Species,,['MPNS']
587,88698-2,Echites panduratus,Echites panduratus,88698-2,Species,,['MPNS']
588,78821-1,Echites umbellatus,Echites umbellatus,78821-1,Species,,['MPNS']
589,88958-2,Elaeagia karstenii,Elaeagia karstenii,88958-2,Species,,['MPNS']
590,78855-1,Elytropus chilensis,Elytropus chilensis,78855-1,Species,,['MPNS']
591,748742-1,Emmenopterys henryi,Emmenopterys henryi,748742-1,Species,,['MPNS']
592,77101480-1,Empogona cacondensis,Empogona cacondensis,77101480-1,Species,,['MPNS']
593,77101464-1,Empogona lanceolata,Empogona lanceolata,77101464-1,Species,,['MPNS']
594,77101469-1,Empogona ovalifolia,Empogona ovalifolia,77101469-1,Species,,['MPNS']
595,77101472-1,Empogona ovalifolia var. taylorii,Empogona ovalifolia,77101469-1,Variety,,['MPNS']
596,77101475-1,Empogona welwitschii,Empogona welwitschii,77101475-1,Species,,['MPNS']
597,977405-1,Epigynum cochinchinensis,Epigynum cochinchinensis,977405-1,Species,,['MPNS']
598,315444-2,Erithalis fruticosa,Erithalis fruticosa,315444-2,Species,,['MPNS']
599,748814-1,Ernodea littoralis,Ernodea littoralis,748814-1,Species,,['MPNS']
600,748828-1,Euclinia longiflora,Euclinia longiflora,748828-1,Species,,['MPNS']
601,77164463-1,Eumachia archboldiana,Eumachia archboldiana,77164463-1,Species,,['MPNS']
602,77195623-1,Eumachia extensa,Eumachia extensa,77195623-1,Species,,['MPNS']
603,77164469-1,Eumachia forsteriana,Eumachia forsteriana,77164469-1,Species,,['MPNS']
604,77164477-1,Eumachia leptothyrsa,Eumachia leptothyrsa,77164477-1,Species,,['MPNS']
605,77164481-1,Eumachia leptothyrsa var. longicarpa,Eumachia leptothyrsa,77164477-1,Variety,,['MPNS']
606,77154321-1,Eumachia microdon,Eumachia microdon,77154321-1,Species,,['MPNS']
607,77195624-1,Eumachia montana,Eumachia montana,77195624-1,Species,,['MPNS']
608,77164426-1,Eumachia oddonii,Eumachia oddonii,77164426-1,Species,,['MPNS']
609,77164490-1,Eumachia oncocarpa,Eumachia oncocarpa,77164490-1,Species,,['MPNS']
610,77195625-1,Eumachia rostrata,Eumachia rostrata,77195625-1,Species,,['MPNS']
611,748862-1,Exallage auricularia,Exallage auricularia,748862-1,Species,,['MPNS']
612,77190031-1,Exallage auricularia subsp. venosa,Exallage auricularia,748862-1,Subspecies,,['MPNS']
613,77147284-1,Exallage chrysotricha,Exallage chrysotricha,77147284-1,Species,,['MPNS']
614,77203407-1,Exallage cristata,Exallage cristata,77203407-1,Species,,['MPNS']
615,77147286-1,Exallage insularis,Exallage insularis,77147286-1,Species,,['MPNS']
616,77147287-1,Exallage lapeyrousei,Exallage lapeyrousei,77147287-1,Species,,['MPNS']
617,748876-1,Exallage paradoxa,Exallage paradoxa,748876-1,Species,,['MPNS']
618,748884-1,Exallage ulmifolia,Exallage ulmifolia,748884-1,Species,,['MPNS']
619,1125915-2,Exostema caribaeum,Exostema caribaeum,1125915-2,Species,,"['MPNS', 'Manual']"
620,748950-1,Fadogia ancylantha,Fadogia ancylantha,748950-1,Species,,['MPNS']
621,748960-1,Fadogia cienkowskii,Fadogia cienkowskii,748960-1,Species,,"['MPNS', 'Manual']"
622,77168410-1,Fadogia cienkowskii var. cienkowskii,Fadogia cienkowskii,748960-1,Variety,,['MPNS']
623,77168417-1,Fadogia elskensii var. elskensii,Fadogia elskensii,748967-1,Variety,,['MPNS']
624,748968-1,Fadogia erythrophloea,Fadogia erythrophloea,748968-1,Species,,['MPNS']
625,748973-1,Fadogia glaberrima,Fadogia glaberrima,748973-1,Species,,['MPNS']
626,748979-1,Fadogia homblei,Fadogia homblei,748979-1,Species,,['MPNS']
627,749002-1,Fadogia pobeguinii,Fadogia pobeguinii,749002-1,Species,,['MPNS']
628,749015-1,Fadogia tetraquetra,Fadogia tetraquetra,749015-1,Species,,['MPNS']
629,919913-1,Fadogia tetraquetra var. grandiflora,Fadogia tetraquetra,749015-1,Variety,,['MPNS']
630,1187456-2,Faramea occidentalis,Faramea occidentalis,1187456-2,Species,,['MPNS']
631,103549-2,Ferdinandusa chlorantha,Ferdinandusa chlorantha,103549-2,Species,,['MPNS']
632,749319-1,Ferdinandusa rudgeoides,Ferdinandusa rudgeoides,749319-1,Species,,"['MPNS', 'Manual']"
633,749328-1,Feretia apodanthera,Feretia apodanthera,749328-1,Species,,"['MPNS', 'Manual']"
634,77168418-1,Feretia apodanthera subsp. apodanthera,Feretia apodanthera,749328-1,Subspecies,,['MPNS']
635,890259-1,Feretia apodanthera subsp. tanzaniensis,Feretia apodanthera,749328-1,Subspecies,,['MPNS']
636,97395-1,Finlaysonia obovata,Finlaysonia obovata,97395-1,Species,,['MPNS']
637,1004792-1,Fockea angustifolia,Fockea angustifolia,1004792-1,Species,,['MPNS']
638,97445-1,Fockea multiflora,Fockea multiflora,97445-1,Species,,['MPNS']
639,79049-1,Forsteronia glabrescens,Forsteronia glabrescens,79049-1,Species,,['MPNS']
640,106366-2,Funastrum clausum,Funastrum clausum,106366-2,Species,,['MPNS']
641,106371-2,Funastrum cynanchoides,Funastrum cynanchoides,106371-2,Species,,['MPNS']
642,106379-2,Funastrum flavum,Funastrum flavum,106379-2,Species,,['MPNS']
643,106382-2,Funastrum glaucum,Funastrum glaucum,106382-2,Species,,['MPNS']
644,106384-2,Funastrum gracile,Funastrum gracile,106384-2,Species,,['MPNS']
645,106386-2,Funastrum heterophyllum,Funastrum heterophyllum,106386-2,Species,,['MPNS']
646,79098-1,Funtumia africana,Funtumia africana,79098-1,Species,,"['MPNS', 'Manual']"
647,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,,"['MPNS', 'Manual']"
648,749370-1,Gaertnera cooperi,Gaertnera cooperi,749370-1,Species,,['MPNS']
649,749388-1,Gaertnera liberiensis,Gaertnera liberiensis,749388-1,Species,,['MPNS']
650,546305-1,Gaertnera paniculata,Gaertnera paniculata,546305-1,Species,,['MPNS']
651,546312-1,Gaertnera psychotrioides,Gaertnera psychotrioides,546312-1,Species,,['MPNS']
652,749411-1,Gaertnera vaginans,Gaertnera vaginans,749411-1,Species,,['MPNS']
653,999398-1,Galianthe brasiliensis,Galianthe brasiliensis,999398-1,Species,,['MPNS']
654,963747-1,Galianthe centranthoides,Galianthe centranthoides,963747-1,Species,,['MPNS']
655,963754-1,Galianthe eupatorioides,Galianthe eupatorioides,963754-1,Species,,['MPNS']
656,749462-1,Galium acutum,Galium acutum,749462-1,Species,,['MPNS']
657,749481-1,Galium album,Galium album,749481-1,Species,,['MPNS']
658,749517-1,Galium aparinoides,Galium aparinoides,749517-1,Species,,['MPNS']
659,749552-1,Galium asperifolium,Galium asperifolium,749552-1,Species,,['MPNS']
660,749561-1,Galium asprellum,Galium asprellum,749561-1,Species,,['MPNS']
661,749611-1,Galium bigeminum,Galium bigeminum,749611-1,Species,,['MPNS']
662,749626-1,Galium boreale,Galium boreale,749626-1,Species,,['MPNS']
663,749661-1,Galium bungei,Galium bungei,749661-1,Species,,['MPNS']
664,890286-1,Galium capense subsp. garipense,Galium capense,749677-1,Subspecies,,['MPNS']
665,749731-1,Galium circaezans,Galium circaezans,749731-1,Species,,['MPNS']
666,749751-1,Galium concinnum,Galium concinnum,749751-1,Species,,['MPNS']
667,749853-1,Galium elegans,Galium elegans,749853-1,Species,,['MPNS']
668,107022-2,Galium eriocarpum,Galium eriocarpum,107022-2,Species,,['MPNS']
669,749883-1,Galium fendleri,Galium fendleri,749883-1,Species,,['MPNS']
670,749951-1,Galium glandulosum,Galium glandulosum,749951-1,Species,,['MPNS']
671,750013-1,Galium hirtiflorum,Galium hirtiflorum,750013-1,Species,,['MPNS']
672,750014-1,Galium hirtum,Galium hirtum,750014-1,Species,,['MPNS']
673,77168448-1,Galium hypocarpium subsp. hypocarpium,Galium hypocarpium,750043-1,Subspecies,,['MPNS']
674,750082-1,Galium × jarynae,Galium × jarynae,750082-1,Species,,['MPNS']
675,750150-1,Galium latoramosum,Galium latoramosum,750150-1,Species,,['MPNS']
676,107094-2,Galium lilloi,Galium lilloi,107094-2,Species,,['MPNS']
677,750253-1,Galium mollugo,Galium mollugo,750253-1,Species,,['MPNS']
678,890317-1,Galium mucroniferum var. dregeanum,Galium mucroniferum,750272-1,Variety,,['MPNS']
679,750339-1,Galium odoratum,Galium odoratum,750339-1,Species,,['MPNS']
680,750370-1,Galium palustre,Galium palustre,750370-1,Species,,['MPNS']
681,750541-1,Galium rivale,Galium rivale,750541-1,Species,,['MPNS']
682,750546-1,Galium rotundifolium,Galium rotundifolium,750546-1,Species,,['MPNS']
683,750553-1,Galium rubioides,Galium rubioides,750553-1,Species,,['MPNS']
684,750642-1,Galium simense,Galium simense,750642-1,Species,,['MPNS']
685,750665-1,Galium spurium,Galium spurium,750665-1,Species,,['MPNS']
686,890332-1,Galium spurium subsp. africanum,Galium spurium,750665-1,Subspecies,,['MPNS']
687,750747-1,Galium tomentosum,Galium tomentosum,750747-1,Species,,['MPNS']
688,750768-1,Galium trifidum,Galium trifidum,750768-1,Species,,['MPNS']
689,750771-1,Galium triflorum,Galium triflorum,750771-1,Species,,['MPNS']
690,750800-1,Galium uniflorum,Galium uniflorum,750800-1,Species,,['MPNS']
691,750829-1,Galium verum,Galium verum,750829-1,Species,,['MPNS']
692,750896-1,Gardenia angkorensis,Gardenia angkorensis,750896-1,Species,,['MPNS']
693,750904-1,Gardenia aqualla,Gardenia aqualla,750904-1,Species,,"['MPNS', 'Manual']"
694,750915-1,Gardenia aubryi,Gardenia aubryi,750915-1,Species,,['MPNS']
695,750929-1,Gardenia brachythamnus,Gardenia brachythamnus,750929-1,Species,,['MPNS']
696,750939-1,Gardenia cambodiana,Gardenia cambodiana,750939-1,Species,,['MPNS']
697,750968-1,Gardenia cornuta,Gardenia cornuta,750968-1,Species,,['MPNS']
698,750969-1,Gardenia coronaria,Gardenia coronaria,750969-1,Species,,['MPNS']
699,902085-1,Gardenia crameri,Gardenia crameri,902085-1,Species,,['MPNS']
700,751008-1,Gardenia erubescens,Gardenia erubescens,751008-1,Species,,"['MPNS', 'Manual']"
701,902086-1,Gardenia fosbergii,Gardenia fosbergii,902086-1,Species,,['MPNS']
702,751047-1,Gardenia gummifera,Gardenia gummifera,751047-1,Species,,['MPNS']
703,751061-1,Gardenia imperialis,Gardenia imperialis,751061-1,Species,,['MPNS']
704,751073-1,Gardenia jasminoides,Gardenia jasminoides,751073-1,Species,,['MPNS']
705,751091-1,Gardenia latifolia,Gardenia latifolia,751091-1,Species,,['MPNS']
706,751128-1,Gardenia megasperma,Gardenia megasperma,751128-1,Species,,['MPNS']
707,751152-1,Gardenia nitida,Gardenia nitida,751152-1,Species,,['MPNS']
708,751162-1,Gardenia obtusifolia,Gardenia obtusifolia,751162-1,Species,,['MPNS']
709,77176829-1,Gardenia oudiepe,Gardenia oudiepe,77176829-1,Species,,['MPNS']
710,751215-1,Gardenia resinifera,Gardenia resinifera,751215-1,Species,,['MPNS']
711,751217-1,Gardenia resiniflua,Gardenia resiniflua,751217-1,Species,,['MPNS']
712,77168491-1,Gardenia resiniflua subsp. resiniflua,Gardenia resiniflua,751217-1,Subspecies,,['MPNS']
713,751250-1,Gardenia sokotensis,Gardenia sokotensis,751250-1,Species,,"['MPNS', 'Manual']"
714,751266-1,Gardenia stenophylla,Gardenia stenophylla,751266-1,Species,,['MPNS']
715,751271-1,Gardenia storckii,Gardenia storckii,751271-1,Species,,['MPNS']
716,751281-1,Gardenia taitensis,Gardenia taitensis,751281-1,Species,,['MPNS']
717,751285-1,Gardenia ternifolia,Gardenia ternifolia,751285-1,Species,,"['MPNS', 'Manual']"
718,890351-1,Gardenia ternifolia subsp. jovis-tonantis,Gardenia ternifolia,751285-1,Subspecies,,"['MPNS', 'Manual']"
719,890350-1,Gardenia ternifolia var. goetzei,Gardenia ternifolia,751285-1,Variety,,['MPNS']
720,751303-1,Gardenia tubifera,Gardenia tubifera,751303-1,Species,,['MPNS']
721,77168488-1,Gardenia tubifera var. tubifera,Gardenia tubifera,751303-1,Variety,,['MPNS']
722,751312-1,Gardenia urvillei,Gardenia urvillei,751312-1,Species,,['MPNS']
723,751322-1,Gardenia vogelii,Gardenia vogelii,751322-1,Species,,['MPNS']
724,751323-1,Gardenia volkensii,Gardenia volkensii,751323-1,Species,,['MPNS']
725,890353-1,Gardenia volkensii subsp. spathulifolia,Gardenia volkensii,751323-1,Subspecies,,['MPNS']
726,108063-2,Geissospermum argenteum,Geissospermum argenteum,108063-2,Species,,"['MPNS', 'Manual']"
727,79123-1,Geissospermum laeve,Geissospermum laeve,79123-1,Species,,"['MPNS', 'Manual']"
728,277356-2,Geissospermum reticulatum,Geissospermum reticulatum,277356-2,Species,,"['MPNS', 'Manual']"
729,1006780-1,Geissospermum sericeum,Geissospermum sericeum,1006780-1,Species,,"['MPNS', 'Manual']"
730,277357-2,Geissospermum urceolatum,Geissospermum urceolatum,277357-2,Species,,"['MPNS', 'Manual']"
731,77190782-1,Genianthus micranthus,Genianthus micranthus,77190782-1,Species,,['MPNS']
732,751331-1,Genipa americana,Genipa americana,751331-1,Species,,"['MPNS', 'Manual']"
733,108120-2,Genipa spruceana,Genipa spruceana,108120-2,Species,,['MPNS']
734,751414-1,Geophila afzelii,Geophila afzelii,751414-1,Species,,['MPNS']
735,1211972-2,Geophila herbacea,Geophila herbacea,1211972-2,Species,,['MPNS']
736,751436-1,Geophila humifusa,Geophila humifusa,751436-1,Species,,['MPNS']
737,751448-1,Geophila melanocarpa,Geophila melanocarpa,751448-1,Species,,['MPNS']
738,751452-1,Geophila obvallata,Geophila obvallata,751452-1,Species,,"['MPNS', 'Manual']"
739,751456-1,Geophila pilosa,Geophila pilosa,751456-1,Species,,['MPNS']
740,751460-1,Geophila renaris,Geophila renaris,751460-1,Species,,['MPNS']
741,988311-1,Gomphocarpus cancellatus,Gomphocarpus cancellatus,988311-1,Species,,['MPNS']
742,97604-1,Gomphocarpus filiformis,Gomphocarpus filiformis,97604-1,Species,,['MPNS']
743,20003123-1,Gomphocarpus fruticosus subsp. decipiens,Gomphocarpus fruticosus,97610-1,Subspecies,,['MPNS']
744,77172645-1,Gomphocarpus fruticosus subsp. fruticosus,Gomphocarpus fruticosus,97610-1,Subspecies,,['MPNS']
745,97617-1,Gomphocarpus glaucophyllus,Gomphocarpus glaucophyllus,97617-1,Species,,['MPNS']
746,97627-1,Gomphocarpus integer,Gomphocarpus integer,97627-1,Species,,['MPNS']
747,97670-1,Gomphocarpus physocarpus,Gomphocarpus physocarpus,97670-1,Species,,['MPNS']
748,97673-1,Gomphocarpus purpurascens,Gomphocarpus purpurascens,97673-1,Species,,['MPNS']
749,97692-1,Gomphocarpus semilunatus,Gomphocarpus semilunatus,97692-1,Species,,"['MPNS', 'Manual']"
750,97698-1,Gomphocarpus sinaicus,Gomphocarpus sinaicus,97698-1,Species,,['MPNS']
751,97703-1,Gomphocarpus stenophyllus,Gomphocarpus stenophyllus,97703-1,Species,,['MPNS']
752,97711-1,Gomphocarpus tomentosus,Gomphocarpus tomentosus,97711-1,Species,,['MPNS']
753,77173493-1,Gomphocarpus tomentosus subsp. tomentosus,Gomphocarpus tomentosus,97711-1,Subspecies,,['MPNS']
754,97744-1,Gongronema napalense,Gongronema napalense,97744-1,Species,,['MPNS']
755,79133-1,Gonioma kamassi,Gonioma kamassi,79133-1,Species,,['MPNS']
756,112360-2,Gonolobus erianthus,Gonolobus erianthus,112360-2,Species,,['MPNS']
757,97945-1,Gonolobus parviflorus,Gonolobus parviflorus,97945-1,Species,,['MPNS']
758,112495-2,Gonzalagunia cornifolia,Gonzalagunia cornifolia,112495-2,Species,,['MPNS']
759,112531-2,Gonzalagunia rudis,Gonzalagunia rudis,112531-2,Species,,['MPNS']
760,20008159-1,Greenea corymbosa,Greenea corymbosa,20008159-1,Species,,['MPNS']
761,751850-1,Guettarda angelica,Guettarda angelica,751850-1,Species,,"['MPNS', 'Manual']"
762,114501-2,Guettarda combsii,Guettarda combsii,114501-2,Species,,['MPNS']
763,114528-2,Guettarda elliptica,Guettarda elliptica,114528-2,Species,,['MPNS']
764,752026-1,Guettarda platypoda,Guettarda platypoda,752026-1,Species,,['MPNS']
765,752046-1,Guettarda rhabdocalyx,Guettarda rhabdocalyx,752046-1,Species,,['MPNS']
766,752069-1,Guettarda speciosa,Guettarda speciosa,752069-1,Species,,"['MPNS', 'Manual']"
767,752114-1,Guettardella chinensis,Guettardella chinensis,752114-1,Species,,['MPNS']
