,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Sources
100,946571-1,Vincetoxicum spirale,Vincetoxicum spirale,946571-1,Species,,:Manual:
101,946561-1,Vincetoxicum stauntonii,Vincetoxicum stauntonii,946561-1,Species,,:Manual:
102,103002-1,Vincetoxicum sublanceolatum,Vincetoxicum sublanceolatum,103002-1,Species,,:Manual:
103,946568-1,Vincetoxicum taihangense,Vincetoxicum taihangense,946568-1,Species,,:Manual:
104,103057-1,Wattakaka lanceolata,Wattakaka lanceolata,103057-1,Species,,:Manual:
105,103061-1,Wattakaka volubilis,Wattakaka volubilis,103061-1,Species,,:Manual:
106,82890-1,Wrightia tinctoria,Wrightia tinctoria,82890-1,Species,,:Manual:
107,930436-1,Anthospermum perrieri,Anthospermum perrieri,930436-1,Species,,:Manual:
108,56650-2,Chione venosa,Chione venosa,56650-2,Species,"""['beta-Sitosterol']""",:Manual:KNApSAcK
109,747038-1,Coffea arabica,Coffea arabica,747038-1,Species,,:Manual:
110,1010049-2,Condaminea corymbosa,Condaminea corymbosa,1010049-2,Species,,:Manual:
111,747553-1,Coptosapelta tomentosa,Coptosapelta tomentosa,747553-1,Species,,:Manual:
112,20009937-1,Coptosperma graveolens,Coptosperma graveolens,20009937-1,Species,,:Manual:
113,65657-2,Cordiera sessilis,Cordiera sessilis,65657-2,Species,,:Manual:
114,747599-1,Corynanthe johimbe,Corynanthe johimbe,747599-1,Species,,:Manual:
115,747604-1,Corynanthe pachyceras,Corynanthe pachyceras,747604-1,Species,,:Manual:
116,66725-2,Cosmibuena grandiflora,Cosmibuena grandiflora,66725-2,Species,,:Manual:
117,964800-1,Cosmibuena valerii,Cosmibuena valerii,964800-1,Species,,:Manual:
118,747706-1,Coussarea macrophylla,Coussarea macrophylla,747706-1,Species,,:Manual:
119,77211683-1,Coussarea suaveolens,Coussarea suaveolens,77211683-1,Species,,:Manual:
120,67491-2,Coutarea hexandra,Coutarea hexandra,67491-2,Species,,:Manual:
121,747810-1,Craterispermum laurinum,Craterispermum laurinum,747810-1,Species,,:Manual:
122,756718-1,Mussaenda macrophylla,Mussaenda macrophylla,756718-1,Species,"""['beta-Sitosterol']""",:Manual:KNApSAcK
123,756781-1,Mussaenda pubescens,Mussaenda pubescens,756781-1,Species,"""['Stigmasterol']""",:Manual:KNApSAcK
124,328917-2,Myrmecodia pendens,Myrmecodia pendens,328917-2,Species,,:Manual:
125,758800-1,Oxyanthus pallidus,Oxyanthus pallidus,758800-1,Species,,:Manual:
126,758897-1,Paederia foetida,Paederia foetida,758897-1,Species,"""['Stigmasterol', 'beta-Sitosterol', 'Campesterol']""",:Manual:KNApSAcK
127,760275-1,Pentas lanceolata,Pentas lanceolata,760275-1,Species,,:Manual:
128,761131-1,Prismatomeris fragrans,Prismatomeris fragrans,761131-1,Species,,:Manual:
129,764663-1,Richardia grandiflora,Richardia grandiflora,764663-1,Species,,:Manual:
130,766327-1,Serissa japonica,Serissa japonica,766327-1,Species,,:Manual:
131,77209436-1,Simira alba,Simira alba,77209436-1,Species,,:Manual:
132,20010093-1,Solenandra mexicana,Solenandra mexicana,20010093-1,Species,,:Manual:
133,767116-1,Stenostomum acutatum,Stenostomum acutatum,767116-1,Species,,:Manual:
134,767228-1,Strumpfia maritima,Strumpfia maritima,767228-1,Species,,:Manual:
135,767477-1,Tarenna gracilipes,Tarenna gracilipes,767477-1,Species,,:Manual:
136,767550-1,Tarenna obtusifolia,Tarenna obtusifolia,767550-1,Species,,:Manual:
137,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,"""['Stigmasterol']""",::KNApSAcK
138,77279-1,Apocynum venetum,Apocynum venetum,77279-1,Species,"""['Strophanthidin']""",::KNApSAcK
139,94258-1,Asclepias eriocarpa,Asclepias eriocarpa,94258-1,Species,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",::KNApSAcK
140,21220-2,Asclepias labriformis,Asclepias labriformis,21220-2,Species,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",::KNApSAcK
141,94654-1,Asclepias speciosa,Asclepias speciosa,94654-1,Species,"""['Aspecioside']""",::KNApSAcK
142,95173-1,Calotropis gigantea,Calotropis gigantea,95173-1,Species,"""['Calactin', 'Calotropin']""",::KNApSAcK
143,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species,"""['Calactin', 'Calotropin', 'Uscharidin']""",::KNApSAcK
144,77893-1,Cerbera floribunda,Cerbera floribunda,77893-1,Species,"""['Cerbertin']""",::KNApSAcK
145,77906-1,Cerbera manghas,Cerbera manghas,77906-1,Species,"""['Cerberin']""",::KNApSAcK
146,77913-1,Cerbera odollam,Cerbera odollam,77913-1,Species,"""['Thevetin A']""",::KNApSAcK
147,95962-1,Cryptostegia grandiflora,Cryptostegia grandiflora,95962-1,Species,"""['Digitalin']""",::KNApSAcK
148,100411-1,Pergularia tomentosa,Pergularia tomentosa,100411-1,Species,"""['Calactin']""",::KNApSAcK
149,100428-1,Periploca aphylla,Periploca aphylla,100428-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
150,81877-1,Strophanthus divaricatus,Strophanthus divaricatus,81877-1,Species,"""['Decoside', 'Divaricoside', 'Divostroside', 'Lokundjoside', 'Musaroside', 'Sarmentoloside']""",::KNApSAcK
151,81895-1,Strophanthus gratus,Strophanthus gratus,81895-1,Species,"""['Ouabain']""",::KNApSAcK
152,81909-1,Strophanthus kombe,Strophanthus kombe,81909-1,Species,"""['Strophanthidin', 'Musaroside', 'Cymarin']""",::KNApSAcK
153,81945-1,Strophanthus sarmentosus,Strophanthus sarmentosus,81945-1,Species,"""['Sarmentoloside', 'Bipindoside']""",::KNApSAcK
154,81960-1,Strophanthus thollonii,Strophanthus thollonii,81960-1,Species,"""['Bipindoside']""",::KNApSAcK
155,82043-1,Tabernaemontana catharinensis,Tabernaemontana catharinensis,82043-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
156,742927-1,Adina pilulifera,Adina pilulifera,742927-1,Species,"""['Stigmasterol']""",::KNApSAcK
157,747068-1,Coffea canephora,Coffea canephora,747068-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
158,77092347-1,Coffea charrieriana,Coffea charrieriana,77092347-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
159,747081-1,Coffea congensis,Coffea congensis,747081-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
160,747109-1,Coffea eugenioides,Coffea eugenioides,747109-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
161,747136-1,Coffea humblotiana,Coffea humblotiana,747136-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
162,747137-1,Coffea humilis,Coffea humilis,747137-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
163,977414-1,Coffea kapakata,Coffea kapakata,977414-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
164,747169-1,Coffea liberica,Coffea liberica,747169-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
165,899522-1,Coffea pseudozanguebariae,Coffea pseudozanguebariae,899522-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
166,747242-1,Coffea racemosa,Coffea racemosa,747242-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
167,747254-1,Coffea salvatrix,Coffea salvatrix,747254-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
168,930028-1,Coffea sessiliflora,Coffea sessiliflora,930028-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
169,747266-1,Coffea stenophylla,Coffea stenophylla,747266-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
170,747645-1,Coussarea brevicaulis,Coussarea brevicaulis,747645-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
171,754968-1,Lasianthus gardneri,Lasianthus gardneri,754968-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
172,756296-1,Mitragyna inermis,Mitragyna inermis,756296-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
173,756301-1,Mitragyna rotundifolia,Mitragyna rotundifolia,756301-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
174,756303-1,Mitragyna speciosa,Mitragyna speciosa,756303-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
175,756304-1,Mitragyna stipulosa,Mitragyna stipulosa,756304-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
176,756359-1,Morinda citrifolia,Morinda citrifolia,756359-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
177,757181-1,Nauclea orientalis,Nauclea orientalis,757181-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
178,761257-1,Psychotria adenophylla,Psychotria adenophylla,761257-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
179,763361-1,Psychotria serpens,Psychotria serpens,763361-1,Species,"""['Stigmasterol']""",::KNApSAcK
180,765218-1,Rubia cordifolia,Rubia cordifolia,765218-1,Species,"""['beta-Sitosterol']""",::KNApSAcK
181,765383-1,Rubia wallichiana,Rubia wallichiana,765383-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
182,765385-1,Rubia yunnanensis,Rubia yunnanensis,765385-1,Species,"""['Stigmasterol', 'beta-Sitosterol']""",::KNApSAcK
