,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,powo_Snippet,Sources
23,76906-1,Amsonia elliptica,Amsonia elliptica,76906-1,Species,"""['3-Oxotabersonine', 'Tabersonine N-oxide', '(+)-14,15-Dehydro-16-epivincamine']""",,:Manual:KNApSAcK:
24,76931-1,Amsonia tabernaemontana,Amsonia tabernaemontana,76931-1,Species,"""['Tabersonine', '(-)-Eburnamine', 'Vincadine']""",,:Manual:KNApSAcK:
25,77167486-1,Amsonia tomentosa var. tomentosa,Amsonia tomentosa,76934-1,Variety,,,:Manual::
26,93986-1,Anisopus mannii,Anisopus mannii,93986-1,Species,,,:Manual::
27,77061-1,Anodendron affine,Anodendron affine,77061-1,Species,,,:Manual::
28,94041-1,Apteranthes europaea,Apteranthes europaea,94041-1,Species,,,:Manual::
29,94213-1,Asclepias curassavica,Asclepias curassavica,94213-1,Species,,,:Manual::
30,77325-1,Aspidosperma album,Aspidosperma album,77325-1,Species,"""['(+)-Aspidospermidine', '(+)-Fendlerine', 'Alalakine', 'Aspidolimidine', 'Limaspermine', 'N-Acetylaspidospermidine']""",,:Manual:KNApSAcK:
31,21933-2,Aspidosperma auriculatum,Aspidosperma auriculatum,21933-2,Species,,,:Manual::
32,290346-2,Aspidosperma carapanauba,Aspidosperma carapanauba,290346-2,Species,"""['Carapanaubine']""",,:Manual:KNApSAcK:
33,77347-1,Aspidosperma cuspa,Aspidosperma cuspa,77347-1,Species,,,:Manual::
34,21952-2,Aspidosperma cylindrocarpon,Aspidosperma cylindrocarpon,21952-2,Species,"""['Cylindrocarpidine']""",,:Manual:KNApSAcK:
35,77353-1,Aspidosperma desmanthum,Aspidosperma desmanthum,77353-1,Species,,,:Manual::
36,77354-1,Aspidosperma discolor,Aspidosperma discolor,77354-1,Species,"""['Isoreserpiline']""",,:Manual:KNApSAcK:
37,77367-1,Aspidosperma excelsum,Aspidosperma excelsum,77367-1,Species,"""['N-Acetylaspidospermidine', 'Excelsinine', 'O-Acetylyohimbine']""",,:Manual:KNApSAcK:
38,21984-2,Aspidosperma illustre,Aspidosperma illustre,21984-2,Species,,,:Manual::
39,77400-1,Aspidosperma macrocarpon,Aspidosperma macrocarpon,77400-1,Species,,,:Manual::
40,77405-1,Aspidosperma megalocarpon,Aspidosperma megalocarpon,77405-1,Species,"""['Aspidocarpine']""",,:Manual:KNApSAcK:
41,22012-2,Aspidosperma nigricans,Aspidosperma nigricans,22012-2,Species,"""['Compactinervine', 'Olivacine']""",,:Manual:KNApSAcK:
42,77418-1,Aspidosperma oblongum,Aspidosperma oblongum,77418-1,Species,"""['10-Methoxy-17-epi-alloyohimbine', '10-Methoxy-alpha-yohimbine', '10-Methoxy-beta-yohimbine', '17-Epialloyohimbine', '19,20-Dehydro-alpha-yohimbine', '3,4-Dehydro-beta-yohimbine', 'beta-Yohimbine N-oxide']""",,:Manual:KNApSAcK:
43,22015-2,Aspidosperma obscurinervium,Aspidosperma obscurinervium,22015-2,Species,,,:Manual::
44,22020-2,Aspidosperma olivaceum,Aspidosperma olivaceum,22020-2,Species,"""['Compactinervine', '(-)-Apparicine', 'Olivacine']""",,:Manual:KNApSAcK:
45,77425-1,Aspidosperma pachypterum,Aspidosperma pachypterum,77425-1,Species,,,:Manual::
46,315552-2,Aspidosperma parvifolium,Aspidosperma parvifolium,315552-2,Species,,,:Manual::
47,77433-1,Aspidosperma polyneuron,Aspidosperma polyneuron,77433-1,Species,"""['Normacusine B', 'Polyneuridine']""",,:Manual:KNApSAcK:
48,77437-1,Aspidosperma pyrifolium,Aspidosperma pyrifolium,77437-1,Species,"""['(-)-Aspidospermine']""",,:Manual:KNApSAcK:
49,77440-1,Aspidosperma quebracho-blanco,Aspidosperma quebracho-blanco,77440-1,Species,"""['(+)-Quebrachidine', '(-)-Aspidospermine', '(-)-Quebrachamine', 'Aspidochibine', '(+)-Eburnamenine', 'Aspidospermatine', 'Rhazidigenine Nb-oxide', 'Rhazidigenine']""",,:Manual:KNApSAcK:
50,77443-1,Aspidosperma ramiflorum,Aspidosperma ramiflorum,77443-1,Species,"""['beta-Yohimbine', 'Ramiflorine A', 'Ramiflorine B']""",,:Manual:KNApSAcK:
51,22058-2,Aspidosperma rigidum,Aspidosperma rigidum,22058-2,Species,,,:Manual::
52,22061-2,Aspidosperma sandwithianum,Aspidosperma sandwithianum,22061-2,Species,,,:Manual::
53,22062-2,Aspidosperma schultesii,Aspidosperma schultesii,22062-2,Species,,,:Manual::
54,22069-2,Aspidosperma spruceanum,Aspidosperma spruceanum,22069-2,Species,"""['Compactinervine']""",,:Manual:KNApSAcK:
55,77465-1,Aspidosperma subincanum,Aspidosperma subincanum,77465-1,Species,"""['Ellipticine', '(+/-)-Epiuleine']""",,:Manual:KNApSAcK:
56,77467-1,Aspidosperma tomentosum,Aspidosperma tomentosum,77467-1,Species,,,:Manual::
57,22079-2,Aspidosperma ulei,Aspidosperma ulei,22079-2,Species,,,:Manual::
58,77361-1,Aspidosperma eburneum,Aspidosperma eburneum,77361-1,Species,"""['(-)-Apparicine']""",,:Manual:KNApSAcK:
59,77410-1,Aspidosperma multiflorum,Aspidosperma multiflorum,77410-1,Species,"""['(-)-Kopsinine', 'Compactinervine', '(-)-Apparicine']""",,:Manual:KNApSAcK:
60,60444372-2,Bahiella infundibuliflora,Bahiella infundibuliflora,60444372-2,Species,,,:Manual::
61,77539-1,Beaumontia grandiflora,Beaumontia grandiflora,77539-1,Species,,,:Manual::
62,94966-1,Boucerosia diffusa,Boucerosia diffusa,94966-1,Species,,,:Manual::
63,77610-1,Bousigonia angustifolia,Bousigonia angustifolia,77610-1,Species,,,:Manual::
64,77611-1,Bousigonia mekongensis,Bousigonia mekongensis,77611-1,Species,,,:Manual::
65,77635-1,Callichilia barteri,Callichilia barteri,77635-1,Species,"""['Callichiline']""",,:Manual:KNApSAcK:
66,77645-1,Callichilia subsessilis,Callichilia subsessilis,77645-1,Species,,,:Manual::
67,95173-1,Calotropis gigantea,Calotropis gigantea,95173-1,Species,,,:Manual::
68,1004515-2,Calotropis procera,Calotropis procera,1004515-2,Species,,,:Manual::
69,77172739-1,Caralluma adscendens var. adscendens,Caralluma adscendens,95198-1,Variety,,,:Manual::
70,95238-1,Caralluma dalzielii,Caralluma dalzielii,95238-1,Species,,,274.0:Manual::
71,95260-1,Caralluma fimbriata,Caralluma fimbriata,95260-1,Species,,,:Manual::
72,77691-1,Carissa carandas,Carissa carandas,77691-1,Species,,,:Manual::
73,77756-1,Carissa spinarum,Carissa spinarum,77756-1,Species,,,:Manual::
74,47927-2,Cascabela thevetia,Cascabela thevetia,47927-2,Species,,,:Manual::
75,77879-1,Catharanthus pusillus,Catharanthus pusillus,77879-1,Species,"""['Lochnericine', 'Leurosine', 'Vindoline', 'Vindorosine']""",,:Manual:KNApSAcK:
76,77880-1,Catharanthus roseus,Catharanthus roseus,77880-1,Species,"""['16R,19E-Isositsirikine', '10-O-Methylsarpagine', 'Sitsirikine', 'Stemmadenine', 'Strictosidine', '4,21-Dehydrogeissoschizine', '(E)-Geissoschizine', 'Alstonine', 'Lochnericine', 'Tetrahydroalstonine', '(-)-Akuammicine:Akuammicine', 'Tabersonine', '(-)-Hazuntine', '11-Methoxytabersonine', '19R-Hydroxy-11-methoxy-tabersonine', 'Leurosine', 'Cathovaline', 'Vindoline', 'Vindolinine', '(-)-Venalstonine', '19-Epivindolinine', '19R-Hydroxytabersonine', 'Vindorosine', 'L-Phenylalanine', 'Indole', 'Tryptamine', 'Ajmalicine', 'Catharanthine', '(-)-Coronaridine', 'Ibogamine', 'Leurosidine', 'Mitraphylline', 'Serpentine', 'Vinblastine', 'Vincamine', 'Vincristine', '(+)-Minovincinine', '(-)-Vincadifformine', '11-Hydroxytabersonine', '14,15-Didehydro-epivincadine', '19-Epivindolinine N-oxide', 'Bannucine', 'Deacetylvindoline', 'Vincoline', 'Vindolinine N-oxide', 'Voacangine', 'Pericyclivine', 'Perivine', 'Pleiocarpamine', 'Isoleurosine', 'Lochneridine', '16-Methoxy-2,3-dihydro-3hydro-3-hydroxytabersoine', 'Minovincinine', ""3',4'-Anhydrovinblastine"", 'Cathenamine', 'Desacetoxyvindoline', 'Epicathenamine', '(16R)-Z-Isositsirikine', 'Echitovenine', 'Vinorelbine', 'hoerhammericine']""", <b>Use</b>: Some of the <em>alkaloids</em> of C. roseus are used,:Manual:KNApSAcK:POWO pages(/taxon/urn:lsid:ipni.org:names:77880-1)
77,20009959-1,Caudanthera edulis,Caudanthera edulis,20009959-1,Species,,,275.0:Manual::
78,77906-1,Cerbera manghas,Cerbera manghas,77906-1,Species,,,:Manual::
79,77913-1,Cerbera odollam,Cerbera odollam,77913-1,Species,,,:Manual::
80,95492-1,Ceropegia bulbosa,Ceropegia bulbosa,95492-1,Species,,,:Manual::
81,95629-1,Ceropegia juncea,Ceropegia juncea,95629-1,Species,,,:Manual::
82,95667-1,Ceropegia media,Ceropegia media,95667-1,Species,,,:Manual::
83,77202358-1,Ceropegia sahyadrica var. karulensis,Ceropegia sahyadrica,95755-1,Variety,,,:Manual::
84,77206440-1,Chloropetalum denticulatum,Chloropetalum denticulatum,77206440-1,Species,,,:Manual::
85,78008-1,Chonemorpha fragrans,Chonemorpha fragrans,78008-1,Species,,,:Manual::
86,20008971-1,Cosmostigma cordatum,Cosmostigma cordatum,20008971-1,Species,,,:Manual::
87,78180-1,Craspidospermum verticillatum,Craspidospermum verticillatum,78180-1,Species,"""['(-)-Craspidospermine', '(+)-Andrangine', '14,15-Dehydro-16-epi-vincine']""",,:Manual:KNApSAcK:
88,78181-1,Crioceras dipladeniiflorus,Crioceras dipladeniiflorus,78181-1,Species,"""['(+)-14,15-Dehydro-16-epivincamine', '(+)-Andrangine', '(-)-Criocerine', '14,15-Dehydro-12-methoxyvincamine']""",,:Manual:KNApSAcK:
89,95915-1,Cryptolepis buchananii,Cryptolepis buchananii,95915-1,Species,,,:Manual::
90,95920-1,Cryptolepis decidua,Cryptolepis decidua,95920-1,Species,,,:Manual::
91,95931-1,Cryptolepis hypoglauca,Cryptolepis hypoglauca,95931-1,Species,,,:Manual::
92,77158572-1,Cryptolepis nigrescens,Cryptolepis nigrescens,77158572-1,Species,,,:Manual::
93,95951-1,Cryptolepis sanguinolenta,Cryptolepis sanguinolenta,95951-1,Species,"""['Cryptolepine', '5-Methyl-5H-indolo[2,3-b]quinoline', 'Isocryptolepine', '11-Isopropylcryptolepine', 'Cryptomisrine', 'Biscryptolepine', '11-Hydroxycryptolepine', 'Cryptoheptine', 'Cryptospirolepine']""",,:Manual:KNApSAcK:
94,96387-1,Cynanchum maximoviczii,Cynanchum maximoviczii,96387-1,Species,,,:Manual::
95,96697-1,Cynanchum wilfordii,Cynanchum wilfordii,96697-1,Species,,,:Manual::
96,998076-1,Decalepis arayalpathra,Decalepis arayalpathra,998076-1,Species,,,:Manual::
97,96807-1,Decalepis hamiltonii,Decalepis hamiltonii,96807-1,Species,,,:Manual::
98,998075-1,Decalepis nervosa,Decalepis nervosa,998075-1,Species,,,:Manual::
99,78221-1,Dictyophleba lucida,Dictyophleba lucida,78221-1,Species,,,:Manual::
100,96939-1,Dischidia formosana,Dischidia formosana,96939-1,Species,,,:Manual::
101,97123-1,Ditassa eximia,Ditassa eximia,97123-1,Species,,,:Manual::
102,82462-2,Ditassa lenheirensis,Ditassa lenheirensis,82462-2,Species,,,:Manual::
103,78323-1,Dyera costulata,Dyera costulata,78323-1,Species,"""['Ochrolifuanine A']""",,:Manual:KNApSAcK:
104,88698-2,Echites panduratus,Echites panduratus,88698-2,Species,,,:Manual::
105,78821-1,Echites umbellatus,Echites umbellatus,78821-1,Species,,,:Manual::
106,78988-1,Eucorymbia alba,Eucorymbia alba,78988-1,Species,,,:Manual::
107,97427-1,Fischeria stellata,Fischeria stellata,97427-1,Species,,,:Manual::
108,79099-1,Funtumia elastica,Funtumia elastica,79099-1,Species,"""['Funtumine', 'Irehine']""",,:Manual:KNApSAcK:
109,106756-2,Galactophora schomburgkiana,Galactophora schomburgkiana,106756-2,Species,,,:Manual::
110,79123-1,Geissospermum laeve,Geissospermum laeve,79123-1,Species,,,:Manual::
111,1006780-1,Geissospermum sericeum,Geissospermum sericeum,1006780-1,Species,"""['Geissoschizoline', 'Geissospermine', 'Flavopereirine', 'Geissoschizoline N4-oxide']""",,:Manual:KNApSAcK:
112,277357-2,Geissospermum urceolatum,Geissospermum urceolatum,277357-2,Species,,,:Manual::
113,277356-2,Geissospermum reticulatum,Geissospermum reticulatum,277356-2,Species,,,:Manual::
114,79133-1,Gonioma kamassi,Gonioma kamassi,79133-1,Species,"""['Rhazidine']""",,:Manual:KNApSAcK:
115,79134-1,Gonioma malagasy,Gonioma malagasy,79134-1,Species,"""['Goniomitine']""",,:Manual:KNApSAcK:
116,98158-1,Gymnema decaisneanum,Gymnema decaisneanum,98158-1,Species,,,:Manual::
117,98160-1,Gymnema elegans,Gymnema elegans,98160-1,Species,,,:Manual::
118,98182-1,Gymnema latifolium,Gymnema latifolium,98182-1,Species,,,:Manual::
119,60454719-2,Gymnema sylvestre,Gymnema sylvestre,60454719-2,Species,,,:Manual::
120,328991-2,Hancornia speciosa,Hancornia speciosa,328991-2,Species,,,:Manual::
121,79244-1,Haplophyton cimicidum,Haplophyton cimicidum,79244-1,Species,"""['(-)-Eburnamine', 'Cimicidine', 'Cimicine', 'Haplocidine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Haplophytine']""",,:Manual:KNApSAcK:
122,117868-2,Haplophyton crooksii,Haplophyton crooksii,117868-2,Species,"""['Akuammidine', 'Tubotaiwine', 'beta-Yohimbine', 'Cimicidine', 'Cimicine', 'Haplophytine', 'Yohimbine', 'Crooksidine', '10-Methoxy-Na-methylpericyclivine', '16-Decarbomethoxyvinervinine', '19alpha,20alpha-Epoxyakuammicine', 'Crooksiine', 'Lanceomigine']""",,:Manual:KNApSAcK:
123,60443873-2,Hemidesmus indicus,Hemidesmus indicus,60443873-2,Species,,,:Manual::
124,122688-2,Himatanthus articulatus,Himatanthus articulatus,122688-2,Species,,,:Manual::
125,122689-2,Himatanthus attenuatus,Himatanthus attenuatus,122689-2,Species,,,:Manual::
126,122690-2,Himatanthus bracteatus,Himatanthus bracteatus,122690-2,Species,,,:Manual::
127,962262-1,Himatanthus tarapotensis,Himatanthus tarapotensis,962262-1,Species,,,:Manual::
128,962260-1,Himatanthus drasticus,Himatanthus drasticus,962260-1,Species,,,:Manual::
129,79294-1,Holarrhena congolensis,Holarrhena congolensis,79294-1,Species,"""['Funtumine', 'Conessine', 'Kisantamine']""",,:Manual:KNApSAcK:
130,79297-1,Holarrhena curtisii,Holarrhena curtisii,79297-1,Species,"""['Holacurtine', '15alpha-Hydroxyholamine', '17-epi-holacurtine', 'Holamine', 'N-Demethylholacurtine']""",,:Manual:KNApSAcK:
131,79302-1,Holarrhena floribunda,Holarrhena floribunda,79302-1,Species,"""['Conessine', 'Holamine', 'Holadienine', 'Holaline', 'Holaphyllidine', 'Holaromine', 'Holarrheline', 'Holarrhesine']""",,:Manual:KNApSAcK:
132,79318-1,Holarrhena pubescens,Holarrhena pubescens,79318-1,Species,"""['Conessine', 'Kurchessine', 'Isoconessimine']""",,:Manual:KNApSAcK:
133,98342-1,Hoodia gordonii,Hoodia gordonii,98342-1,Species,,,:Manual::
134,77173117-1,Hoya verticillata var. verticillata,Hoya verticillata,98729-1,Variety,,,:Manual::
135,79368-1,Hunteria umbellata,Hunteria umbellata,79368-1,Species,"""['(-)-Umbellamine']""",,:Manual:KNApSAcK:
136,79369-1,Hunteria zeylanica,Hunteria zeylanica,79369-1,Species,"""['(-)-Kopsinine', '(-)-Eburnamine', '(+)-Eburnamenine', 'Perivine', '(-)-O-Methyleburnamine', '(+)-Isoeburnamine', 'Vobasine', 'Tuboxenine', '(-)-Norpleiomutine', 'Bisnicalaterine A']""",,:Manual:KNApSAcK:
137,79384-1,Ichnocarpus frutescens,Ichnocarpus frutescens,79384-1,Species,,,:Manual::
138,20003295-1,Ischnolepis natalensis,Ischnolepis natalensis,20003295-1,Species,,,:Manual::
139,79456-1,Kibatalia laurifolia,Kibatalia laurifolia,79456-1,Species,,,:Manual::
140,79460-1,Kibatalia macrophylla,Kibatalia macrophylla,79460-1,Species,,,277.0:Manual::
141,79490-1,Kopsia arborea,Kopsia arborea,79490-1,Species,"""['Mersicarpine', 'Prunifoline D', 'Prunifoline F', '19(R)-Methoxytubotaiwine', '19(S)-Methoxytubotaiwine', 'Arboflorine', 'Arboloscine', 'Arbophylline', 'Arboricine', 'Arboricinine', 'Kopsamidine A', 'Kopsamidine B', 'Kopsinidine A', 'Kopsinidine B', 'Paucidactine C', 'Pericine N-oxide', 'Rhazinaline', 'Valparicine', 'Kopsiyunnanine C1', 'Kopsiyunnanine C2', 'Kopsiyunnanine C3', 'Kopsiyunnanine D']""",,:Manual:KNApSAcK:
142,79494-1,Kopsia dasyrachis,Kopsia dasyrachis,79494-1,Species,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Pleiocarpamine', '(+)-Isoeburnamine', '(-)-Norpleiomutine', 'Rhazinaline', 'Kopsirachine', 'Kopsamine', 'Kopsidasine', 'Kopsidasine N-oxide', 'Kopsidasinine', 'Paucidactine B', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '(-)-Demethylnorpleiomutine', '11,12-Methylenedioxykopsine', '11-Methoxykopsilongine N(4)-oxide', '12-Methoxypleiocarpine', 'Danuphylline', 'Dasyrachine', 'Decarbomethoxykopsifine', 'Kinabalurine G', 'Kopsifine', 'Kopsiflorine', 'Kopsiflorine N(4)-oxide', 'Kopsinarine', 'Kopsine']""",,:Manual:KNApSAcK:
143,929492-1,Kopsia deverrei,Kopsia deverrei,929492-1,Species,"""['Kopsamine', '16-Epideacetylakuammiline']""",,:Manual:KNApSAcK:
144,79496-1,Kopsia flavida,Kopsia flavida,79496-1,Species,,,:Manual::
145,79497-1,Kopsia fruticosa,Kopsia fruticosa,79497-1,Species,"""['(-)-Kopsinine', 'Pleiocarpamine', 'Mersicarpine', 'Kopsamine', 'Kopsine', 'Fruticosine', 'Kopsifoline A', 'Kopsifoline B', 'Kopsifoline C', 'Kopsifoline D', 'Kopsifoline E', 'Kopsifoline F', 'Kopsorinine', 'Lonicerine']""",,:Manual:KNApSAcK:
146,60436655-2,Kopsia grandifolia,Kopsia grandifolia,60436655-2,Species,,,:Manual::
147,79499-1,Kopsia griffithii,Kopsia griffithii,79499-1,Species,"""['Tetrahydroalstonine', 'Leuconoxine', '(-)-Kopsinine', 'Kopsamine', 'Pleiocarpine', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxypleiocarpine', '16-Epideacetylakuammiline', '(+)-Harmicine', '12-Methoxy-10-demethoxy-kopsidasinine', '16-epi-Deacetylakuammiline N(4)-oxide', 'Akuammiline N(4)-oxide']""",,:Manual:KNApSAcK:
148,79500-1,Kopsia hainanensis,Kopsia hainanensis,79500-1,Species,"""['(-)-Kopsinine', '(+)-Eburnamenine', 'Kopsinoline', '(+)-Kopsoffine']""",,:Manual:KNApSAcK:
149,79507-1,Kopsia lapidilecta,Kopsia lapidilecta,79507-1,Species,"""['(-)-Venalstonine', '(-)-Lapidilectine A', '(+)-Lapidilectine B']""",,:Manual:KNApSAcK:
150,60436658-2,Kopsia larutensis,Kopsia larutensis,60436658-2,Species,"""['(-)-Kopsinine']""",,:Manual:KNApSAcK:
151,79511-1,Kopsia macrophylla,Kopsia macrophylla,79511-1,Species,"""['Akuammiline', 'Deacetylakuammiline', '(-)-Norpleiomutine', '(+)-Kopsoffine', 'Dregamine', 'Tabernaemontanine']""",,:Manual:KNApSAcK:
152,79516-1,Kopsia pauciflora,Kopsia pauciflora,79516-1,Species,"""['(-)-Kopsinine', '(-)-Eburnamine', 'Kopsamine', 'Paucidactine B', '(+)-Eburnamonine', 'Kopsilongine', '12-Methoxy-10-demethoxy-kopsidasinine', '(-)-11,12-Dimethoxy-N-methoxycarbonyl-kopsinaline', 'Kopsamine N-oxide', 'Paucidactine A', 'Pauciflorine A', 'Pauciflorine B', '(+)-19-Oxoeburnamine', 'Kinabalurine A', 'Kinabalurine B', 'Kinabalurine C', 'Kinabalurine D', 'Kinabalurine E', 'Kinabalurine F']""",,:Manual:KNApSAcK:
153,79519-1,Kopsia profunda,Kopsia profunda,79519-1,Species,,,:Manual::
154,79524-1,Kopsia singapurensis,Kopsia singapurensis,79524-1,Species,"""['Mersicarpine', 'Rhazinaline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Singapurensine A', 'Singapurensine B', 'Singapurensine C', 'Singapurensine D', '16-Epikopsinine', 'Aspidophylline A', 'Kopsilongine-N-oxide', 'Kopsiloscine A', 'Kopsiloscine B', 'Kopsiloscine C', 'Kopsiloscine D', 'Kopsiloscine E', 'Kopsiloscine H', 'Kopsiloscine I', 'Kopsiloscine J', 'Kopsimaline A', 'Kopsimaline B', 'Kopsimaline C', 'Kopsimaline D', 'Kopsimaline E', 'Kopsinicine', 'Vincophylline']""",,:Manual:KNApSAcK:
155,79526-1,Kopsia tenuis,Kopsia tenuis,79526-1,Species,"""['Lundurine A', 'Lundurine B', 'Lundurine C', 'Tenuisine A', 'Tenuisine B', 'Tenuisine C']""",,:Manual:KNApSAcK:
156,972022-1,Kopsia teoi,Kopsia teoi,972022-1,Species,"""['Akuammiline', 'Deacetylakuammiline', '11,12-(Methylenedioxy)kopsaporine', 'Kopsingine', 'Kopsaporine', 'Kopsidine A', 'Kopsidine B', 'Kopsidine C', 'Kopsinginine', 'Kopsinitarine A', 'Kopsinitarine B', 'Kopsinitarine C', 'Kopsinitarine D', 'Mersingine A', 'Mersingine B']""",,:Manual:KNApSAcK:
