,alks,Reason,Source
127,3-Oxotabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
128,Tabersonine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
129,"(+)-14,15-Dehydro-16-epivincamine",Contains Nitrogen and ine at end of word,KNApSAcK
130,(-)-Eburnamine,Contains Nitrogen and ine at end of word,KNApSAcK
131,Vincadine,Contains Nitrogen and ine at end of word,KNApSAcK
132,Rostratamine,Contains Nitrogen and ine at end of word,KNApSAcK
133,Nicotine,Kegg Brite,KNApSAcK
134,(+)-Aspidospermidine,Contains Nitrogen and ine at end of word,KNApSAcK
135,(+)-Fendlerine,Contains Nitrogen and ine at end of word,KNApSAcK
136,Alalakine,Contains Nitrogen and ine at end of word,KNApSAcK
137,Aspidolimidine,Contains Nitrogen and ine at end of word,KNApSAcK
138,Limaspermine,Contains Nitrogen and ine at end of word,KNApSAcK
139,N-Acetylaspidospermidine,Contains Nitrogen and ine at end of word,KNApSAcK
140,Carapanaubine,Contains Nitrogen and ine at end of word,KNApSAcK
141,Cylindrocarpidine,Contains Nitrogen and ine at end of word,KNApSAcK
142,Isoreserpiline,Contains Nitrogen and ine at end of word,KNApSAcK
143,(-)-Apparicine,Contains Nitrogen and ine at end of word,KNApSAcK
144,Excelsinine,Contains Nitrogen and ine at end of word,KNApSAcK
145,O-Acetylyohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
146,Aspidocarpine,Contains Nitrogen and ine at end of word,KNApSAcK
147,Olivacine,Kegg Brite,KNApSAcK
148,10-Methoxy-17-epi-alloyohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
149,10-Methoxy-alpha-yohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
150,10-Methoxy-beta-yohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
151,17-Epialloyohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
152,"19,20-Dehydro-alpha-yohimbine",Contains Nitrogen and ine at end of word,KNApSAcK
153,"3,4-Dehydro-beta-yohimbine",Contains Nitrogen and ine at end of word,KNApSAcK
154,beta-Yohimbine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
155,Polyneuridine,Kegg Brite,KNApSAcK
156,(-)-Aspidospermine,Contains Nitrogen and ine at end of word,KNApSAcK
157,(-)-Quebrachamine,Contains Nitrogen and ine at end of word,KNApSAcK
158,Aspidochibine,Contains Nitrogen and ine at end of word,KNApSAcK
159,(+)-Eburnamenine,Contains Nitrogen and ine at end of word,KNApSAcK
160,Aspidospermatine,Contains Nitrogen and ine at end of word,KNApSAcK
161,Rhazidigenine Nb-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
162,Rhazidigenine,Contains Nitrogen and ine at end of word,KNApSAcK
163,beta-Yohimbine,Contains Nitrogen and ine at end of word,KNApSAcK
164,Ramiflorine A,Contains Nitrogen and ine at end of word,KNApSAcK
165,Ramiflorine B,Contains Nitrogen and ine at end of word,KNApSAcK
166,Ellipticine,Kegg Brite,KNApSAcK
167,(+/-)-Epiuleine,Contains Nitrogen and ine at end of word,KNApSAcK
168,Callichiline,Contains Nitrogen and ine at end of word,KNApSAcK
169,Leurosine,Kegg Brite,KNApSAcK
170,Cathovaline,Contains Nitrogen and ine at end of word,KNApSAcK
171,Antirhine,Contains Nitrogen and ine at end of word,KNApSAcK
172,Vindoline,Kegg Brite,KNApSAcK
173,Vindolinine,Contains Nitrogen and ine at end of word,KNApSAcK
174,(-)-Venalstonidine,Contains Nitrogen and ine at end of word,KNApSAcK
175,(-)-Venalstonine,Contains Nitrogen and ine at end of word,KNApSAcK
176,14-Hydroxycathovaline,Contains Nitrogen and ine at end of word,KNApSAcK
177,19-Epivindolinine,Contains Nitrogen and ine at end of word,KNApSAcK
178,19R-Hydroxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
179,19S-Hydroxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
180,Cathovalinine,Contains Nitrogen and ine at end of word,KNApSAcK
181,Deacetylcathovaline,Contains Nitrogen and ine at end of word,KNApSAcK
182,Kitraline,Contains Nitrogen and ine at end of word,KNApSAcK
183,Kitramine,Contains Nitrogen and ine at end of word,KNApSAcK
184,Vindorosine,Contains Nitrogen and ine at end of word,KNApSAcK
185,L-Phenylalanine,Contains Nitrogen and ine at end of word,KNApSAcK
186,Indole,Kegg Brite,KNApSAcK
187,Tryptamine,Kegg Brite,KNApSAcK
188,Ajmalicine,Kegg Brite,KNApSAcK
189,Catharanthine,Kegg Brite,KNApSAcK
190,(-)-Coronaridine,Contains Nitrogen and ine at end of word,KNApSAcK
191,Ibogamine,Kegg Brite,KNApSAcK
192,Leurosidine,Kegg Brite,KNApSAcK
193,Mitraphylline,Contains Nitrogen and ine at end of word,KNApSAcK
194,Serpentine,Kegg Brite,KNApSAcK
195,Vinblastine,Kegg Brite,KNApSAcK
196,Vincamine,Kegg Brite,KNApSAcK
197,Vincristine,Kegg Brite,KNApSAcK
198,(+)-Minovincinine,Contains Nitrogen and ine at end of word,KNApSAcK
199,(-)-Vincadifformine,Contains Nitrogen and ine at end of word,KNApSAcK
200,11-Hydroxytabersonine,Contains Nitrogen and ine at end of word,KNApSAcK
201,"14,15-Didehydro-epivincadine",Contains Nitrogen and ine at end of word,KNApSAcK
202,19-Epivindolinine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
203,Bannucine,Contains Nitrogen and ine at end of word,KNApSAcK
204,Deacetylvindoline,Kegg Brite,KNApSAcK
205,Vincoline,Contains Nitrogen and ine at end of word,KNApSAcK
206,Vindolinine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
207,Voacangine,Contains Nitrogen and ine at end of word,KNApSAcK
208,Pericyclivine,Contains Nitrogen and ine at end of word,KNApSAcK
209,Perivine,Contains Nitrogen and ine at end of word,KNApSAcK
210,Pleiocarpamine,Contains Nitrogen and ine at end of word,KNApSAcK
211,Isoleurosine,Contains Nitrogen and ine at end of word,KNApSAcK
212,Lochneridine,Contains Nitrogen and ine at end of word,KNApSAcK
213,"16-Methoxy-2,3-dihydro-3hydro-3-hydroxytabersoine",Contains Nitrogen and ine at end of word,KNApSAcK
214,Minovincinine,Kegg Brite,KNApSAcK
215,"3',4'-Anhydrovinblastine",Kegg Brite,KNApSAcK
216,Cathenamine,Kegg Brite,KNApSAcK
217,Desacetoxyvindoline,Kegg Brite,KNApSAcK
218,Epicathenamine,Contains Nitrogen and ine at end of word,KNApSAcK
219,(16R)-Z-Isositsirikine,Contains Nitrogen and ine at end of word,KNApSAcK
220,Echitovenine,Kegg Brite,KNApSAcK
221,Vinorelbine,Contains Nitrogen and ine at end of word,KNApSAcK
222,hoerhammericine,Contains Nitrogen and ine at end of word,KNApSAcK
223,Trichophylline,Contains Nitrogen and ine at end of word,KNApSAcK
224,(-)-Craspidospermine,Contains Nitrogen and ine at end of word,KNApSAcK
225,(+)-Andrangine,Contains Nitrogen and ine at end of word,KNApSAcK
226,"14,15-Dehydro-16-epi-vincine",Contains Nitrogen and ine at end of word,KNApSAcK
227,(-)-Criocerine,Contains Nitrogen and ine at end of word,KNApSAcK
228,"14,15-Dehydro-12-methoxyvincamine",Contains Nitrogen and ine at end of word,KNApSAcK
229,Cryptolepine,Contains Nitrogen and ine at end of word,KNApSAcK
230,"5-Methyl-5H-indolo[2,3-b]quinoline",Contains Nitrogen and ine at end of word,KNApSAcK
231,Isocryptolepine,Contains Nitrogen and ine at end of word,KNApSAcK
232,11-Isopropylcryptolepine,Contains Nitrogen and ine at end of word,KNApSAcK
233,Cryptomisrine,Contains Nitrogen and ine at end of word,KNApSAcK
234,Biscryptolepine,Contains Nitrogen and ine at end of word,KNApSAcK
235,11-Hydroxycryptolepine,Contains Nitrogen and ine at end of word,KNApSAcK
236,Cryptoheptine,Contains Nitrogen and ine at end of word,KNApSAcK
237,Cryptospirolepine,Contains Nitrogen and ine at end of word,KNApSAcK
238,Ochrolifuanine A,Contains Nitrogen and ine at end of word,KNApSAcK
239,Funtumine,Kegg Brite,KNApSAcK
240,Irehine,Kegg Brite,KNApSAcK
241,Geissoschizoline,Contains Nitrogen and ine at end of word,KNApSAcK
242,Geissospermine,Contains Nitrogen and ine at end of word,KNApSAcK
243,Flavopereirine,Contains Nitrogen and ine at end of word,KNApSAcK
244,Geissoschizoline N4-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
245,Rhazidine,Contains Nitrogen and ine at end of word,KNApSAcK
246,Goniomitine,Contains Nitrogen and ine at end of word,KNApSAcK
247,Cimicidine,Contains Nitrogen and ine at end of word,KNApSAcK
248,Cimicine,Contains Nitrogen and ine at end of word,KNApSAcK
249,Haplocidine,Contains Nitrogen and ine at end of word,KNApSAcK
250,(-)-O-Methyleburnamine,Contains Nitrogen and ine at end of word,KNApSAcK
251,(+)-Isoeburnamine,Contains Nitrogen and ine at end of word,KNApSAcK
252,Haplophytine,Contains Nitrogen and ine at end of word,KNApSAcK
253,Yohimbine,Kegg Brite,KNApSAcK
254,Crooksidine,Contains Nitrogen and ine at end of word,KNApSAcK
255,10-Methoxy-Na-methylpericyclivine,Contains Nitrogen and ine at end of word,KNApSAcK
256,16-Decarbomethoxyvinervinine,Contains Nitrogen and ine at end of word,KNApSAcK
257,"19alpha,20alpha-Epoxyakuammicine",Contains Nitrogen and ine at end of word,KNApSAcK
258,Crooksiine,Contains Nitrogen and ine at end of word,KNApSAcK
259,Lanceomigine,Contains Nitrogen and ine at end of word,KNApSAcK
260,Heteromine D,Contains Nitrogen and ine at end of word,KNApSAcK
261,Heteromine E,Contains Nitrogen and ine at end of word,KNApSAcK
262,Heteromine F,Contains Nitrogen and ine at end of word,KNApSAcK
263,Heteromine G,Contains Nitrogen and ine at end of word,KNApSAcK
264,Heteromine H,Contains Nitrogen and ine at end of word,KNApSAcK
265,Conessine,Kegg Brite,KNApSAcK
266,Kisantamine,Contains Nitrogen and ine at end of word,KNApSAcK
267,Holacurtine,Contains Nitrogen and ine at end of word,KNApSAcK
268,15alpha-Hydroxyholamine,Contains Nitrogen and ine at end of word,KNApSAcK
269,17-epi-holacurtine,Contains Nitrogen and ine at end of word,KNApSAcK
270,Holamine,Contains Nitrogen and ine at end of word,KNApSAcK
271,N-Demethylholacurtine,Contains Nitrogen and ine at end of word,KNApSAcK
272,Holadienine,Contains Nitrogen and ine at end of word,KNApSAcK
273,Holaline,Contains Nitrogen and ine at end of word,KNApSAcK
274,Holaphyllidine,Contains Nitrogen and ine at end of word,KNApSAcK
275,Holaromine,Contains Nitrogen and ine at end of word,KNApSAcK
276,Holarrheline,Contains Nitrogen and ine at end of word,KNApSAcK
277,Holarrhesine,Contains Nitrogen and ine at end of word,KNApSAcK
278,Mitiphylline,Contains Nitrogen and ine at end of word,KNApSAcK
279,N-Demethylmitiphylline,Contains Nitrogen and ine at end of word,KNApSAcK
280,Kurchessine,Kegg Brite,KNApSAcK
281,Isoconessimine,Contains Nitrogen and ine at end of word,KNApSAcK
282,(-)-Umbellamine,Contains Nitrogen and ine at end of word,KNApSAcK
283,Vobasine,Contains Nitrogen and ine at end of word,KNApSAcK
284,Tuboxenine,Contains Nitrogen and ine at end of word,KNApSAcK
285,(-)-Norpleiomutine,Contains Nitrogen and ine at end of word,KNApSAcK
286,Bisnicalaterine A,Contains Nitrogen and ine at end of word,KNApSAcK
287,Gitingensine,Contains Nitrogen and ine at end of word,KNApSAcK
288,Lanitine,Contains Nitrogen and ine at end of word,KNApSAcK
289,Mersicarpine,Contains Nitrogen and ine at end of word,KNApSAcK
290,Prunifoline D,Contains Nitrogen and ine at end of word,KNApSAcK
291,Prunifoline F,Contains Nitrogen and ine at end of word,KNApSAcK
292,19(R)-Methoxytubotaiwine,Contains Nitrogen and ine at end of word,KNApSAcK
293,19(S)-Methoxytubotaiwine,Contains Nitrogen and ine at end of word,KNApSAcK
294,Arboflorine,Contains Nitrogen and ine at end of word,KNApSAcK
295,Arboloscine,Contains Nitrogen and ine at end of word,KNApSAcK
296,Arbophylline,Contains Nitrogen and ine at end of word,KNApSAcK
297,Arboricine,Contains Nitrogen and ine at end of word,KNApSAcK
298,Arboricinine,Contains Nitrogen and ine at end of word,KNApSAcK
299,Kopsamidine A,Contains Nitrogen and ine at end of word,KNApSAcK
300,Kopsamidine B,Contains Nitrogen and ine at end of word,KNApSAcK
301,Kopsinidine A,Contains Nitrogen and ine at end of word,KNApSAcK
302,Kopsinidine B,Contains Nitrogen and ine at end of word,KNApSAcK
303,Paucidactine C,Contains Nitrogen and ine at end of word,KNApSAcK
304,Pericine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
305,Rhazinaline,Contains Nitrogen and ine at end of word,KNApSAcK
306,Valparicine,Contains Nitrogen and ine at end of word,KNApSAcK
307,Kopsiyunnanine C1,Contains Nitrogen and ine at end of word,KNApSAcK
308,Kopsiyunnanine C2,Contains Nitrogen and ine at end of word,KNApSAcK
309,Kopsiyunnanine C3,Contains Nitrogen and ine at end of word,KNApSAcK
310,Kopsiyunnanine D,Contains Nitrogen and ine at end of word,KNApSAcK
311,Kopsirachine,Contains Nitrogen and ine at end of word,KNApSAcK
312,Kopsamine,Contains Nitrogen and ine at end of word,KNApSAcK
313,Kopsidasine,Contains Nitrogen and ine at end of word,KNApSAcK
314,Kopsidasine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
315,Kopsidasinine,Contains Nitrogen and ine at end of word,KNApSAcK
316,Paucidactine B,Contains Nitrogen and ine at end of word,KNApSAcK
317,Pleiocarpine,Contains Nitrogen and ine at end of word,KNApSAcK
318,(+)-Eburnamonine,Contains Nitrogen and ine at end of word,KNApSAcK
319,Kopsilongine,Contains Nitrogen and ine at end of word,KNApSAcK
320,(-)-Demethylnorpleiomutine,Contains Nitrogen and ine at end of word,KNApSAcK
321,"11,12-Methylenedioxykopsine",Contains Nitrogen and ine at end of word,KNApSAcK
322,11-Methoxykopsilongine N(4)-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
323,12-Methoxypleiocarpine,Contains Nitrogen and ine at end of word,KNApSAcK
324,Danuphylline,Contains Nitrogen and ine at end of word,KNApSAcK
325,Dasyrachine,Contains Nitrogen and ine at end of word,KNApSAcK
326,Decarbomethoxykopsifine,Contains Nitrogen and ine at end of word,KNApSAcK
327,Kinabalurine G,Contains Nitrogen and ine at end of word,KNApSAcK
328,Kopsifine,Contains Nitrogen and ine at end of word,KNApSAcK
329,Kopsiflorine,Contains Nitrogen and ine at end of word,KNApSAcK
330,Kopsiflorine N(4)-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
331,Kopsinarine,Contains Nitrogen and ine at end of word,KNApSAcK
332,Kopsine,Contains Nitrogen and ine at end of word,KNApSAcK
333,16-Epideacetylakuammiline,Contains Nitrogen and ine at end of word,KNApSAcK
334,Fruticosine,Contains Nitrogen and ine at end of word,KNApSAcK
335,Kopsifoline A,Contains Nitrogen and ine at end of word,KNApSAcK
336,Kopsifoline B,Contains Nitrogen and ine at end of word,KNApSAcK
337,Kopsifoline C,Contains Nitrogen and ine at end of word,KNApSAcK
338,Kopsifoline D,Contains Nitrogen and ine at end of word,KNApSAcK
339,Kopsifoline E,Contains Nitrogen and ine at end of word,KNApSAcK
340,Kopsifoline F,Contains Nitrogen and ine at end of word,KNApSAcK
341,Kopsorinine,Contains Nitrogen and ine at end of word,KNApSAcK
342,Lonicerine,Contains Nitrogen and ine at end of word,KNApSAcK
343,(+)-Harmicine,Contains Nitrogen and ine at end of word,KNApSAcK
344,12-Methoxy-10-demethoxy-kopsidasinine,Contains Nitrogen and ine at end of word,KNApSAcK
345,16-epi-Deacetylakuammiline N(4)-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
346,Akuammiline N(4)-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
347,Kopsinoline,Contains Nitrogen and ine at end of word,KNApSAcK
348,(+)-Kopsoffine,Contains Nitrogen and ine at end of word,KNApSAcK
349,(-)-Lapidilectine A,Contains Nitrogen and ine at end of word,KNApSAcK
350,(+)-Lapidilectine B,Contains Nitrogen and ine at end of word,KNApSAcK
351,Dregamine,Contains Nitrogen and ine at end of word,KNApSAcK
352,Tabernaemontanine,Contains Nitrogen and ine at end of word,KNApSAcK
353,"(-)-11,12-Dimethoxy-N-methoxycarbonyl-kopsinaline",Contains Nitrogen and ine at end of word,KNApSAcK
354,Kopsamine N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
355,Paucidactine A,Contains Nitrogen and ine at end of word,KNApSAcK
356,Pauciflorine A,Contains Nitrogen and ine at end of word,KNApSAcK
357,Pauciflorine B,Contains Nitrogen and ine at end of word,KNApSAcK
358,(+)-19-Oxoeburnamine,Contains Nitrogen and ine at end of word,KNApSAcK
359,Kinabalurine A,Contains Nitrogen and ine at end of word,KNApSAcK
360,Kinabalurine B,Contains Nitrogen and ine at end of word,KNApSAcK
361,Kinabalurine C,Contains Nitrogen and ine at end of word,KNApSAcK
362,Kinabalurine D,Contains Nitrogen and ine at end of word,KNApSAcK
363,Kinabalurine E,Contains Nitrogen and ine at end of word,KNApSAcK
364,Kinabalurine F,Contains Nitrogen and ine at end of word,KNApSAcK
365,"11,12-(Methylenedioxy)kopsaporine",Contains Nitrogen and ine at end of word,KNApSAcK
366,Kopsingine,Contains Nitrogen and ine at end of word,KNApSAcK
367,Singapurensine A,Contains Nitrogen and ine at end of word,KNApSAcK
368,Singapurensine B,Contains Nitrogen and ine at end of word,KNApSAcK
369,Singapurensine C,Contains Nitrogen and ine at end of word,KNApSAcK
370,Singapurensine D,Contains Nitrogen and ine at end of word,KNApSAcK
371,16-Epikopsinine,Contains Nitrogen and ine at end of word,KNApSAcK
372,Aspidophylline A,Contains Nitrogen and ine at end of word,KNApSAcK
373,Kopsilongine-N-oxide,Contains Nitrogen and ine at end of word,KNApSAcK
374,Kopsiloscine A,Contains Nitrogen and ine at end of word,KNApSAcK
375,Kopsiloscine B,Contains Nitrogen and ine at end of word,KNApSAcK
376,Kopsiloscine C,Contains Nitrogen and ine at end of word,KNApSAcK
377,Kopsiloscine D,Contains Nitrogen and ine at end of word,KNApSAcK
378,Kopsiloscine E,Contains Nitrogen and ine at end of word,KNApSAcK
379,Kopsiloscine H,Contains Nitrogen and ine at end of word,KNApSAcK
380,Kopsiloscine I,Contains Nitrogen and ine at end of word,KNApSAcK
381,Kopsiloscine J,Contains Nitrogen and ine at end of word,KNApSAcK
