,taxa,knapsack_snippet,Source,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_ID,Accepted_Rank
16,Voacanga globosa,"""['Voacamine']""",KNApSAcK,Voacanga globosa,Voacanga globosa,82738-1,82738-1,Species
17,Voacanga grandifolia,"""['Voacamine']""",KNApSAcK,Voacanga grandifolia,Voacanga grandifolia,82740-1,82740-1,Species
18,Voacanga thouarsii,"""['Voacamine']""",KNApSAcK,Voacanga thouarsii,Voacanga thouarsii,82760-1,82760-1,Species
19,Adina cordifolia,"""['Cadambine']""",KNApSAcK,Adina cordifolia,Adina cordifolia,742903-1,742903-1,Species
20,Chimarrhis turbinata,"""['Desoxycordifoline']""",KNApSAcK,Chimarrhis turbinata,Chimarrhis turbinata,308173-2,308173-2,Species
21,Cinchona pubescens,"""['(-)-Epicatechin']""",KNApSAcK,Cinchona pubescens,Cinchona pubescens,746872-1,746872-1,Species
22,Coelospermum reticulatum,"""['Lucidin']""",KNApSAcK,Coelospermum reticulatum,Coelospermum reticulatum,747019-1,747019-1,Species
23,Coffea arabica,"""['Caffeic acid', 'Acetic acid']""",KNApSAcK,Coffea arabica,Coffea arabica,747038-1,747038-1,Species
24,Coffea canephora,"""['Acetic acid']""",KNApSAcK,Coffea canephora,Coffea canephora,747068-1,747068-1,Species
25,Coprosma propinqua,"""['Scopoletin']""",KNApSAcK,Coprosma propinqua,Coprosma propinqua,747476-1,747476-1,Species
26,Coprosma robusta,"""['Scopoletin']""",KNApSAcK,Coprosma robusta,Coprosma robusta,747499-1,747499-1,Species
27,Coprosma rotundifolia,"""['Lucidin', 'Scopoletin']""",KNApSAcK,Coprosma rotundifolia,Coprosma rotundifolia,747500-1,747500-1,Species
28,Coprosma tenuicaulis,"""['Scopoletin']""",KNApSAcK,Coprosma tenuicaulis,Coprosma tenuicaulis,747520-1,747520-1,Species
29,Coussarea macrophylla,"""['Scopoletin']""",KNApSAcK,Coussarea macrophylla,Coussarea macrophylla,747706-1,747706-1,Species
30,Cruciata taurica,"""['Quercetin', 'Scopoletin']""",KNApSAcK,Cruciata taurica,Cruciata taurica,747968-1,747968-1,Species
31,Dimetia capitellata,"""['Scopoletin']""",KNApSAcK,Dimetia capitellata,Dimetia capitellata,77147276-1,77147276-1,Species
32,Diplospora dubia,"""['Scopoletin']""",KNApSAcK,Diplospora dubia,Diplospora dubia,748497-1,748497-1,Species
33,Edrastima uniflora,"""['Auricularine']""",KNApSAcK,Edrastima uniflora,Edrastima uniflora,60467434-2,60467434-2,Species
34,Galium odoratum,"""['Lucidin', 'Alizarin']""",KNApSAcK,Galium odoratum,Galium odoratum,750339-1,750339-1,Species
35,Gynochthodes officinalis,"""['Lucidin', 'Scopoletin', 'Alizarin', 'Fumaric acid']""",KNApSAcK,Gynochthodes officinalis,Gynochthodes officinalis,77117592-1,77117592-1,Species
36,Gynochthodes umbellata,"""['Lucidin', 'Alizarin']""",KNApSAcK,Gynochthodes umbellata,Gynochthodes umbellata,77117618-1,77117618-1,Species
37,Hymenodictyon orixense,"""['Lucidin']""",KNApSAcK,Hymenodictyon orixense,Hymenodictyon orixense,910769-1,910769-1,Species
38,Mitragyna inermis,"""['Quercetin']""",KNApSAcK,Mitragyna inermis,Mitragyna inermis,756296-1,756296-1,Species
39,Mitragyna rotundifolia,"""['Caffeic acid']""",KNApSAcK,Mitragyna rotundifolia,Mitragyna rotundifolia,756301-1,756301-1,Species
40,Mitragyna speciosa,"""['Quercetin', 'Caffeic acid']""",KNApSAcK,Mitragyna speciosa,Mitragyna speciosa,756303-1,756303-1,Species
41,Morinda citrifolia,"""['Lucidin', 'Scopoletin', 'Alizarin']""",KNApSAcK,Morinda citrifolia,Morinda citrifolia,756359-1,756359-1,Species
42,Morinda morindoides,"""['Quercetin']""",KNApSAcK,Morinda morindoides,Morinda morindoides,756428-1,756428-1,Species
43,Nauclea diderrichii,"""['Desoxycordifoline', 'Desoxycordifolinic acid']""",KNApSAcK,Nauclea diderrichii,Nauclea diderrichii,757089-1,757089-1,Species
44,Nauclea latifolia,"""['17-Epinaucleidinal', '18,19-Dihydroangustine']""",KNApSAcK,Nauclea latifolia,Nauclea latifolia,757144-1,757144-1,Species
45,Neolamarckia cadamba,"""['Cadambine', '3alpha-Dihydrocadambine']""",KNApSAcK,Neolamarckia cadamba,Neolamarckia cadamba,914296-1,914296-1,Species
46,Neonauclea purpurea,"""['3alpha-Dihydrocadambine']""",KNApSAcK,Neonauclea purpurea,Neonauclea purpurea,60459147-2,60459147-2,Species
47,Ophiorrhiza kuroiwae,"""['Scopoletin']""",KNApSAcK,Ophiorrhiza kuroiwae,Ophiorrhiza kuroiwae,50884217-1,50884217-1,Species
48,Pauridiantha liebrechtsiana,"""['Lucidin']""",KNApSAcK,Pauridiantha liebrechtsiana,Pauridiantha liebrechtsiana,20010478-1,20010478-1,Species
49,Psydrax splendens,"""['Canthiumine']""",KNApSAcK,Psydrax splendens,Psydrax splendens,915421-1,915421-1,Species
50,Rubia cordifolia,"""['Alizarin']""",KNApSAcK,Rubia cordifolia,Rubia cordifolia,765218-1,765218-1,Species
51,Rubia tinctorum,"""['Lucidin', 'Alizarin']""",KNApSAcK,Rubia tinctorum,Rubia tinctorum,765369-1,765369-1,Species
52,Rubia wallichiana,"""['Lucidin', 'Scopoletin']""",KNApSAcK,Rubia wallichiana,Rubia wallichiana,765383-1,765383-1,Species
53,Uncaria africana,"""['Ajmalicine']""",KNApSAcK,Uncaria africana,Uncaria africana,768207-1,768207-1,Species
54,Uncaria elliptica,"""['Ajmalicine']""",KNApSAcK,Uncaria elliptica,Uncaria elliptica,768231-1,768231-1,Species
55,Uncaria gambir,"""['Gallic acid']""",KNApSAcK,Uncaria gambir,Uncaria gambir,60458896-2,60458896-2,Species
56,Uncaria orientalis,"""['Ajmalicine']""",KNApSAcK,Uncaria orientalis,Uncaria orientalis,768281-1,768281-1,Species
57,Uncaria rhynchophylla,"""['Cadambine', '3alpha-Dihydrocadambine', 'Angustidine']""",KNApSAcK,Uncaria rhynchophylla,Uncaria rhynchophylla,768297-1,768297-1,Species
58,Uncaria sinensis,"""['Caffeic acid', 'Scopoletin', '3alpha-Dihydrocadambine']""",KNApSAcK,Uncaria sinensis,Uncaria sinensis,768314-1,768314-1,Species
