,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,knapsack_snippet,Compiled_Sources
33,99829-1,Myriopteron extensum,Myriopteron extensum,99829-1,Species,,['Manual']
34,80460-1,Nerium oleander,Nerium oleander,80460-1,Species,"""['Adynerin']""","['Manual', 'KNApSAcK']"
35,60458242-2,Oxystelma esculentum,Oxystelma esculentum,60458242-2,Species,,['Manual']
36,100226-1,Pachycarpus distinctus,Pachycarpus distinctus,100226-1,Species,,['Manual']
37,100257-1,Pachycarpus schinzianus,Pachycarpus schinzianus,100257-1,Species,,['Manual']
38,80864-1,Parepigynum funingense,Parepigynum funingense,80864-1,Species,,['Manual']
39,942487-1,Pentalinon luteum,Pentalinon luteum,942487-1,Species,,['Manual']
40,100332-1,Pentopetia androsaemifolia,Pentopetia androsaemifolia,100332-1,Species,,['Manual']
41,100371-1,Pergularia daemia,Pergularia daemia,100371-1,Species,,['Manual']
42,77172919-1,Pergularia daemia subsp. daemia,Pergularia daemia,100371-1,Subspecies,,['Manual']
43,100411-1,Pergularia tomentosa,Pergularia tomentosa,100411-1,Species,"""['Calactin']""","['Manual', 'KNApSAcK']"
44,100454-1,Periploca forrestii,Periploca forrestii,100454-1,Species,,['Manual']
45,100502-1,Periploca sepium,Periploca sepium,100502-1,Species,,['Manual']
46,81256-1,Plumeria obtusa,Plumeria obtusa,81256-1,Species,,['Manual']
47,102040-1,Streptocaulon juventas,Streptocaulon juventas,102040-1,Species,,['Manual']
48,81862-1,Strophanthus boivinii,Strophanthus boivinii,81862-1,Species,,['Manual']
49,81877-1,Strophanthus divaricatus,Strophanthus divaricatus,81877-1,Species,"""['Decoside', 'Divaricoside', 'Divostroside', 'Lokundjoside', 'Musaroside', 'Sarmentoloside']""","['Manual', 'KNApSAcK']"
50,81881-1,Strophanthus eminii,Strophanthus eminii,81881-1,Species,,['Manual']
51,81892-1,Strophanthus gracilis,Strophanthus gracilis,81892-1,Species,,['Manual']
52,81895-1,Strophanthus gratus,Strophanthus gratus,81895-1,Species,"""['Ouabain']""","['Manual', 'KNApSAcK']"
53,81909-1,Strophanthus kombe,Strophanthus kombe,81909-1,Species,"""['Strophanthidin', 'Musaroside', 'Cymarin']""","['Manual', 'KNApSAcK']"
54,81912-1,Strophanthus ledienii,Strophanthus ledienii,81912-1,Species,,['Manual']
55,81924-1,Strophanthus nicholsonii,Strophanthus nicholsonii,81924-1,Species,,['Manual']
56,81938-1,Strophanthus preussii,Strophanthus preussii,81938-1,Species,,['Manual']
57,81945-1,Strophanthus sarmentosus,Strophanthus sarmentosus,81945-1,Species,"""['Sarmentoloside', 'Bipindoside']""","['Manual', 'KNApSAcK']"
58,81960-1,Strophanthus thollonii,Strophanthus thollonii,81960-1,Species,"""['Bipindoside']""","['Manual', 'KNApSAcK']"
59,81961-1,Strophanthus vanderijstii,Strophanthus vanderijstii,81961-1,Species,,['Manual']
60,82440-1,Thevetia ahouai,Thevetia ahouai,82440-1,Species,,['Manual']
61,82646-1,Vallaris glabra,Vallaris glabra,82646-1,Species,,['Manual']
62,82660-1,Vallaris solanacea,Vallaris solanacea,82660-1,Species,,['Manual']
63,103155-1,Xysmalobium undulatum,Xysmalobium undulatum,103155-1,Species,,['Manual']
64,77279-1,Apocynum venetum,Apocynum venetum,77279-1,Species,"""['Strophanthidin']""",['KNApSAcK']
65,21220-2,Asclepias labriformis,Asclepias labriformis,21220-2,Species,"""['Eriocarpin', 'Labriformidin', 'Labriformin']""",['KNApSAcK']
66,94654-1,Asclepias speciosa,Asclepias speciosa,94654-1,Species,"""['Aspecioside']""",['KNApSAcK']
67,319076-2,Asclepias syriaca,Asclepias syriaca,319076-2,Species,"""['Aspecioside']""",['KNApSAcK']
68,77893-1,Cerbera floribunda,Cerbera floribunda,77893-1,Species,"""['Cerbertin']""",['KNApSAcK']
