,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,CPCS_Snippet,UCANR_Snippet,CliniTox_Snippet,Compiled_Sources
336,533180-1,Clintonia uniflora,Clintonia uniflora,533180-1,Species,Clintonia uniflora,,,['CPCS']
337,533544-1,Cordyline australis,Cordyline australis,533544-1,Species,Cordyline australis,,"Cordyline australis (G. Forst.) Endl. ,Dracaena australis G. Forst. ","['CPCS', 'CliniTox']"
338,533580-1,Cordyline fruticosa,Cordyline fruticosa,533580-1,Species,"Cordyline terminalis,Dracaena terminalis",Cordyline terminalis,,"['CPCS', 'UCANR']"
339,533623-1,Cordyline obtecta,Cordyline obtecta,533623-1,Species,Dracaena australis,,,['CPCS']
340,533875-1,Dichelostemma congestum,Dichelostemma congestum,533875-1,Species,Dichelostemma pulchellum,,,['CPCS']
341,534171-1,Dracaena draco,Dracaena draco,534171-1,Species,Dracaena draco,,,['CPCS']
342,534207-1,Dracaena fragrans,Dracaena fragrans,534207-1,Species,"Dracaena deremensis,Dracaena fragrans",,,['CPCS']
343,534219-1,Dracaena goldieana,Dracaena goldieana,534219-1,Species,Dracaena goldieana,,,['CPCS']
344,534338-1,Dracaena reflexa,Dracaena reflexa,534338-1,Species,Pleomele reflexa,,,['CPCS']
345,536678-1,Hyacinthoides hispanica,Hyacinthoides hispanica,536678-1,Species,Endymion hispanicus,,,['CPCS']
346,536679-1,Hyacinthoides italica,Hyacinthoides italica,536679-1,Species,Endymion italicus,,,['CPCS']
347,537642-1,Lilium longiflorum,Lilium longiflorum,537642-1,Species,Lilium longiflorum,Lilium longiflorum,,"['CPCS', 'UCANR']"
348,537868-1,Liriope muscari,Liriope muscari,537868-1,Species,Liriope muscari,Liriope muscari,,"['CPCS', 'UCANR']"
349,542801-1,Tulbaghia violacea,Tulbaghia violacea,542801-1,Species,Tulbaghia violacea,,,['CPCS']
350,545734-1,Buddleja davidii,Buddleja davidii,545734-1,Species,Buddleia davidii,Buddleia davidii,,"['CPCS', 'UCANR']"
351,54865-2,Chamaedorea elegans,Chamaedorea elegans,54865-2,Species,Chamaedorea elegans,,Chamaedorea elegans Mart. ,"['CPCS', 'CliniTox']"
352,553043-1,Cuphea hyssopifolia,Cuphea hyssopifolia,553043-1,Species,Cuphea hyssopifolia,,,['CPCS']
353,553576-1,Lagerstroemia indica,Lagerstroemia indica,553576-1,Species,Lagerstroemia indica,Lagerstroemia indica,,"['CPCS', 'UCANR']"
354,554609-1,Liriodendron chinense,Liriodendron chinense,554609-1,Species,Liriodendron chinense,,,['CPCS']
355,554855-1,Magnolia stellata,Magnolia stellata,554855-1,Species,Magnolia stellata,Magnolia stellata,,"['CPCS', 'UCANR']"
356,554866-1,Magnolia tripetala,Magnolia tripetala,554866-1,Species,Magnolia tripetala,,,['CPCS']
357,558713-1,Alcea rosea,Alcea rosea,558713-1,Species,Althaea rosea,,"Alcea rosea L. ,Althaea rosea (L.) Cav. ","['CPCS', 'CliniTox']"
358,560792-1,Hibiscus schizopetalus,Hibiscus schizopetalus,560792-1,Species,Hibiscus schizopetalus,,,['CPCS']
359,560890-1,Hibiscus syriacus,Hibiscus syriacus,560890-1,Species,Hibiscus syriacus,,,['CPCS']
360,561006-1,Hoheria glabrata,Hoheria glabrata,561006-1,Species,Hoheria glabrata,,,['CPCS']
361,56177-1,Thunbergia alata,Thunbergia alata,56177-1,Species,Thunbergia alata,Thunbergia alata,Thunbergia alata Bojer ex Sims ,"['CPCS', 'UCANR', 'CliniTox']"
362,582569-1,Pterospora andromedea,Pterospora andromedea,582569-1,Species,Pterospora andromedea,,,['CPCS']
363,5849-2,Aegopodium podagraria,Aegopodium podagraria,5849-2,Species,Aegopodium podagraria,,,['CPCS']
364,592825-1,Eucalyptus cordata,Eucalyptus cordata,592825-1,Species,Eucalyptus cordata,,,['CPCS']
365,592858-1,Eucalyptus dalrympleana,Eucalyptus dalrympleana,592858-1,Species,Eucalyptus dalrympleana,,,['CPCS']
366,59701-2,Clarkia amoena,Clarkia amoena,59701-2,Species,Clarkia amoena,,,['CPCS']
367,599719-1,Myrtus communis,Myrtus communis,599719-1,Species,Myrtus communis,,,['CPCS']
368,60021-2,Claytonia perfoliata,Claytonia perfoliata,60021-2,Species,Montia perfoliata,,,['CPCS']
369,601603-1,Syzygium cumini,Syzygium cumini,601603-1,Species,Syzygium cuminii,,,['CPCS']
370,60433920-2,Alyssum,nan,nan,Genus,Alyssum spp,Alyssum spp.,,"['CPCS', 'UCANR']"
371,60436254-2,Crataegus,nan,nan,Genus,Crataegus spp,Crataegus spp.,,"['CPCS', 'UCANR']"
372,60436426-2,Hesperis,nan,nan,Genus,Hesperis spp,,,['CPCS']
373,60437227-2,Oenothera,nan,nan,Genus,Oenothera spp,,,['CPCS']
374,60437256-2,Hoya,nan,nan,Genus,Hoya spp,,,['CPCS']
375,60441798-2,Gloxinella lindeniana,Gloxinella lindeniana,60441798-2,Species,Kohleria lindeniana,,,['CPCS']
376,60452326-2,Silene acaulis,Silene acaulis,60452326-2,Species,Silene acaulis,,,['CPCS']
377,60452854-2,Selaginella lepidophylla,Selaginella lepidophylla,60452854-2,Species,Selaginella lepidophylla,,"Lycopodium lepidophyllum Hook. & Grev. ,Selaginella lepidophylla (Hook. & Grev.) Spring ","['CPCS', 'CliniTox']"
378,60455476-2,Araucaria cunninghamii,Araucaria cunninghamii,60455476-2,Species,Araucaria cunninghamii,,,['CPCS']
379,60458499-2,Ficus elastica,Ficus elastica,60458499-2,Species,Ficus elastica,,,['CPCS']
380,60458829-2,Goeppertia argyraea,Goeppertia argyraea,60458829-2,Species,Calathea argyraea,,,['CPCS']
381,60461041-2,Goeppertia makoyana,Goeppertia makoyana,60461041-2,Species,Calathea makoyana,,,['CPCS']
382,60471006-2,Dracaena sanderiana,Dracaena sanderiana,60471006-2,Species,Dracaena sanderiana,,,['CPCS']
383,60472666-2,Actinidia polygama,Actinidia polygama,60472666-2,Species,Actinidia polygama,,,['CPCS']
384,608603-1,Abeliophyllum distichum,Abeliophyllum distichum,608603-1,Species,Abeliophyllum distichum,,,['CPCS']
385,609658-1,Jasminum nobile,Jasminum nobile,609658-1,Species,Jasminum rex,,,['CPCS']
386,609755-1,Jasminum sambac,Jasminum sambac,609755-1,Species,Jasminum sambac,,,['CPCS']
387,610001-1,Ligustrum japonicum,Ligustrum japonicum,610001-1,Species,"Ligustrum japonica,Ligustrum japonicum",,,['CPCS']
388,610017-1,Ligustrum lucidum,Ligustrum lucidum,610017-1,Species,Ligustrum lucidum,,,['CPCS']
389,610599-1,Nyctanthes arbor-tristis,Nyctanthes arbor-tristis,610599-1,Species,Nyctanthes arbortristis,,,['CPCS']
390,610885-1,Osmanthus heterophyllus,Osmanthus heterophyllus,610885-1,Species,Osmanthus heterophyllus,,,['CPCS']
391,6141-1,Weigela,nan,nan,Genus,Weigela spp,Weigela spp.,,"['CPCS', 'UCANR']"
392,62339-2,Coccothrinax alta,Coccothrinax alta,62339-2,Species,Coccothrinax alta,,,['CPCS']
393,62341-2,Coccothrinax argentata,Coccothrinax argentata,62341-2,Species,Coccothrinax argentata,,,['CPCS']
394,65779-2,Coreopsis californica,Coreopsis californica,65779-2,Species,Coreopsis californica,,,['CPCS']
395,66154-2,Cornus nuttallii,Cornus nuttallii,66154-2,Species,Cornus nuttalii,,,['CPCS']
396,66317-2,Cortaderia selloana,Cortaderia selloana,66317-2,Species,Cortaderia selloana,,,['CPCS']
397,663990-1,Adonidia merrillii,Adonidia merrillii,663990-1,Species,Veitchia merrillii,,,['CPCS']
398,665387-1,Calamus rotang,Calamus rotang,665387-1,Species,Calamus rotang,,,['CPCS']
399,666033-1,Coccothrinax crinita,Coccothrinax crinita,666033-1,Species,Coccothrinax crinita,,,['CPCS']
400,668909-1,Phoenix canariensis,Phoenix canariensis,668909-1,Species,Phoenix canariensis,,Phoenix canariensis H. Wildpret ,"['CPCS', 'CliniTox']"
401,669503-1,Raphia farinifera,Raphia farinifera,669503-1,Species,Raphia farinifera,,,['CPCS']
402,673954-1,Romneya coulteri,Romneya coulteri,673954-1,Species,Romneya coulteri,,,['CPCS']
403,676669-1,Araucaria heterophylla,Araucaria heterophylla,676669-1,Species,Araucaria heterophylla,Araucaria heterophylla,Araucaria heterophylla (Salisb.) Franco ,"['CPCS', 'UCANR', 'CliniTox']"
404,684716-1,Pittosporum tobira,Pittosporum tobira,684716-1,Species,Pittosporum tobira,Pittosporum tobira,,"['CPCS', 'UCANR']"
405,685854-1,Platanus × hispanica,Platanus × hispanica,685854-1,Species,Platanus acerifolia,,,['CPCS']
406,685871-1,Platanus occidentalis,Platanus occidentalis,685871-1,Species,Platanus occidentalis,Platanus occidentalis,,"['CPCS', 'UCANR']"
407,694744-1,Muehlenbeckia complexa,Muehlenbeckia complexa,694744-1,Species,Muehlenbeckia complexa,,,['CPCS']
408,69506-1,Cotinus obovatus,Cotinus obovatus,69506-1,Species,Rhus cotinoides,,,['CPCS']
409,699417-1,Portulacaria afra,Portulacaria afra,699417-1,Species,Portulacaria afra,,,['CPCS']
410,701260-1,Lysimachia nummularia,Lysimachia nummularia,701260-1,Species,Lysimachia nummularia,Lysimachia nummularia,,"['CPCS', 'UCANR']"
411,706086-1,Protea repens,Protea repens,706086-1,Species,Protea mellifera,,,['CPCS']
412,724549-1,Cydonia oblonga,Cydonia oblonga,724549-1,Species,Cydonia oblonga,,,['CPCS']
413,727386-1,Photinia glabra,Photinia glabra,727386-1,Species,Photinia glabra,,,['CPCS']
414,728289-1,Potentilla indica,Potentilla indica,728289-1,Species,Duchesnea indica,,,['CPCS']
415,745109-1,Bouvardia ternifolia,Bouvardia ternifolia,745109-1,Species,Bouvardia glaberrima,,,['CPCS']
416,751073-1,Gardenia jasminoides,Gardenia jasminoides,751073-1,Species,Gardenia jasminoides,Gardenia jasminoides,,"['CPCS', 'UCANR']"
417,755707-1,Manettia luteorubra,Manettia luteorubra,755707-1,Species,Manettia bicolor,,,['CPCS']
418,76771-2,Darlingtonia californica,Darlingtonia californica,76771-2,Species,Darlingtonia californica,,,['CPCS']
419,77075194-1,Jacobaea maritima,Jacobaea maritima,77075194-1,Species,Senecio cineraria,,,['CPCS']
420,77105360-1,Cyanotis beddomei,Cyanotis beddomei,77105360-1,Species,Cyanotis kewensis,,,['CPCS']
421,77117375-1,Streptocarpus ionanthus,Streptocarpus ionanthus,77117375-1,Species,Saintpaulia ionantha,Saintpaulia ionantha,Saintpaulia ionantha H. Wendl. ,"['CPCS', 'UCANR', 'CliniTox']"
422,77122819-1,Lachenalia orchioides subsp. glaucina,Lachenalia orchioides,537209-1,Subspecies,Lachenalia lilacina,,,['CPCS']
423,77128534-1,Cartrema americana,Cartrema americana,77128534-1,Species,Osmanthus americanus,,,['CPCS']
424,77131172-1,Plerandra elegantissima,Plerandra elegantissima,77131172-1,Species,Dizygotheca elegantissima,Dizygotheca elegantissima,"Aralia elegantissima hort. Veitch ex Mast. ,Dizygotheca elegantissima (hort. Veitch ex Mast.) R. Vig. & Guillaumin ,Plerandra elegantissima (Veitch ex Masters ) Lowry G.M.Plunkett & Frodin ,Schefflera elegantissima (hort. Veitch ex Mast.) Lowry & Frodin ","['CPCS', 'UCANR', 'CliniTox']"
425,77141945-1,Amphilophium buccinatorium,Amphilophium buccinatorium,77141945-1,Species,Distictis buccinatoria,,,['CPCS']
426,77158988-1,Lutheria splendens,Lutheria splendens,77158988-1,Species,Vriesea splendens,,,['CPCS']
427,77169621-1,Haworthiopsis coarctata var. coarctata,Haworthiopsis coarctata,77138006-1,Variety,Haworthia chalwinii,,,['CPCS']
428,77170928-1,Tradescantia zebrina var. zebrina,Tradescantia zebrina,30049896-2,Variety,Zebrina pendula,,"Tradescantia pendula (Schnizl.) D.R. Hunt ,Zebrina pendula Schnizl. ","['CPCS', 'CliniTox']"
429,77171433-1,Lavandula angustifolia subsp. angustifolia,Lavandula angustifolia,449008-1,Subspecies,Lavandula officinalis,,,['CPCS']
430,77172717-1,Tulista pumila var. pumila,Tulista pumila,77138045-1,Variety,Haworthia margaritifera,,,['CPCS']
431,77176911-1,Cryptanthus lacerdae,Cryptanthus lacerdae,77176911-1,Species,Cryptanthus lacerdae,,,['CPCS']
432,771774-1,Casimiroa edulis,Casimiroa edulis,771774-1,Species,Casimiroa edulis,,,['CPCS']
433,771812-1,Choisya ternata,Choisya ternata,771812-1,Species,Choisya ternata,,,['CPCS']
434,77182722-1,Hemionitis rotundifolia,Hemionitis rotundifolia,77182722-1,Species,Pellaea rotundifolia,Pellaea rotundifolia,Pellaea rotundifolia (G. Forst.) Hook. ,"['CPCS', 'UCANR', 'CliniTox']"
435,77201016-1,Coleus australis,Coleus australis,77201016-1,Species,Plectranthus australis,,,['CPCS']
436,77204413-1,Stephanotis floribunda,Stephanotis floribunda,77204413-1,Species,Stephanotis floribunda,,Stephanotis floribunda Brongn. ,"['CPCS', 'CliniTox']"
437,77205602-1,Callisia procumbens,Callisia procumbens,77205602-1,Species,Tradescantia multiflora,,,['CPCS']
438,77208084-1,Canna × hybrida,Canna × hybrida,77208084-1,Species,Canna generalis,Canna generalis,,"['CPCS', 'UCANR']"
439,77213393-1,Heptapleurum actinophyllum,Heptapleurum actinophyllum,77213393-1,Species,"Brassaia actinophylla,Schefflera actinophylla",,,['CPCS']
440,77226592-1,Pelargonium cucullatum subsp. cucullatum,Pelargonium cucullatum,164626-3,Subspecies,Pelargonium citrosum,,,['CPCS']
441,77228835-1,Bergenia crassifolia var. crassifolia,Bergenia crassifolia,790361-1,Variety,"Bergenia cordifolia,Saxifraga cordifolia",,,['CPCS']
442,772468-1,Diosma hirsuta,Diosma hirsuta,772468-1,Species,Diosma ericoides,,,['CPCS']
443,781462-1,Acer pseudoplatanus,Acer pseudoplatanus,781462-1,Species,Acer pseudoplatanus,,,['CPCS']
444,782206-1,Cardiospermum halicacabum,Cardiospermum halicacabum,782206-1,Species,Cardiospermum halicacabum,,Cardiospermum halicacabum L. ,"['CPCS', 'CliniTox']"
445,790289-1,Astilbe japonica,Astilbe japonica,790289-1,Species,Astilbe japonica,,,['CPCS']
446,791403-1,Heuchera sanguinea,Heuchera sanguinea,791403-1,Species,Heuchera sanguinea,Heuchera sanguinea,,"['CPCS', 'UCANR']"
447,794357-1,Saxifraga pulvinaria,Saxifraga pulvinaria,794357-1,Species,Saxifraga ciliata,,,['CPCS']
448,794584-1,Saxifraga stolonifera,Saxifraga stolonifera,794584-1,Species,Saxifraga stolonifera,,,['CPCS']
449,794907-1,Tolmiea menziesii,Tolmiea menziesii,794907-1,Species,Tolmiea menziesii,Tolmiea menziesii,Tolmiea menziesii (Pursh) Torr. ,"['CPCS', 'UCANR', 'CliniTox']"
450,795340-1,Alpinia mutica,Alpinia mutica,795340-1,Species,Alpinia mutica,,,['CPCS']
451,795347-1,Alpinia nutans,Alpinia nutans,795347-1,Species,Alpinia nutans,,,['CPCS']
452,796810-1,Goeppertia zebrina,Goeppertia zebrina,796810-1,Species,Calathea zebrina,,,['CPCS']
453,796836-1,Hedychium coronarium,Hedychium coronarium,796836-1,Species,Hedychium coronarium,,,['CPCS']
454,796925-1,Heliconia bihai,Heliconia bihai,796925-1,Species,Heliconia bihai,,,['CPCS']
455,796972-1,Heliconia psittacorum,Heliconia psittacorum,796972-1,Species,"Heliconia humilis,Heliconia psittacorum",,,['CPCS']
456,797361-1,Maranta leuconeura,Maranta leuconeura,797361-1,Species,Maranta leuconeura,Maranta leuconeura,Maranta leuconeura E. Morren ,"['CPCS', 'UCANR', 'CliniTox']"
457,797527-1,Musa acuminata,Musa acuminata,797527-1,Species,Musa acuminata,,,['CPCS']
458,799180-1,Antirrhinum majus,Antirrhinum majus,799180-1,Species,Antirrhinum majus,,,['CPCS']
459,82553-1,Trachelospermum jasminoides,Trachelospermum jasminoides,82553-1,Species,Trachelospermum jasminoides,Trachelospermum jasminoides,,"['CPCS', 'UCANR']"
460,826818-1,Styrax japonicus,Styrax japonicus,826818-1,Species,Styrax japonica,,,['CPCS']
461,828524-1,Camellia japonica,Camellia japonica,828524-1,Species,"Camellia japonica,Thea japonica",Camellia japonica,Camellia japonica L. ,"['CPCS', 'UCANR', 'CliniTox']"
462,836870-1,Typha latifolia,Typha latifolia,836870-1,Species,Typha latifolia,,,['CPCS']
463,84081-1,Aglaonema modestum,Aglaonema modestum,84081-1,Species,Aglaonema modestum,,,['CPCS']
464,8410-1,Cosmos,nan,nan,Genus,Cosmos spp,,,['CPCS']
465,845120-1,Myrrhis odorata,Myrrhis odorata,845120-1,Species,Myrrhis odorata,,,['CPCS']
466,845559-1,Osmorhiza longistylis,Osmorhiza longistylis,845559-1,Species,Osmorhiza longistylis,,,['CPCS']
467,850999-1,Celtis australis,Celtis australis,850999-1,Species,Celtis australis,,,['CPCS']
468,851171-1,Celtis sinensis,Celtis sinensis,851171-1,Species,Celtis sinensis,,,['CPCS']
469,852486-1,Ficus benjamina,Ficus benjamina,852486-1,Species,Ficus benjamina,,,['CPCS']
470,852556-1,Ficus carica,Ficus carica,852556-1,Species,Ficus carica,,,['CPCS']
471,855275-1,Pilea cadierei,Pilea cadierei,855275-1,Species,Pilea cadierei,,,['CPCS']
472,856545-1,Soleirolia soleirolii,Soleirolia soleirolii,856545-1,Species,Soleirolia soleirolii,Soleirolia soleirolii,"Helxine soleirolii Req. ,Soleirolia soleirolii (Req.) Dandy ","['CPCS', 'UCANR', 'CliniTox']"
473,859937-1,Valeriana locusta,Valeriana locusta,859937-1,Species,Valerianella locusta,,,['CPCS']
474,860141-1,Valeriana rubra,Valeriana rubra,860141-1,Species,Centranthus ruber,,,['CPCS']
475,867953-1,Viola cornuta,Viola cornuta,867953-1,Species,Viola cornuta,,,['CPCS']
476,868828-1,Viola odorata,Viola odorata,868828-1,Species,Viola odorata,,,['CPCS']
477,869428-1,Viola tricolor,Viola tricolor,869428-1,Species,Viola tricolor,,,['CPCS']
478,869840-1,Cissus discolor,Cissus discolor,869840-1,Species,Cissus discolor,,,['CPCS']
479,8900-1,Euryops,nan,nan,Genus,Euryops spp,,,['CPCS']
480,90496-1,Fatsia japonica,Fatsia japonica,90496-1,Species,Fatsia japonica,Fatsia japonica,,"['CPCS', 'UCANR']"
481,90845-1,Heptapleurum arboricola,Heptapleurum arboricola,90845-1,Species,Schefflera arboricola,,,['CPCS']
482,913387-1,Syzygium oleosum,Syzygium oleosum,913387-1,Species,Eugenia cyanocarpa,,,['CPCS']
483,92411-2,Epilobium angustifolium,Epilobium angustifolium,92411-2,Species,Epilobium angustifolium,,,['CPCS']
484,94498-2,Eriocoma hymenoides,Eriocoma hymenoides,94498-2,Species,Oryzopsis hymenoides,,,['CPCS']
485,95848-1,Ceropegia woodii,Ceropegia woodii,95848-1,Species,Ceropegia woodii,Ceropegia woodii,"Ceropegia linearis E. Mey. subsp. woodii (Schltr.) H. Huber ,Ceropegia woodii Schltr. ","['CPCS', 'UCANR', 'CliniTox']"
486,962307-1,Xerochrysum bracteatum,Xerochrysum bracteatum,962307-1,Species,Helichrysum bracteatum,,,['CPCS']
487,971733-1,Hyacinthoides non-scripta,Hyacinthoides non-scripta,971733-1,Species,Endymion non-scriptus,,,['CPCS']
488,985360-1,Dypsis lutescens,Dypsis lutescens,985360-1,Species,Chrysalidocarpus lutescens,Chrysalidocarpus lutescens,,"['CPCS', 'UCANR']"
489,30000557-2,Abutilon,nan,nan,Genus,,Abutilon spp.,,['UCANR']
490,328214-2,Adiantum,nan,nan,Genus,,Adiantum spp.,,['UCANR']
491,37430-1,Antirrhinum,nan,nan,Genus,,Antirrhinum spp.,,['UCANR']
492,331363-2,Arctostaphylos,nan,nan,Genus,,Arctostaphylos spp.,,['UCANR']
493,7704-1,Arctotis,nan,nan,Genus,,Arctotis spp.,,['UCANR']
494,36952-1,Astilbe,nan,nan,Genus,,Astilbe spp.,,['UCANR']
495,1097548-2,Bambusa multiplex,Bambusa multiplex,1097548-2,Species,,Bambusa multiplex,,['UCANR']
496,328358-2,Bromelia,nan,nan,Genus,,Bromelia spp.,,['UCANR']
497,27624-1,Melaleuca,nan,nan,Genus,,Callistemon spp.,,['UCANR']
498,328170-2,Parkinsonia,nan,nan,Genus,,Cercidium spp.,,['UCANR']
499,147105-1,Cleome houtteana,Cleome houtteana,147105-1,Species,,Cleome hasslerana,,['UCANR']
500,30100521-2,Coix lacryma-jobi,Coix lacryma-jobi,30100521-2,Species,,Coix lacryma-jobi,,['UCANR']
501,446165-1,Coleus scutellarioides,Coleus scutellarioides,446165-1,Species,,Coleus hybridus,"Coleus blumei Benth. ,Plectranthus scutellarioides (L.) R.Br. ,Solenostemon scutellarioides (L.) Codd ","['UCANR', 'CliniTox']"
502,30002865-2,Columnea,nan,nan,Genus,,Columnea spp.,,['UCANR']
503,34398-1,Coprosma,nan,nan,Genus,,Coprosma spp.,,['UCANR']
504,20005010-1,Coreopsis grandiflora,Coreopsis grandiflora,20005010-1,Species,,Coreopsis grandiflora,,['UCANR']
505,198320-1,Cosmos bipinnatus,Cosmos bipinnatus,198320-1,Species,,Cosmos bipinnatus,,['UCANR']
506,60461938-2,Crocus vernus,Crocus vernus,60461938-2,Species,,Crocus vernus,,['UCANR']
507,17268360-1,Cyrtomium falcatum,Cyrtomium falcatum,17268360-1,Species,,Cyrtomium falcatum,Polystichum falcatum (L.f.) Diels ,"['UCANR', 'CliniTox']"
508,202484-1,Echinops exaltatus,Echinops exaltatus,202484-1,Species,,Echinops exaltatus,,['UCANR']
509,207656-1,Felicia amelloides,Felicia amelloides,207656-1,Species,,Felicia amelloides,,['UCANR']
510,110723-2,Gleditsia triacanthos,Gleditsia triacanthos,110723-2,Species,,Gleditsia triacanthos,,['UCANR']
511,24324-1,Hemerocallis,nan,nan,Genus,,Hemerocallis spp.,,['UCANR']
512,31276-1,Howea,nan,nan,Genus,,Howea spp.,,['UCANR']
513,659-1,Hypoestes,nan,nan,Genus,,Hypoestes spp.,,['UCANR']
514,537112-1,Kniphofia uvaria,Kniphofia uvaria,537112-1,Species,,Kniphofia uvaria,,['UCANR']
515,449008-1,Lavandula angustifolia,Lavandula angustifolia,449008-1,Species,,Lavandula angustifolia,,['UCANR']
516,30008300-2,Liquidambar,nan,nan,Genus,,Liquidambar spp.,,['UCANR']
517,668021-1,Livistona chinensis,Livistona chinensis,668021-1,Species,,Livistona chinensis,,['UCANR']
518,60461121-2,Silene coronaria,Silene coronaria,60461121-2,Species,,Lychnis coronaria,,['UCANR']
519,21049-1,Monarda,nan,nan,Genus,,Monarda spp.,,['UCANR']
520,119282-1,Myosotis sylvatica,Myosotis sylvatica,119282-1,Species,,Myosotis sylvatica,,['UCANR']
521,17160830-1,Nephrolepis exaltata,Nephrolepis exaltata,17160830-1,Species,,Nephrolepis exaltata,Nephrolepis exaltata (L.) Schott ,"['UCANR', 'CliniTox']"
522,328107-2,Osmanthus,nan,nan,Genus,,Osmanthus spp.,,['UCANR']
523,353208-1,Pachysandra terminalis,Pachysandra terminalis,353208-1,Species,,Pachysandra terminalis,,['UCANR']
524,327473-2,Paphiopedilum,nan,nan,Genus,,Paphiopedilum spp.,,['UCANR']
525,328300-2,Passiflora,nan,nan,Genus,,Passiflora spp.,,['UCANR']
526,817227-1,Petunia × atkinsiana,Petunia × atkinsiana,817227-1,Species,,Petunia hybrida,,['UCANR']
527,193615-2,Phlox paniculata,Phlox paniculata,193615-2,Species,,Phlox paniculata,,['UCANR']
528,668945-1,Phoenix roebelenii,Phoenix roebelenii,668945-1,Species,,Phoenix roebelenii,,['UCANR']
529,30014031-2,Photinia,nan,nan,Genus,,Photinia spp.,,['UCANR']
530,30095300-2,Picea pungens,Picea pungens,30095300-2,Species,,Picea pungens,,['UCANR']
531,17177460-1,Platycerium bifurcatum,Platycerium bifurcatum,17177460-1,Species,,Platycerium bifurcatum,Platycerium bifurcatum (Cav.) C. Chr. ,"['UCANR', 'CliniTox']"
532,328178-2,Plectranthus,nan,nan,Genus,,Plectranthus spp.,,['UCANR']
533,17175390-1,Phlebodium aureum,Phlebodium aureum,17175390-1,Species,,Polypodium aureum,"Phlebodium aureum (L.) J.Sm. ,Polypodium aureum L. ","['UCANR', 'CliniTox']"
534,325899-2,Portulaca,nan,nan,Genus,,Portulaca spp.,,['UCANR']
535,4224-1,Radermachera,nan,nan,Genus,,Radermachera spp.,,['UCANR']
536,34008-1,Rhaphiolepis,nan,nan,Genus,,Raphiolepis spp.,,['UCANR']
537,669577-1,Rhapis excelsa,Rhapis excelsa,669577-1,Species,,Rhapis excelsa,,['UCANR']
538,741641-1,Sorbus aucuparia,Sorbus aucuparia,741641-1,Species,,Sorbus aucuparia,,['UCANR']
539,798194-1,Strelitzia reginae,Strelitzia reginae,798194-1,Species,,Strelitzia reginae,,['UCANR']
540,327906-2,Syzygium,nan,nan,Genus,,Syzygium spp.,,['UCANR']
541,310974-2,Tropaeolum majus,Tropaeolum majus,310974-2,Species,,Tropaeolum majus,,['UCANR']
542,328332-2,Vriesea,nan,nan,Genus,,Vriesea spp.,,['UCANR']
543,1015994-1,Aloysia citrodora,Aloysia citrodora,1015994-1,Species,,,"Aloysia triphylla Britton ,Lippia triphylla Kuntze ,Verbena triphylla L'Hér. ",['CliniTox']
544,105033-2,Fittonia albivenis,Fittonia albivenis,105033-2,Species,,,"Fittonia albivenis (Lindl. ex Veitch) Brummitt ,Fittonia argyroneura Coem. ,Fittonia verschaffeltii (Lem.) Van Houtte ,Fittonia verschaffeltii (Lem.) Van Houtte var. argyroneura (Coem.) Regel ",['CliniTox']
545,1121580-2,Alchemilla hybrida,Alchemilla hybrida,1121580-2,Species,,,"Alchemilla hybrida aggr. ,Alchemilla pubescens Lam. ",['CliniTox']
546,121640-1,Aechmea fasciata,Aechmea fasciata,121640-1,Species,,,"Aechmea fasciata (Lindl.) Baker ,Billbergia fasciata Lindl. ,Platyaechmea fasciata (Lindl.) L. B. Sm. & W. J. Kress ",['CliniTox']
547,122153-1,Billbergia nutans,Billbergia nutans,122153-1,Species,,,Billbergia nutans H. Wendl. ex Regel ,['CliniTox']
548,12322-2,Ananas comosus,Ananas comosus,12322-2,Species,,,"Ananas comosus (L.) Merr. ,Bromelia comosa L. ",['CliniTox']
549,127067-1,Boswellia serrata,Boswellia serrata,127067-1,Species,,,"Boswellia glabra Roxb. ,Boswellia serrata Roxb. ex Colebr. ",['CliniTox']
550,138459-1,Schlumbergera × buckleyi,Schlumbergera × buckleyi,138459-1,Species,,,Epiphyllum x buckleyi T. Moore ,['CliniTox']
551,140487-1,Campanula isophylla,Campanula isophylla,140487-1,Species,,,Campanula isophylla Moretti ,['CliniTox']
552,154715-2,Matricaria chamomilla,Matricaria chamomilla,154715-2,Species,,,"Chamomilla recutita (L.) Rauschert ,Matricaria chamomilla L. ,Matricaria courrantiana DC. ,Matricaria recutita L. ",['CliniTox']
553,169003-2,Neoregelia carolinae,Neoregelia carolinae,169003-2,Species,,,Neoregelia carolinae (Beer) L.B. Smith ,['CliniTox']
554,17075980-1,Cyrtomium fortunei,Cyrtomium fortunei,17075980-1,Species,,,Cyrtomium fortunei J.Sm. ,['CliniTox']
555,17211870-1,Pteris cretica,Pteris cretica,17211870-1,Species,,,Pteris cretica L. ,['CliniTox']
556,174326-1,Achillea tomentosa,Achillea tomentosa,174326-1,Species,,,Achillea tomentosa L. ,['CliniTox']
557,187819-1,Calendula arvensis,Calendula arvensis,187819-1,Species,,,Calendula arvensis L. ,['CliniTox']
558,193510-1,Chrysanthemum indicum,Chrysanthemum indicum,193510-1,Species,,,"Chrysanthemum indicum L. ,Dendranthema indicum (L.) Des Moul. ",['CliniTox']
559,20006402-1,Tilia platyphyllos subsp. corinthiaca,Tilia platyphyllos,332109-2,Subspecies,,,Tilia grandifolia Ehrh. ,['CliniTox']
