,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,CPCS_Snippet,UCANR_Snippet,CliniTox_Snippet,Compiled_Sources
151,30005513-2,Pseudotsuga,nan,nan,Genus,Pseudotsuga spp,Pseudotsuga spp.,,"['CPCS', 'UCANR']"
152,30005648-2,Picea,nan,nan,Genus,Picea spp,,,['CPCS']
153,30005997-2,Veronica,nan,nan,Genus,"Hebe spp,Veronica spp",,,['CPCS']
154,30006865-2,Billbergia,nan,nan,Genus,Billbergia spp,Billbergia spp.,,"['CPCS', 'UCANR']"
155,30007321-2,Philadelphus,nan,nan,Genus,Philadelphus spp,,,['CPCS']
156,30008667-2,Arbutus,nan,nan,Genus,Arbutus spp,,,['CPCS']
157,30008714-2,Calochortus,nan,nan,Genus,Calochortus spp,,,['CPCS']
158,30008840-2,Fritillaria,nan,nan,Genus,Fritillaria spp,,,['CPCS']
159,30009317-2,Lilium,nan,nan,Genus,Lilium spp,,,['CPCS']
160,30009982-2,Cleome,nan,nan,Genus,Cleome spp,,,['CPCS']
161,30010296-2,Myosotis,nan,nan,Genus,Myosotis spp,,,['CPCS']
162,30010704-2,Eriogonum umbellatum,Eriogonum umbellatum,30010704-2,Species,Eriogonum umbellatum,,,['CPCS']
163,30010732-2,Dracaena,nan,nan,Genus,Dracaena spp,Dracaena spp.,,"['CPCS', 'UCANR']"
164,30010757-2,Symphoricarpos,nan,nan,Genus,Symphoricarpos spp,,,['CPCS']
165,30014394-2,Crassula,nan,nan,Genus,Crassula spp,,,['CPCS']
166,30014957-2,Fragaria,nan,nan,Genus,Fragaria species,,,['CPCS']
167,30017224-2,Albizia,nan,nan,Genus,Albizia,,,['CPCS']
168,30019537-2,Maranta,nan,nan,Genus,Maranta spp,,,['CPCS']
169,30022327-2,Catalpa,nan,nan,Genus,Catalpa spp,,,['CPCS']
170,30024713-2,Arctostaphylos tomentosa,Arctostaphylos tomentosa,30024713-2,Species,Arctostaphylos tomentosa,,,['CPCS']
171,30027807-2,Campanula,nan,nan,Genus,Campanula spp,Campanula spp.,,"['CPCS', 'UCANR']"
172,30035795-2,Echinacea,nan,nan,Genus,Echinacea spp,Echinacea spp.,,"['CPCS', 'UCANR']"
173,30043364-2,Eschscholzia californica,Eschscholzia californica,30043364-2,Species,Eschscholzia californica,Eschscholzia californica,,"['CPCS', 'UCANR']"
174,30043511-2,Brassica,nan,nan,Genus,Brassica spp,,,['CPCS']
175,30044566-2,Callicarpa,nan,nan,Genus,Callicarpa spp,,,['CPCS']
176,30048723-2,Fagus,nan,nan,Genus,Fagus spp,,,['CPCS']
177,30049036-2,Abelia,nan,nan,Genus,Abelia spp,,,['CPCS']
178,30049308-2,Verbascum,nan,nan,Genus,Verbascum spp,,,['CPCS']
179,30060186-2,Kalanchoe,nan,nan,Genus,Kalanchoe spp,,,['CPCS']
180,30064660-2,Dryopteris marginalis,Dryopteris marginalis,30064660-2,Species,Dryopteris marginalis,,,['CPCS']
181,30082120-2,Clintonia borealis,Clintonia borealis,30082120-2,Species,Clintonia borealis,,,['CPCS']
182,30101376-2,Cistus,nan,nan,Genus,Cistus spp,Cistus spp.,,"['CPCS', 'UCANR']"
183,30120329-2,Calendula,nan,nan,Genus,Calendula spp,,,['CPCS']
184,30154448-2,Pyracantha,nan,nan,Genus,Pyracantha spp,,,['CPCS']
185,30173577-2,Cotinus,nan,nan,Genus,Cotinus spp,,,['CPCS']
