,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,Useful_Plants_Snippet,powo_Snippet,powo_name_Snippet,LITTOX_Snippet,wiki_Snippet,Cornell_Snippet,CPCS_Snippet,UCANR_Snippet,USDA(Duke)_Snippet,TPPT_Snippet,CliniTox_Snippet,Compiled_Sources
1896,589037-1,Myrsine africana,Myrsine africana,589037-1,Species,Myrsine africana,,,Myrsine africana,,,,Myrsine africana,,,,"['Useful Plants Data', 'LITTOX', 'UCANR']"
1897,59030-1,Aerva javanica,Aerva javanica,59030-1,Species,Aerva javanica,,,,,,,,,,,['Useful Plants Data']
1898,591177-1,Barringtonia acutangula,Barringtonia acutangula,591177-1,Species,Barringtonia acutangula,,,Barringtonia acutangula,Barringtonia acutangula,,,,,,,"['Useful Plants Data', 'LITTOX', 'bn_wiki']"
1899,591189-1,Barringtonia calyptrocalyx,Barringtonia calyptrocalyx,591189-1,Species,Barringtonia calyptrocalyx,,,,,,,,,,,['Useful Plants Data']
1900,591210-1,Barringtonia macrocarpa,Barringtonia macrocarpa,591210-1,Species,Barringtonia macrocarpa,,,,,,,,,,,['Useful Plants Data']
1901,59219-2,Cissampelos pareira,Cissampelos pareira,59219-2,Species,Cissampelos pareira, <b>Use</b>: <em>Poisons</em>.,Cissampelos pareira,"Cissampelos ellenbeckii,Cissampelos pareira",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:59219-2)', 'LITTOX']"
1902,592198-1,Chydenanthus excelsus,Chydenanthus excelsus,592198-1,Species,Chydenanthus excelsus,,,,,,,,,,,['Useful Plants Data']
1903,592800-1,Eucalyptus cladocalyx,Eucalyptus cladocalyx,592800-1,Species,Eucalyptus cladocalyx,,,"Eucalyptus cladocalyx,Eucalyptus cladocalyx var. Nana,Eucalyptus corynocalyx",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1904,592965-1,Eucalyptus globulus,Eucalyptus globulus,592965-1,Species,Eucalyptus globulus, <b>Use</b>: <em>Poisons</em>.,Eucalyptus globulus,Eucalyptus globulus,,,Eucalyptus globulus,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:592965-1)', 'LITTOX', 'CPCS']"
1905,593412-1,Eucalyptus tereticornis,Eucalyptus tereticornis,593412-1,Species,Eucalyptus tereticornis, <b>Use</b>: <em>Poisons</em>.,Eucalyptus tereticornis,,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:593412-1)']"
1906,59481-3,Macrozamia moorei,Macrozamia moorei,59481-3,Species,Macrozamia moorei,,,Macrozamia moorei,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1907,59567-1,Amaranthus macrocarpus,Amaranthus macrocarpus,59567-1,Species,Amaranthus macrocarpus,,,Amaranthus macrocarpus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1908,59599-2,Citrus × aurantiifolia,Citrus × aurantiifolia,59599-2,Species,Citrus aurantiifolia, <b>Use</b>: <em>Poisons</em>.,Citrus × aurantiifolia,"Citrus X aurantiifolia,Citrus aurantifolia,Citrus aurantifolia 'Persian',Citrus aurantifolium,Citrus aurantiifolia,Limonia aurantifolia",,,Citrus aurantiifolia,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:59599-2)', 'LITTOX', 'CPCS']"
1909,59600-2,Citrus × aurantium,Citrus × aurantium,59600-2,Species,Citrus aurantium, <b>Use</b>: <em>Poisons</em>.,Citrus × aurantium,"Citrus X sinensis,Citrus aurantium,Citrus aurantium 'Bouquet',Citrus aurantium ssp. dulcis,Citrus aurantium ssp. sinensis,Citrus bigaradia,Citrus nobilis,Citrus paradisi,Citrus paradisii,Citrus reticulata,Citrus sinensis,Citrus x paradisi",,,"Citrus aurantium,Citrus nobilis,Citrus sinensis",,"Citrus aurantium,Citrus paradisi,Citrus sinensis",,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:59600-2)', 'LITTOX', 'CPCS', 'USDA(Duke)']"
1910,59603-2,Citrus medica,Citrus medica,59603-2,Species,Citrus medica, <b>Use</b>: <em>Poisons</em>.,Citrus medica,"Citrus acida,Citrus medica,Citrus medica ssp. limonum,Citrus medica var. limetta",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:59603-2)', 'LITTOX']"
1911,597300-1,Lecythis ollaria,Lecythis ollaria,597300-1,Species,Lecythis ollaria, <b>Use</b>: <em>Poisons</em>.,Lecythis ollaria,Lecythis ollaria,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:597300-1)', 'LITTOX']"
1912,59823-1,Celosia anthelminthica,Celosia anthelminthica,59823-1,Species,Celosia anthelminthica,,,Celosia anthelminthica,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1913,59958-1,Celosia polystachya,Celosia polystachya,59958-1,Species,Celosia polystachya,,,Celosia populifolia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1914,600384-1,Napoleonaea heudelotii,Napoleonaea heudelotii,600384-1,Species,Napoleonaea heudelotii,,,,,,,,,,,['Useful Plants Data']
1915,600389-1,Napoleonaea vogelii,Napoleonaea vogelii,600389-1,Species,Napoleonaea vogelii,,,,,,,,,,,['Useful Plants Data']
1916,60072-3,Macrozamia riedlei,Macrozamia riedlei,60072-3,Species,Macrozamia riedlei,,,Macrozamia riedlei,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1917,60077-1,Chamissoa altissima,Chamissoa altissima,60077-1,Species,Chamissoa altissima, <b>Use</b>: <em>Poisons</em>.,Chamissoa altissima,,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60077-1)']"
1918,600841-1,Psidium guajava,Psidium guajava,600841-1,Species,Psidium guajava, <b>Use</b>: <em>Poisons</em>.,Psidium guajava,Psidium guajava,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:600841-1)', 'LITTOX']"
1919,601154-1,Rhodomyrtus macrocarpa,Rhodomyrtus macrocarpa,601154-1,Species,Rhodomyrtus macrocarpa,,,"Rhodomyrtus macrocarpa,Rhodomyrtus macrocarpus",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1920,60153-1,Cyathula cylindrica,Cyathula cylindrica,60153-1,Species,Cyathula cylindrica,,,,,,,,,,,['Useful Plants Data']
1921,601581-1,Syzygium cordatum,Syzygium cordatum,601581-1,Species,Syzygium cordatum,,,,,,,,,,,['Useful Plants Data']
1922,601750-1,Syzygium guineense,Syzygium guineense,601750-1,Species,Syzygium guineense,,,Syzygium guineense,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1923,601802-1,Syzygium jambos,Syzygium jambos,601802-1,Species,Syzygium jambos, <b>Use</b>: <em>Poisons</em>.,Syzygium jambos,Eugenia jambos,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:601802-1)', 'LITTOX']"
1924,60226-1,Deeringia amaranthoides,Deeringia amaranthoides,60226-1,Species,Deeringia amaranthoides,,,Deeringia amaranthoides,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1925,603552-1,Triglochin palustris,Triglochin palustris,603552-1,Species,Triglochin palustris,,,Triglochin palustris,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1926,60397-1,Gomphrena celosioides,Gomphrena celosioides,60397-1,Species,Gomphrena celosioides,,,Gomphrena celosioides,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1927,604264-1,Boerhavia repens,Boerhavia repens,604264-1,Species,Boerhavia repens,,,,,,,,,,,['Useful Plants Data']
1928,60426565-2,Megathyrsus maximus,Megathyrsus maximus,60426565-2,Species,Urochloa maxima,,,"Megathyrsus maximus,Megathyrsus maximus var. pubiglumis,Panicum jumentorum,Panicum laeve,Panicum maximum,Panicum maximum var. aires,Panicum maximum var. trichoglume,Panicum polygamum,Panicum trichocondylum,Urochloa maxima,Urochloa maxima var. trichoglume",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1929,60429244-2,Angelica capitellata,Angelica capitellata,60429244-2,Species,Angelica capitellata,,,Sphenosciadium capitellatum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1930,60430438-2,Bonellia macrocarpa,Bonellia macrocarpa,60430438-2,Species,Bonellia macrocarpa,,,,,,,,,,,['Useful Plants Data']
1931,60430443-2,Bonellia mucronata,Bonellia mucronata,60430443-2,Species,Bonellia mucronata,,,"Jacquinia mucronata,Jacquinia pubescens",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1932,60430451-2,Bonellia sprucei,Bonellia sprucei,60430451-2,Species,Bonellia sprucei,,,,,,,,,,,['Useful Plants Data']
1933,60435844-2,Hydriastele pinangoides,Hydriastele pinangoides,60435844-2,Species,Hydriastele pinangoides,,,,,,,,,,,['Useful Plants Data']
1934,60438165-2,Euphrosyne acerosa,Euphrosyne acerosa,60438165-2,Species,Euphrosyne acerosa,,,"Euphrosyne acerosa,Iva acerosa,Oxytenia acerosa",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1935,60439867-2,Prunus amygdalus,Prunus amygdalus,60439867-2,Species,Prunus amygdalus,,,"Prunus amygdalus,Prunus amygdalus var. amara,Prunus amygdalus var. dulcis,Prunus amygdalus var.amara,Prunus dulcis,Prunus dulcis as 'almond',Prunus dulcis var. amara,Prunus dulcis var. amara as 'bitter almond',Prunus dulcis var. dulcis,Prunus dulcis var.amara",,,Prunus dulcis,,Prunus dulcis,Prunus dulcis (Mill.) D. A. Webb,,"['Useful Plants Data', 'LITTOX', 'CPCS', 'USDA(Duke)', 'TPPT']"
1936,60440839-2,Daphniphyllum griffithianum,Daphniphyllum griffithianum,60440839-2,Species,Daphniphyllum griffithianum,,,Daphniphyllum bancanum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1937,60442520-2,Brassica juncea,Brassica juncea,60442520-2,Species,Brassica juncea, <b>Use</b>: <em>Poisons</em>.,Brassica juncea,"Brassica integrifolia,Brassica juncea,Brassica juncea ssp. juncea var. oleifera,Brassica juncea ssp. rugosa var. cuneifolia,Brassica juncea ssp. rugosa var. typica,Brassica juncea var. aspera,Brassica juncea var. elata,Brassica juncea var. paevis,Sinapis juncea",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60442520-2)', 'LITTOX']"
1938,60442918-2,Amorimia pubiflora,Amorimia pubiflora,60442918-2,Species,Amorimia pubiflora,,,"Mascagnia aff. pubiflora,Mascagnia pubiflora",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1939,60442919-2,Amorimia rigida,Amorimia rigida,60442919-2,Species,Amorimia rigida,,,"Mascagnia aff. rigida,Mascagnia rigida",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1940,60442948-2,Niedenzuella acutifolia,Niedenzuella acutifolia,60442948-2,Species,Niedenzuella acutifolia,,,Tetrapterys acutifolia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1941,60443059-2,Niedenzuella multiglandulosa,Niedenzuella multiglandulosa,60443059-2,Species,Niedenzuella multiglandulosa,,,"Tetrapteris multiglandulosa,Tetrapterys multiglandulosa",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1942,60443873-2,Hemidesmus indicus,Hemidesmus indicus,60443873-2,Species,Hemidesmus indicus,,,Hemidesmus indicus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1943,60444138-2,Amorphophallus paeoniifolius,Amorphophallus paeoniifolius,60444138-2,Species,Amorphophallus paeoniifolius,,,Amorphophallus campanulatus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1944,60444565-2,Alocasia macrorrhizos,Alocasia macrorrhizos,60444565-2,Species,Alocasia macrorrhizos, <b>Use</b>: <em>Poisons</em>.,Alocasia macrorrhizos,"Alocasia macrorrhizos,Alocasia macrorrhizos var. rubra,Alocasia plumbea",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60444565-2)', 'LITTOX']"
1945,60445977-2,Alstonia scholaris,Alstonia scholaris,60445977-2,Species,Alstonia scholaris,,,Alstonia scholaris,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1946,60446066-2,Crinum ornatum,Crinum ornatum,60446066-2,Species,Crinum ornatum,,,Amaryllis disticha,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1947,60447729-2,Acokanthera schimperi,Acokanthera schimperi,60447729-2,Species,Acokanthera schimperi, <b>Use</b>: A potent arrow-<em>poison</em> is prepared from the roots.,Acokanthera schimperi,"Acokanthera friesiorum,Acokanthera ouabaio,Acokanthera schimperi,Acokanthera schimperi var. schimperi,Acokanthera schimperi var.rotundata,Carissa schimperi",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60447729-2)', 'LITTOX']"
1948,60447937-2,Lyonia ovalifolia,Lyonia ovalifolia,60447937-2,Species,Lyonia ovalifolia,,,"Andromeda ovalifolia,Lyonia ovalifolia,Pieris ovalifolia",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1949,60448682-2,Halogeton glomeratus,Halogeton glomeratus,60448682-2,Species,Halogeton glomeratus,,,Halogeton glomeratus,,Halogeton glomeratus,,,,,,"['Useful Plants Data', 'LITTOX', 'Cornell CALS']"
1950,60448812-2,Gelsemium sempervirens,Gelsemium sempervirens,60448812-2,Species,Gelsemium sempervirens,,,"Gelsemium nitidum,Gelsemium sempervirens,Gelsemium sempervirens as 'jessamine'",Gelsemium sempervirens,Gelsemium sempervirens,Gelsemium sempervirens,Gelsemium sempervirens,,,,"['Useful Plants Data', 'LITTOX', 'en_wiki', 'Cornell CALS', 'CPCS', 'UCANR']"
1951,60450240-2,Glycine max,Glycine max,60450240-2,Species,Glycine max, <b>Use</b>: <em>Poisons</em>.,Glycine max,"Glycine max,Glycine max as 'soya bean',Glycine max as 'soya',Glycine max as 'soyabean',Glycine max as 'soybean',Glycine maximus",,,,,Glycine max,Glycine max (L.) Merr.,Glycine max (L.) Merr. ,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60450240-2)', 'LITTOX', 'USDA(Duke)', 'TPPT', 'CliniTox']"
1952,60451308-2,Senegalia laeta,Senegalia laeta,60451308-2,Species,Senegalia laeta,,,,,,,,,,,['Useful Plants Data']
1953,60451312-2,Senegalia polyacantha,Senegalia polyacantha,60451312-2,Species,Senegalia polyacantha,,,Acacia polyacantha subsp. Campylacantha,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1954,60451558-2,Hesperocyparis macrocarpa,Hesperocyparis macrocarpa,60451558-2,Species,Hesperocyparis macrocarpa, <b>Use</b>: <em>Poisons</em>.,Hesperocyparis macrocarpa,"Cupressus lambertiana,Cupressus macrocarpa",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60451558-2)', 'LITTOX']"
1955,60452498-2,Strychnos longicaudata,Strychnos longicaudata,60452498-2,Species,Strychnos longicaudata,,,,,,,,,,,['Useful Plants Data']
1956,60453080-2,Pediomelum tenuiflorum,Pediomelum tenuiflorum,60453080-2,Species,Pediomelum tenuiflorum,,,"Psoralea tenuiflora,Psoralidium tenuiflorum",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1957,60453625-2,Digitalis grandiflora,Digitalis grandiflora,60453625-2,Species,Digitalis grandiflora,,,"Digitalis ambigua,Digitalis grandiflora,Digitalis orientalis",,,,,,Digitalis grandiflora Mill.,"Digitalis ambigua Murray ,Digitalis grandiflora Mill. ","['Useful Plants Data', 'LITTOX', 'TPPT', 'CliniTox']"
1958,60453638-2,Senegalia brevispica,Senegalia brevispica,60453638-2,Species,Senegalia brevispica,,,Acacia brevispica,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1959,60453646-2,Vachellia hockii,Vachellia hockii,60453646-2,Species,Vachellia hockii,,,,,,,,,,,['Useful Plants Data']
1960,60454719-2,Gymnema sylvestre,Gymnema sylvestre,60454719-2,Species,Gymnema sylvestre,,,"Asclepias geminata,Gymnema melicida,Gymnema sylvestre,Periploca sylvestris",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1961,60454731-2,Maesa indica,Maesa indica,60454731-2,Species,Maesa indica,,,Maesa indica,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1962,60455314-2,Persicaria orientalis,Persicaria orientalis,60455314-2,Species,Persicaria orientalis,,,"Persicaria orientalis,Polygonum orientale",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1963,60455694-2,Boophone disticha,Boophone disticha,60455694-2,Species,Boophone disticha,,,"Boophone disticha,Boöphone disticha,Haemanthus toxicaria",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1964,60457200-2,Schima wallichii,Schima wallichii,60457200-2,Species,Schima wallichii,,,Schima wallichii,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1965,60458980-2,Solanum campylacanthum,Solanum campylacanthum,60458980-2,Species,Solanum campylacanthum,,,"Solanum bojeri,Solanum campylacanthum,Solanum delagoense,Solanum panduraeforme,Solanum panduriforme",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1966,60459148-2,Wisteria sinensis,Wisteria sinensis,60459148-2,Species,Wisteria sinensis,,,Wisteria sinensis,Wisteria sinensis,,,,,Wisteria sinensis (Sims) Sweet,"Glycine sinensis Sims ,Wisteria sinensis (Sims) DC. ","['Useful Plants Data', 'LITTOX', 'en_wiki:de_wiki:fr_wiki:hr_wiki:hu_wiki', 'TPPT', 'CliniTox']"
1967,60461111-2,Diospyros lanceifolia,Diospyros lanceifolia,60461111-2,Species,Diospyros lanceifolia,,,,,,,,,,,['Useful Plants Data']
1968,60461871-2,Daphniphyllum himalense,Daphniphyllum himalense,60461871-2,Species,Daphniphyllum himalense,,,,,,,,,,,['Useful Plants Data']
1969,60463355-2,Euphorbia antisyphilitica,Euphorbia antisyphilitica,60463355-2,Species,Euphorbia antisyphilitica,,,"Euphorbia antisyphilitica,Euphorbia antisyphillitica",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1970,60465997-2,Medicago polymorpha,Medicago polymorpha,60465997-2,Species,Medicago polymorpha, <b>Use</b>: <em>Poisons</em>.,Medicago polymorpha,"Medicago denticulata,Medicago hispida,Medicago hispida var. denticulata,Medicago polymorpha,Medicago polymorpha var. brevispina",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60465997-2)', 'LITTOX']"
1971,60466167-2,Tabernaemontana corymbosa,Tabernaemontana corymbosa,60466167-2,Species,Tabernaemontana corymbosa,,,Tabernaemontana corymbosa,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1972,60466169-2,Tabernaemontana dichotoma,Tabernaemontana dichotoma,60466169-2,Species,Tabernaemontana dichotoma,,,"Ervatamia dichotoma,Tabernaemontana dichotoma",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1973,60467614-2,Clerodendrum capitatum,Clerodendrum capitatum,60467614-2,Species,Clerodendrum capitatum,,,,,,,,,,,['Useful Plants Data']
1974,60468294-2,Wedelia fruticosa,Wedelia fruticosa,60468294-2,Species,Wedelia fruticosa, <b>Use</b>: <em>Poisons</em>.,Wedelia fruticosa,,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60468294-2)']"
1975,60468992-2,Cynodon simonii,Cynodon simonii,60468992-2,Species,Cynodon simonii,,,Brachyachne ciliaris,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1976,60473574-2,Anemonastrum canadense,Anemonastrum canadense,60473574-2,Species,Anemonastrum canadense,,,Anemone canadensis,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1977,60475111-2,Aeollanthus suaveolens,Aeollanthus suaveolens,60475111-2,Species,Aeollanthus suaveolens,,,Aeollanthus suaveolens,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1978,60478388-2,Pentanema squarrosum,Pentanema squarrosum,60478388-2,Species,Pentanema conyzae,,,Inula conyza,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1979,60518-2,Cleome gynandra,Cleome gynandra,60518-2,Species,Cleome gynandra, <b>Use</b>: <em>Poisons</em>.,Cleome gynandra,"Cleome gynandra,Gynandropsis gynandra,Gynandropsis pentaphylla",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:60518-2)', 'LITTOX']"
1980,605422-1,Nelumbo nucifera,Nelumbo nucifera,605422-1,Species,Nelumbo nucifera,,,Nelumbo nucifera,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1981,606850-1,Ouratea affinis,Ouratea affinis,606850-1,Species,Ouratea affinis,,,,,,,,,,,['Useful Plants Data']
1982,606895-1,Ouratea calophylla,Ouratea calophylla,606895-1,Species,Ouratea calophylla,,,,,,,,,,,['Useful Plants Data']
1983,607558-1,Wallacea insignis,Wallacea insignis,607558-1,Species,Wallacea insignis, <b>Use</b>: <em>Poisons</em>.,Wallacea insignis,,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:607558-1)']"
1984,607562-1,Okoubaka aubrevillei,Okoubaka aubrevillei,607562-1,Species,Okoubaka aubrevillei,,,,,,,,,,,['Useful Plants Data']
1985,607746-1,Coula edulis,Coula edulis,607746-1,Species,Coula edulis,,,,,,,,,,,['Useful Plants Data']
1986,607895-1,Heisteria parvifolia,Heisteria parvifolia,607895-1,Species,Heisteria parvifolia,,,,,,,,,,,['Useful Plants Data']
1987,608048-1,Miquelia caudata,Miquelia caudata,608048-1,Species,Miquelia caudata,,,,,,,,,,,['Useful Plants Data']
1988,608174-1,Opilia amentacea,Opilia amentacea,608174-1,Species,Opilia amentacea,,,Opilia celtidifolia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1989,609009-1,Fraxinus excelsior,Fraxinus excelsior,609009-1,Species,Fraxinus excelsior,,,Fraxinus excelsior,,,Fraxinus excelsior,,,Fraxinus excelsior L.,Fraxinus excelsior L. ,"['Useful Plants Data', 'LITTOX', 'CPCS', 'TPPT', 'CliniTox']"
1990,610056-1,Ligustrum ovalifolium,Ligustrum ovalifolium,610056-1,Species,Ligustrum ovalifolium, <b>Use</b>: <em>Poisons</em>.,Ligustrum ovalifolium,Ligustrum ovalifolium,,,Ligustrum ovalifolium,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:610056-1)', 'LITTOX', 'CPCS']"
1991,610130-1,Ligustrum vulgare,Ligustrum vulgare,610130-1,Species,Ligustrum vulgare, <b>Use</b>: <em>Poisons</em>.,Ligustrum vulgare,Ligustrum vulgare,Ligustrum vulgare,,Ligustrum vulgare,,,Ligustrum vulgare L.,Ligustrum vulgare L. ,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:610130-1)', 'LITTOX', 'fr_wiki:hu_wiki', 'CPCS', 'TPPT', 'CliniTox']"
1992,61335-1,Pupalia lappacea,Pupalia lappacea,61335-1,Species,Pupalia lappacea,,,,,,,,,,,['Useful Plants Data']
1993,61821-2,Cnidoscolus aconitifolius,Cnidoscolus aconitifolius,61821-2,Species,Cnidoscolus aconitifolius, <b>Use</b>: <em>Poisons</em>.,Cnidoscolus aconitifolius,"Cnidoscolus aconitifolius,Jatropha aconitifolia",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:61821-2)', 'LITTOX']"
1994,61876-2,Cnidoscolus quercifolius,Cnidoscolus quercifolius,61876-2,Species,Cnidoscolus quercifolius,,,Cnidoscolus phyllacanthus,,,,,,,,"['Useful Plants Data', 'LITTOX']"
1995,61895-2,Cnidoscolus texanus,Cnidoscolus texanus,61895-2,Species,Cnidoscolus texanus,,,"Cnidoscolus texanus,Jatropha texana",,,,,,,,"['Useful Plants Data', 'LITTOX']"
1996,61899-2,Cnidoscolus urens,Cnidoscolus urens,61899-2,Species,Cnidoscolus urens, <b>Use</b>: <em>Poisons</em>.,Cnidoscolus urens,"Cnidoscolus urens,Cnidoscolus urens var. Stimulosus,Jatropha urens",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:61899-2)', 'LITTOX']"
1997,62042-1,Agave inaequidens,Agave inaequidens,62042-1,Species,Agave inaequidens,,,,,,,,,,,['Useful Plants Data']
1998,62172-1,Agave parryi,Agave parryi,62172-1,Species,Agave parryi,,,,,,,,,,,['Useful Plants Data']
1999,62261-1,Agave schottii,Agave schottii,62261-1,Species,Agave schottii,,,,,,,,,,,['Useful Plants Data']
2000,623370-1,Claderia viridiflora,Claderia viridiflora,623370-1,Species,Claderia viridiflora,,,,,,,,,,,['Useful Plants Data']
2001,62705-1,Amaryllis belladonna,Amaryllis belladonna,62705-1,Species,Amaryllis belladonna,,,"Amaryllis belladonna,Brunsvigia rosea",,,Amaryllis belladonna,Amaryllis belladonna,,,Amaryllis belladonna L. ,"['Useful Plants Data', 'LITTOX', 'CPCS', 'UCANR', 'CliniTox']"
2002,627202-1,Dendrobium crumenatum,Dendrobium crumenatum,627202-1,Species,Dendrobium crumenatum,,,Dendrobium ceraia,,,,,,,,"['Useful Plants Data', 'LITTOX']"
2003,62882-2,Cojoba arborea,Cojoba arborea,62882-2,Species,Cojoba arborea, <b>Use</b>: <em>Poisons</em>.,Cojoba arborea,Pithecellobium arboreum,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:62882-2)', 'LITTOX']"
2004,630295-1,Disa welwitschii,Disa welwitschii,630295-1,Species,Disa welwitschii,,,,,,,,,,,['Useful Plants Data']
2005,633768-1,Eria javanica,Eria javanica,633768-1,Species,Eria javanica,,,,,,,,,,,['Useful Plants Data']
2006,634532-1,Eulophia cucullata,Eulophia cucullata,634532-1,Species,Eulophia cucullata,,,Eulophia arenaria,,,,,,,,"['Useful Plants Data', 'LITTOX']"
2007,634640-1,Eulophia guineensis,Eulophia guineensis,634640-1,Species,Eulophia guineensis,,,,,,,,,,,['Useful Plants Data']
2008,637412-1,Habenaria holubii,Habenaria holubii,637412-1,Species,Habenaria holubii,,,,,,,,,,,['Useful Plants Data']
2009,6379-2,Agave aurea,Agave aurea,6379-2,Species,Agave aurea,,,,,,,,,,,['Useful Plants Data']
2010,63796-1,Crinum asiaticum,Crinum asiaticum,63796-1,Species,Crinum asiaticum,,,Crinum asiaticum,,,,,,,,"['Useful Plants Data', 'LITTOX']"
2011,63828-1,Crinum bulbispermum,Crinum bulbispermum,63828-1,Species,Crinum bulbispermum, <b>Use</b>: <em>Poisons</em>.,Crinum bulbispermum,"Amaryllis bulbisperma,Crinum bulbispermum,Crinum capense",,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:63828-1)', 'LITTOX']"
2012,63895-1,Crinum flaccidum,Crinum flaccidum,63895-1,Species,Crinum flaccidum,,,"Crinum flaccidum,Crinum pestilentis",,,,,,,,"['Useful Plants Data', 'LITTOX']"
2013,6391-2,Agave bovicornuta,Agave bovicornuta,6391-2,Species,Agave bovicornuta,,,,,,,,,,,['Useful Plants Data']
2014,64125-1,Crinum zeylanicum,Crinum zeylanicum,64125-1,Species,Crinum zeylanicum, <b>Use</b>: <em>Poisons</em>.,Crinum zeylanicum,Crinum zeylanicum,,,,,,,,"['Useful Plants Data', 'POWO pages(/taxon/urn:lsid:ipni.org:names:64125-1)', 'LITTOX']"
